Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link,lYear,lWeek,lTop 10 Gross,lOverall,lTop,lGross,lTGross,lWeeks,wT10Gross,wOverallGross,wRelease
Nov 3-5,2017,44,164643982,184.40%,180275276,134.60%,126,Thor: Ragnarok,/weekend/2017W44/?ref_=bo_wey_table_13,2017,43,57899380,76856088,Jigsaw,16640452,16640452,1,96893133.45454544,112459731.63636364,123.9090909090909
Oct 27-29,2017,43,57899380,-24.20%,76856088,-19.90%,128,Jigsaw,/weekend/2017W43/?ref_=bo_wey_table_14,2017,42,76408192,95980741,Boo 2! A Madea Halloween,21226953,21226953,1,94296281.1818182,109963444.72727272,124.63636363636364
Oct 20-22,2017,42,76408192,-13.90%,95980741,-4.50%,137,Boo 2! A Madea Halloween,/weekend/2017W42/?ref_=bo_wey_table_15,2017,41,88765700,100461379,Happy Death Day,26039025,26039025,1,108711994.16666669,123144908.41666669,124.58333333333331
Oct 13-15,2017,41,88765700,-8.50%,100461379,-4.80%,135,Happy Death Day,/weekend/2017W41/?ref_=bo_wey_table_16,2017,40,97001069,105557205,Blade Runner 2049,32753122,32753122,1,107863677.45,121973098.7,97.6
Oct 6-8,2017,40,97001069,20.90%,105557205,16.20%,132,Blade Runner 2049,/weekend/2017W40/?ref_=bo_wey_table_17,2017,39,80260428,90846336,Kingsman: The Golden Circle,16935565,66637153,2,119561053.375,132403535.3125,110.1875
Sep 29-Oct 1,2017,39,80260428,-26%,90846336,-23%,131,Kingsman: The Golden Circle,/weekend/2017W39/?ref_=bo_wey_table_19,2017,38,108472634,117918784,Kingsman: The Golden Circle,39023010,39023010,1,91542753.0,105592491.41666669,128.25
Sep 22-24,2017,38,108472634,6.80%,117918784,5.10%,131,Kingsman: The Golden Circle,/weekend/2017W38/?ref_=bo_wey_table_20,2017,37,101574131,112222203,It,60103110,218813729,2,86914069.66666667,102326128.08333331,127.83333333333331
Sep 15-17,2017,37,101574131,-33.60%,112222203,-31.60%,143,It,/weekend/2017W37/?ref_=bo_wey_table_21,2017,36,153028668,164044803,It,123403419,123403419,1,81451524.66666667,99568524.66666669,125.58333333333331
Sep 8-10,2017,36,153028668,213.20%,164044803,111.30%,135,It,/weekend/2017W36/?ref_=bo_wey_table_22,2017,35,61708167,97866622,The Hitman's Bodyguard,13272712,57966926,1,79852053.5625,105529132.125,113.125
Sep 1-4Labor Day wknd,2017,35,61708167,-28%,97866622,-23.80%,121,The Hitman's Bodyguard,/weekend/2017W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_23,2017,34,46116140,69312122,The Hitman's Bodyguard,10262619,39826623,2,83528402.8,115279308.05,109.8
Aug 25-27,2017,34,46116140,-39.10%,69312122,-28.20%,130,The Hitman's Bodyguard,/weekend/2017W34/?ref_=bo_wey_table_25,2017,33,75677045,96486715,The Hitman's Bodyguard,21384504,21384504,1,86155898.91666667,108205408.83333331,114.25
Aug 18-20,2017,33,75677045,-20.50%,96486715,-17.50%,124,The Hitman's Bodyguard,/weekend/2017W33/?ref_=bo_wey_table_26,2017,32,95249031,116913742,Annabelle: Creation,35006404,35006404,1,115311023.75,135326532.33333334,112.91666666666669
Aug 11-13,2017,32,95249031,-9.70%,116913742,-4.80%,123,Annabelle: Creation,/weekend/2017W32/?ref_=bo_wey_table_27,2017,31,105440174,122787940,The Dark Tower,19153698,19153698,1,133108853.25,150177606.16666666,109.83333333333331
Aug 4-6,2017,31,105440174,-21.40%,122787940,-15%,106,The Dark Tower,/weekend/2017W31/?ref_=bo_wey_table_28,2017,30,134073732,144397313,Dunkirk,26611130,101317350,2,134064684.33333331,149076426.08333334,108.58333333333331
Jul 28-30,2017,30,134073732,-22.50%,144397313,-20.10%,122,Dunkirk,/weekend/2017W30/?ref_=bo_wey_table_29,2017,29,172931486,180801251,Dunkirk,50513488,50513488,1,148763158.08333334,162250811.58333334,109.91666666666669
Jul 21-23,2017,29,172931486,10.80%,180801251,10.70%,114,Dunkirk,/weekend/2017W29/?ref_=bo_wey_table_30,2017,28,156068438,163324876,War for the Planet of the Apes,56262929,56262929,1,182475369.5833333,195040168.16666663,108.0
Jul 14-16,2017,28,156068438,-21.30%,163324876,-20.90%,109,War for the Planet of the Apes,/weekend/2017W28/?ref_=bo_wey_table_31,2017,27,198323345,206488903,Spider-Man: Homecoming,117027503,117027503,1,166993485.33333334,179117028.41666666,110.0
Jul 7-9,2017,27,198323345,26.20%,206488903,21.50%,109,Spider-Man: Homecoming,/weekend/2017W27/?ref_=bo_wey_table_32,2017,26,221241108,239317563,Despicable Me 3,99020280,99020280,1,174799565.14285713,186610260.7142857,101.5
Jun 30-Jul 4July 4th long wknd,2017,26,221241108,1.50%,239317563,3.50%,77,Despicable Me 3,/weekend/2017W26/occasion/us_july4_weekend/?ref_=bo_wey_table_33,2017,25,130023273,140826843,Transformers: The Last Knight,44680073,68475562,1,179093226.14285713,192114475.2857143,106.21428571428572
Jun 23-25,2017,25,130023273,-27.30%,140826843,-26.10%,109,Transformers: The Last Knight,/weekend/2017W25/?ref_=bo_wey_table_35,2017,24,178932468,190580340,Cars 3,53688680,53688680,1,183005245.3333333,193777360.25,109.0
Jun 16-18,2017,24,178932468,30.30%,190580340,32.20%,115,Cars 3,/weekend/2017W24/?ref_=bo_wey_table_36,2017,23,137307539,144176376,Wonder Woman,58520672,206343175,2,170617422.83333334,180717244.41666663,110.5
Jun 9-11,2017,23,137307539,-23.30%,144176376,-22.40%,108,Wonder Woman,/weekend/2017W23/?ref_=bo_wey_table_37,2017,22,179022383,185842459,Wonder Woman,103251471,103251471,1,141521272.91666666,149983262.5,110.75
Jun 2-4,2017,22,179022383,33.60%,185842459,30.60%,110,Wonder Woman,/weekend/2017W22/?ref_=bo_wey_table_38,2017,21,169805597,180565176,Pirates of the Caribbean: Dead Men Tell No Tales,78476767,78476767,1,155722830.2857143,163468887.57142857,109.0
May 26-29Memorial Day wknd,2017,21,169805597,-13.80%,180565176,-12.10%,88,Pirates of the Caribbean: Dead Men Tell No Tales,/weekend/2017W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_39,2017,20,115331687,124441368,Alien: Covenant,36160621,36160621,1,190812263.0909091,200275911.4090909,106.95454545454544
May 19-21,2017,20,115331687,-7.40%,124441368,-8.50%,111,Alien: Covenant,/weekend/2017W20/?ref_=bo_wey_table_41,2017,19,124517741,136001326,Guardians of the Galaxy Vol. 2,65263492,248420911,2,145121413.0,154218433.5,116.33333333333331
May 12-14,2017,19,124517741,-32.50%,136001326,-30.30%,114,Guardians of the Galaxy Vol. 2,/weekend/2017W19/?ref_=bo_wey_table_42,2017,18,184356127,195098085,Guardians of the Galaxy Vol. 2,146510104,146510104,1,145570531.16666666,156305886.66666666,118.58333333333331
May 5-7,2017,18,184356127,128.20%,195098085,95.50%,109,Guardians of the Galaxy Vol. 2,/weekend/2017W18/?ref_=bo_wey_table_43,2017,17,80793191,99778230,The Fate of the Furious,19936540,193268115,3,165862059.58333334,176843492.41666666,117.58333333333331
Apr 28-30,2017,17,80793191,-11.10%,99778230,-7.30%,112,The Fate of the Furious,/weekend/2017W17/?ref_=bo_wey_table_44,2017,16,90926040,107650168,The Fate of the Furious,38408415,163304635,2,137268690.41666666,152115054.33333334,120.5
Apr 21-23,2017,16,90926040,-41.70%,107650168,-36.20%,110,The Fate of the Furious,/weekend/2017W16/?ref_=bo_wey_table_45,2017,15,173236946,186508700,The Fate of the Furious,107310965,107310965,1,110617216.86666666,126178234.8,107.6
Apr 14-17Easter wknd,2017,15,173236946,-35.90%,186508700,-33%,50,The Fate of the Furious,/weekend/2017W15/occasion/easter_weekend/?ref_=bo_wey_table_46,2017,14,106287914,120077853,The Boss Baby,26363488,89436806,2,120117122.42857143,132811945.5,105.35714285714286
Apr 7-9,2017,14,106287914,-34.20%,120077853,-29.20%,103,The Boss Baby,/weekend/2017W14/?ref_=bo_wey_table_48,2017,13,161650523,169546152,The Boss Baby,50198902,50198902,1,144115983.0,155905612.33333334,101.33333333333331
Mar 31-Apr 2,2017,13,161650523,-16.10%,169546152,-16.10%,100,The Boss Baby,/weekend/2017W13/?ref_=bo_wey_table_49,2017,12,192647503,202066084,Beauty and the Beast,90426717,319032604,2,146184773.73333332,159291299.6,101.13333333333334
Mar 24-26,2017,12,192647503,-23.60%,202066084,-22.50%,100,Beauty and the Beast,/weekend/2017W12/?ref_=bo_wey_table_50,2017,11,252225276,260823456,Beauty and the Beast,174750616,174750616,1,126389274.23076925,140871121.69230768,109.0
Mar 17-19,2017,11,252225276,68.90%,260823456,59%,103,Beauty and the Beast,/weekend/2017W11/?ref_=bo_wey_table_51,2017,10,149362845,163997836,Kong: Skull Island,61025472,61025472,1,119224647.16666669,134725146.91666666,110.75
Mar 10-12,2017,10,149362845,-11.10%,163997836,-13.50%,107,Kong: Skull Island,/weekend/2017W10/?ref_=bo_wey_table_52,2017,9,168014995,189697727,Logan,88411916,88411916,1,127718984.25,144766037.66666666,110.16666666666669
Mar 3-5,2017,9,168014995,61.80%,189697727,52.80%,100,Logan,/weekend/2017W09/?ref_=bo_wey_table_53,2017,8,103860378,124126169,Get Out,33377060,33377060,1,107330506.75,128180072.83333331,107.16666666666669
Feb 24-26,2017,8,103860378,-19.40%,124126169,-17.60%,87,Get Out,/weekend/2017W08/?ref_=bo_wey_table_54,2017,7,155796460,181705870,The Lego Batman Movie,42744131,107310445,1,109227960.33333331,129538191.08333331,101.75
Feb 17-20Presidents' Day wknd,2017,7,155796460,-37.90%,181705870,-34.80%,68,The Lego Batman Movie,/weekend/2017W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_55,2017,6,171094497,188591354,The Lego Batman Movie,53003468,53003468,1,172818117.95833334,197978896.2083333,93.54166666666669
Feb 10-12,2017,6,171094497,126.10%,188591354,90%,87,The Lego Batman Movie,/weekend/2017W06/?ref_=bo_wey_table_57,2017,5,75662315,99239960,Split,14424195,98540660,3,116846154.83333331,139394977.08333334,101.16666666666669
Feb 3-5,2017,5,75662315,-32.20%,99239960,-30.10%,97,Split,/weekend/2017W05/?ref_=bo_wey_table_58,2017,4,111650133,141980332,Split,25655440,77385530,2,81159020.0,105663109.41666669,98.58333333333331
Jan 27-29,2017,4,111650133,-7.10%,141980332,-2.10%,85,Split,/weekend/2017W04/?ref_=bo_wey_table_59,2017,3,120214041,145007859,Split,40010975,40010975,1,101773826.66666669,131358061.16666669,95.5
Jan 20-22,2017,3,120214041,1%,145007859,-2.90%,89,Split,/weekend/2017W03/?ref_=bo_wey_table_60,2017,2,147714852,185210740,Hidden Figures,27506839,61889939,1,144106715.15,173497607.55,85.9
Jan 13-16MLK wknd,2017,2,147714852,-15.70%,185210740,-7.70%,66,Hidden Figures,/weekend/2017W02/occasion/us_mlkday_weekend/?ref_=bo_wey_table_62,2017,1,120491633,137405045,Hidden Figures,22800057,25754235,3,122621792.8125,149859356.3125,88.1875
Jan 6-8,2017,1,120491633,-27.60%,137405045,-26.40%,88,Hidden Figures,/weekend/2017W01/?ref_=bo_wey_table_63,2016,53,220396876,246770071,Rogue One: A Star Wars Story,65522676,440901381,1,132775766.41666669,155875732.66666666,88.75
"Dec 30-Jan 2, 2017New Year's long wknd",2016,53,220396876,-7.30%,246770071,-11.10%,68,Rogue One: A Star Wars Story,/weekend/2016W53/occasion/us_newyear_weekend/?ref_=bo_wey_table_2,2016,52,250611546,274763402,Rogue One: A Star Wars Story,96119405,318119079,1,0.0,0.0,0.0
Dec 23-26Christmas long wknd,2016,52,250611546,47.70%,274763402,34.10%,67,Rogue One: A Star Wars Story,/weekend/2016W52/occasion/us_christmas_weekend/?ref_=bo_wey_table_3,2016,51,203485726,211583035,Rogue One: A Star Wars Story,155081681,155081681,1,196334086.94117647,222615748.0,76.29411764705883
Dec 16-18,2016,51,203485726,184.30%,211583035,152.70%,99,Rogue One: A Star Wars Story,/weekend/2016W51/?ref_=bo_wey_table_5,2016,50,71566771,83717240,Moana,18533804,144700397,3,164322845.4,180913443.46666667,81.2
Dec 9-11,2016,50,71566771,-14.50%,83717240,-12.60%,114,Moana,/weekend/2016W50/?ref_=bo_wey_table_6,2016,49,83749622,95805897,Moana,28270989,119786319,2,108613725.63636364,120640989.54545456,102.63636363636364
Dec 2-4,2016,49,83749622,-50.90%,95805897,-48%,131,Moana,/weekend/2016W49/?ref_=bo_wey_table_7,2016,48,243739138,260702622,Moana,82080274,82080274,1,77289676.66666667,88695051.61111109,109.44444444444444
Nov 23-27Thanksgiving 5-Day,2016,48,243739138,2.40%,260702622,1.50%,56,Moana,/weekend/2016W47/occasion/us_thanksgiving_5/?ref_=bo_wey_table_10,2016,47,146558755,157984223,Fantastic Beasts and Where to Find Them,74403387,74403387,1,171499002.80555555,185343632.11111107,83.6111111111111
Nov 18-20,2016,47,146558755,0.50%,157984223,-0.30%,121,Fantastic Beasts and Where to Find Them,/weekend/2016W47/?ref_=bo_wey_table_11,2016,46,145898093,158440850,Doctor Strange,42970065,152952234,2,202695349.6086957,214789448.3478261,89.7391304347826
Nov 11-13,2016,46,145898093,-19.20%,158440850,-17.30%,122,Doctor Strange,/weekend/2016W46/?ref_=bo_wey_table_12,2016,45,180664140,191568495,Doctor Strange,85058311,85058311,1,150439485.8181818,162818344.45454547,116.63636363636364
Nov 4-6,2016,45,180664140,143.50%,191568495,115.70%,123,Doctor Strange,/weekend/2016W45/?ref_=bo_wey_table_13,2016,44,74204699,88827696,Boo! A Madea Halloween,17220312,52564655,2,142606271.54545453,156661743.36363637,121.72727272727272
Oct 28-30,2016,44,74204699,-32%,88827696,-28.90%,123,Boo! A Madea Halloween,/weekend/2016W44/?ref_=bo_wey_table_14,2016,43,109125994,125010284,Boo! A Madea Halloween,28501448,28501448,1,96893133.45454544,112459731.63636364,123.9090909090909
Oct 21-23,2016,43,109125994,28.40%,125010284,26.30%,132,Boo! A Madea Halloween,/weekend/2016W43/?ref_=bo_wey_table_15,2016,42,84988876,98992813,The Accountant,24710273,24710273,1,94296281.1818182,109963444.72727272,124.63636363636364
Oct 14-16,2016,42,84988876,-8.70%,98992813,-5.10%,127,The Accountant,/weekend/2016W42/?ref_=bo_wey_table_16,2016,41,106770187,117974034,The Girl on the Train,27632320,27632320,1,108711994.16666669,123144908.41666669,124.58333333333331
Oct 7-10Columbus Day wknd,2016,41,106770187,-12.70%,117974034,-11.40%,69,The Girl on the Train,/weekend/2016W41/occasion/us_columbusday_weekend/?ref_=bo_wey_table_18,2016,40,102190772,114916308,Miss Peregrine's Home for Peculiar Children,28871140,28871140,1,107863677.45,121973098.7,97.6
Sep 30-Oct 2,2016,40,102190772,10.10%,114916308,10.40%,136,Miss Peregrine's Home for Peculiar Children,/weekend/2016W40/?ref_=bo_wey_table_19,2016,39,92840344,104137992,The Magnificent Seven,34703397,34703397,1,119561053.375,132403535.3125,110.1875
Sep 23-25,2016,39,92840344,30.60%,104137992,15.70%,134,The Magnificent Seven,/weekend/2016W39/?ref_=bo_wey_table_20,2016,38,71090385,90021653,Sully,21653017,70194368,2,91542753.0,105592491.41666669,128.25
Sep 16-18,2016,38,71090385,-11.50%,90021653,-10.70%,126,Sully,/weekend/2016W38/?ref_=bo_wey_table_21,2016,37,80346710,100848825,Sully,35028301,35028301,1,86914069.66666667,102326128.08333331,127.83333333333331
Sep 9-11,2016,37,80346710,20.10%,100848825,0.70%,122,Sully,/weekend/2016W37/?ref_=bo_wey_table_22,2016,36,85743900,128361944,Don't Breathe,19707927,55131879,1,81451524.66666667,99568524.66666669,125.58333333333331
Sep 2-5Labor Day wknd,2016,36,85743900,9.80%,128361944,9.80%,98,Don't Breathe,/weekend/2016W36/occasion/us_laborday_weekend/?ref_=bo_wey_table_24,2016,35,91226565,117321334,Don't Breathe,26411706,26411706,1,79852053.5625,105529132.125,113.125
Aug 26-28,2016,35,91226565,-18.80%,117321334,-11.20%,107,Don't Breathe,/weekend/2016W35/?ref_=bo_wey_table_25,2016,34,112417199,132091889,Suicide Squad,20855401,262428736,3,83528402.8,115279308.05,109.8
Aug 19-21,2016,34,112417199,-26.90%,132091889,-23.30%,111,Suicide Squad,/weekend/2016W34/?ref_=bo_wey_table_26,2016,33,153823583,172300640,Suicide Squad,43536013,222640741,2,86155898.91666667,108205408.83333331,114.25
Aug 12-14,2016,33,153823583,-29.40%,172300640,-24.70%,113,Suicide Squad,/weekend/2016W33/?ref_=bo_wey_table_27,2016,32,217747182,228766926,Suicide Squad,133682248,133682248,1,115311023.75,135326532.33333334,112.91666666666669
Aug 5-7,2016,32,217747182,24.50%,228766926,20.40%,101,Suicide Squad,/weekend/2016W32/?ref_=bo_wey_table_28,2016,31,174855310,190037811,Jason Bourne,59215365,59215365,1,133108853.25,150177606.16666666,109.83333333333331
Jul 29-31,2016,31,174855310,-2%,190037811,-3.10%,103,Jason Bourne,/weekend/2016W31/?ref_=bo_wey_table_29,2016,30,178420955,196083640,Star Trek Beyond,59253211,59253211,1,134064684.33333331,149076426.08333334,108.58333333333331
Jul 22-24,2016,30,178420955,17.80%,196083640,20.20%,103,Star Trek Beyond,/weekend/2016W30/?ref_=bo_wey_table_30,2016,29,151409743,163103247,The Secret Life of Pets,50838355,203426220,2,148763158.08333334,162250811.58333334,109.91666666666669
Jul 15-17,2016,29,151409743,-26.50%,163103247,-25%,110,The Secret Life of Pets,/weekend/2016W29/?ref_=bo_wey_table_31,2016,28,205989677,217491665,The Secret Life of Pets,104352905,104352905,1,182475369.5833333,195040168.16666663,108.0
Jul 8-10,2016,28,205989677,14.70%,217491665,14.10%,100,The Secret Life of Pets,/weekend/2016W28/?ref_=bo_wey_table_32,2016,27,218013006,231141103,Finding Dory,51436383,381785985,1,166993485.33333334,179117028.41666666,110.0
Jul 1-4July 4th long wknd,2016,27,218013006,-2%,231141103,-4.30%,85,Finding Dory,/weekend/2016W27/occasion/us_july4_weekend/?ref_=bo_wey_table_33,2016,26,177111633,188682746,Finding Dory,72959954,286277856,2,174799565.14285713,186610260.7142857,101.5
Jun 24-26,2016,26,177111633,-20.60%,188682746,-19.10%,105,Finding Dory,/weekend/2016W26/?ref_=bo_wey_table_35,2016,25,223184760,233178561,Finding Dory,135060273,135060273,1,179093226.14285713,192114475.2857143,106.21428571428572
Jun 17-19,2016,25,223184760,59.90%,233178561,52.60%,99,Finding Dory,/weekend/2016W25/?ref_=bo_wey_table_36,2016,24,139567249,152792949,The Conjuring 2,40406314,40406314,1,183005245.3333333,193777360.25,109.0
Jun 10-12,2016,24,139567249,12.80%,152792949,13.20%,107,The Conjuring 2,/weekend/2016W24/?ref_=bo_wey_table_37,2016,23,123684021,134999656,Teenage Mutant Ninja Turtles: Out of the Shadows,35316382,35316382,1,170617422.83333334,180717244.41666663,110.5
Jun 3-5,2016,23,123684021,-21.40%,134999656,-17.80%,102,Teenage Mutant Ninja Turtles: Out of the Shadows,/weekend/2016W23/?ref_=bo_wey_table_38,2016,22,196994624,205474478,X-Men: Apocalypse,79810133,79810133,1,141521272.91666666,149983262.5,110.75
May 27-30Memorial Day wknd,2016,22,196994624,7.70%,205474478,5.50%,88,X-Men: Apocalypse,/weekend/2016W22/occasion/us_memorialday_weekend/?ref_=bo_wey_table_39,2016,21,128324753,137158400,The Angry Birds Movie,38155177,38155177,1,155722830.2857143,163468887.57142857,109.0
May 20-22,2016,21,128324753,4.30%,137158400,4.80%,125,The Angry Birds Movie,/weekend/2016W21/?ref_=bo_wey_table_41,2016,20,123025320,130908594,Captain America: Civil War,72637142,295966220,2,190812263.0909091,200275911.4090909,106.95454545454544
May 13-15,2016,20,123025320,-47.10%,130908594,-45.30%,119,Captain America: Civil War,/weekend/2016W20/?ref_=bo_wey_table_42,2016,19,232395976,239468632,Captain America: Civil War,179139142,179139142,1,145121413.0,154218433.5,116.33333333333331
May 6-8,2016,19,232395976,139.70%,239468632,120.50%,114,Captain America: Civil War,/weekend/2016W19/?ref_=bo_wey_table_43,2016,18,96937478,108604032,The Jungle Book,43714706,253371506,3,145570531.16666666,156305886.66666666,118.58333333333331
Apr 29-May 1,2016,18,96937478,-17.60%,108604032,-15.40%,114,The Jungle Book,/weekend/2016W18/?ref_=bo_wey_table_44,2016,17,117626464,128304144,The Jungle Book,61538821,192213247,2,165862059.58333334,176843492.41666666,117.58333333333331
Apr 22-24,2016,17,117626464,-28.70%,128304144,-27.40%,115,The Jungle Book,/weekend/2016W17/?ref_=bo_wey_table_45,2016,16,165029225,176691491,The Jungle Book,103261464,103261464,1,137268690.41666666,152115054.33333334,120.5
Apr 15-17,2016,16,165029225,81.10%,176691491,67.90%,118,The Jungle Book,/weekend/2016W16/?ref_=bo_wey_table_46,2016,15,91145188,105246691,The Boss,23586645,23586645,1,110617216.86666666,126178234.8,107.6
Apr 8-10,2016,15,91145188,-23.10%,105246691,-19.60%,119,The Boss,/weekend/2016W15/?ref_=bo_wey_table_47,2016,14,118559272,130889005,Batman v Superman: Dawn of Justice,51335254,260408047,2,120117122.42857143,132811945.5,105.35714285714286
Apr 1-3,2016,14,118559272,-51.30%,130889005,-48.10%,114,Batman v Superman: Dawn of Justice,/weekend/2016W14/?ref_=bo_wey_table_48,2016,13,270066590,278486400,Batman v Superman: Dawn of Justice,181047843,181047843,1,144115983.0,155905612.33333334,101.33333333333331
Mar 25-28Easter wknd,2016,13,270066590,12.10%,278486400,12.70%,54,Batman v Superman: Dawn of Justice,/weekend/2016W13/occasion/easter_weekend/?ref_=bo_wey_table_49,2016,12,115774645,131307311,Zootopia,37164158,200929655,3,146184773.73333332,159291299.6,101.13333333333334
Mar 18-20,2016,12,115774645,-2%,131307311,-3%,121,Zootopia,/weekend/2016W12/?ref_=bo_wey_table_51,2016,11,118186835,135301106,Zootopia,51339887,143955013,2,126389274.23076925,140871121.69230768,109.0
Mar 11-13,2016,11,118186835,-17.10%,135301106,-16.20%,111,Zootopia,/weekend/2016W11/?ref_=bo_wey_table_52,2016,10,142568989,161499059,Zootopia,75063401,75063401,1,119224647.16666669,134725146.91666666,110.75
Mar 4-6,2016,10,142568989,56.20%,161499059,43.70%,99,Zootopia,/weekend/2016W10/?ref_=bo_wey_table_53,2016,9,91278176,112386016,Deadpool,31115195,285254204,3,127718984.25,144766037.66666666,110.16666666666669
Feb 26-28,2016,9,91278176,-24.60%,112386016,-20.80%,91,Deadpool,/weekend/2016W09/?ref_=bo_wey_table_54,2016,8,121119706,141851056,Deadpool,56470167,236865054,2,107330506.75,128180072.83333331,107.16666666666669
Feb 19-21,2016,8,121119706,-43.90%,141851056,-40.70%,106,Deadpool,/weekend/2016W08/?ref_=bo_wey_table_55,2016,7,250977099,278484327,Deadpool,152193853,152193853,1,109227960.33333331,129538191.08333331,101.75
Feb 12-15Presidents' Day wknd,2016,7,250977099,11%,278484327,12.70%,87,Deadpool,/weekend/2016W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_56,2016,6,75395999,95508876,Kung Fu Panda 3,21242181,69293138,2,172818117.95833334,197978896.2083333,93.54166666666669
Feb 5-7,2016,6,75395999,-36.30%,95508876,-31.40%,100,Kung Fu Panda 3,/weekend/2016W06/?ref_=bo_wey_table_58,2016,5,118353833,139252676,Kung Fu Panda 3,41282042,41282042,1,116846154.83333331,139394977.08333334,101.16666666666669
Jan 29-31,2016,5,118353833,23.60%,139252676,22.60%,99,Kung Fu Panda 3,/weekend/2016W05/?ref_=bo_wey_table_59,2016,4,95736903,113596503,The Revenant,16009718,119202240,5,81159020.0,105663109.41666669,98.58333333333331
Jan 22-24,2016,4,95736903,-34.20%,113596503,-31.60%,87,The Revenant,/weekend/2016W04/?ref_=bo_wey_table_60,2016,3,175297289,200759295,Ride Along 2,41006705,41006705,1,101773826.66666669,131358061.16666669,95.5
Jan 15-18MLK wknd,2016,3,175297289,-20.60%,200759295,-20%,57,Ride Along 2,/weekend/2016W03/occasion/us_mlkday_weekend/?ref_=bo_wey_table_62,2016,2,142912699,159323600,Star Wars: Episode VII - The Force Awakens,42353785,812734828,4,144106715.15,173497607.55,85.9
Jan 8-10,2016,2,142912699,-28%,159323600,-27.40%,91,Star Wars: Episode VII - The Force Awakens,/weekend/2016W02/?ref_=bo_wey_table_63,2016,1,198537624,219510014,Star Wars: Episode VII - The Force Awakens,90241673,742208942,3,122621792.8125,149859356.3125,88.1875
Jan 1-3,2016,1,198537624,-27.30%,219510014,-26%,82,Star Wars: Episode VII - The Force Awakens,/weekend/2016W01/?ref_=bo_wey_table_64,2015,52,273024546,296447415,Star Wars: Episode VII - The Force Awakens,149202860,540058914,2,132775766.41666669,155875732.66666666,88.75
Dec 25-27,2015,52,273024546,-9.80%,296447415,-5.40%,72,Star Wars: Episode VII - The Force Awakens,/weekend/2015W52/?ref_=bo_wey_table_1,2015,51,302697164,313284961,Star Wars: Episode VII - The Force Awakens,247966675,247966675,1,196334086.94117647,222615748.0,76.29411764705883
Dec 18-20,2015,51,302697164,353.80%,313284961,304.50%,86,Star Wars: Episode VII - The Force Awakens,/weekend/2015W51/?ref_=bo_wey_table_2,2015,50,66695452,77446378,The Hunger Games: Mockingjay - Part 2,11413316,244604272,4,164322845.4,180913443.46666667,81.2
Dec 11-13,2015,50,66695452,-23.10%,77446378,-20.80%,92,The Hunger Games: Mockingjay - Part 2,/weekend/2015W50/?ref_=bo_wey_table_3,2015,49,86761557,97833704,The Hunger Games: Mockingjay - Part 2,18857547,227369547,3,108613725.63636364,120640989.54545456,102.63636363636364
Dec 4-6,2015,49,86761557,-48.30%,97833704,-46.40%,95,The Hunger Games: Mockingjay - Part 2,/weekend/2015W49/?ref_=bo_wey_table_4,2015,48,238078648,256957261,The Hunger Games: Mockingjay - Part 2,75982788,198545129,1,77289676.66666667,88695051.61111109,109.44444444444444
Nov 25-29Thanksgiving 5-Day,2015,48,238078648,10.80%,256957261,13.20%,48,The Hunger Games: Mockingjay - Part 2,/weekend/2015W47/occasion/us_thanksgiving_5/?ref_=bo_wey_table_7,2015,47,163255301,173610096,The Hunger Games: Mockingjay - Part 2,102665981,102665981,1,171499002.80555555,185343632.11111107,83.6111111111111
Nov 20-22,2015,47,163255301,74.40%,173610096,60.70%,110,The Hunger Games: Mockingjay - Part 2,/weekend/2015W47/?ref_=bo_wey_table_8,2015,46,93635619,108047802,Spectre,33681104,128981285,2,202695349.6086957,214789448.3478261,89.7391304347826
Nov 13-15,2015,46,93635619,-37.10%,108047802,-33.30%,112,Spectre,/weekend/2015W46/?ref_=bo_wey_table_9,2015,45,148792362,161918615,Spectre,70403148,70403148,1,150439485.8181818,162818344.45454547,116.63636363636364
Nov 6-8,2015,45,148792362,154.60%,161918615,118.40%,112,Spectre,/weekend/2015W45/?ref_=bo_wey_table_10,2015,44,58434174,74128462,The Martian,11715097,183121850,5,142606271.54545453,156661743.36363637,121.72727272727272
Oct 30-Nov 1,2015,44,58434174,-34.90%,74128462,-29.90%,108,The Martian,/weekend/2015W44/?ref_=bo_wey_table_11,2015,43,89803867,105775731,The Martian,15732907,166188055,4,96893133.45454544,112459731.63636364,123.9090909090909
Oct 23-25,2015,43,89803867,-17.50%,105775731,-13%,110,The Martian,/weekend/2015W43/?ref_=bo_wey_table_12,2015,42,108805935,121579792,Goosebumps,23618556,23618556,1,94296281.1818182,109963444.72727272,124.63636363636364
Oct 16-18,2015,42,108805935,1.90%,121579792,2.20%,108,Goosebumps,/weekend/2015W42/?ref_=bo_wey_table_13,2015,41,122246820,133112208,The Martian,41906049,113616378,1,108711994.16666669,123144908.41666669,124.58333333333331
Oct 9-12Columbus Day wknd,2015,41,122246820,-18.50%,133112208,-20.30%,51,The Martian,/weekend/2015W41/occasion/us_columbusday_weekend/?ref_=bo_wey_table_15,2015,40,139834346,149774721,The Martian,54308575,54308575,1,107863677.45,121973098.7,97.6
