Title,LW_x,Weekend Gross_y,Total Gross_y,Week #_x,TW_x,Weekend Gross_x
Itzhak,51,"$26,266 ","$161,207 ",5,41,"$49,794 "
Maze Runner: The Death Cure,33,"$56,881 ","$57,865,997 ",11,42,"$48,449 "
The Post,36,"$52,569 ","$81,701,380 ",16,44,"$46,067 "
1945,89,"$2,048 ","$450,761 ",23,45,"$39,632 "
A Beautiful Planet,41,"$44,549 ","$13,758,680 ",102,46,"$38,608 "
The 15:17 to Paris,34,"$54,093 ","$36,174,973 ",9,47,"$37,794 "
"Three Billboards Outside Ebbing, Missouri",44,"$43,677 ","$54,354,461 ",22,48,"$33,902 "
Star Wars: The Last Jedi,31,"$66,989 ","$620,097,892 ",17,49,"$33,544 "
Leaning Into The Wind,37,"$51,592 ","$215,285 ",5,50,"$33,202 "
A Fantastic Woman,38,"$47,650 ","$1,805,599 ",10,51,"$31,057 "
BOMBSHELL: The Hedy Lamarr Story,46,"$33,161 ","$626,321 ",20,52,"$28,141 "
Call Me by Your Name,40,"$44,759 ","$17,973,280 ",20,53,"$27,939 "
Back to Burgundy,45,"$36,654 ","$58,195 ",3,55,"$23,070 "
Film Stars Don't Die in Liverpool,55,"$20,815 ","$903,829 ",15,56,"$21,151 "
"I, Tonya",52,"$26,038 ","$29,942,428 ",18,57,"$21,058 "
Journey's End,39,"$46,791 ","$85,691 ",4,59,"$20,905 "
Oh Lucy!,54,"$25,437 ","$235,226 ",6,60,"$20,481 "
The Last Suit,64,"$13,952 ","$51,627 ",3,63,"$13,185 "
Loveless (2018),48,"$32,882 ","$496,817 ",8,64,"$12,059 "
Ismael's Ghosts,71,"$8,748 ","$37,267 ",3,65,"$11,146 "
Keep the Change,65,"$11,950 ","$87,677 ",4,66,"$10,835 "
Flower,43,"$44,391 ","$274,415 ",4,69,"$8,882 "
Bag of Marbles,69,"$9,091 ","$31,126 ",3,70,"$8,700 "
How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,98,"$1,077 ","$4,591 ",3,71,"$8,363 "
The Insult,73,"$7,895 ","$974,845 ",13,72,"$8,024 "
The Workshop,97,"$1,139 ","$6,712 ",3,73,"$7,484 "
Getting Grace,56,"$18,528 ","$138,801 ",3,75,"$6,791 "
Hubble 3D,94,"$1,462 ","$52,092,295 ",421,76,"$6,009 "
Forever My Girl,72,"$8,472 ","$16,326,769 ",12,77,"$5,810 "
The Party (2017),66,"$11,754 ","$707,996 ",8,78,"$5,749 "
Operation Red Sea,59,"$16,524 ","$1,526,248 ",7,79,"$5,617 "
Ramen Heads,76,"$6,296 ","$36,658 ",4,80,"$5,480 "
Claire's Camera,81,"$4,992 ","$46,575 ",5,83,"$4,663 "
The Young Karl Marx,95,"$1,177 ","$111,650 ",7,86,"$3,809 "
Hostiles,57,"$18,062 ","$29,788,907 ",16,87,"$3,796 "
Goldstone,61,"$15,030 ","$65,330 ",6,88,"$2,998 "
Under the Sea 3D,78,"$5,395 ","$35,783,665 ",478,90,"$2,677 "
The Hurricane Heist,50,"$32,276 ","$6,086,529 ",5,93,"$2,335 "
Summer in the Forest,93,"$1,485 ","$16,217 ",3,94,"$2,333 "
Big Sonia,96,"$1,140 ","$194,129 ",21,95,"$2,185 "
Samson,74,"$7,665 ","$4,713,353 ",8,96,"$2,178 "
Apocalypsis,108,$250 ,"$10,665 ",6,100,$902 
Faces Places,88,"$2,194 ","$947,454 ",27,102,$840 
Tehran Taboo,85,"$2,523 ","$70,764 ",8,103,$744 
King of Hearts (2018 re-release),107,$267 ,"$16,514 ",7,104,$672 
Born to Be Wild (IMAX),103,$556 ,"$25,661,393 ",366,107,$475 
The Happys,104,$375 ,"$14,146 ",4,111,$350 
Double Lover,110,$206 ,"$166,506 ",8,112,$343 
Did You Wonder Who Fired the Gun?,99,"$1,035 ","$17,009 ",6,113,$298 
Ready Player One,2,"$24,624,178 ","$96,484,703 ",3,4,"$11,519,388 "
Black Panther,4,"$8,704,968 ","$665,630,708 ",9,6,"$5,777,896 "
Isle Of Dogs,10,"$4,562,854 ","$12,011,788 ",4,7,"$5,475,139 "
I Can Only Imagine,6,"$7,806,552 ","$68,533,754 ",5,8,"$4,146,261 "
Tyler Perry's Acrimony,5,"$8,380,983 ","$31,665,563 ",3,9,"$3,652,698 "
Sherlock Gnomes,8,"$5,436,068 ","$33,734,129 ",4,11,"$2,404,661 "
Pacific Rim Uprising,9,"$4,824,245 ","$54,837,305 ",4,14,"$1,451,540 "
A Wrinkle in Time,12,"$3,301,707 ","$90,274,463 ",6,15,"$1,380,257 "
"Love, Simon",13,"$2,767,003 ","$37,544,267 ",5,17,"$1,060,295 "
"Paul, Apostle of Christ",15,"$1,772,226 ","$15,003,077 ",4,19,"$611,693 "
The Death of Stalin,18,"$987,222 ","$5,474,835 ",6,21,"$481,691 "
Tomb Raider,14,"$1,926,315 ","$55,070,405 ",5,22,"$460,619 "
Peter Rabbit,19,"$967,606 ","$113,277,600 ",10,23,"$386,835 "
Game Night,17,"$1,072,746 ","$67,216,416 ",8,24,"$343,434 "
Finding Your Feet,32,"$124,110 ","$228,575 ",3,26,"$282,895 "
The Leisure Seeker,21,"$527,339 ","$1,769,453 ",13,27,"$273,275 "
The Greatest Showman,24,"$370,458 ","$172,961,890 ",17,28,"$226,044 "
Jumanji: Welcome to the Jungle,22,"$441,016 ","$403,652,109 ",17,29,"$186,654 "
God's Not Dead: A Light in Darkness,16,"$1,094,495 ","$4,912,576 ",3,32,"$123,042 "
Red Sparrow,25,"$260,341 ","$46,282,882 ",7,33,"$119,156 "
Annihilation,30,"$155,561 ","$32,501,281 ",8,34,"$102,455 "
Midnight Sun,23,"$423,183 ","$9,200,204 ",4,35,"$93,359 "
Strangers: Prey at Night,28,"$194,895 ","$24,075,961 ",6,36,"$90,902 "
Death Wish (2018),33,"$110,763 ","$33,674,509 ",7,38,"$76,543 "
Baaghi 2,26,"$249,864 ","$1,165,548 ",3,41,"$49,042 "
Final Portrait,39,"$54,243 ","$140,399 ",4,43,"$39,909 "
Coco,37,"$71,025 ","$209,624,050 ",21,44,"$37,553 "
Ferdinand,36,"$72,288 ","$84,230,756 ",18,45,"$35,632 "
The Shape of Water,40,"$53,458 ","$63,752,486 ",20,46,"$34,293 "
Foxtrot,38,"$55,918 ","$439,942 ",7,47,"$33,314 "
Itzhak,41,"$49,794 ","$233,038 ",6,48,"$30,239 "
The Post,44,"$46,067 ","$81,783,079 ",17,49,"$27,658 "
Maze Runner: The Death Cure,42,"$48,449 ","$57,950,769 ",12,50,"$27,600 "
Back to Burgundy,55,"$23,070 ","$103,079 ",4,52,"$24,433 "
"Three Billboards Outside Ebbing, Missouri",48,"$33,902 ","$54,421,772 ",23,53,"$23,986 "
Film Stars Don't Die in Liverpool,56,"$21,151 ","$937,288 ",16,54,"$22,934 "
1945,45,"$39,632 ","$491,459 ",24,55,"$21,143 "
BOMBSHELL: The Hedy Lamarr Story,52,"$28,141 ","$677,016 ",21,57,"$20,546 "
Gemini,35,"$75,984 ","$123,537 ",3,59,"$18,131 "
A Fantastic Woman,51,"$31,057 ","$1,880,736 ",11,60,"$17,549 "
Leaning Into The Wind,50,"$33,202 ","$283,415 ",6,61,"$16,226 "
A Beautiful Planet,46,"$38,608 ","$13,859,453 ",103,62,"$14,645 "
Bag of Marbles,70,"$8,700 ","$50,876 ",4,63,"$14,178 "
Call Me by Your Name,53,"$27,939 ","$18,035,978 ",21,64,"$12,564 "
"I, Tonya",57,"$21,058 ","$29,980,032 ",19,65,"$11,549 "
Forever My Girl,77,"$5,810 ","$16,336,743 ",13,67,"$11,114 "
Ismael's Ghosts,65,"$11,146 ","$53,600 ",4,68,"$10,405 "
Outside In,58,"$21,001 ","$44,811 ",3,72,"$7,819 "
Love After Love,62,"$13,302 ","$30,665 ",3,73,"$7,390 "
Hubble 3D,76,"$6,009 ","$52,113,982 ",422,74,"$7,294 "
Oh Lucy!,60,"$20,481 ","$270,012 ",7,76,"$6,638 "
Star Wars: The Last Jedi,49,"$33,544 ","$620,164,565 ",18,77,"$5,845 "
Walk With Me,89,"$2,967 ","$702,771 ",29,79,"$4,618 "
Journey's End,59,"$20,905 ","$132,449 ",5,80,"$4,536 "
Keep the Change,66,"$10,835 ","$106,207 ",5,81,"$4,497 "
Getting Grace,75,"$6,791 ","$151,880 ",4,82,"$4,322 "
Loveless (2018),64,"$12,059 ","$531,664 ",9,83,"$4,225 "
The Insult,72,"$8,024 ","$990,180 ",14,84,"$3,758 "
The Gardener,97,"$1,770 ","$29,534 ",3,85,"$3,750 "
The Party (2017),78,"$5,749 ","$723,027 ",9,86,"$3,312 "
The Last Movie Star,98,"$1,649 ","$8,025 ",3,87,"$3,191 "
Claire's Camera,83,"$4,663 ","$55,111 ",6,88,"$3,167 "
Ramen Heads,80,"$5,480 ","$45,117 ",5,89,"$3,052 "
Under the Sea 3D,90,"$2,677 ","$35,789,848 ",479,90,"$2,881 "
Big Sonia,95,"$2,185 ","$197,008 ",22,91,"$2,777 "
Born to Be Wild (IMAX),107,$475 ,"$25,665,953 ",367,92,"$2,322 "
The Hurricane Heist,93,"$2,335 ","$6,105,309 ",6,93,"$2,085 "
Hostiles,87,"$3,796 ","$29,807,513 ",17,95,"$1,870 "
Faces Places,102,$840 ,"$950,487 ",28,96,"$1,477 "
Flower,69,"$8,882 ","$319,156 ",5,98,"$1,184 "
Apocalypsis,100,$902 ,"$11,656 ",7,100,"$1,172 "
The Workshop,73,"$7,484 ","$14,896 ",4,99,"$1,172 "
Vazante,92,"$2,472 ","$22,805 ",14,101,"$1,079 "
Operation Red Sea,79,"$5,617 ","$1,537,187 ",8,102,"$1,001 "
Goldstone,88,"$2,998 ","$78,842 ",7,103,$953 
Did You Wonder Who Fired the Gun?,113,$298 ,"$17,307 ",7,105,$797 
The Young Karl Marx,86,"$3,809 ","$119,300 ",8,106,$655 
Summer in the Forest,94,"$2,333 ","$20,836 ",4,107,$636 
The China Hustle,82,"$4,996 ","$46,511 ",3,113,$172 
Have a Nice Day,109,$363 ,"$78,796 ",12,116,$40 
A Quiet Place,2,"$32,970,049 ","$100,005,934 ",3,1,"$20,911,809 "
Ready Player One,4,"$11,519,388 ","$114,922,186 ",4,6,"$7,418,738 "
Blockers,5,"$10,770,310 ","$37,403,980 ",3,7,"$6,835,145 "
Black Panther,6,"$5,777,896 ","$674,233,418 ",10,8,"$4,932,627 "
Isle Of Dogs,7,"$5,475,139 ","$18,926,003 ",5,10,"$3,461,633 "
I Can Only Imagine,8,"$4,146,261 ","$75,297,826 ",6,12,"$2,436,208 "
Tyler Perry's Acrimony,9,"$3,652,698 ","$37,828,175 ",4,13,"$1,965,529 "
Chappaquiddick,10,"$3,059,561 ","$11,040,943 ",3,14,"$1,834,181 "
Sherlock Gnomes,11,"$2,404,661 ","$37,228,148 ",5,15,"$1,417,592 "
The Miracle Season,12,"$2,213,207 ","$7,042,043 ",3,16,"$1,123,854 "
A Wrinkle in Time,15,"$1,380,257 ","$92,476,477 ",7,18,"$731,702 "
Pacific Rim Uprising,14,"$1,451,540 ","$57,605,675 ",5,19,"$585,085 "
You Were Never Really Here,24,"$325,949 ","$512,782 ",3,21,"$511,110 "
"Love, Simon",17,"$1,060,295 ","$39,329,296 ",6,22,"$500,989 "
"Paul, Apostle of Christ",19,"$611,693 ","$16,394,992 ",5,23,"$331,697 "
Peter Rabbit,22,"$386,835 ","$113,869,487 ",11,24,"$282,493 "
Tomb Raider,21,"$460,619 ","$56,227,188 ",6,25,"$281,592 "
Game Night,23,"$343,434 ","$67,887,388 ",9,27,"$200,095 "
Finding Your Feet,25,"$282,895 ","$573,074 ",4,28,"$179,557 "
Lean on Pete,36,"$77,151 ","$139,567 ",3,29,"$176,241 "
The Leisure Seeker,26,"$273,275 ","$2,346,198 ",15,30,"$167,463 "
The Greatest Showman,27,"$226,044 ","$173,296,519 ",18,31,"$148,782 "
Pandas,30,"$128,861 ","$381,777 ",3,32,"$130,819 "
Jumanji: Welcome to the Jungle,28,"$186,654 ","$403,951,484 ",18,33,"$129,076 "
Final Portrait,42,"$39,909 ","$201,366 ",5,34,"$73,078 "
Red Sparrow,32,"$119,156 ","$46,515,233 ",8,36,"$69,083 "
Strangers: Prey at Night,35,"$90,902 ","$24,227,749 ",7,37,"$68,839 "
God's Not Dead: A Light in Darkness,31,"$123,042 ","$5,437,334 ",4,39,"$64,197 "
Bag of Marbles,62,"$14,178 ","$70,126 ",5,40,"$47,989 "
The Endless,65,"$11,542 ","$26,189 ",3,41,"$47,656 "
Death Wish (2018),37,"$76,543 ","$33,796,404 ",8,42,"$46,567 "
Midnight Sun,34,"$93,359 ","$9,406,720 ",5,44,"$36,664 "
Itzhak,47,"$30,239 ","$287,771 ",7,46,"$28,732 "
A Beautiful Planet,61,"$14,645 ","$13,901,568 ",104,47,"$27,507 "
A Fantastic Woman,59,"$17,549 ","$1,925,940 ",12,48,"$25,663 "
Coco,43,"$37,553 ","$209,680,314 ",22,49,"$25,013 "
Ferdinand,44,"$35,632 ","$84,284,388 ",19,50,"$24,721 "
Film Stars Don't Die in Liverpool,53,"$22,934 ","$973,182 ",17,51,"$24,062 "
1945,54,"$21,143 ","$525,159 ",25,52,"$23,852 "
The Post,48,"$27,658 ","$81,835,084 ",18,55,"$17,703 "
Back to Burgundy,51,"$24,433 ","$138,006 ",5,56,"$16,751 "
Maze Runner: The Death Cure,49,"$27,600 ","$57,992,782 ",13,57,"$16,575 "
Foxtrot,46,"$33,314 ","$500,496 ",8,58,"$16,080 "
BOMBSHELL: The Hedy Lamarr Story,56,"$20,546 ","$716,873 ",22,59,"$15,226 "
The Shape of Water,45,"$34,293 ","$63,814,637 ",21,60,"$13,867 "
Call Me by Your Name,63,"$12,564 ","$18,065,180 ",22,61,"$12,723 "
Oh Lucy!,75,"$6,638 ","$287,188 ",8,62,"$12,465 "
"Three Billboards Outside Ebbing, Missouri",52,"$23,986 ","$54,465,037 ",24,63,"$12,315 "
Leaning Into The Wind,60,"$16,226 ","$315,437 ",7,65,"$11,201 "
Keep the Change,80,"$4,497 ","$114,747 ",6,66,"$11,186 "
Love After Love,72,"$7,390 ","$44,338 ",4,68,"$9,912 "
Forever My Girl,66,"$11,114 ","$16,349,707 ",14,69,"$9,293 "
Sweet Country (2018),55,"$21,062 ","$34,546 ",3,70,"$8,638 "
Gemini,58,"$18,131 ","$180,002 ",4,71,"$8,131 "
Ismael's Ghosts,67,"$10,405 ","$70,681 ",5,72,"$8,105 "
Getting Grace,81,"$4,322 ","$159,965 ",5,74,"$7,189 "
But Deliver Us from Evil,69,"$8,550 ","$261,136 ",11,76,"$6,628 "
Hubble 3D,73,"$7,294 ","$52,130,844 ",423,78,"$5,253 "
Journey's End,79,"$4,536 ","$148,275 ",6,80,"$4,997 "
Outside In,71,"$7,819 ","$60,065 ",4,83,"$3,613 "
Born to Be Wild (IMAX),91,"$2,322 ","$25,672,884 ",368,85,"$3,229 "
Claire's Camera,87,"$3,167 ","$60,660 ",7,86,"$2,995 "
Big Sonia,90,"$2,777 ","$201,069 ",23,87,"$2,951 "
Loveless (2018),82,"$4,225 ","$545,077 ",10,88,"$2,695 "
Under the Sea 3D,89,"$2,881 ","$35,795,858 ",480,89,"$2,587 "
Hostiles,94,"$1,870 ","$29,812,030 ",18,92,"$2,175 "
Deep Sea 3D (IMAX),111,$256 ,"$46,328,437 ",621,93,"$1,961 "
Walk With Me,78,"$4,618 ","$709,094 ",31,96,"$1,530 "
The Party (2017),85,"$3,312 ","$730,632 ",10,98,"$1,186 "
Summer in the Forest,106,$636 ,"$23,874 ",5,99,"$1,128 "
Ramen Heads,88,"$3,052 ","$51,706 ",6,101,"$1,066 "
The Hurricane Heist,92,"$2,085 ","$6,108,470 ",7,102,"$1,058 "
The Young Karl Marx,105,$655 ,"$120,826 ",9,104,$844 
Flower,97,"$1,184 ","$325,976 ",6,108,$510 
Apocalypsis,99,"$1,172 ","$14,662 ",8,109,$500 
Journey to the South Pacific,110,$296 ,"$7,622,627 ",222,113,$237 
Did You Wonder Who Fired the Gun?,104,$797 ,"$18,104 ",8,115,$133 
Chronicle of Anna Magdalena Bach,114,$85 ,"$13,520 ",8,118,$69 
A Quiet Place,1,"$20,911,809 ","$131,270,520 ",4,2,"$11,004,977 "
Rampage (2018),2,"$20,094,294 ","$65,694,360 ",3,4,"$7,205,315 "
Black Panther,8,"$4,932,627 ","$681,374,736 ",11,5,"$4,736,428 "
Truth or Dare,5,"$7,793,425 ","$30,268,840 ",3,7,"$3,268,145 "
Blockers,7,"$6,835,145 ","$48,102,190 ",4,8,"$2,975,260 "
Ready Player One,6,"$7,418,738 ","$126,100,064 ",5,9,"$2,563,325 "
Isle Of Dogs,10,"$3,461,633 ","$24,422,171 ",6,11,"$1,427,275 "
A Wrinkle in Time,18,"$731,702 ","$93,718,321 ",8,12,"$981,856 "
I Can Only Imagine,12,"$2,436,208 ","$79,400,110 ",7,14,"$784,099 "
Chappaquiddick,14,"$1,834,181 ","$14,289,282 ",4,15,"$694,989 "
Sherlock Gnomes,15,"$1,417,592 ","$39,569,048 ",6,16,"$673,943 "
Tyler Perry's Acrimony,13,"$1,965,529 ","$40,980,412 ",5,17,"$640,477 "
You Were Never Really Here,21,"$511,110 ","$1,187,575 ",4,19,"$350,105 "
The Miracle Season,16,"$1,123,854 ","$8,829,419 ",4,20,"$290,939 "
Beirut,17,"$1,001,910 ","$3,853,835 ",3,21,"$271,251 "
Lean on Pete,28,"$176,241 ","$346,829 ",4,22,"$243,087 "
Peter Rabbit,24,"$282,493 ","$114,276,056 ",12,25,"$205,918 "
The Rider,34,"$71,280 ","$135,615 ",3,26,"$175,279 "
Game Night,26,"$200,095 ","$68,205,293 ",10,28,"$150,090 "
"Love, Simon",22,"$500,989 ","$40,213,391 ",7,29,"$126,090 "
Finding Your Feet,27,"$179,557 ","$929,954 ",5,30,"$119,921 "
Pandas,31,"$130,819 ","$622,262 ",4,31,"$112,282 "
"Paul, Apostle of Christ",23,"$331,697 ","$17,011,816 ",6,32,"$104,607 "
Pacific Rim Uprising,19,"$585,085 ","$58,671,825 ",6,33,"$104,505 "
The Leisure Seeker,29,"$167,463 ","$2,694,100 ",17,34,"$104,438 "
Tomb Raider,25,"$281,592 ","$56,700,036 ",7,35,"$100,085 "
Sgt. Stubby: An American Hero,20,"$579,526 ","$2,258,152 ",3,36,"$98,287 "
The Greatest Showman,30,"$148,782 ","$173,524,478 ",19,37,"$96,186 "
Jumanji: Welcome to the Jungle,32,"$129,076 ","$404,134,301 ",19,38,"$86,451 "
Grace Jones: Bloodlight and Bami,42,"$39,611 ","$121,989 ",3,39,"$45,015 "
Final Portrait,33,"$73,078 ","$294,457 ",6,41,"$37,999 "
Bag of Marbles,39,"$47,989 ","$125,699 ",6,42,"$37,247 "
Red Sparrow,35,"$69,083 ","$46,644,711 ",9,43,"$35,355 "
Itzhak,45,"$28,732 ","$332,594 ",8,44,"$35,320 "
1945,51,"$23,852 ","$560,195 ",26,45,"$32,823 "
Midnight Sun,43,"$36,664 ","$9,479,823 ",6,46,"$30,483 "
Zama,52,"$20,786 ","$63,028 ",3,47,"$30,059 "
The Endless,40,"$47,656 ","$80,833 ",4,48,"$28,459 "
A Beautiful Planet,46,"$27,507 ","$13,954,098 ",105,50,"$26,593 "
Love After Love,67,"$9,912 ","$59,971 ",5,51,"$26,275 "
Strangers: Prey at Night,36,"$68,839 ","$24,321,146 ",8,52,"$25,892 "
God's Not Dead: A Light in Darkness,38,"$64,197 ","$5,554,287 ",5,53,"$24,939 "
Death Wish (2018),41,"$46,567 ","$33,875,578 ",9,54,"$23,279 "
Foxtrot,57,"$16,080 ","$534,939 ",9,56,"$22,663 "
Oh Lucy!,61,"$12,465 ","$304,891 ",9,57,"$17,853 "
Gonjiam: Haunted Asylum,53,"$20,005 ","$47,555 ",3,59,"$16,092 "
BOMBSHELL: The Hedy Lamarr Story,58,"$15,226 ","$744,737 ",23,61,"$14,548 "
Back to Burgundy,55,"$16,751 ","$163,984 ",6,62,"$14,297 "
Ferdinand,49,"$24,721 ","$84,322,735 ",20,63,"$14,104 "
Borg vs. McEnroe,44,"$28,935 ","$113,354 ",3,64,"$13,108 "
Film Stars Don't Die in Liverpool,50,"$24,062 ","$1,013,833 ",18,65,"$10,433 "
A Fantastic Woman,47,"$25,663 ","$1,970,615 ",13,66,"$9,384 "
The Party (2017),97,"$1,186 ","$734,126 ",11,68,"$8,790 "
Bye Bye Germany,94,"$1,564 ","$10,467 ",3,69,"$8,786 "
The Post,54,"$17,703 ","$81,866,835 ",19,70,"$8,779 "
Leaning Into The Wind,64,"$11,201 ","$338,258 ",8,71,"$8,343 "
Keep the Change,65,"$11,186 ","$128,012 ",7,73,"$7,722 "
"Three Billboards Outside Ebbing, Missouri",62,"$12,315 ","$54,492,082 ",25,74,"$6,807 "
Maze Runner: The Death Cure,56,"$16,575 ","$58,018,509 ",14,76,"$6,150 "
Summer in the Forest,98,"$1,128 ","$25,533 ",6,78,"$5,277 "
Loveless (2018),87,"$2,695 ","$551,813 ",11,79,"$5,132 "
Hubble 3D,77,"$5,253 ","$52,145,605 ",424,82,"$4,679 "
Forever My Girl,68,"$9,293 ","$16,363,361 ",15,83,"$4,654 "
Under the Sea 3D,88,"$2,587 ","$35,801,373 ",481,85,"$3,866 "
The Shape of Water,59,"$13,867 ","$63,842,519 ",22,86,"$3,689 "
Sweet Country (2018),69,"$8,638 ","$59,014 ",4,87,"$3,388 "
But Deliver Us from Evil,75,"$6,628 ","$273,752 ",12,88,"$3,363 "
Ismael's Ghosts,71,"$8,105 ","$84,345 ",6,93,"$2,553 "
Born to Be Wild (IMAX),84,"$3,229 ","$25,680,153 ",369,94,"$2,505 "
Getting Grace,73,"$7,189 ","$169,185 ",6,95,"$2,435 "
Big Sonia,86,"$2,951 ","$206,361 ",24,97,"$2,178 "
Quai des Orfevres (2018 Re-issue),80,"$4,849 ","$18,349 ",3,100,"$1,760 "
The Hurricane Heist,101,"$1,058 ","$6,110,241 ",8,103,"$1,148 "
Outside In,82,"$3,613 ","$64,699 ",5,104,"$1,089 "
Claire's Camera,85,"$2,995 ","$63,853 ",8,106,$915 
Did You Wonder Who Fired the Gun?,114,$133 ,"$18,640 ",9,108,$762 
Journey to the South Pacific,112,$237 ,"$7,623,477 ",224,109,$755 
Apocalypsis,108,$500 ,"$15,162 ",9,110,$714 
Hitler's Hollywood,93,"$1,792 ","$25,226 ",3,111,$703 
Beuys,96,"$1,391 ","$59,030 ",15,114,$561 
Western,99,"$1,119 ","$34,306 ",11,115,$447 
Hostiles,91,"$2,175 ","$29,815,821 ",19,120,$255 
Chronicle of Anna Magdalena Bach,117,$69 ,"$13,960 ",9,121,$249 
Marrowbone,116,$92 ,$927 ,3,122,$237 
Flower,107,$510 ,"$326,969 ",7,124,$164 
A Quiet Place,2,"$11,004,977 ","$148,528,278 ",5,3,"$7,763,085 "
I Feel Pretty,3,"$8,176,757 ","$29,620,318 ",3,4,"$5,050,520 "
Rampage (2018),4,"$7,205,315 ","$78,030,872 ",4,5,"$4,637,400 "
Black Panther,5,"$4,736,428 ","$688,364,917 ",12,7,"$3,254,977 "
Truth or Dare,7,"$3,268,145 ","$35,374,140 ",4,8,"$1,887,970 "
Super Troopers 2,6,"$3,729,287 ","$22,214,216 ",3,9,"$1,871,303 "
Blockers,8,"$2,975,260 ","$53,246,750 ",5,10,"$1,751,340 "
Ready Player One,9,"$2,563,325 ","$130,811,543 ",6,12,"$1,330,043 "
Isle Of Dogs,11,"$1,427,275 ","$27,047,998 ",7,13,"$806,625 "
Traffik,10,"$1,654,694 ","$6,786,968 ",3,14,"$794,348 "
I Can Only Imagine,14,"$784,099 ","$81,090,684 ",8,17,"$427,443 "
A Wrinkle in Time,13,"$981,856 ","$94,930,902 ",9,18,"$410,517 "
Sherlock Gnomes,16,"$673,943 ","$40,637,943 ",7,19,"$398,418 "
Tyler Perry's Acrimony,17,"$640,477 ","$42,223,020 ",6,20,"$386,860 "
Chappaquiddick,15,"$694,989 ","$15,808,830 ",5,21,"$355,982 "
The Miracle Season,20,"$290,939 ","$9,441,585 ",5,24,"$171,101 "
You Were Never Really Here,19,"$350,105 ","$1,793,480 ",5,25,"$170,127 "
Peter Rabbit,25,"$205,918 ","$114,560,612 ",13,26,"$156,067 "
The Rider,26,"$175,279 ","$344,613 ",4,27,"$132,955 "
Lean on Pete,22,"$243,087 ","$667,818 ",5,28,"$130,183 "
Tomb Raider,35,"$100,085 ","$56,896,683 ",8,29,"$129,041 "
Game Night,28,"$150,090 ","$68,415,071 ",11,30,"$115,877 "
Beirut,21,"$271,251 ","$4,542,141 ",4,31,"$111,718 "
Pandas,31,"$112,282 ","$801,459 ",5,32,"$92,810 "
Pacific Rim Uprising,33,"$104,505 ","$58,941,465 ",7,33,"$82,175 "
"Love, Simon",29,"$126,090 ","$40,493,994 ",8,34,"$76,214 "
Sgt. Stubby: An American Hero,36,"$98,287 ","$2,641,861 ",4,35,"$68,863 "
The Greatest Showman,37,"$96,186 ","$173,675,694 ",20,36,"$68,595 "
Jumanji: Welcome to the Jungle,38,"$86,451 ","$404,259,315 ",20,37,"$68,090 "
"Paul, Apostle of Christ",32,"$104,607 ","$17,276,253 ",7,38,"$66,262 "
The Leisure Seeker,34,"$104,438 ","$2,889,304 ",19,40,"$47,924 "
Finding Your Feet,30,"$119,921 ","$1,154,247 ",6,41,"$45,375 "
Itzhak,44,"$35,320 ","$383,805 ",9,42,"$33,909 "
Bag of Marbles,42,"$37,247 ","$190,101 ",7,43,"$33,223 "
A Beautiful Planet,50,"$26,593 ","$14,018,469 ",106,44,"$28,364 "
The Endless,48,"$28,459 ","$131,762 ",5,46,"$25,358 "
Grace Jones: Bloodlight and Bami,39,"$45,015 ","$186,388 ",4,47,"$25,251 "
Ghost Stories,49,"$27,741 ","$44,837 ",3,48,"$23,076 "
Death Wish (2018),54,"$23,279 ","$33,918,615 ",10,49,"$21,828 "
1945,45,"$32,823 ","$604,588 ",27,50,"$21,402 "
Final Portrait,41,"$37,999 ","$375,100 ",7,51,"$19,548 "
Back to Burgundy,62,"$14,297 ","$186,653 ",7,52,"$18,699 "
Strangers: Prey at Night,52,"$25,892 ","$24,370,260 ",9,53,"$18,440 "
Red Sparrow,43,"$35,355 ","$46,719,454 ",10,54,"$17,861 "
Zama,47,"$30,059 ","$105,538 ",4,55,"$17,357 "
God's Not Dead: A Light in Darkness,53,"$24,939 ","$5,606,849 ",6,56,"$15,377 "
The Heart of Nuba,106,"$1,040 ","$9,986 ",5,57,"$15,172 "
After Auschwitz,58,"$16,221 ","$27,935 ",4,58,"$15,035 "
Midnight Sun,46,"$30,483 ","$9,524,528 ",7,59,"$14,949 "
Gonjiam: Haunted Asylum,59,"$16,092 ","$74,521 ",4,61,"$13,966 "
Godard Mon Amour,60,"$14,670 ","$31,835 ",3,62,"$11,474 "
Ferdinand,63,"$14,104 ","$84,349,078 ",21,63,"$9,781 "
Borg vs. McEnroe,64,"$13,108 ","$202,033 ",4,64,"$9,585 "
Foxtrot,56,"$22,663 ","$565,490 ",10,65,"$9,494 "
Getting Grace,95,"$2,435 ","$181,671 ",7,66,"$9,151 "
BOMBSHELL: The Hedy Lamarr Story,61,"$14,548 ","$769,635 ",24,67,"$7,975 "
Sweet Country (2018),87,"$3,388 ","$66,737 ",5,68,"$7,708 "
Keep the Change,73,"$7,722 ","$140,343 ",8,70,"$6,930 "
A Fantastic Woman,66,"$9,384 ","$1,995,221 ",14,71,"$6,846 "
Bye Bye Germany,69,"$8,786 ","$19,882 ",4,72,"$5,876 "
The Post,70,"$8,779 ","$81,886,203 ",20,73,"$5,668 "
Oh Lucy!,57,"$17,853 ","$329,914 ",10,74,"$5,590 "
