Title,LW_x,Weekend Gross_y,Total Gross_y,Week #_x,TW_x,Weekend Gross_x
Hostiles,26,"$273,262 ","$818,730 ",5,23,"$580,260 "
Wonder,19,"$1,210,294 ","$128,598,868 ",10,24,"$536,824 "
All the Money in the World,18,"$1,223,993 ","$23,050,053 ",4,25,"$377,888 "
Thor: Ragnarok,24,"$370,959 ","$313,012,279 ",12,28,"$234,516 "
Daddy's Home 2,30,"$199,245 ","$103,251,200 ",11,29,"$210,675 "
Murder on the Orient Express (2017),27,"$257,346 ","$101,985,707 ",11,30,"$181,210 "
The Disaster Artist,22,"$461,484 ","$20,325,591 ",8,31,"$174,998 "
Justice League,28,"$255,287 ","$227,461,230 ",10,32,"$126,109 "
Along with the Gods: The Two Worlds,31,"$193,290 ","$1,470,029 ",5,33,"$103,706 "
The Star,35,"$105,721 ","$40,587,546 ",10,35,"$73,445 "
Downsizing,25,"$302,309 ","$24,100,548 ",5,36,"$70,037 "
Blade Runner 2049,37,"$70,014 ","$91,917,746 ",16,39,"$49,170 "
The Florida Project,38,"$53,267 ","$5,501,213 ",16,40,"$38,903 "
Ex-File 3 (Qian Ren 3),34,"$112,424 ","$724,521 ",4,41,"$38,658 "
Father Figures,36,"$97,380 ","$17,313,822 ",5,42,"$38,300 "
Film Stars Don't Die in Liverpool,42,"$32,905 ","$130,021 ",4,43,"$35,255 "
Happy End,46,"$22,845 ","$116,340 ",5,44,"$30,403 "
Loving Vincent,40,"$42,594 ","$6,478,819 ",18,45,"$29,372 "
A Beautiful Planet,53,"$15,577 ","$12,986,644 ",91,47,"$18,250 "
In the Fade,50,"$19,715 ","$70,146 ",4,49,"$16,227 "
Only The Brave,45,"$23,346 ","$18,295,185 ",14,50,"$15,506 "
Goldbuster,43,"$27,837 ","$146,219 ",3,51,"$13,770 "
The Square,49,"$20,700 ","$1,322,359 ",13,52,"$13,064 "
BOMBSHELL: The Hedy Lamarr Story,52,"$17,015 ","$199,166 ",9,53,"$12,346 "
Jane (2017),51,"$18,999 ","$1,587,320 ",14,54,"$11,587 "
Faces Places,55,"$11,566 ","$672,642 ",16,57,"$9,772 "
My Friend Dahmer,57,"$9,652 ","$1,322,519 ",12,61,"$7,311 "
Wonder Wheel,64,"$6,113 ","$1,380,847 ",8,63,"$6,380 "
Django,69,"$4,508 ","$18,348 ",3,65,"$6,005 "
