TW,LW,Title,Studio,Weekend Gross,% Change,Theater Count,Change,Average,Total Gross,Budget*,Week #,ith year,ith week,last ith week
1,2,Jumanji: Welcome to the Jungle,Sony,"$37,233,653 ",-25.60%,3801,36,"$9,796 ","$245,606,319 ",$90 ,3,2018,1,0
3,1,Star Wars: The Last Jedi,BV,"$23,728,944 ",-54.80%,4232,-,"$5,607 ","$572,691,546 ",$317 ,4,2018,1,0
4,4,The Greatest Showman,Fox,"$13,770,951 ",-11.30%,3342,26,"$4,121 ","$76,875,323 ",$84 ,3,2018,1,0
5,3,Pitch Perfect 3,Uni.,"$10,298,345 ",-38.70%,3458,-10,"$2,978 ","$86,055,435 ",$45 ,3,2018,1,0
6,5,Ferdinand,Fox,"$7,697,773 ",-32.40%,3156,-181,"$2,439 ","$70,466,891 ",$111 ,4,2018,1,0
7,13,Molly's Game,STX,"$6,856,578 ",191.80%,1608,"1,337","$4,264 ","$14,073,138 ",-,2,2018,1,0
8,8,Darkest Hour,Focus,"$6,050,225 ",10.30%,1733,790,"$3,491 ","$28,086,332 ",-,7,2018,1,0
9,6,Coco,BV,"$5,382,651 ",-27.90%,1894,-210,"$2,842 ","$191,925,612 ",-,7,2018,1,0
10,7,All the Money in the World,TriS,"$3,571,226 ",-36.10%,2123,49,"$1,682 ","$20,153,135 ",-,2,2018,1,0
11,11,The Shape of Water,FoxS,"$3,139,084 ",-11.10%,804,48,"$3,904 ","$21,692,548 ",-,6,2018,1,0
12,22,"I, Tonya",Neon,"$2,445,878 ",273.10%,256,207,"$9,554 ","$5,419,565 ",-,5,2018,1,0
13,12,Wonder,LGF,"$2,381,646 ",-26.70%,1258,65,"$1,893 ","$126,638,732 ",-,8,2018,1,0
14,9,Downsizing,Par.,"$2,202,311 ",-53.20%,2020,-648,"$1,090 ","$22,932,429 ",$68 ,3,2018,1,0
15,24,The Post,Fox,"$1,698,027 ",202.60%,36,27,"$47,167 ","$3,847,683 ",$50 ,3,2018,1,0
16,14,Lady Bird,A24,"$1,572,031 ",7.20%,562,170,"$2,797 ","$34,128,122 ",-,10,2018,1,0
17,10,Father Figures,WB,"$1,262,474 ",-67.00%,1717,-1185,$735 ,"$16,772,934 ",-,3,2018,1,0
18,20,Call Me by Your Name,SPC,"$747,129 ",-,117,2,"$6,386 ","$6,073,058 ",-,7,2018,1,0
19,16,The Disaster Artist,A24,"$746,034 ",-20.00%,478,-29,"$1,561 ","$19,431,782 ",-,6,2018,1,0
20,21,"Three Billboards Outside Ebbing, Missouri",FoxS,"$705,188 ",4.40%,310,44,"$2,275 ","$25,392,902 ",-,9,2018,1,0
21,15,Justice League,WB,"$556,851 ",-53.50%,518,-697,"$1,075 ","$227,032,490 ",-,8,2018,1,0
22,19,Thor: Ragnarok,BV,"$514,940 ",-39.80%,325,-215,"$1,584 ","$312,459,726 ",$180 ,10,2018,1,0
23,17,Daddy's Home 2,Par.,"$473,493 ",-48.60%,429,-341,"$1,104 ","$102,934,995 ",$69 ,9,2018,1,0
24,23,Murder on the Orient Express (2017),Fox,"$450,509 ",-26.90%,314,-77,"$1,435 ","$101,555,644 ",$55 ,9,2018,1,0
25,18,Tiger Zinda Hai,Yash,"$367,679 ",-60.10%,166,-118,"$2,215 ","$5,560,921 ",$20.47 ,3,2018,1,0
26,28,Along with the Gods: The Two Worlds,WGUSA,"$277,065 ",43.30%,35,18,"$7,916 ","$1,118,190 ",-,3,2018,1,0
27,39,Hostiles,ENTMP,"$268,373 ",702.20%,46,41,"$5,834 ","$393,565 ",-,3,2018,1,0
28,26,Phantom Thread,Focus,"$240,240 ",11.00%,6,2,"$40,040 ","$947,190 ",-,2,2018,1,0
29,30,Ex-File 3 (Qian Ren 3),CL,"$177,110 ",41.40%,17,-4,"$10,418 ","$518,184 ",-,2,2018,1,0
30,25,The Star,Sony,"$140,805 ",-71.00%,268,-393,$525 ,"$40,448,404 ",$20 ,8,2018,1,0
31,35,Blade Runner 2049,WB,"$100,018 ",113.50%,133,58,$752 ,"$91,800,042 ",$150 ,14,2018,1,0
32,29,A Bad Moms Christmas,STX,"$81,907 ",-48.20%,144,-70,$569 ,"$72,080,547 ",$28 ,10,2018,1,0
33,27,Youth (2017),CL,"$80,501 ",-59.60%,30,-5,"$2,683 ","$1,814,247 ",-,4,2018,1,0
35,31,Loving Vincent,Good Deed,"$72,135 ",5.50%,58,3,"$1,244 ","$6,388,510 ",-,16,2018,1,0
36,34,The Florida Project,A24,"$63,094 ",25.20%,37,4,"$1,705 ","$5,412,776 ",-,14,2018,1,0
37,33,Geostorm,WB,"$52,219 ",-5.80%,93,-17,$561 ,"$33,681,965 ",$120 ,12,2018,1,0
39,36,Only The Brave,Sony,"$37,116 ",-12.40%,69,-17,$538 ,"$18,255,680 ",$38 ,12,2018,1,0
40,41,The Square,Magn.,"$32,634 ",47.60%,25,10,"$1,305 ","$1,284,672 ",-,11,2018,1,0
41,48,"Roman J. Israel, Esq.",Sony,"$27,636 ",140.10%,80,47,$345 ,"$11,887,893 ",$22 ,8,2018,1,0
42,40,Jane (2017),Abr.,"$25,151 ",-6.00%,19,-2,"$1,324 ","$1,544,602 ",-,12,2018,1,0
43,54,A Beautiful Planet,IMAX,"$24,499 ",261.10%,9,2,"$2,722 ","$12,952,818 ",-,89,2018,1,0
44,38,Film Stars Don't Die in Liverpool,SPC,"$22,866 ",-33.80%,4,-,"$5,717 ","$82,300 ",-,2,2018,1,0
45,32,The Man Who Invented Christmas,BST,"$21,255 ",-68.40%,70,-76,$304 ,"$5,652,907 ",-,7,2018,1,0
46,37,Wonder Wheel,Amazon,"$20,871 ",-42.90%,29,-26,$720 ,"$1,363,787 ",-,6,2018,1,0
47,46,Faces Places,Cohen,"$20,160 ",74.20%,13,5,"$1,551 ","$640,750 ",-,14,2018,1,0
49,43,The Other Side of Hope,Jan.,"$14,076 ",-,7,1,"$2,011 ","$163,529 ",-,6,2018,1,0
50,44,Happy End,SPC,"$13,699 ",-0.70%,6,3,"$2,283 ","$83,292 ",-,3,2018,1,0
51,51,In the Fade,Magn.,"$12,764 ",22.10%,6,3,"$2,127 ","$36,522 ",-,2,2018,1,0
54,55,Island of Lemurs: Madagascar (IMAX),WB,"$9,491 ",39.90%,2,-,"$4,746 ","$11,085,909 ",-,197,2018,1,0
56,60,The Breadwinner,GK,"$7,747 ",111.60%,10,-,$775 ,"$233,919 ",-,8,2018,1,0
57,52,Big Sonia,Argo.,"$7,017 ",-28.80%,1,-,"$7,017 ","$129,869 ",-,8,2018,1,0
58,47,Same Kind of Different as Me,PFR,"$6,368 ",-44.80%,20,-20,$318 ,"$6,410,279 ",-,12,2018,1,0
59,62,My Friend Dahmer,FR,"$6,186 ",82.70%,2,-,"$3,093 ","$1,310,242 ",-,10,2018,1,0
61,42,Just Getting Started,BG,"$5,699 ",-62.70%,5,-10,"$1,140 ","$6,058,383 ",$22 ,5,2018,1,0
62,50,Marshall,ORF,"$5,470 ",-48.40%,41,-9,$133 ,"$9,480,742 ",$12 ,13,2018,1,0
63,59,Under the Sea 3D,WB,"$5,321 ",0.80%,2,-1,"$2,661 ","$35,689,488 ",-,465,2018,1,0
65,69,Thelma,Orch.,"$4,127 ",194.20%,8,2,$516 ,"$137,420 ",-,9,2018,1,0
66,57,1945,Men.,"$3,832 ",-35.20%,4,-5,$958 ,"$258,392 ",-,10,2018,1,0
67,56,Hubble 3D,WB,"$3,553 ",-45.50%,1,-,"$3,553 ","$51,984,404 ",-,408,2018,1,0
70,63,Quest (2017),FRun,"$3,065 ",9.30%,2,-,"$1,533 ","$41,271 ",-,6,2018,1,0
71,65,God's Own Country,Orion,"$2,362 ",-8.70%,3,-1,$787 ,"$319,787 ",-,11,2018,1,0
73,68,Novitiate,SPC,"$1,859 ",2.40%,5,-1,$372 ,"$570,409 ",-,11,2018,1,0
74,67,The Lucky Man,Indic.,"$1,644 ",-27.10%,2,-,$822 ,"$12,619 ",-,-42,2018,1,0
79,73,The Fencer,CFI,$968 ,211.30%,2,1,$484 ,"$95,339 ",-,25,2018,1,0
80,71,Permanent,Magn.,$690 ,-33.10%,3,-,$230 ,"$12,777 ",-,4,2018,1,0
81,74,The Paris Opera,FM,$652 ,624.40%,1,-,$652 ,"$53,468 ",-,12,2018,1,0
87,70,On the Beach at Night Alone,CGld,$228 ,-82.70%,2,-,$114 ,"$31,448 ",-,8,2018,1,0
88,66,Let there be Light,ADC,$68 ,-97.20%,2,-6,$34 ,"$7,210,748 ",-,11,2018,1,0
1,1,Jumanji: Welcome to the Jungle,Sony,"$28,101,972 ",-24.50%,3849,48,"$7,301 ","$284,237,881 ",$90 ,4,2018,2,1
2,15,The Post,Fox,"$19,361,968 ",1040.30%,2819,"2,783","$6,868 ","$23,851,205 ",$50 ,4,2018,2,1
4,4,The Greatest Showman,Fox,"$12,467,471 ",-9.50%,2938,-404,"$4,244 ","$95,221,339 ",$84 ,4,2018,2,1
5,2,Insidious: The Last Key,Uni.,"$12,419,715 ",-58.00%,3150,34,"$3,943 ","$48,660,855 ",$10 ,2,2018,2,1
6,3,Star Wars: The Last Jedi,BV,"$11,854,481 ",-50.00%,3090,-1142,"$3,836 ","$592,129,065 ",$317 ,5,2018,2,1
9,5,Pitch Perfect 3,Uni.,"$5,994,400 ",-41.80%,2505,-953,"$2,393 ","$94,993,625 ",$45 ,4,2018,2,1
10,8,Darkest Hour,Focus,"$4,462,740 ",-26.20%,1693,-40,"$2,636 ","$35,678,292 ",-,8,2018,2,1
11,7,Molly's Game,STX,"$3,872,307 ",-43.50%,1708,100,"$2,267 ","$20,701,404 ",-,3,2018,2,1
12,6,Ferdinand,Fox,"$3,529,153 ",-54.20%,2154,-1002,"$1,638 ","$75,557,247 ",$111 ,5,2018,2,1
13,12,"I, Tonya",Neon,"$3,362,738 ",37.50%,517,261,"$6,504 ","$10,061,554 ",-,6,2018,2,1
14,9,Coco,BV,"$3,331,878 ",-38.10%,1362,-532,"$2,446 ","$196,875,318 ",-,8,2018,2,1
15,11,The Shape of Water,FoxS,"$2,835,459 ",-9.70%,723,-81,"$3,922 ","$26,557,351 ",-,7,2018,2,1
16,20,"Three Billboards Outside Ebbing, Missouri",FoxS,"$2,518,115 ",257.10%,1022,712,"$2,464 ","$28,726,574 ",-,10,2018,2,1
17,16,Lady Bird,A24,"$1,768,536 ",12.50%,652,90,"$2,712 ","$36,984,745 ",-,11,2018,2,1
18,10,All the Money in the World,TriS,"$1,223,993 ",-65.70%,1408,-715,$869 ,"$23,050,053 ",-,3,2018,2,1
19,13,Wonder,LGF,"$1,210,294 ",-49.20%,970,-288,"$1,248 ","$128,598,868 ",-,9,2018,2,1
20,28,Phantom Thread,Focus,"$1,147,815 ",377.80%,62,56,"$18,513 ","$2,229,593 ",-,3,2018,2,1
21,18,Call Me by Your Name,SPC,"$710,773 ",-4.90%,174,57,"$4,085 ","$7,226,368 ",-,8,2018,2,1
22,19,The Disaster Artist,A24,"$461,484 ",-38.10%,371,-107,"$1,244 ","$20,325,591 ",-,7,2018,2,1
23,62,Marshall,ORF,"$410,928 ",7412.40%,378,337,"$1,087 ","$9,895,116 ",$12 ,14,2018,2,1
24,22,Thor: Ragnarok,BV,"$370,959 ",-28.00%,242,-83,"$1,533 ","$313,012,279 ",$180 ,11,2018,2,1
25,14,Downsizing,Par.,"$302,309 ",-86.30%,412,-1608,$734 ,"$24,100,548 ",$68 ,4,2018,2,1
26,27,Hostiles,ENTMP,"$273,262 ",1.80%,42,-4,"$6,506 ","$818,730 ",-,4,2018,2,1
27,24,Murder on the Orient Express (2017),Fox,"$257,346 ",-42.90%,272,-42,$946 ,"$101,985,707 ",$55 ,10,2018,2,1
28,21,Justice League,WB,"$255,287 ",-54.20%,226,-292,"$1,130 ","$227,461,230 ",-,9,2018,2,1
30,23,Daddy's Home 2,Par.,"$199,245 ",-57.90%,201,-228,$991 ,"$103,251,200 ",$69 ,10,2018,2,1
31,26,Along with the Gods: The Two Worlds,WGUSA,"$193,290 ",-30.20%,32,-3,"$6,040 ","$1,470,029 ",-,4,2018,2,1
34,29,Ex-File 3 (Qian Ren 3),CL,"$112,424 ",-36.50%,24,7,"$4,684 ","$724,521 ",-,3,2018,2,1
35,30,The Star,Sony,"$105,721 ",-24.90%,160,-108,$661 ,"$40,587,546 ",$20 ,9,2018,2,1
36,17,Father Figures,WB,"$97,380 ",-92.30%,201,-1516,$484 ,"$17,313,822 ",-,4,2018,2,1
37,31,Blade Runner 2049,WB,"$70,014 ",-30.00%,125,-8,$560 ,"$91,917,746 ",$150 ,15,2018,2,1
38,36,The Florida Project,A24,"$53,267 ",-15.60%,40,3,"$1,332 ","$5,501,213 ",-,15,2018,2,1
40,35,Loving Vincent,Good Deed,"$42,594 ",-41.00%,40,-18,"$1,065 ","$6,478,819 ",-,17,2018,2,1
42,44,Film Stars Don't Die in Liverpool,SPC,"$32,905 ",43.90%,9,5,"$3,656 ","$130,021 ",-,3,2018,2,1
43,34,Goldbuster,WGUSA,"$27,837 ",-64.80%,6,-18,"$4,640 ","$146,219 ",-,2,2018,2,1
45,39,Only The Brave,Sony,"$23,346 ",-37.10%,54,-15,$432 ,"$18,295,185 ",$38 ,13,2018,2,1
46,50,Happy End,SPC,"$22,845 ",66.80%,11,5,"$2,077 ","$116,340 ",-,4,2018,2,1
47,33,Youth (2017),CL,"$20,837 ",-74.10%,7,-23,"$2,977 ","$1,871,012 ",-,5,2018,2,1
49,40,The Square,Magn.,"$20,700 ",-36.60%,19,-6,"$1,089 ","$1,322,359 ",-,12,2018,2,1
50,51,In the Fade,Magn.,"$19,715 ",54.50%,10,4,"$1,972 ","$70,146 ",-,3,2018,2,1
51,42,Jane (2017),Abr.,"$18,999 ",-24.50%,18,-1,"$1,056 ","$1,587,320 ",-,13,2018,2,1
52,48,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$17,015 ",2.10%,12,4,"$1,418 ","$199,166 ",-,8,2018,2,1
53,43,A Beautiful Planet,IMAX,"$15,577 ",-36.40%,12,3,"$1,298 ","$12,986,644 ",-,90,2018,2,1
54,41,"Roman J. Israel, Esq.",Sony,"$12,773 ",-53.80%,42,-38,$304 ,"$11,915,451 ",$22 ,9,2018,2,1
55,47,Faces Places,Cohen,"$11,566 ",-42.60%,13,-,$890 ,"$672,642 ",-,15,2018,2,1
56,38,Namiya,CL,"$10,475 ",-73.50%,7,-14,"$1,496 ","$64,974 ",-,2,2018,2,1
57,59,My Friend Dahmer,FR,"$9,652 ",56.00%,2,-,"$4,826 ","$1,322,519 ",-,11,2018,2,1
58,52,Tom of Finland,KL,"$8,959 ",-28.00%,4,1,"$2,240 ","$340,750 ",-,14,2018,2,1
60,60,In Between,FM,"$7,020 ",19.20%,4,2,"$1,755 ","$23,886 ",-,2,2018,2,1
62,54,Island of Lemurs: Madagascar (IMAX),WB,"$6,709 ",-29.30%,4,2,"$1,677 ","$11,098,590 ",-,198,2018,2,1
63,57,Big Sonia,Argo.,"$6,512 ",-7.20%,2,1,"$3,256 ","$139,686 ",-,9,2018,2,1
64,46,Wonder Wheel,Amazon,"$6,113 ",-70.70%,10,-19,$611 ,"$1,380,847 ",-,7,2018,2,1
65,56,The Breadwinner,GK,"$5,791 ",-25.20%,6,-4,$965 ,"$242,270 ",-,9,2018,2,1
66,45,The Man Who Invented Christmas,BST,"$5,556 ",-73.90%,21,-49,$265 ,"$5,669,852 ",-,8,2018,2,1
69,53,Django,UTMW,"$4,508 ",-61.50%,5,1,$902 ,"$18,348 ",-,2,2018,2,1
70,55,The Sacrifice (2017 re-release),KL,"$3,709 ",-55.20%,4,2,$927 ,"$36,498 ",-,12,2018,2,1
72,58,Same Kind of Different as Me,PFR,"$3,476 ",-45.40%,11,-9,$316 ,"$6,416,932 ",-,13,2018,2,1
74,49,The Other Side of Hope,Jan.,"$3,302 ",-76.50%,2,-5,"$1,651 ","$176,464 ",-,7,2018,2,1
75,86,The Crime of Monsieur Lange (2017 re-release),Rialto,"$3,301 ",845.80%,3,2,"$1,100 ","$31,534 ",-,9,2018,2,1
76,74,The Lucky Man,Indic.,"$2,559 ",55.70%,3,1,$853 ,"$15,622 ",-,-40,2018,2,1
77,61,Just Getting Started,BG,"$1,994 ",-65.00%,1,-4,"$1,994 ","$6,064,130 ",$22 ,6,2018,2,1
78,66,1945,Men.,"$1,822 ",-52.50%,4,-,$456 ,"$264,307 ",-,11,2018,2,1
79,67,Hubble 3D,WB,"$1,810 ",-49.10%,1,-,"$1,810 ","$51,987,915 ",-,409,2018,2,1
80,89,Porto,KL,"$1,719 ",2765.00%,1,-,"$1,719 ","$13,072 ",-,9,2018,2,1
81,65,Thelma,Orch.,"$1,652 ",-60.00%,4,-4,$413 ,"$139,798 ",-,10,2018,2,1
83,88,Let there be Light,ADC,"$1,272 ",1770.60%,2,-,$636 ,"$7,212,146 ",-,12,2018,2,1
84,71,God's Own Country,Orion,"$1,200 ",-49.20%,2,-1,$600 ,"$323,394 ",-,12,2018,2,1
85,73,Novitiate,SPC,"$1,052 ",-43.40%,4,-1,$263 ,"$572,308 ",-,12,2018,2,1
86,63,Under the Sea 3D,WB,$807 ,-84.80%,4,2,$202 ,"$35,690,621 ",-,466,2018,2,1
87,77,BPM (Beats Per Minute),Orch.,$631 ,-43.00%,3,-4,$210 ,"$96,150 ",-,13,2018,2,1
88,83,Ichi The Killer (2017 re-release),WGUSA,$624 ,41.80%,1,-,$624 ,"$7,050 ",-,10,2018,2,1
89,87,On the Beach at Night Alone,CGld,$570 ,150.00%,3,1,$190 ,"$32,478 ",-,9,2018,2,1
91,82,Aida's Secrets,MBox,$306 ,-34.10%,1,-,$306 ,"$97,564 ",-,13,2018,2,1
92,79,The Fencer,CFI,$291 ,-69.90%,1,-1,$291 ,"$95,835 ",-,26,2018,2,1
94,84,Bad Lucky Goat,FM,$136 ,-63.40%,1,-,$136 ,"$4,930 ",-,13,2018,2,1
95,85,Born to Be Wild (IMAX),WB,$70 ,-81.00%,3,1,$23 ,"$25,619,513 ",-,354,2018,2,1
1,1,Jumanji: Welcome to the Jungle,Sony,"$19,505,170 ",-30.60%,3704,-145,"$5,266 ","$316,450,318 ",$90 ,5,2018,3,2
4,2,The Post,Fox,"$11,716,960 ",-39.50%,2851,32,"$4,110 ","$44,758,362 ",$50 ,5,2018,3,2
5,4,The Greatest Showman,Fox,"$10,644,824 ",-14.60%,2823,-115,"$3,771 ","$113,125,431 ",$84 ,5,2018,3,2
6,7,Paddington 2,WB,"$8,009,129 ",-27.20%,3702,-,"$2,163 ","$24,810,362 ",-,2,2018,3,2
7,3,The Commuter,LGF,"$6,603,842 ",-51.80%,2892,-,"$2,283 ","$25,627,371 ",-,2,2018,3,2
8,6,Star Wars: The Last Jedi,BV,"$6,555,435 ",-44.70%,2456,-634,"$2,669 ","$604,273,911 ",$317 ,6,2018,3,2
9,5,Insidious: The Last Key,Uni.,"$5,874,055 ",-52.70%,2546,-604,"$2,307 ","$58,658,320 ",$10 ,3,2018,3,2
11,8,Proud Mary,SGem,"$3,568,996 ",-64.20%,2125,-,"$1,680 ","$16,850,600 ",$14 ,2,2018,3,2
12,20,Phantom Thread,Focus,"$3,246,720 ",182.90%,896,834,"$3,624 ","$6,059,449 ",-,4,2018,3,2
13,9,Pitch Perfect 3,Uni.,"$3,022,185 ",-49.60%,1772,-733,"$1,706 ","$100,535,230 ",$45 ,5,2018,3,2
14,13,"I, Tonya",Neon,"$2,861,168 ",-14.90%,799,282,"$3,581 ","$14,509,885 ",-,7,2018,3,2
15,10,Darkest Hour,Focus,"$2,729,810 ",-38.80%,1341,-352,"$2,036 ","$40,792,987 ",-,9,2018,3,2
16,15,The Shape of Water,FoxS,"$2,186,311 ",-22.90%,853,130,"$2,563 ","$30,195,358 ",-,8,2018,3,2
17,16,"Three Billboards Outside Ebbing, Missouri",FoxS,"$1,917,162 ",-23.90%,954,-68,"$2,010 ","$31,994,519 ",-,11,2018,3,2
18,14,Coco,BV,"$1,910,672 ",-42.70%,878,-484,"$2,176 ","$200,726,972 ",-,9,2018,3,2
19,12,Ferdinand,Fox,"$1,686,160 ",-52.20%,1212,-942,"$1,391 ","$79,172,376 ",$111 ,6,2018,3,2
20,11,Molly's Game,STX,"$1,622,177 ",-58.10%,1091,-617,"$1,487 ","$24,280,686 ",-,4,2018,3,2
21,21,Call Me by Your Name,SPC,"$1,437,889 ",102.30%,815,641,"$1,764 ","$9,135,264 ",-,9,2018,3,2
22,17,Lady Bird,A24,"$1,194,401 ",-32.50%,675,23,"$1,769 ","$39,053,636 ",-,12,2018,3,2
23,26,Hostiles,ENTMP,"$580,260 ",112.30%,119,77,"$4,876 ","$1,560,561 ",-,5,2018,3,2
24,19,Wonder,LGF,"$536,824 ",-55.60%,496,-474,"$1,082 ","$129,891,525 ",-,10,2018,3,2
25,18,All the Money in the World,TriS,"$377,888 ",-69.10%,374,-1034,"$1,010 ","$24,106,979 ",-,4,2018,3,2
28,24,Thor: Ragnarok,BV,"$234,516 ",-36.80%,184,-58,"$1,275 ","$313,433,047 ",$180 ,12,2018,3,2
29,30,Daddy's Home 2,Par.,"$210,675 ",5.70%,183,-18,"$1,151 ","$103,543,455 ",$69 ,11,2018,3,2
30,27,Murder on the Orient Express (2017),Fox,"$181,210 ",-29.60%,202,-70,$897 ,"$102,303,321 ",$55 ,11,2018,3,2
31,22,The Disaster Artist,A24,"$174,998 ",-62.10%,147,-224,"$1,190 ","$20,726,034 ",-,8,2018,3,2
32,28,Justice League,WB,"$126,109 ",-50.60%,151,-75,$835 ,"$227,702,179 ",-,10,2018,3,2
33,31,Along with the Gods: The Two Worlds,WGUSA,"$103,706 ",-46.30%,24,-8,"$4,321 ","$1,684,791 ",-,5,2018,3,2
34,29,Condorito: La Pelicula,LGF,"$76,014 ",-69.40%,134,-19,$567 ,"$400,460 ",-,2,2018,3,2
35,35,The Star,Sony,"$73,445 ",-30.50%,132,-28,$556 ,"$40,715,377 ",$20 ,10,2018,3,2
36,25,Downsizing,Par.,"$70,037 ",-76.80%,134,-278,$523 ,"$24,314,346 ",$68 ,5,2018,3,2
39,37,Blade Runner 2049,WB,"$49,170 ",-29.80%,124,-1,$397 ,"$92,001,208 ",$150 ,16,2018,3,2
40,38,The Florida Project,A24,"$38,903 ",-27.00%,37,-3,"$1,051 ","$5,571,691 ",-,16,2018,3,2
41,34,Ex-File 3 (Qian Ren 3),CL,"$38,658 ",-65.60%,21,-3,"$1,841 ","$808,378 ",-,4,2018,3,2
42,36,Father Figures,WB,"$38,300 ",-60.70%,96,-105,$399 ,"$17,388,350 ",-,5,2018,3,2
43,42,Film Stars Don't Die in Liverpool,SPC,"$35,255 ",7.10%,16,7,"$2,203 ","$190,829 ",-,4,2018,3,2
44,46,Happy End,SPC,"$30,403 ",33.10%,18,7,"$1,689 ","$161,783 ",-,5,2018,3,2
45,40,Loving Vincent,Good Deed,"$29,372 ",-31.00%,35,-5,$839 ,"$6,532,388 ",-,18,2018,3,2
46,44,The Insult,Cohen,"$23,222 ",-5.60%,3,-,"$7,741 ","$64,642 ",-,2,2018,3,2
47,53,A Beautiful Planet,IMAX,"$18,250 ",17.20%,12,-,"$1,521 ","$13,051,669 ",-,91,2018,3,2
49,50,In the Fade,Magn.,"$16,227 ",-17.70%,9,-1,"$1,803 ","$101,082 ",-,4,2018,3,2
50,45,Only The Brave,Sony,"$15,506 ",-33.60%,43,-11,$361 ,"$18,324,258 ",$38 ,14,2018,3,2
51,43,Goldbuster,WGUSA,"$13,770 ",-50.50%,6,-,"$2,295 ","$173,006 ",-,3,2018,3,2
52,49,The Square,Magn.,"$13,064 ",-36.90%,9,-10,"$1,452 ","$1,351,205 ",-,13,2018,3,2
53,52,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$12,346 ",-27.40%,6,-6,"$2,058 ","$217,460 ",-,9,2018,3,2
54,51,Jane (2017),Abr.,"$11,587 ",-39.00%,12,-6,$966 ,"$1,625,674 ",-,14,2018,3,2
55,39,Mukkabaaz,Eros,"$11,406 ",-76.10%,19,-,$600 ,"$74,075 ",-,2,2018,3,2
56,41,Parchi,ADC,"$10,710 ",-68.90%,10,-29,"$1,071 ","$59,577 ",-,2,2018,3,2
57,55,Faces Places,Cohen,"$9,772 ",-15.50%,7,-6,"$1,396 ","$696,989 ",-,16,2018,3,2
59,48,Wastelander,Indic.,"$8,631 ",-58.40%,9,-13,$959 ,"$35,711 ",-,2,2018,3,2
61,57,My Friend Dahmer,FR,"$7,311 ",-24.30%,2,-,"$3,656 ","$1,332,948 ",-,12,2018,3,2
63,64,Wonder Wheel,Amazon,"$6,380 ",4.40%,6,-4,"$1,063 ","$1,392,830 ",-,8,2018,3,2
65,69,Django,UTMW,"$6,005 ",33.20%,7,2,$858 ,"$29,294 ",-,3,2018,3,2
66,60,In Between,FM,"$5,898 ",-16.00%,7,3,$843 ,"$33,660 ",-,3,2018,3,2
67,54,"Roman J. Israel, Esq.",Sony,"$5,581 ",-56.30%,25,-17,$223 ,"$11,926,994 ",$22 ,10,2018,3,2
68,47,Youth (2017),CL,"$5,241 ",-74.80%,3,-4,"$1,747 ","$1,888,311 ",-,6,2018,3,2
69,62,Island of Lemurs: Madagascar (IMAX),WB,"$5,010 ",-25.30%,3,-1,"$1,670 ","$11,108,930 ",-,199,2018,3,2
70,68,Freak Show,IFC,"$4,927 ",2.50%,7,6,$704 ,"$12,489 ",-,2,2018,3,2
71,86,Under the Sea 3D,WB,"$4,837 ",499.40%,6,2,$806 ,"$35,696,979 ",-,467,2018,3,2
72,78,1945,Men.,"$3,733 ",104.90%,6,2,$622 ,"$269,204 ",-,12,2018,3,2
73,61,Birdboy: The Forgotten Children,GK,"$3,730 ",-46.00%,5,-4,$746 ,"$29,692 ",-,6,2018,3,2
74,79,Hubble 3D,WB,"$3,595 ",98.60%,4,3,$899 ,"$51,996,447 ",-,410,2018,3,2
76,63,Big Sonia,Argo.,"$3,330 ",-48.90%,2,-,"$1,665 ","$146,696 ",-,10,2018,3,2
77,67,My Art,FM,"$3,131 ",-43.50%,2,1,"$1,566 ","$11,126 ",-,2,2018,3,2
78,59,Memories of Underdevelopment (2017 re-release),Jan.,"$2,916 ",-64.60%,1,-,"$2,916 ","$19,461 ",-,2,2018,3,2
79,73,Humor Me,Shout!,"$2,851 ",-14.70%,2,1,"$1,426 ","$7,984 ",-,2,2018,3,2
80,65,The Breadwinner,GK,"$2,796 ",-51.70%,4,-2,$699 ,"$250,729 ",-,10,2018,3,2
81,70,The Sacrifice (2017 re-release),KL,"$2,677 ",-27.80%,3,-1,$892 ,"$41,447 ",-,14,2018,3,2
82,81,Thelma,Orch.,"$2,582 ",56.30%,3,-1,$861 ,"$143,575 ",-,11,2018,3,2
83,72,Same Kind of Different as Me,PFR,"$2,492 ",-28.30%,9,-2,$277 ,"$6,421,634 ",-,14,2018,3,2
85,95,Born to Be Wild (IMAX),WB,"$2,199 ",3041.40%,6,3,$367 ,"$25,623,439 ",-,355,2018,3,2
87,77,Just Getting Started,BG,"$1,970 ",-1.20%,1,-,"$1,970 ","$6,067,735 ",$22 ,7,2018,3,2
88,58,Tom of Finland,KL,"$1,874 ",-79.10%,2,-2,$937 ,"$347,038 ",-,15,2018,3,2
89,66,The Man Who Invented Christmas,BST,"$1,778 ",-68.00%,8,-13,$222 ,"$5,675,534 ",-,9,2018,3,2
90,76,The Lucky Man,Indic.,"$1,722 ",-32.70%,2,-1,$861 ,"$18,892 ",-,-37,2018,3,2
91,74,The Other Side of Hope,Jan.,"$1,718 ",-48.00%,1,-1,"$1,718 ","$179,848 ",-,8,2018,3,2
92,85,Novitiate,SPC,"$1,504 ",43.00%,6,2,$251 ,"$574,809 ",-,13,2018,3,2
