Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
Jul 26-28,2019,30,"$155,622,904 ",-38.60%,"$162,868,015 ",-38.30%,97,The Lion King,/weekend/2019W30/?ref_=bo_wey_table_16
Jul 19-21,2019,29,"$253,574,574 ",122.20%,"$263,882,516 ",107.90%,102,The Lion King,/weekend/2019W29/?ref_=bo_wey_table_17
Jul 12-14,2019,28,"$114,124,922 ",-34.50%,"$126,932,873 ",-30.90%,103,Spider-Man: Far from Home,/weekend/2019W28/?ref_=bo_wey_table_18
Jul 5-7,2019,27,"$174,209,668 ",25.50%,"$183,814,074 ",21.10%,96,Spider-Man: Far from Home,/weekend/2019W27/?ref_=bo_wey_table_19
Jun 28-30,2019,26,"$138,825,078 ",-26.90%,"$151,841,304 ",-25.50%,96,Toy Story 4,/weekend/2019W26/?ref_=bo_wey_table_20
Jun 21-23,2019,25,"$189,899,923 ",53.60%,"$203,833,169 ",50%,102,Toy Story 4,/weekend/2019W25/?ref_=bo_wey_table_21
Jun 14-16,2019,24,"$123,601,448 ",-21.90%,"$135,914,033 ",-18%,100,Men in Black: International,/weekend/2019W24/?ref_=bo_wey_table_22
Jun 7-9,2019,23,"$158,327,825 ",-5.50%,"$165,733,750 ",-4.80%,101,The Secret Life of Pets 2,/weekend/2019W23/?ref_=bo_wey_table_23
May 31-Jun 2,2019,22,"$167,597,113 ",-3.20%,"$174,090,953 ",-3.90%,106,Godzilla: King of the Monsters,/weekend/2019W22/?ref_=bo_wey_table_24
May 24-27Memorial Day wknd,2019,21,"$220,383,863 ",1%,"$230,819,376 ",1.70%,97,Aladdin,/weekend/2019W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_25
May 17-19,2019,20,"$139,901,024 ",-12.70%,"$148,365,208 ",-11.80%,115,John Wick: Chapter 3 - Parabellum,/weekend/2019W20/?ref_=bo_wey_table_27
