Dates,year,Week,Top 10 Gross,%± LW,Overall Gross,%± LW.1,Releases,#1 Release
Sep 25-27,2015,39,"$125,667,878",+30.7%,"$137,820,669",+22.2%,118,Hotel Transylvania 2
Sep 18-20,2015,38,"$96,138,932",+17.8%,"$112,827,167",+10.1%,114,Maze Runner: The Scorch Trials
Sep 11-13,2015,37,"$81,621,359",+36%,"$102,512,365",+13.2%,110,The Perfect Guy
Sep 4-7Labor Day wknd,2015,36,"$78,105,044",-27.1%,"$116,912,740",-17.3%,85,War Room
Sep 4-6,2015,36,"$60,032,495",-5%,"$90,555,329",+3.1%,95,War Room
Aug 28-30,2015,35,"$63,160,916",-26%,"$87,836,416",-17.6%,96,Straight Outta Compton
Aug 21-23,2015,34,"$85,356,247",-34.2%,"$106,631,353",-28%,94,Straight Outta Compton
Aug 14-16,2015,33,"$129,704,209",+14.5%,"$148,106,885",+12.3%,98,Straight Outta Compton
Aug 7-9,2015,32,"$113,252,833",-16.8%,"$131,916,514",-9.8%,94,Mission: Impossible - Rogue Nation
Jul 31-Aug 2,2015,31,"$136,167,805",-1.5%,"$146,282,363",-3.1%,95,Mission: Impossible - Rogue Nation
Jul 24-26,2015,30,"$138,254,037",-22.5%,"$151,040,028",-22.1%,100,Ant-Man
Jul 17-19,2015,29,"$178,494,977",-12%,"$193,925,542",-9.8%,100,Ant-Man
Jul 10-12,2015,28,"$202,943,834",+59.8%,"$215,076,951",+58.9%,103,Minions
Jul 3-5,2015,27,"$127,004,488",-27%,"$135,328,419",-26.5%,88,Inside Out
Jun 26-28,2015,26,"$174,073,731",-27.1%,"$184,087,635",-25.8%,101,Jurassic World
Jun 19-21,2015,25,"$238,740,396",-10.3%,"$248,039,944",-9.4%,90,Jurassic World
Jun 12-14,2015,24,"$266,035,144",+116.7%,"$273,785,662",+106.2%,88,Jurassic World
Jun 5-7,2015,23,"$122,790,825",-6.4%,"$132,771,309",-4.1%,89,Spy
May 29-31,2015,22,"$131,136,807",-9.3%,"$138,472,506",-10.1%,83,San Andreas
May 22-24,2015,21,"$144,619,728",-17.6%,"$154,080,020",-16.5%,92,Tomorrowland
May 22-25Memorial Day wknd,2015,21,"$182,887,788",-15.6%,"$194,717,763",-16.1%,81,Tomorrowland
May 15-17,2015,20,"$175,540,242",+46.7%,"$184,554,442",+40.5%,93,Pitch Perfect 2
May 8-10,2015,19,"$119,640,318",-46.6%,"$131,347,747",-43.6%,97,Avengers: Age of Ultron
May 1-3,2015,18,"$223,967,813",+179.5%,"$232,873,431",+139.1%,102,Avengers: Age of Ultron
Apr 24-26,2015,17,"$80,145,066",-26.2%,"$97,392,898",-18.7%,117,Furious 7
Apr 17-19,2015,16,"$108,634,824",-12%,"$119,720,998",-9%,111,Furious 7
Apr 10-12,2015,15,"$123,487,605",-43%,"$131,496,504",-41.4%,103,Furious 7
Apr 3-6Easter wknd,2015,14,"$240,859,409",+87.3%,"$247,143,426",+71%,45,Furious 7
Apr 3-5,2015,14,"$216,669,859",+54.9%,"$224,366,628",+49.3%,96,Furious 7
Mar 27-29,2015,13,"$139,905,374",+19.2%,"$150,316,547",+14.8%,98,Home
Mar 20-22,2015,12,"$117,323,618",+1.5%,"$130,961,022",-0.5%,97,Insurgent
Mar 13-15,2015,11,"$115,580,190",+60%,"$131,677,520",+47.3%,94,Cinderella
Mar 6-8,2015,10,"$72,251,925",-19.2%,"$89,415,791",-16.3%,94,Chappie
Feb 27-Mar 1,2015,9,"$89,378,196",-13.9%,"$106,785,872",-10.1%,98,Focus
Feb 20-22,2015,8,"$103,802,091",-47.1%,"$118,837,843",-44.5%,90,Fifty Shades of Grey
Feb 13-16Presidents' Day wknd,2015,7,"$226,114,046",+24.1%,"$247,208,470",+18.4%,75,Fifty Shades of Grey
Feb 13-15,2015,7,"$196,187,392",+47.8%,"$213,956,193",+40.7%,88,Fifty Shades of Grey
Feb 6-8,2015,6,"$132,753,774",+65.8%,"$152,017,118",+48.6%,95,The SpongeBob Movie: Sponge Out of Water
Jan 30-Feb 1,2015,5,"$80,089,127",-41.3%,"$102,289,935",-35.9%,95,American Sniper
Jan 23-25,2015,4,"$136,480,820",-23.7%,"$159,469,503",-21.5%,93,American Sniper
Jan 16-18,2015,3,"$178,963,570",+70.9%,"$203,241,390",+60.9%,87,American Sniper
Jan 16-19MLK wknd,2015,3,"$220,660,699",+24.4%,"$250,809,036",+17.6%,71,American Sniper
Jan 9-11,2015,2,"$104,708,370",-16.8%,"$126,281,581",-18.6%,87,Taken 3
Jan 2-4,2015,1,"$125,851,864",-29.5%,"$155,083,722",-26%,89,The Hobbit: The Battle of the Five Armies
Dec 26-28,2014,52,"$178,499,687",+46.2%,"$209,570,080",+55.1%,83,The Hobbit: The Battle of the Five Armies
Dec 19-21,2014,51,"$122,059,385",+65.4%,"$135,107,375",+60.8%,78,The Hobbit: The Battle of the Five Armies
Dec 12-14,2014,50,"$73,808,138",+8.4%,"$84,013,268",+7.5%,100,Exodus: Gods and Kings
Dec 5-7,2014,49,"$68,103,918",-55.2%,"$78,180,686",-52.3%,96,The Hunger Games: Mockingjay - Part 1
Nov 28-30,2014,48,"$151,851,533",-17.7%,"$163,791,775",-15.9%,97,The Hunger Games: Mockingjay - Part 1
Nov 27-30Thanksgiving 4-Day,2014,47,"$179,114,437",-20.1%,"$189,771,521",-22.4%,52,The Hunger Games: Mockingjay - Part 1
Nov 26-30Thanksgiving 5-Day,2014,47,"$214,781,730",-20%,"$226,978,340",-22.3%,52,The Hunger Games: Mockingjay - Part 1
Nov 21-23,2014,47,"$184,467,355",+46.7%,"$194,683,879",+38.5%,97,The Hunger Games: Mockingjay - Part 1
Nov 14-16,2014,46,"$125,728,488",-11.9%,"$140,548,635",-10.5%,108,Dumb and Dumber To
Nov 7-9,2014,45,"$142,643,895",+90.6%,"$157,108,227",+65.4%,121,Big Hero 6
Oct 31-Nov 2,2014,44,"$74,843,496",-22.9%,"$94,999,696",-18.1%,120,Ouija
Oct 24-26,2014,43,"$97,071,579",-15.8%,"$116,024,797",-12%,122,Ouija
Oct 17-19,2014,42,"$115,233,422",-12.3%,"$131,793,399",-10.6%,117,Fury
Oct 10-12,2014,41,"$131,383,392",-3.6%,"$147,462,707",-1.3%,122,Gone Girl
Oct 10-13Columbus Day wknd,2014,41,"$150,009,908",+25.8%,"$166,940,703",+27%,63,Gone Girl
Oct 3-5,2014,40,"$136,249,161",+42%,"$149,452,204",+38.8%,123,Gone Girl
Sep 26-28,2014,39,"$95,966,661",+6.6%,"$107,678,203",+4.3%,131,The Equalizer
Sep 19-21,2014,38,"$90,003,667",+22.8%,"$103,238,746",+12.9%,124,The Maze Runner
Sep 12-14,2014,37,"$73,297,493",+52.4%,"$91,402,770",+38.1%,122,No Good Deed
Sep 5-7,2014,36,"$48,083,368",-41.9%,"$66,163,578",-39.6%,120,Guardians of the Galaxy
Aug 29-31,2014,35,"$82,775,516",-14.8%,"$109,546,806",-4.7%,109,Guardians of the Galaxy
Aug 29-Sep 1Labor Day wknd,2014,35,"$107,180,218",-2.6%,"$141,284,370",-12.9%,94,Guardians of the Galaxy
Aug 22-24,2014,34,"$97,178,514",-22.2%,"$114,968,447",-19.5%,104,Guardians of the Galaxy
Aug 15-17,2014,33,"$124,986,010",-26.4%,"$142,851,832",-23.3%,105,Teenage Mutant Ninja Turtles
Aug 8-10,2014,32,"$169,712,505",+1.1%,"$186,257,061",-,115,Teenage Mutant Ninja Turtles
Aug 1-3,2014,31,"$167,783,615",+27.1%,"$186,409,629",+20.4%,109,Guardians of the Galaxy
Jul 25-27,2014,30,"$132,017,659",+1.1%,"$154,787,126",+3.7%,117,Lucy
Jul 18-20,2014,29,"$130,550,571",-2.4%,"$149,206,140",-0.7%,104,Dawn of the Planet of the Apes
Jul 11-13,2014,28,"$133,801,344",+16%,"$150,191,251",+13.4%,117,Dawn of the Planet of the Apes
Jul 4-6,2014,27,"$115,345,546",-32.6%,"$132,438,349",-26.5%,110,Transformers: Age of Extinction
Jun 27-29,2014,26,"$171,037,682",+26%,"$180,104,687",+23.4%,124,Transformers: Age of Extinction
Jun 20-22,2014,25,"$135,785,499",-23.4%,"$145,919,699",-22%,112,Think Like a Man Too
Jun 13-15,2014,24,"$177,277,722",+15.3%,"$187,054,204",+14.8%,124,22 Jump Street
Jun 6-8,2014,23,"$153,810,858",-2.5%,"$162,996,895",-2.1%,111,The Fault in Our Stars
May 30-Jun 1,2014,22,"$157,680,341",-10.1%,"$166,531,884",-11.1%,110,Maleficent
May 23-25,2014,21,"$175,346,822",+4.7%,"$187,304,335",+4.9%,108,X-Men: Days of Future Past
May 23-26Memorial Day wknd,2014,21,"$216,734,334",-29.2%,"$232,102,154",-26.1%,103,X-Men: Days of Future Past
May 16-18,2014,20,"$167,395,914",+35.2%,"$178,532,518",+30.6%,110,Godzilla
May 9-11,2014,19,"$123,849,070",-12.5%,"$136,748,446",-11.3%,113,Neighbors
May 2-4,2014,18,"$141,515,375",+45.2%,"$154,089,137",+31.9%,117,The Amazing Spider-Man 2
Apr 25-27,2014,17,"$97,473,803",-16.2%,"$116,798,742",-12.5%,114,The Other Woman
Apr 18-21Easter wknd,2014,16,"$128,566,271",-17.4%,"$144,538,498",-12.3%,52,Captain America: The Winter Soldier
Apr 18-20,2014,16,"$116,260,430",-11.3%,"$133,412,005",-4.7%,112,Captain America: The Winter Soldier
Apr 11-13,2014,15,"$131,084,472",-15.9%,"$140,035,789",-16.2%,109,Captain America: The Winter Soldier
Apr 4-6,2014,14,"$155,800,774",+24.9%,"$167,195,578",+18.8%,115,Captain America: The Winter Soldier
Mar 28-30,2014,13,"$124,746,109",-3.7%,"$140,733,798",-0.5%,107,Noah
Mar 21-23,2014,12,"$129,583,231",+31.4%,"$141,511,040",+24.2%,111,Divergent
Mar 14-16,2014,11,"$98,624,322",-22.7%,"$113,961,674",-20.8%,108,Mr. Peabody & Sherman
Mar 7-9,2014,10,"$127,539,955",+22.5%,"$143,856,540",+16.3%,110,300: Rise of an Empire
Feb 28-Mar 2,2014,9,"$104,089,480",+10.4%,"$123,702,145",+10.6%,113,Non-Stop
Feb 21-23,2014,8,"$94,308,705",-39.5%,"$111,894,114",-37.2%,106,The Lego Movie
Feb 14-17Presidents' Day wknd,2014,7,"$182,141,128",+26.8%,"$208,762,307",+24%,84,The Lego Movie
Feb 14-16,2014,7,"$155,759,468",+17.4%,"$178,203,826",+16.5%,102,The Lego Movie
Feb 7-9,2014,6,"$132,710,403",+101.4%,"$152,984,502",+77.7%,109,The Lego Movie
Jan 31-Feb 2,2014,5,"$65,887,288",-29.5%,"$86,093,764",-27.1%,95,Ride Along
Jan 24-26,2014,4,"$93,470,822",-36.4%,"$118,158,602",-33%,97,Ride Along
Jan 17-19,2014,3,"$146,864,924",+30.6%,"$176,376,093",+25.4%,88,Ride Along
Jan 17-20MLK wknd,2014,3,"$177,312,805",+41.1%,"$213,241,808",+29%,68,Ride Along
Jan 10-12,2014,2,"$112,448,084",-5.5%,"$140,678,920",-0.4%,90,Lone Survivor
Jan 3-5,2014,1,"$118,936,215",-29.1%,"$141,235,662",-28.4%,82,Frozen
Dec 27-29,2013,52,"$167,837,974",+24.5%,"$197,177,755",+37.3%,81,The Hobbit: The Desolation of Smaug
Dec 20-22,2013,51,"$134,837,792",-2.6%,"$143,571,365",-2.8%,80,The Hobbit: The Desolation of Smaug
Dec 13-15,2013,50,"$138,369,003",+64.8%,"$147,702,714",+56.2%,94,The Hobbit: The Desolation of Smaug
Dec 6-8,2013,49,"$83,941,456",-55.7%,"$94,535,353",-54.6%,96,Frozen
Nov 29-Dec 1,2013,48,"$189,483,142",-11.7%,"$208,125,032",-8.1%,104,The Hunger Games: Catching Fire
Nov 28-Dec 1Thanksgiving 4-Day,2013,47,"$224,232,953",-4.9%,"$244,535,600",-0.1%,50,The Hunger Games: Catching Fire
Nov 27-Dec 1Thanksgiving 5-Day,2013,47,"$268,488,814",-3.8%,"$292,303,215",+0.9%,50,The Hunger Games: Catching Fire
Nov 22-24,2013,47,"$214,593,579",+86.4%,"$226,500,439",+77.9%,109,The Hunger Games: Catching Fire
Nov 15-17,2013,46,"$115,112,784",-27.1%,"$127,348,048",-24.2%,117,Thor: The Dark World
Nov 8-10,2013,45,"$157,930,421",+36.2%,"$167,996,561",+31.2%,124,Thor: The Dark World
Nov 1-3,2013,44,"$115,987,099",+24.3%,"$128,021,451",+24.3%,120,Ender's Game
Oct 25-27,2013,43,"$93,288,479",+2.8%,"$103,005,325",-1.4%,117,Bad Grandpa
Oct 18-20,2013,42,"$90,753,518",-12.3%,"$104,483,096",-10.3%,121,Gravity
Oct 11-13,2013,41,"$103,432,837",-7.2%,"$116,527,523",-8%,116,Gravity
Oct 11-14Columbus Day wknd,2013,41,"$119,207,873",-19.2%,"$131,493,515",-17.1%,54,Gravity
Oct 4-6,2013,40,"$111,457,653",+21.7%,"$126,592,855",+17%,132,Gravity
Sep 27-29,2013,39,"$91,565,449",+31.1%,"$108,160,536",+23.9%,135,Cloudy with a Chance of Meatballs 2
Sep 20-22,2013,38,"$69,831,206",-19.3%,"$87,331,800",-15.7%,141,Prisoners
Sep 13-15,2013,37,"$86,531,368",+40.3%,"$103,651,335",+21.9%,134,Insidious: Chapter 2
Sep 6-8,2013,36,"$61,672,745",-27.4%,"$85,014,635",-32%,135,Riddick
Aug 30-Sep 1,2013,35,"$84,942,972",+1.3%,"$124,995,564",+13.8%,117,One Direction: This Is Us
Aug 30-Sep 2Labor Day wknd,2013,35,"$110,020,537",+8.9%,"$162,136,448",+21%,112,Lee Daniels' The Butler
Aug 23-25,2013,34,"$83,842,081",-26.2%,"$109,886,108",-21.2%,116,Lee Daniels' The Butler
Aug 16-18,2013,33,"$113,572,527",-17.5%,"$139,521,935",-12.4%,116,Lee Daniels' The Butler
Aug 9-11,2013,32,"$137,650,749",+16.7%,"$159,265,982",+15.3%,103,Elysium
Aug 2-4,2013,31,"$117,938,083",-22.3%,"$138,139,733",-19.9%,100,2 Guns
Jul 26-28,2013,30,"$151,703,400",-13%,"$172,372,267",-11.9%,104,The Wolverine
Jul 19-21,2013,29,"$174,305,736",-5.2%,"$195,751,234",-0.5%,109,The Conjuring
Jul 12-14,2013,28,"$183,777,279",-16.2%,"$196,649,715",-14.4%,109,Despicable Me 2
Jul 5-7,2013,27,"$219,263,985",+21.5%,"$229,781,413",+20.5%,95,Despicable Me 2
Jun 28-30,2013,26,"$180,411,163",-21.1%,"$190,698,431",-20.7%,104,Monsters University
Jun 21-23,2013,25,"$228,593,120",+18.5%,"$240,393,582",+17.8%,107,Monsters University
Jun 14-16,2013,24,"$192,954,929",+36.5%,"$204,034,802",+36.7%,102,Man of Steel
Jun 7-9,2013,23,"$141,384,924",-11.4%,"$149,251,384",-9.8%,105,The Purge
May 31-Jun 2,2013,22,"$159,570,972",-35.7%,"$165,545,465",-35%,110,Fast & Furious 6
May 24-26,2013,21,"$248,032,672",+68.9%,"$254,693,249",+65.5%,106,Fast & Furious 6
May 24-27Memorial Day wknd,2013,21,"$305,927,990",+67.5%,"$314,240,146",+61.9%,97,Fast & Furious 6
May 17-19,2013,20,"$146,889,482",-2.5%,"$153,855,241",-2.8%,112,Star Trek Into Darkness
May 10-12,2013,19,"$150,642,459",-27.7%,"$158,347,179",-27.2%,121,Iron Man 3
May 3-5,2013,18,"$208,434,380",+166.8%,"$217,475,021",+135.5%,119,Iron Man 3
Apr 26-28,2013,17,"$78,125,503",-19%,"$92,351,407",-16.6%,120,Pain & Gain
Apr 19-21,2013,16,"$96,489,683",-7.7%,"$110,719,635",-5.1%,120,Oblivion
Apr 12-14,2013,15,"$104,482,953",-16.3%,"$116,712,085",-13.4%,122,42
Apr 5-7,2013,14,"$124,827,157",-9.3%,"$134,763,712",-8.5%,127,Evil Dead
Mar 29-Apr 1Easter wknd,2013,13,"$155,717,819",+19.9%,"$164,811,685",+21.1%,53,G.I. Joe: Retaliation
Mar 29-31,2013,13,"$137,577,314",+8.1%,"$147,258,977",+6%,120,G.I. Joe: Retaliation
Mar 22-24,2013,12,"$127,241,394",+37.1%,"$138,891,569",+29.3%,121,The Croods
Mar 15-17,2013,11,"$92,776,114",-25.5%,"$107,411,683",-23.7%,108,Oz the Great and Powerful
Mar 8-10,2013,10,"$124,576,195",+41.9%,"$140,687,760",+28.3%,112,Oz the Great and Powerful
Mar 1-3,2013,9,"$87,821,690",+4.3%,"$109,621,873",+5.9%,106,Jack the Giant Slayer
Feb 22-24,2013,8,"$84,217,867",-30.6%,"$103,534,297",-26.7%,94,Identity Thief
Feb 15-17,2013,7,"$121,272,933",+47.2%,"$141,278,049",+35.6%,99,A Good Day to Die Hard
Feb 15-18Presidents' Day wknd,2013,7,"$143,655,294",-12.9%,"$168,341,536",-13%,86,A Good Day to Die Hard
Feb 8-10,2013,6,"$82,382,252",+26.8%,"$104,216,107",+17.5%,101,Identity Thief
Feb 1-3,2013,5,"$64,959,191",-20%,"$88,701,777",-21%,98,Warm Bodies
Jan 25-27,2013,4,"$81,203,152",-24.6%,"$112,228,923",-19.7%,91,Hansel & Gretel: Witch Hunters
Jan 18-20,2013,3,"$107,738,398",-4%,"$139,772,817",-0.6%,92,Mama
Jan 18-21MLK wknd,2013,3,"$125,704,597",-2.5%,"$165,335,690",+1.5%,68,Mama
Jan 11-13,2013,2,"$112,186,149",-3.7%,"$140,670,134",-4.7%,95,Zero Dark Thirty
Jan 4-6,2013,1,"$116,465,689",-25%,"$147,632,550",-18.7%,96,Texas Chainsaw 3D
"Dec 28-Jan 1, 2013New Year's long wknd",2012,52,"$237,786,853",+37.2%,"$277,443,906",+38.6%,54,The Hobbit: An Unexpected Journey
Dec 28-30,2012,52,"$155,214,547",+60.8%,"$181,537,855",+63.7%,90,The Hobbit: An Unexpected Journey
Dec 21-25Christmas long wknd,2012,51,"$169,697,974",-1.4%,"$204,882,187",+3.4%,53,The Hobbit: An Unexpected Journey
Dec 21-23,2012,51,"$96,513,334",-23.9%,"$110,869,479",-18.9%,95,The Hobbit: An Unexpected Journey
Dec 14-16,2012,50,"$126,779,394",+85.4%,"$136,705,051",+69%,109,The Hobbit: An Unexpected Journey
Dec 7-9,2012,49,"$68,367,628",-32.1%,"$80,905,506",-29.3%,119,Skyfall
Nov 30-Dec 2,2012,48,"$100,734,688",-49.3%,"$114,496,488",-44.9%,108,The Twilight Saga: Breaking Dawn - Part 2
Nov 23-25,2012,47,"$198,595,121",-17.4%,"$207,815,979",-16.9%,107,The Twilight Saga: Breaking Dawn - Part 2
Nov 22-25Thanksgiving 4-Day,2012,46,"$235,765,617",+34.7%,"$244,861,842",+28.5%,49,The Twilight Saga: Breaking Dawn - Part 2
Nov 21-25Thanksgiving 5-Day,2012,46,"$279,039,688",+34.4%,"$289,573,641",+28.6%,50,The Twilight Saga: Breaking Dawn - Part 2
Nov 16-18,2012,46,"$240,504,453",+50.7%,"$250,086,091",+44.1%,115,The Twilight Saga: Breaking Dawn - Part 2
Nov 9-11,2012,45,"$159,539,986",+34.3%,"$173,520,562",+25.4%,120,Skyfall
Nov 2-4,2012,44,"$118,833,677",+58.8%,"$138,368,039",+47.9%,119,Wreck-It Ralph
Oct 26-28,2012,43,"$74,831,900",-35.3%,"$93,548,501",-27.5%,119,Argo
Oct 19-21,2012,42,"$115,619,564",-1.4%,"$129,118,109",-0.7%,118,Paranormal Activity 4
Oct 12-14,2012,41,"$117,244,701",-9.8%,"$129,987,942",-8.6%,117,Taken 2
Oct 5-8Columbus Day wknd,2012,40,"$147,590,739",+62.2%,"$158,700,116",+49.5%,54,Taken 2
Oct 5-7,2012,40,"$130,018,694",+26.2%,"$142,194,488",+19.2%,114,Taken 2
Sep 28-30,2012,39,"$102,991,094",+43.3%,"$119,272,334",+31.2%,122,Hotel Transylvania
Sep 21-23,2012,38,"$71,888,652",+10.9%,"$90,881,797",+4.7%,123,End of Watch
Sep 14-16,2012,37,"$64,824,244",+38.7%,"$86,814,721",+28.2%,124,Resident Evil: Retribution
Sep 7-9,2012,36,"$46,747,004",-40.4%,"$67,728,681",-34.9%,125,The Possession
Aug 31-Sep 3Labor Day wknd,2012,35,"$100,987,641",+1.6%,"$133,965,411",-3.6%,100,The Possession
Aug 31-Sep 2,2012,35,"$78,473,593",+3.6%,"$103,958,765",+6%,106,The Possession
Aug 24-26,2012,34,"$75,735,631",-38.3%,"$98,074,600",-29.7%,119,The Expendables 2
Aug 17-19,2012,33,"$122,759,783",-4.9%,"$139,508,493",-1.9%,109,The Expendables 2
Aug 10-12,2012,32,"$129,143,882",+15.9%,"$142,282,599",+15.6%,113,The Bourne Legacy
Aug 3-5,2012,31,"$111,448,685",-10.3%,"$123,067,042",-8.5%,113,The Dark Knight Rises
Jul 27-29,2012,30,"$124,187,763",-43.9%,"$134,433,234",-41.9%,108,The Dark Knight Rises
Jul 20-22,2012,29,"$221,423,729",+47.6%,"$231,285,377",+40.1%,102,The Dark Knight Rises
Jul 13-15,2012,28,"$150,002,519",-15.9%,"$165,029,467",-16.1%,113,Ice Age: Continental Drift
Jul 6-8,2012,27,"$178,335,880",-6%,"$196,767,679",-6.3%,109,The Amazing Spider-Man
Jun 29-Jul 1,2012,26,"$189,645,968",+24.5%,"$210,047,382",+27.4%,105,Ted
Jun 22-24,2012,25,"$152,347,191",+26.3%,"$164,829,173",+26.5%,107,Brave
Jun 15-17,2012,24,"$120,646,402",-29.7%,"$130,345,800",-28.2%,111,Madagascar 3: Europe's Most Wanted
Jun 8-10,2012,23,"$171,705,112",+29.9%,"$181,630,363",+27.2%,131,Madagascar 3: Europe's Most Wanted
Jun 1-3,2012,22,"$132,181,371",-8.4%,"$142,828,971",-6.8%,129,Snow White and the Huntsman
May 25-27,2012,21,"$144,354,167",+7.8%,"$153,244,254",+7.3%,119,Men in Black 3
May 25-28Memorial Day wknd,2012,21,"$182,669,246",-31%,"$194,092,495",-29.9%,111,Men in Black 3
May 18-20,2012,20,"$133,932,974",-16%,"$142,764,397",-16.5%,131,The Avengers
May 11-13,2012,19,"$159,498,783",-35.3%,"$171,025,163",-33.8%,132,The Avengers
May 4-6,2012,18,"$246,662,936",+170.5%,"$258,295,713",+133.6%,134,The Avengers
Apr 27-29,2012,17,"$91,171,173",-23.3%,"$110,593,680",-18.3%,129,Think Like a Man
Apr 20-22,2012,16,"$118,940,992",+13.4%,"$135,415,449",+18%,125,Think Like a Man
Apr 13-15,2012,15,"$104,850,744",-9.2%,"$114,756,312",-7.3%,115,The Hunger Games
Apr 6-9Easter wknd,2012,14,"$129,893,927",+2.4%,"$136,124,614",-8.7%,45,The Hunger Games
Apr 6-8,2012,14,"$115,439,622",-16.8%,"$123,764,607",-16.9%,123,The Hunger Games
Mar 30-Apr 1,2012,13,"$138,772,071",-31.2%,"$148,926,320",-30.5%,124,The Hunger Games
Mar 23-25,2012,12,"$201,664,110",+115.5%,"$214,253,387",+93%,115,The Hunger Games
Mar 16-18,2012,11,"$93,582,069",-19.3%,"$110,983,561",-18.9%,116,21 Jump Street
Mar 9-11,2012,10,"$116,009,145",-20.4%,"$136,877,195",-18.8%,127,The Lorax
Mar 2-4,2012,9,"$145,788,328",+35.8%,"$168,466,571",+25.8%,118,The Lorax
Feb 24-26,2012,8,"$107,371,847",-22.2%,"$133,892,090",-16.8%,115,Act of Valor
Feb 17-20Presidents' Day wknd,2012,7,"$164,876,415",+9.4%,"$193,509,301",+11.4%,102,Safe House
Feb 17-19,2012,7,"$137,926,714",-18%,"$160,944,778",-16.1%,118,Safe House
Feb 10-12,2012,6,"$168,289,222",+91%,"$191,893,008",+65.8%,111,The Vow
Feb 3-5,2012,5,"$88,088,338",-3.5%,"$115,729,538",-8.4%,105,Chronicle
Jan 27-29,2012,4,"$91,306,608",-11.4%,"$126,328,423",-5.3%,111,The Grey
Jan 20-22,2012,3,"$103,050,329",-2.5%,"$133,441,542",+0.9%,107,Underworld Awakening
Jan 13-15,2012,2,"$105,673,270",-12.3%,"$132,235,551",-5.2%,103,Contraband
Jan 13-16MLK wknd,2012,2,"$128,967,569",-1.1%,"$162,923,701",+2.5%,74,Contraband
Jan 6-8,2012,1,"$120,467,366",-10.4%,"$139,471,507",-9.9%,93,The Devil Inside
"Dec 30-Jan 1, 2012",2011,52,"$134,488,475",+22%,"$154,783,233",+20.9%,81,Mission: Impossible - Ghost Protocol
"Dec 30-Jan 2, 2012New Year's long wknd",2011,52,"$173,320,352",-25.6%,"$200,114,665",-27.2%,76,Mission: Impossible - Ghost Protocol
Dec 23-26Christmas long wknd,2011,51,"$172,035,139",-21.8%,"$198,065,301",-20.6%,75,Mission: Impossible - Ghost Protocol
Dec 23-25,2011,51,"$110,230,829",+4%,"$128,078,515",+8.3%,82,Mission: Impossible - Ghost Protocol
Dec 16-18,2011,50,"$105,970,233",+66%,"$118,308,106",+57%,106,Sherlock Holmes: A Game of Shadows
Dec 9-11,2011,49,"$63,846,449",-9.5%,"$75,350,071",-7.5%,113,New Year's Eve
Dec 2-4,2011,48,"$70,515,083",-6%,"$81,502,185",-5.6%,101,The Twilight Saga: Breaking Dawn - Part 1
Nov 25-27,2011,47,"$148,515,080",-11.5%,"$165,042,631",-8.9%,107,The Twilight Saga: Breaking Dawn - Part 1
Nov 24-27Thanksgiving 4-Day,2011,46,"$175,056,305",-13.3%,"$190,495,014",-11.7%,50,The Twilight Saga: Breaking Dawn - Part 1
Nov 23-27Thanksgiving 5-Day,2011,46,"$207,648,272",-14.2%,"$225,149,356",-12.7%,50,The Twilight Saga: Breaking Dawn - Part 1
Nov 18-20,2011,46,"$213,090,559",+71.6%,"$222,537,158",+62.8%,113,The Twilight Saga: Breaking Dawn - Part 1
Nov 11-13,2011,45,"$124,195,132",+23.4%,"$136,668,947",+19.3%,116,Immortals
Nov 4-6,2011,44,"$100,619,007",+11.5%,"$114,563,511",+10.7%,130,Puss in Boots
Oct 28-30,2011,43,"$90,229,806",-14.2%,"$103,466,351",-14.8%,128,Puss in Boots
Oct 21-23,2011,42,"$105,208,900",+44.6%,"$121,497,511",+38.1%,138,Paranormal Activity 3
Oct 14-16,2011,41,"$72,749,806",-9.1%,"$87,980,984",-7.5%,127,Real Steel
Oct 7-9,2011,40,"$80,038,160",-3.9%,"$95,125,477",-4.2%,129,Real Steel
Oct 7-10Columbus Day wknd,2011,40,"$91,007,749",+4.1%,"$106,161,269",+2.4%,53,Real Steel
Sep 30-Oct 2,2011,39,"$83,299,660",-19.5%,"$99,307,078",-15.9%,127,Dolphin Tale
Sep 23-25,2011,38,"$103,498,944",+24.9%,"$118,048,412",+15.5%,141,The Lion King2011 3D Release
Sep 16-18,2011,37,"$82,870,886",+36.8%,"$102,167,957",+24.7%,140,The Lion King2011 3D Release
Sep 9-11,2011,36,"$60,588,164",-20.9%,"$81,936,910",-23.5%,139,Contagion
Sep 2-5Labor Day wknd,2011,35,"$99,407,337",+6.4%,"$138,952,409",+4.7%,122,The Help
Sep 2-4,2011,35,"$76,554,062",+10.1%,"$107,106,553",+14.8%,130,The Help
Aug 26-28,2011,34,"$69,507,839",-28.6%,"$93,298,182",-24.9%,131,The Help
Aug 19-21,2011,33,"$97,303,811",-27.7%,"$124,210,930",-20.1%,126,The Help
Aug 12-14,2011,32,"$134,605,986",-12.9%,"$155,403,377",-7.1%,129,Rise of the Planet of the Apes
Aug 5-7,2011,31,"$154,610,555",-7.9%,"$167,357,649",-6.9%,125,Rise of the Planet of the Apes
Jul 29-31,2011,30,"$167,881,029",-6.2%,"$179,729,836",-5.8%,122,Cowboys & Aliens
Jul 22-24,2011,29,"$179,068,823",-28%,"$190,704,210",-27.3%,114,Captain America: The First Avenger
Jul 15-17,2011,28,"$248,568,927",+76.9%,"$262,299,124",+67.8%,120,Harry Potter and the Deathly Hallows: Part 2
