Dates,year,Week,Top 10 Gross,%± LW,Overall Gross,%± LW.1,Releases,#1 Release
Nov 16-18,2018,46,"$161,437,498",+5.8%,"$174,705,199",+3.8%,107,Fantastic Beasts: The Crimes of Grindelwald
Nov 9-11,2018,45,"$152,580,543",+17.9%,"$168,344,121",+15.4%,113,The Grinch
Nov 2-4,2018,44,"$129,384,786",+42.2%,"$145,822,119",+38%,119,Bohemian Rhapsody
Oct 26-28,2018,43,"$90,992,092",-41.7%,"$105,667,363",-36.4%,119,Halloween
Oct 19-21,2018,42,"$155,990,869",+23.7%,"$166,083,062",+21.5%,111,Halloween
Oct 12-14,2018,41,"$126,136,778",-25.4%,"$136,738,283",-23.6%,126,Venom
Oct 5-8Columbus Day wknd,2018,40,"$193,103,101",+72.2%,"$203,648,461",+68.2%,74,Venom
Oct 5-7,2018,40,"$168,979,851",+83.4%,"$178,863,365",+68%,122,Venom
Sep 28-30,2018,39,"$92,141,186",+17.7%,"$106,442,479",+15.3%,130,Night School
Sep 21-23,2018,38,"$78,315,568",-16.7%,"$92,316,508",-15.4%,124,The House with a Clock in Its Walls
Sep 14-16,2018,37,"$94,001,600",-11.6%,"$109,133,476",-9.9%,130,The Predator
Sep 7-9,2018,36,"$106,333,196",+44.1%,"$121,114,594",+21.9%,112,The Nun
Aug 31-Sep 3Labor Day wknd,2018,35,"$96,296,736",+56.1%,"$129,333,336",+32.2%,95,Crazy Rich Asians
Aug 31-Sep 2,2018,35,"$73,798,836",-12.7%,"$99,366,551",-4.1%,108,Crazy Rich Asians
Aug 24-26,2018,34,"$84,558,009",-23.6%,"$103,657,410",-19.9%,113,Crazy Rich Asians
Aug 17-19,2018,33,"$110,718,157",-12.8%,"$129,469,267",-12.1%,114,Crazy Rich Asians
Aug 10-12,2018,32,"$126,978,553",+6%,"$147,302,462",+5.4%,100,The Meg
Aug 3-5,2018,31,"$119,739,621",-16.5%,"$139,748,359",-10.8%,108,Mission: Impossible - Fallout
Jul 27-29,2018,30,"$143,331,278",-8.9%,"$156,588,266",-9.3%,111,Mission: Impossible - Fallout
Jul 20-22,2018,29,"$157,376,958",+2.2%,"$172,609,113",+4%,101,The Equalizer 2
Jul 13-15,2018,28,"$154,037,869",-12.9%,"$166,028,564",-12%,102,Hotel Transylvania 3: Summer Vacation
Jul 6-8,2018,27,"$176,800,250",+5.7%,"$188,609,905",+4.9%,102,Ant-Man and the Wasp
Jun 29-Jul 1,2018,26,"$167,201,140",-37.9%,"$179,844,255",-35.2%,108,Jurassic World: Fallen Kingdom
Jun 22-24,2018,25,"$269,388,336",+4.2%,"$277,365,758",+2.3%,103,Jurassic World: Fallen Kingdom
Jun 15-17,2018,24,"$258,481,930",+135.7%,"$271,034,765",+125.3%,104,Incredibles 2
Jun 8-10,2018,23,"$109,660,193",+13%,"$120,294,762",+12.7%,112,Ocean's Eight
Jun 1-3,2018,22,"$97,051,566",-44.6%,"$106,760,099",-41.4%,115,Solo: A Star Wars Story
May 25-27,2018,21,"$175,038,242",-12.7%,"$182,046,016",-13.3%,117,Solo: A Star Wars Story
May 25-28Memorial Day wknd,2018,21,"$218,126,709",+28.5%,"$227,018,880",+25.7%,108,Solo: A Star Wars Story
May 18-20,2018,20,"$200,438,167",+58.2%,"$209,967,303",+50.9%,122,Deadpool 2
May 11-13,2018,19,"$126,696,435",-20.3%,"$139,103,219",-18%,122,Avengers: Infinity War
May 4-6,2018,18,"$158,985,116",-47.5%,"$169,550,312",-46%,115,Avengers: Infinity War
Apr 27-29,2018,17,"$303,012,371",+184.2%,"$313,937,789",+149.6%,125,Avengers: Infinity War
Apr 20-22,2018,16,"$106,600,851",-19.1%,"$125,778,372",-16.2%,121,A Quiet Place
Apr 13-15,2018,15,"$131,792,250",-6.4%,"$150,160,537",-8.5%,117,Rampage
Apr 6-8,2018,14,"$140,865,614",+22.2%,"$164,133,343",+19.6%,116,A Quiet Place
Mar 30-Apr 2Easter wknd,2018,13,"$130,872,272",-24.5%,"$154,921,251",-16.9%,59,Ready Player One
Mar 30-Apr 1,2018,13,"$115,250,516",+6.1%,"$137,246,461",+5.2%,112,Ready Player One
Mar 23-25,2018,12,"$108,669,222",-8.5%,"$130,423,221",-1.8%,114,Pacific Rim: Uprising
Mar 16-18,2018,11,"$118,810,762",-3.5%,"$132,848,455",-4.9%,114,Black Panther
Mar 9-11,2018,10,"$123,134,923",-8.3%,"$139,696,317",-6.3%,112,Black Panther
Mar 2-4,2018,9,"$134,280,505",-24.2%,"$149,122,522",-23.8%,115,Black Panther
Feb 23-25,2018,8,"$177,068,935",-33.8%,"$195,707,999",-31.8%,110,Black Panther
Feb 16-19Presidents' Day wknd,2018,7,"$323,004,490",+107.3%,"$346,075,601",+90.5%,91,Black Panther
Feb 16-18,2018,7,"$267,360,455",+134.9%,"$286,751,803",+102.7%,102,Black Panther
Feb 9-11,2018,6,"$113,834,248",+73.2%,"$141,457,633",+48.9%,105,Fifty Shades Freed
Feb 2-4,2018,5,"$65,718,354",-35.9%,"$94,988,230",-33.6%,102,Jumanji: Welcome to the Jungle
Jan 26-28,2018,4,"$102,483,376",-1.6%,"$142,985,855",+5.4%,104,Maze Runner: The Death Cure
Jan 19-21,2018,3,"$104,176,178",-19.4%,"$135,628,208",-14.8%,103,Jumanji: Welcome to the Jungle
Jan 12-14,2018,2,"$129,325,213",-10.3%,"$159,135,848",-3.9%,95,Jumanji: Welcome to the Jungle
Jan 12-15MLK wknd,2018,2,"$158,634,790",+7.4%,"$195,812,771",+5.7%,76,Jumanji: Welcome to the Jungle
Jan 5-7,2018,1,"$144,171,701",-16.8%,"$165,531,482",-14.7%,89,Jumanji: Welcome to the Jungle
Dec 29-31,2017,52,"$173,344,651",+5.5%,"$194,096,602",+8.9%,74,Star Wars: Episode VIII - The Last Jedi
"Dec 29-Jan 1, 2018New Year's long wknd",2017,52,"$226,045,913",+2.6%,"$253,441,683",+2.7%,67,Star Wars: Episode VIII - The Last Jedi
Dec 22-25Christmas long wknd,2017,51,"$236,559,567",-5.6%,"$259,567,981",-5.5%,62,Star Wars: Episode VIII - The Last Jedi
Dec 22-24,2017,51,"$164,303,262",-38.5%,"$178,168,406",-35.9%,72,Star Wars: Episode VIII - The Last Jedi
Dec 15-17,2017,50,"$267,186,366",+278.2%,"$278,067,957",+227.6%,86,Star Wars: Episode VIII - The Last Jedi
Dec 8-10,2017,49,"$70,644,026",-27%,"$84,873,861",-19.3%,108,Coco
Dec 1-3,2017,48,"$96,708,952",+15.5%,"$105,185,400",+9.8%,110,Coco
Nov 24-26,2017,47,"$178,495,539",+4.6%,"$188,835,224",+2.4%,99,Coco
Nov 23-26Thanksgiving 4-Day,2017,46,"$212,423,997",+4.9%,"$222,844,449",+2.6%,60,Coco
Nov 22-26Thanksgiving 5-Day,2017,46,"$255,508,291",+4.8%,"$267,474,764",+2.6%,61,Coco
Nov 17-19,2017,46,"$192,816,366",+39.9%,"$199,223,159",+31.4%,111,Justice League
Nov 10-12,2017,45,"$137,873,693",-16.3%,"$151,562,937",-15.9%,124,Thor: Ragnarok
Nov 3-5,2017,44,"$164,643,982",+184.4%,"$180,275,276",+134.6%,126,Thor: Ragnarok
Oct 27-29,2017,43,"$57,899,380",-24.2%,"$76,856,088",-19.9%,128,Jigsaw
Oct 20-22,2017,42,"$76,408,192",-13.9%,"$95,980,741",-4.5%,137,Boo 2! A Madea Halloween
Oct 13-15,2017,41,"$88,765,700",-8.5%,"$100,461,379",-4.8%,135,Happy Death Day
Oct 6-8,2017,40,"$97,001,069",+20.9%,"$105,557,205",+16.2%,132,Blade Runner 2049
Oct 6-9Columbus Day wknd,2017,40,"$112,153,933",+5%,"$121,081,241",+2.6%,67,Blade Runner 2049
Sep 29-Oct 1,2017,39,"$80,260,428",-26%,"$90,846,336",-23%,131,Kingsman: The Golden Circle
Sep 22-24,2017,38,"$108,472,634",+6.8%,"$117,918,784",+5.1%,131,Kingsman: The Golden Circle
Sep 15-17,2017,37,"$101,574,131",-33.6%,"$112,222,203",-31.6%,143,It
Sep 8-10,2017,36,"$153,028,668",+213.2%,"$164,044,803",+111.3%,135,It
Sep 1-4Labor Day wknd,2017,35,"$61,708,167",-28%,"$97,866,622",-23.8%,121,The Hitman's Bodyguard
Sep 1-3,2017,35,"$48,865,218",+6%,"$77,634,434",+12%,125,The Hitman's Bodyguard
Aug 25-27,2017,34,"$46,116,140",-39.1%,"$69,312,122",-28.2%,130,The Hitman's Bodyguard
Aug 18-20,2017,33,"$75,677,045",-20.5%,"$96,486,715",-17.5%,124,The Hitman's Bodyguard
Aug 11-13,2017,32,"$95,249,031",-9.7%,"$116,913,742",-4.8%,123,Annabelle: Creation
Aug 4-6,2017,31,"$105,440,174",-21.4%,"$122,787,940",-15%,106,The Dark Tower
Jul 28-30,2017,30,"$134,073,732",-22.5%,"$144,397,313",-20.1%,122,Dunkirk
Jul 21-23,2017,29,"$172,931,486",+10.8%,"$180,801,251",+10.7%,114,Dunkirk
Jul 14-16,2017,28,"$156,068,438",-21.3%,"$163,324,876",-20.9%,109,War for the Planet of the Apes
Jul 7-9,2017,27,"$198,323,345",+26.2%,"$206,488,903",+21.5%,109,Spider-Man: Homecoming
Jun 30-Jul 4July 4th long wknd,2017,26,"$221,241,108",+1.5%,"$239,317,563",+3.5%,77,Despicable Me 3
Jun 30-Jul 2,2017,26,"$157,207,541",+20.9%,"$169,890,949",+20.6%,110,Despicable Me 3
Jun 23-25,2017,25,"$130,023,273",-27.3%,"$140,826,843",-26.1%,109,Transformers: The Last Knight
Jun 16-18,2017,24,"$178,932,468",+30.3%,"$190,580,340",+32.2%,115,Cars 3
Jun 9-11,2017,23,"$137,307,539",-23.3%,"$144,176,376",-22.4%,108,Wonder Woman
Jun 2-4,2017,22,"$179,022,383",+33.6%,"$185,842,459",+30.6%,110,Wonder Woman
May 26-29Memorial Day wknd,2017,21,"$169,805,597",-13.8%,"$180,565,176",-12.1%,88,Pirates of the Caribbean: Dead Men Tell No Tales
May 26-28,2017,21,"$133,992,099",+16.2%,"$142,341,187",+14.4%,103,Pirates of the Caribbean: Dead Men Tell No Tales
May 19-21,2017,20,"$115,331,687",-7.4%,"$124,441,368",-8.5%,111,Alien: Covenant
May 12-14,2017,19,"$124,517,741",-32.5%,"$136,001,326",-30.3%,114,Guardians of the Galaxy Vol. 2
May 5-7,2017,18,"$184,356,127",+128.2%,"$195,098,085",+95.5%,109,Guardians of the Galaxy Vol. 2
Apr 28-30,2017,17,"$80,793,191",-11.1%,"$99,778,230",-7.3%,112,The Fate of the Furious
Apr 21-23,2017,16,"$90,926,040",-41.7%,"$107,650,168",-36.2%,110,The Fate of the Furious
Apr 14-17Easter wknd,2017,15,"$173,236,946",-35.9%,"$186,508,700",-33%,50,The Fate of the Furious
Apr 14-16,2017,15,"$155,863,273",+46.6%,"$168,607,242",+40.4%,104,The Fate of the Furious
Apr 7-9,2017,14,"$106,287,914",-34.2%,"$120,077,853",-29.2%,103,The Boss Baby
Mar 31-Apr 2,2017,13,"$161,650,523",-16.1%,"$169,546,152",-16.1%,100,The Boss Baby
Mar 24-26,2017,12,"$192,647,503",-23.6%,"$202,066,084",-22.5%,100,Beauty and the Beast
Mar 17-19,2017,11,"$252,225,276",+68.9%,"$260,823,456",+59%,103,Beauty and the Beast
Mar 10-12,2017,10,"$149,362,845",-11.1%,"$163,997,836",-13.5%,107,Kong: Skull Island
Mar 3-5,2017,9,"$168,014,995",+61.8%,"$189,697,727",+52.8%,100,Logan
Feb 24-26,2017,8,"$103,860,378",-19.4%,"$124,126,169",-17.6%,87,Get Out
Feb 17-20Presidents' Day wknd,2017,7,"$155,796,460",-37.9%,"$181,705,870",-34.8%,68,The Lego Batman Movie
Feb 17-19,2017,7,"$128,860,229",-24.7%,"$150,631,026",-20.1%,80,The Lego Batman Movie
Feb 10-12,2017,6,"$171,094,497",+126.1%,"$188,591,354",+90%,87,The Lego Batman Movie
Feb 3-5,2017,5,"$75,662,315",-32.2%,"$99,239,960",-30.1%,97,Split
Jan 27-29,2017,4,"$111,650,133",-7.1%,"$141,980,332",-2.1%,85,Split
Jan 20-22,2017,3,"$120,214,041",+1%,"$145,007,859",-2.9%,89,Split
Jan 13-15,2017,2,"$119,057,524",-1.2%,"$149,365,311",+8.7%,80,Hidden Figures
Jan 13-16MLK wknd,2017,2,"$147,714,852",-15.7%,"$185,210,740",-7.7%,66,Hidden Figures
Jan 6-8,2017,1,"$120,491,633",-27.6%,"$137,405,045",-26.4%,88,Hidden Figures
"Dec 30-Jan 1, 2017",2016,53,"$166,381,697",+0.8%,"$186,656,052",+2.9%,81,Rogue One: A Star Wars Story
"Dec 30-Jan 2, 2017New Year's long wknd",2016,53,"$220,396,876",-7.3%,"$246,770,071",-11.1%,68,Rogue One: A Star Wars Story
Dec 23-26Christmas long wknd,2016,52,"$250,611,546",+47.7%,"$274,763,402",+34.1%,67,Rogue One: A Star Wars Story
Dec 23-25,2016,52,"$165,020,197",-18.9%,"$181,350,322",-14.3%,82,Rogue One: A Star Wars Story
Dec 16-18,2016,51,"$203,485,726",+184.3%,"$211,583,035",+152.7%,99,Rogue One: A Star Wars Story
Dec 9-11,2016,50,"$71,566,771",-14.5%,"$83,717,240",-12.6%,114,Moana
Dec 2-4,2016,49,"$83,749,622",-50.9%,"$95,805,897",-48%,131,Moana
Nov 25-27,2016,48,"$170,608,751",+16.4%,"$184,385,596",+16.7%,116,Moana
Nov 24-27Thanksgiving 4-Day,2016,47,"$202,563,369",+1.6%,"$217,250,328",+0.7%,55,Moana
Nov 23-27Thanksgiving 5-Day,2016,47,"$243,739,138",+2.4%,"$260,702,622",+1.5%,56,Moana
Nov 18-20,2016,47,"$146,558,755",+0.5%,"$157,984,223",-0.3%,121,Fantastic Beasts and Where to Find Them
Nov 11-13,2016,46,"$145,898,093",-19.2%,"$158,440,850",-17.3%,122,Doctor Strange
Nov 4-6,2016,45,"$180,664,140",+143.5%,"$191,568,495",+115.7%,123,Doctor Strange
Oct 28-30,2016,44,"$74,204,699",-32%,"$88,827,696",-28.9%,123,Boo! A Madea Halloween
Oct 21-23,2016,43,"$109,125,994",+28.4%,"$125,010,284",+26.3%,132,Boo! A Madea Halloween
Oct 14-16,2016,42,"$84,988,876",-8.7%,"$98,992,813",-5.1%,127,The Accountant
Oct 7-9,2016,41,"$93,110,131",-8.9%,"$104,318,625",-9.2%,127,The Girl on the Train
Oct 7-10Columbus Day wknd,2016,41,"$106,770,187",-12.7%,"$117,974,034",-11.4%,69,The Girl on the Train
Sep 30-Oct 2,2016,40,"$102,190,772",+10.1%,"$114,916,308",+10.4%,136,Miss Peregrine's Home for Peculiar Children
Sep 23-25,2016,39,"$92,840,344",+30.6%,"$104,137,992",+15.7%,134,The Magnificent Seven
Sep 16-18,2016,38,"$71,090,385",-11.5%,"$90,021,653",-10.7%,126,Sully
Sep 9-11,2016,37,"$80,346,710",+20.1%,"$100,848,825",+0.7%,122,Sully
Sep 2-4,2016,36,"$66,887,892",-26.7%,"$100,107,664",-14.7%,106,Don't Breathe
Sep 2-5Labor Day wknd,2016,36,"$85,743,900",+9.8%,"$128,361,944",+9.8%,98,Don't Breathe
Aug 26-28,2016,35,"$91,226,565",-18.8%,"$117,321,334",-11.2%,107,Don't Breathe
