Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
Dec 18-20,2009,51,126343342,52.90%,137963395,42.10%,96,Avatar,/weekend/2009W51/?ref_=bo_wey_table_2
Dec 11-13,2009,50,82656512,-4.20%,97058602,-2.60%,104,The Princess and the Frog,/weekend/2009W50/?ref_=bo_wey_table_3
Dec 4-6,2009,49,86237399,-50%,99663975,-46.50%,113,The Blind Side,/weekend/2009W49/?ref_=bo_wey_table_4
Nov 25-29Thanksgiving 5-Day,2009,48,251418028,15.20%,266644110,16.60%,55,The Twilight Saga: New Moon,/weekend/2009W47/occasion/us_thanksgiving_5/?ref_=bo_wey_table_7
Nov 20-22,2009,47,246948248,98.90%,258576253,84.70%,123,The Twilight Saga: New Moon,/weekend/2009W47/?ref_=bo_wey_table_8
Nov 13-15,2009,46,124130245,20.60%,139985928,16.80%,128,2012,/weekend/2009W46/?ref_=bo_wey_table_9
Nov 6-8,2009,45,102932989,32.80%,119864425,31.90%,128,A Christmas Carol,/weekend/2009W45/?ref_=bo_wey_table_10
Oct 30-Nov 1,2009,44,77489382,-23.20%,90874415,-21.70%,133,This Is It,/weekend/2009W44/?ref_=bo_wey_table_11
Oct 23-25,2009,43,100949943,-19%,116118451,-16.20%,135,Paranormal Activity,/weekend/2009W43/?ref_=bo_wey_table_12
Oct 16-18,2009,42,124637638,35.60%,138588159,25.90%,135,Where the Wild Things Are,/weekend/2009W42/?ref_=bo_wey_table_13
Oct 9-12Columbus Day wknd,2009,41,105261988,15.10%,123465598,9.20%,57,Couples Retreat,/weekend/2009W41/occasion/us_columbusday_weekend/?ref_=bo_wey_table_15
Oct 2-4,2009,40,87465911,10.20%,107092990,10.60%,130,Zombieland,/weekend/2009W40/?ref_=bo_wey_table_16
Sep 25-27,2009,39,79376189,-4.60%,96863428,-5%,137,Cloudy with a Chance of Meatballs,/weekend/2009W39/?ref_=bo_wey_table_17
Sep 18-20,2009,38,83214524,16.50%,101915572,10.40%,132,Cloudy with a Chance of Meatballs,/weekend/2009W38/?ref_=bo_wey_table_18
Sep 11-13,2009,37,71451514,-6.50%,92274610,-5.60%,122,I Can Do Bad All by Myself,/weekend/2009W37/?ref_=bo_wey_table_19
Sep 4-7Labor Day wknd,2009,36,96256938,12%,124476257,0.60%,108,The Final Destination,/weekend/2009W36/occasion/us_laborday_weekend/?ref_=bo_wey_table_20
Aug 28-30,2009,35,105329392,-1.10%,125028168,-1.80%,119,The Final Destination,/weekend/2009W35/?ref_=bo_wey_table_22
Aug 21-23,2009,34,106503767,-10.60%,127268259,-10.70%,120,Inglourious Basterds,/weekend/2009W34/?ref_=bo_wey_table_23
Aug 14-16,2009,33,119101428,-5.20%,142476028,-3.10%,116,District 9,/weekend/2009W33/?ref_=bo_wey_table_24
Aug 7-9,2009,32,125660546,17.30%,147046404,15.10%,115,G.I. Joe: The Rise of Cobra,/weekend/2009W32/?ref_=bo_wey_table_25
Jul 31-Aug 2,2009,31,107143812,-22.50%,127760028,-15.70%,119,Funny People,/weekend/2009W31/?ref_=bo_wey_table_26
Jul 24-26,2009,30,138205853,-8.10%,151593131,-5.60%,112,G-Force,/weekend/2009W30/?ref_=bo_wey_table_27
Jul 17-19,2009,29,150389463,13.70%,160546686,12%,112,Harry Potter and the Half-Blood Prince,/weekend/2009W29/?ref_=bo_wey_table_28
Jul 10-12,2009,28,132244941,-13.40%,143315556,-11.80%,107,Br¨¹no,/weekend/2009W28/?ref_=bo_wey_table_29
Jul 3-5,2009,27,152619904,-19.90%,162461789,-19.10%,103,Transformers: Revenge of the Fallen,/weekend/2009W27/?ref_=bo_wey_table_30
Jun 26-28,2009,26,190609317,36.40%,200752945,33%,114,Transformers: Revenge of the Fallen,/weekend/2009W26/?ref_=bo_wey_table_31
Jun 19-21,2009,25,139770972,8.10%,150983198,9.50%,124,The Proposal,/weekend/2009W25/?ref_=bo_wey_table_32
Jun 12-14,2009,24,129330317,-18.10%,137931239,-16.70%,125,The Hangover,/weekend/2009W24/?ref_=bo_wey_table_33
Jun 5-7,2009,23,157921508,-1.20%,165598060,-0.30%,120,The Hangover,/weekend/2009W23/?ref_=bo_wey_table_34
May 29-31,2009,22,159873985,-5%,166122627,-5.80%,110,Up,/weekend/2009W22/?ref_=bo_wey_table_35
May 22-25Memorial Day wknd,2009,21,211868707,-0.20%,221901103,1.10%,112,Night at the Museum: Battle of the Smithsonian,/weekend/2009W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_37
May 15-17,2009,20,128079406,-7.80%,137460577,-8.10%,112,Angels & Demons,/weekend/2009W20/?ref_=bo_wey_table_38
