year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2017,22,1,-,Wonder Woman,Warner Bros.,"$103,251,471",-,4165,-,"$24,790","$103,251,471",1
2017,22,2,-,Captain Underpants: The First Epic Movie,Fox,"$23,851,539",-,3434,-,"$6,945","$23,851,539",1
2017,22,3,1,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Studios Motion Pictures,"$22,087,099",-64.9%,4276,-,"$5,165","$115,095,870",2
2017,22,4,2,Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,"$9,839,370",-52.9%,3507,-364,"$2,805","$355,580,702",5
2017,22,5,3,Baywatch,Paramount Pictures,"$8,786,607",-52.5%,3647,-,"$2,409","$42,011,045",2
2017,22,6,4,Alien: Covenant,Fox,"$4,122,884",-61.2%,2660,-1112,"$1,549","$67,342,368",3
2017,22,7,5,"Everything, Everything",Warner Bros.,"$3,301,366",-45.1%,2375,-426,"$1,390","$28,282,953",3
2017,22,8,7,Snatched,Fox,"$1,318,582",-66.9%,1625,-1033,$811,"$43,846,996",4
2017,22,9,6,Diary of a Wimpy Kid: The Long Haul,Fox,"$1,289,793",-71.2%,2088,-1086,$617,"$17,894,397",3
2017,22,10,8,King Arthur: Legend of the Sword,Warner Bros.,"$1,173,672",-64.4%,1222,-1281,$960,"$37,176,629",4
2017,22,11,11,Beauty and the Beast,Walt Disney Studios Motion Pictures,"$658,056",-55%,527,-549,"$1,248","$502,136,527",12
2017,22,12,9,The Boss Baby,Fox,"$621,139",-64%,684,-658,$908,"$170,921,703",10
2017,22,13,-,3 idiotas,-,"$609,249",-,349,-,"$1,745","$609,249",1
2017,22,14,16,Paris Can Wait,Sony Pictures Classics,"$529,395",+22.6%,151,+81,"$3,505","$1,606,002",4
2017,22,15,10,The Fate of the Furious,Universal Pictures,"$489,465",-67.2%,593,-765,$825,"$223,807,400",8
2017,22,16,-,Churchill,Cohen Media Group,"$408,891",-,215,-,"$1,901","$408,891",1
2017,22,17,12,How to Be a Latin Lover,-,"$277,496",-71.5%,277,-392,"$1,001","$31,701,000",6
2017,22,18,13,The Lovers,A24,"$244,817",-62.1%,348,-95,$703,"$1,912,185",5
2017,22,19,21,Going in Style,Warner Bros.,"$230,076",-5.7%,303,-41,$759,"$44,245,405",9
2017,22,20,19,Smurfs: The Lost Village,Sony Pictures Releasing,"$224,882",-20.7%,272,-90,$826,"$44,035,646",9
2017,22,21,20,Kong: Skull Island,Warner Bros.,"$211,867",-21.9%,208,-38,"$1,018","$167,755,562",13
2017,22,22,18,The Wedding Plan,Roadside Attractions,"$208,817",-32.3%,123,+26,"$1,697","$982,959",4
2017,22,23,15,Norman,Sony Pictures Classics,"$202,826",-57.6%,232,-92,$874,"$3,458,709",8
2017,22,24,14,Lowriders,BH Tilt,"$201,620",-66.5%,179,-155,"$1,126","$5,754,625",4
2017,22,25,17,Gifted,Fox Searchlight Pictures,"$177,362",-53.9%,225,-155,$788,"$24,066,707",9
2017,22,26,31,Logan,Fox,"$177,362",+51.1%,92,-67,"$1,927","$226,187,306",14
2017,22,27,-,Jonah: The Musical,Fathom Events,"$110,658",-,463,-,$239,"$631,154",5
2017,22,28,23,A Quiet Passion,Music Box Films,"$100,912",-42.2%,98,-20,"$1,029","$1,618,107",8
2017,22,29,24,The Zookeeper's Wife,Focus Features,"$75,885",-51.4%,115,-50,$659,"$17,304,281",10
2017,22,30,22,Get Out,Universal Pictures,"$75,385",-58.2%,121,-67,$623,"$175,428,355",15
2017,22,31,28,The Lego Batman Movie,Warner Bros.,"$74,221",-41.5%,166,-10,$447,"$175,686,290",17
2017,22,32,27,Born in China,Walt Disney Studios Motion Pictures,"$73,395",-44.5%,115,-115,$638,"$13,664,718",7
2017,22,33,-,Dean,CBS Films,"$60,366",-,15,-,"$4,024","$60,366",1
2017,22,34,30,The Circle,STX Entertainment,"$54,286",-54.2%,91,-117,$596,"$20,476,301",6
2017,22,35,29,Their Finest,STX Entertainment,"$51,765",-58.8%,73,-34,$709,"$3,506,461",9
2017,22,36,26,The Lost City of Z,Bleecker Street Media,"$51,633",-61.1%,121,-,$426,"$8,377,952",8
