year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2011,23,1,-,Super 8,Paramount Pictures,"$35,451,168",-,3379,-,"$10,491","$36,451,168",1
2011,23,2,1,X-Men: First Class,Fox,"$24,128,986",-56.2%,3692,+51,"$6,535","$98,023,335",2
2011,23,3,2,The Hangover Part II,Warner Bros.,"$17,667,329",-43.7%,3675,+60,"$4,807","$215,727,461",3
2011,23,4,3,Kung Fu Panda 2,DreamWorks,"$16,543,166",-30.7%,3929,-23,"$4,210","$126,813,240",3
2011,23,5,4,Pirates of the Caribbean: On Stranger Tides,Walt Disney Studios Motion Pictures,"$10,945,764",-39%,3433,-533,"$3,188","$208,873,258",4
2011,23,6,5,Bridesmaids,Universal Pictures,"$10,066,290",-16.4%,2922,+3,"$3,445","$123,815,865",5
2011,23,7,-,Midnight in Paris,Sony Pictures Classics,"$6,146,000",-,944,+797,-,"$14,225,000",4
2011,23,8,-,Judy Moody and the Not Bummer Summer,Relativity Media,"$6,076,859",-,2524,-,"$2,407","$6,076,859",1
2011,23,9,6,Thor,Paramount Pictures,"$2,435,215",-42.7%,1782,-998,"$1,366","$173,664,723",6
2011,23,10,7,Fast Five,Universal Pictures,"$1,727,330",-45.4%,1329,-908,"$1,299","$205,094,205",7
2011,23,11,13,The Tree of Life,Fox Searchlight Pictures,"$827,009",+33.8%,47,+27,"$17,595","$2,361,655",3
2011,23,12,11,Rio,Fox,"$670,101",-9.3%,527,-164,"$1,271","$137,780,829",9
2011,23,13,12,Water for Elephants,Fox,"$478,835",-31.1%,466,-106,"$1,027","$56,599,794",8
2011,23,14,9,Something Borrowed,Warner Bros.,"$464,296",-45.2%,366,-322,"$1,268","$37,626,409",6
2011,23,15,10,Jumping the Broom,Concorde Film,"$458,349",-45.8%,365,-224,"$1,255","$36,695,004",6
2011,23,16,19,Soul Surfer,Concorde Film,"$295,371",+44.8%,317,+72,$931,"$42,181,380",10
2011,23,17,16,Cave of Forgotten Dreams,IFC Films,"$261,390",-24.5%,122,-,"$2,142","$3,727,369",7
2011,23,18,28,Beginners,Focus Features,"$243,059",+72%,19,+14,"$12,792","$453,329",2
2011,23,19,20,Born to Be Wild,Warner Bros.,"$205,420",+13.1%,47,-,"$4,370","$6,768,948",10
2011,23,20,14,Ready,Eros International,"$190,097",-58.7%,97,-,"$1,959","$781,855",2
2011,23,21,17,Rango,Paramount Pictures,"$176,672",-26.1%,220,-34,$803,"$122,474,579",15
2011,23,22,18,Source Code,Summit Entertainment,"$173,626",-26.1%,248,-40,$700,"$54,162,132",11
2011,23,23,21,Insidious,FilmDistrict,"$136,696",-24.2%,134,-26,"$1,020","$53,235,901",11
2011,23,24,22,Incendies,Sony Pictures Classics,"$132,144",-24.7%,85,-5,"$1,554","$1,388,418",8
2011,23,25,52,Hoodwinked!2011 Re-release,The Weinstein Company,"$120,099",+293.1%,182,+102,$659,"$9,664,291",7
2011,23,26,15,Priest,Screen Gems,"$115,668",-69.3%,169,-414,$684,"$29,028,376",5
2011,23,27,25,Limitless,Relativity Media,"$109,347",-27.2%,166,-66,$658,"$78,935,467",13
2011,23,28,23,Hop,Universal Pictures,"$106,385",-37.5%,190,-55,$559,"$108,012,170",11
2011,23,29,24,Hanna,Focus Features,"$98,902",-34.4%,147,-50,$672,"$39,997,233",10
2011,23,30,36,Hubble 3D,Warner Bros.,"$94,561",+23.3%,31,-1,"$3,050","$25,604,628",65
2011,23,31,30,The Double Hour,The Samuel Goldwyn Company,"$88,120",-27.4%,55,-13,"$1,602","$1,082,554",9
2011,23,32,31,The Lincoln Lawyer,Lionsgate,"$84,670",-24.7%,101,-95,$838,"$57,133,686",13
2011,23,33,-,The Trip,IFC Films,"$77,904",-,6,-,"$12,984","$77,904",1
2011,23,34,29,Win Win,Fox Searchlight Pictures,"$76,654",-38.6%,100,-41,$766,"$10,002,487",13
2011,23,35,51,Prom,Walt Disney Studios Motion Pictures,"$75,613",+131.9%,141,+102,$536,"$10,019,594",7
2011,23,36,27,Madea's Big Happy Family,Lionsgate,"$75,462",-47.8%,112,-84,$673,"$52,764,489",8
2011,23,37,32,Diary of a Wimpy Kid: Rodrick Rules,Fox,"$74,731",-29.3%,117,-65,$638,"$52,459,144",12
2011,23,38,26,Everything Must Go,Roadside Attractions,"$66,215",-54.6%,87,-20,$761,"$2,535,133",5
2011,23,39,33,Jane Eyre,Focus Features,"$63,016",-37.5%,90,-38,$700,"$11,007,281",14
2011,23,40,46,Submarine,The Weinstein Company,"$55,848",+33.5%,17,+13,"$3,285","$117,767",2
2011,23,41,-,Bride Flight2011 Re-release,Music Box Films,"$54,044",-,18,-,"$3,002","$54,044",1
2011,23,42,34,The Conspirator,Roadside Attractions,"$44,376",-48.8%,66,-43,$672,"$11,414,718",9
2011,23,43,38,Sea Rex 3D: Journey to a Prehistoric World,3D Entertainment,"$42,816",-34.5%,11,-,"$3,892","$3,001,697",55
2011,23,44,37,Meek's Cutoff,Oscilloscope,"$42,121",-38.9%,41,-4,"$1,027","$794,075",10
2011,23,45,50,Under the Sea 3D,Warner Bros.,"$38,900",+17.7%,17,+1,"$2,288","$27,361,966",122
2011,23,46,39,13 Assassins,Magnolia Pictures,"$38,426",-32.3%,26,-3,"$1,477","$608,648",7
2011,23,47,44,Forks Over Knives,-,"$38,320",-11.6%,39,+4,$982,"$545,920",23
2011,23,48,35,Scream 4,-,"$37,465",-51.9%,80,-121,$468,"$38,127,339",9
2011,23,49,55,In a Better World,Sony Pictures Classics,"$27,912",+28.8%,33,+1,$845,"$830,481",11
2011,23,50,48,Bill Cunningham: New York,Zeitgeist Films,"$27,529",-26.7%,19,-3,"$1,448","$1,256,213",13
2011,23,51,45,The First Grader,National Geographic Entertainment,"$26,052",-38.8%,30,-6,$868,"$270,171",5
2011,23,52,41,Gnomeo & Juliet,Walt Disney Studios Motion Pictures,"$22,553",-54.6%,43,-42,$524,"$99,776,510",18
2011,23,53,40,Mars Needs Moms,Walt Disney Studios Motion Pictures,"$22,480",-59.4%,53,-47,$424,"$21,345,454",14
2011,23,54,47,I Am,Paladin,"$20,860",-45.9%,36,-6,$579,"$1,495,844",17
2011,23,55,56,Space Station 3D,IMAX,"$19,968",+8.4%,2,-,"$9,984","$83,699,277",478
2011,23,56,53,African Cats,Walt Disney Studios Motion Pictures,"$16,725",-44.3%,39,-33,$428,"$14,912,432",8
2011,23,57,57,Of Gods and Men,Sony Pictures Classics,"$16,192",-11.7%,26,-3,$622,"$3,921,815",16
2011,23,58,42,The Beaver,Summit Entertainment,"$15,633",-67.8%,46,-22,$339,"$914,125",6
2011,23,59,104,Poema de salvación,CanZion Films,"$13,802","+1,994.4%",9,+8,"$1,533","$883,712",42
2011,23,60,54,L'amour fou,IFC Films,"$13,460",-46.2%,15,-1,$897,"$260,725",5
2011,23,61,49,Potiche,Music Box Films,"$12,422",-64.7%,16,-17,$776,"$1,574,606",12
2011,23,62,63,Hobo with a Shotgun,Magnolia Pictures,"$11,583",-10.1%,15,+1,$772,"$643,655",6
2011,23,63,59,The Last Mountain,Dada Films,"$11,515",-34.5%,3,+1,"$3,838","$33,723",2
2011,23,64,-,Viva Riva!,Music Box Films,"$10,314",-,3,-,"$3,438","$10,314",1
2011,23,65,58,The Princess of Montpensier,IFC Films,"$9,546",-47.9%,11,-9,$867,"$325,198",9
2011,23,66,60,Oorlogswinter2010 Re-release,Sony Pictures Classics,"$8,765",-49%,16,-5,$547,"$483,794",13
2011,23,67,68,Rejoice and Shout,Magnolia Pictures,"$8,536",+29.5%,6,+5,"$1,422","$18,635",2
2011,23,68,85,Le Quattro Volte,Lorber Films,"$6,939",+181.2%,4,+2,"$1,734","$122,799",11
