year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2019,36,1,-,It Chapter Two,Warner Bros.,"$91,062,152",-,4570,-,"$19,926","$91,062,152",1
2019,36,2,1,Angel Has Fallen,Lionsgate,"$5,990,157",-49.2%,3229,-107,"$1,855","$53,450,658",3
2019,36,3,2,Good Boys,Universal Pictures,"$5,479,460",-42.4%,3193,-265,"$1,716","$66,939,160",4
2019,36,4,3,The Lion King,Walt Disney Studios Motion Pictures,"$4,324,341",-37.5%,2610,-580,"$1,656","$529,237,780",8
2019,36,5,4,Fast & Furious Presents: Hobbs & Shaw,Universal Pictures,"$3,807,905",-41.1%,2299,-673,"$1,656","$164,340,050",6
2019,36,6,6,Overcomer,-,"$3,712,762",-34.5%,2153,+326,"$1,724","$24,668,925",3
2019,36,7,11,Dora and the Lost City of Gold,Paramount Pictures,"$2,345,305",-42.8%,1788,-689,"$1,311","$54,334,455",5
2019,36,8,5,Ready or Not,Fox Searchlight Pictures,"$2,310,792",-60.9%,2350,-648,$983,"$25,712,480",3
2019,36,9,7,Scary Stories to Tell in the Dark,Lionsgate,"$2,297,928",-54%,2101,-646,"$1,093","$62,123,662",5
2019,36,10,10,Once Upon a Time in Hollywood,Sony Pictures Releasing,"$2,166,110",-47.4%,1402,-591,"$1,545","$134,368,392",7
2019,36,11,12,The Peanut Butter Falcon,Roadside Attractions,"$2,130,388",-29.4%,1310,+61,"$1,626","$12,136,647",5
2019,36,12,9,The Angry Birds Movie 2,Sony Pictures Releasing,"$1,710,459",-59.6%,1854,-1457,$922,"$38,088,353",4
2019,36,13,8,Spider-Man: Far from Home,Sony Pictures Releasing,"$1,238,052",-71.2%,1433,-1729,$863,"$388,120,898",10
2019,36,14,27,Brittany Runs a Marathon,Amazon Studios,"$962,745",+131.5%,230,+182,"$4,185","$1,828,777",3
2019,36,15,20,Ne Zha,Well Go USA Entertainment,"$888,868",-12.5%,135,+69,"$6,584","$2,670,710",2
2019,36,16,44,Annabelle Comes Home,Warner Bros.,"$807,482","+1,219.1%",214,+113,"$3,773","$73,608,458",11
2019,36,17,15,Don't Let Go,-,"$802,096",-65.7%,922,-,$869,"$4,302,776",2
2019,36,18,13,47 Meters Down: Uncaged,Entertainment Studios Motion Pictures,"$743,738",-69.4%,975,-1249,$762,"$20,905,478",4
2019,36,19,-,Chhichhore,-,"$614,335",-,195,-,"$3,150","$614,335",1
2019,36,20,14,Toy Story 4,Walt Disney Studios Motion Pictures,"$547,483",-77%,640,-2075,$855,"$431,810,752",12
2019,36,21,17,The Art of Racing in the Rain,Fox,"$506,143",-61.8%,740,-735,$683,"$25,256,221",5
2019,36,22,19,Tod@s Caen,-,"$471,947",-57%,371,-,"$1,272","$2,072,988",2
2019,36,23,18,Blinded by the Light,Warner Bros.,"$417,383",-65.7%,468,-1205,$891,"$11,317,597",4
2019,36,24,21,The Farewell,A24,"$401,220",-52.3%,368,-523,"$1,090","$16,685,360",9
2019,36,25,24,Aladdin,Walt Disney Studios Motion Pictures,"$260,323",-42.2%,198,-32,"$1,314","$354,801,322",16
2019,36,26,43,Official Secrets,IFC Films,"$221,076",+240.3%,4,-,"$55,269","$318,859",2
2019,36,27,23,"Where'd You Go, Bernadette",United Artists Releasing,"$217,719",-66.9%,270,-637,$806,"$8,852,084",4
2019,36,28,25,After the Wedding,Sony Pictures Classics,"$201,623",-54.9%,283,-145,$712,"$1,350,243",5
2019,36,29,30,Luce,Neon,"$157,568",-47.6%,183,-52,$861,"$1,667,519",6
2019,36,30,22,Midsommar,A24,"$146,308",-78.1%,234,-442,$625,"$27,242,964",10
2019,36,31,32,The Secret Life of Pets 2,Universal Pictures,"$128,830",-53.3%,139,-88,$926,"$158,111,845",14
2019,36,32,-,Linda Ronstadt: The Sound of My Voice,Greenwich Entertainment,"$113,235",-,7,-,"$16,176","$113,235",1
2019,36,33,29,Mission Mangal,-,"$111,158",-70.4%,94,-57,"$1,182","$3,570,506",4
2019,36,34,39,Fiddler: A Miracle of Miracles,Roadside Attractions,"$97,386",+24.9%,68,+40,"$1,432","$296,389",3
2019,36,35,34,Maiden,Sony Pictures Classics,"$84,774",-41.5%,108,-72,$784,"$2,960,135",11
2019,36,36,37,The Kitchen,Warner Bros.,"$61,792",-32.3%,75,-114,$823,"$12,026,533",5
2019,36,37,41,Menteur,Entertainment One,"$59,024",-13.4%,53,-5,"$1,113","$4,492,830",9
2019,36,38,54,Miles Davis: Birth of the Cool,Abramorama,"$58,120",+59.5%,16,+14,"$3,632","$154,144",3
2019,36,39,36,Raise Hell: The Life & Times of Molly Ivins,Magnolia Pictures,"$55,764",-41%,22,+4,"$2,534","$196,836",2
2019,36,40,38,John Wick: Chapter 3 - Parabellum,Lionsgate,"$52,748",-36.7%,113,-26,$466,"$171,002,126",17
2019,36,41,-,Plácido Domingo Gala,Fathom Events,"$52,502",-,217,-,$241,"$52,502",1
2019,36,42,46,Honeyland,Neon,"$50,001",-6.6%,56,+14,$892,"$466,911",7
