year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2008,45,1,-,Madagascar: Escape 2 Africa,DreamWorks,"$63,106,589",-,4056,-,"$15,558","$63,106,589",1
2008,45,2,-,Role Models,Universal Pictures,"$19,167,085",-,2792,-,"$6,865","$19,167,085",1
2008,45,3,1,High School Musical 3: Senior Year,Walt Disney Studios Motion Pictures,"$9,159,523",-40.2%,3464,-162,"$2,644","$75,573,993",3
2008,45,4,4,Changeling,Universal Pictures,"$7,252,940",-22.4%,1855,+5,"$3,909","$20,559,497",3
2008,45,5,2,Zack and Miri Make a Porno,The Weinstein Company,"$6,274,530",-37.7%,2735,-,"$2,294","$20,686,907",2
2008,45,6,-,Soul Men,-,"$5,401,605",-,2044,-,"$2,642","$5,401,605",1
2008,45,7,3,Saw V,Lionsgate,"$4,067,071",-58.3%,2829,-255,"$1,437","$52,187,337",3
2008,45,8,5,The Haunting of Molly Hartley,Freestyle Releasing,"$3,318,694",-38.8%,2576,-76,"$1,288","$10,063,348",2
2008,45,9,7,The Secret Life of Bees,Fox Searchlight Pictures,"$3,089,467",-23%,1481,-130,"$2,086","$29,902,363",4
2008,45,10,9,Eagle Eye,DreamWorks,"$2,541,602",-27%,1407,-600,"$1,806","$96,348,829",7
2008,45,11,6,Beverly Hills Chihuahua,Walt Disney Studios Motion Pictures,"$2,518,049",-48.2%,2359,-645,"$1,067","$88,258,841",6
2008,45,12,8,Max Payne,Fox,"$1,789,136",-51.5%,1476,-1088,"$1,212","$38,653,498",4
2008,45,13,14,Fireproof,The Samuel Goldwyn Company,"$1,585,555",-8.4%,872,-15,"$1,818","$28,327,659",7
2008,45,14,12,Body of Lies,Warner Bros.,"$1,537,219",-33.3%,850,-564,"$1,808","$36,950,974",5
2008,45,15,17,Rachel Getting Married,Sony Pictures Classics,"$1,505,507",+111.6%,391,+258,"$3,850","$5,415,820",6
2008,45,16,10,Pride and Glory,Warner Bros.,"$1,293,389",-61.5%,1340,-1245,$965,"$14,381,710",3
