year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2015,1,1,1,The Hobbit: The Battle of the Five Armies,Warner Bros.,"$21,732,090",-46.9%,3875,-,"$5,608","$220,602,017",3
2015,1,2,2,Into the Woods,Walt Disney Studios Motion Pictures,"$18,728,441",-39.7%,2538,+98,"$7,379","$90,871,655",2
2015,1,3,3,Unbroken,Universal Pictures,"$18,169,840",-40.7%,3190,+59,"$5,695","$87,651,495",2
2015,1,4,-,The Woman in Black 2: Angel of Death,Relativity Media,"$15,027,415",-,2602,-,"$5,775","$15,027,415",1
2015,1,5,4,Night at the Museum: Secret of the Tomb,Fox,"$14,518,274",-28.1%,3802,-112,"$3,818","$89,847,179",3
2015,1,6,5,Annie,Sony Pictures Releasing,"$11,251,393",-31.7%,3166,-31,"$3,553","$72,460,370",3
2015,1,7,8,The Imitation Game,The Weinstein Company,"$7,772,527",-2%,754,+7,"$10,308","$30,472,090",6
2015,1,8,6,The Hunger Games: Mockingjay - Part 1,Lionsgate,"$7,559,954",-24.9%,2505,-288,"$3,017","$323,734,502",7
2015,1,9,7,The Gambler,Paramount Pictures,"$6,337,114",-30.6%,2494,+16,"$2,540","$27,606,266",2
2015,1,10,11,Big Hero 6,Walt Disney Studios Motion Pictures,"$4,754,816",-5%,1913,-152,"$2,485","$211,207,036",9
2015,1,11,10,Wild,Fox Searchlight Pictures,"$4,564,093",-15.3%,1361,+76,"$3,353","$25,880,904",5
2015,1,12,9,Exodus: Gods and Kings,Fox,"$3,817,643",-43.1%,2260,-742,"$1,689","$61,342,935",4
2015,1,13,13,Penguins of Madagascar,Fox,"$2,895,767",-11.6%,1585,-448,"$1,826","$78,116,780",6
2015,1,14,15,Big Eyes,The Weinstein Company,"$2,610,026",-13%,1408,+101,"$1,853","$9,924,025",2
2015,1,15,14,Interstellar,Paramount Pictures,"$2,460,071",-18.1%,1048,-205,"$2,347","$182,802,094",9
2015,1,16,12,Top Five,Paramount Pictures,"$2,139,861",-45.7%,1195,-231,"$1,790","$23,740,325",4
2015,1,17,19,The Theory of Everything,Focus Features,"$1,106,331",-9.4%,651,-85,"$1,699","$24,772,350",9
2015,1,18,16,The Interview,Sony Pictures Releasing,"$1,085,515",-39.5%,581,+250,"$1,868","$4,960,726",2
2015,1,19,18,Horrible Bosses 2,Warner Bros.,"$928,619",-36.2%,702,-300,"$1,322","$53,063,469",6
2015,1,20,20,Foxcatcher,Sony Pictures Classics,"$903,000",-4.6%,298,-17,"$3,030","$7,943,000",8
2015,1,21,21,Birdman or (The Unexpected Virtue of Ignorance),Fox Searchlight Pictures,"$860,582",+7.3%,282,-10,"$3,051","$25,424,568",12
