year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2017,33,1,-,The Hitman's Bodyguard,Lionsgate,"$21,384,504",-,3377,-,"$6,332","$21,384,504",1
2017,33,2,1,Annabelle: Creation,Warner Bros.,"$15,612,680",-55.4%,3542,+40,"$4,407","$64,156,901",2
2017,33,3,-,Logan Lucky,Bleecker Street Media,"$7,600,036",-,3031,-,"$2,507","$7,600,036",1
2017,33,4,2,Dunkirk,Warner Bros.,"$6,614,385",-39.2%,3271,-491,"$2,022","$165,422,464",5
2017,33,5,3,The Nut Job 2: Nutty by Nature,Open Road Films (II),"$5,092,344",-39%,4003,-,"$1,272","$17,675,989",2
2017,33,6,6,The Emoji Movie,Sony Pictures Releasing,"$4,441,028",-31.2%,2791,-428,"$1,591","$71,858,380",4
2017,33,7,7,Spider-Man: Homecoming,Sony Pictures Releasing,"$4,256,367",-29.3%,2341,-266,"$1,818","$314,057,748",7
2017,33,8,5,Girls Trip,Universal Pictures,"$3,911,300",-39.5%,2010,-293,"$1,945","$104,053,445",5
2017,33,9,4,The Dark Tower,Sony Pictures Releasing,"$3,788,669",-51.6%,3143,-308,"$1,205","$41,673,047",3
2017,33,10,20,Wind River,The Weinstein Company,"$2,975,732",+378%,694,+649,"$4,287","$4,089,001",3
2017,33,11,8,Kidnap,-,"$2,961,475",-41.9%,2345,-73,"$1,262","$24,527,158",3
2017,33,12,9,The Glass Castle,Lionsgate,"$2,549,459",-45.5%,1461,-,"$1,745","$9,705,840",2
2017,33,13,10,Atomic Blonde2017 Re-release,Focus Features,"$2,179,190",-51.4%,1628,-465,"$1,338","$47,158,045",4
2017,33,14,12,Despicable Me 3,Universal Pictures,"$2,073,810",-33.7%,1551,-462,"$1,337","$251,774,330",8
2017,33,15,11,War for the Planet of the Apes,Fox,"$2,010,898",-44.2%,1608,-490,"$1,250","$140,958,101",6
2017,33,16,15,Wonder Woman,Warner Bros.,"$1,092,338",-24.5%,803,-158,"$1,360","$404,000,714",12
2017,33,17,14,The Big Sick,Lionsgate,"$1,001,010",-31.6%,618,-91,"$1,619","$38,066,440",9
2017,33,18,13,Detroit,Annapurna Pictures,"$856,766",-70.3%,1428,-1579,$599,"$15,525,229",4
2017,33,19,16,Baby Driver,Concorde Film,"$856,054",-40.6%,683,-182,"$1,253","$101,689,495",8
2017,33,20,19,Toilet - Ek Prem Katha,Reliance Big Pictures,"$397,940",-41.3%,145,-33,"$2,744","$1,387,499",2
2017,33,21,17,Valerian and the City of a Thousand Planets,STX Entertainment,"$397,019",-56%,465,-320,$853,"$39,227,747",5
2017,33,22,18,An Inconvenient Sequel: Truth to Power,Paramount Pictures,"$331,007",-59.4%,514,-42,$643,"$3,024,656",4
2017,33,23,33,Ingrid Goes West,Neon,"$267,385",+97.6%,26,+23,"$10,284","$440,503",2
2017,33,24,22,A Taxi Driver,Well Go USA Entertainment,"$256,789",-22.6%,41,-,"$6,263","$833,339",2
2017,33,25,23,Cars 3,Walt Disney Studios Motion Pictures,"$249,148",-24.5%,247,-61,"$1,008","$148,772,915",10
2017,33,26,28,Menashe,A24,"$216,010",+25.2%,86,+39,"$2,511","$701,192",4
2017,33,27,24,Step,Fox Searchlight Pictures,"$206,195",-22.6%,306,+121,$673,"$810,448",3
2017,33,28,21,Wolf Warrior 2,The H Collective,"$193,787",-53.1%,50,-2,"$3,875","$2,337,650",4
2017,33,29,26,Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,"$187,598",-27%,195,-15,$962,"$389,194,993",16
2017,33,30,37,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Studios Motion Pictures,"$185,109",+66.9%,184,+59,"$1,006","$171,812,041",13
2017,33,31,25,Transformers: The Last Knight,Paramount Pictures,"$175,779",-33.6%,224,-31,$784,"$130,104,634",9
2017,33,32,-,Fairy Tail: The Movie - Dragon Cry,FUNimation Entertainment,"$169,203",-,292,-,$579,"$519,461",1
2017,33,33,31,47 Meters Down,Entertainment Studios Motion Pictures,"$166,324",+11%,146,-27,"$1,139","$43,600,390",10
2017,33,34,36,Good Time,A24,"$165,441",+32.2%,20,+16,"$8,272","$341,404",2
2017,33,35,44,Brigsby Bear,Sony Pictures Classics,"$142,218",+178.2%,408,+371,$348,"$337,985",4
2017,33,36,29,Maudie,Sony Pictures Classics,"$110,320",-32.5%,124,-39,$889,"$5,624,698",19
2017,33,37,32,Captain Underpants: The First Epic Movie,Fox,"$93,118",-36.1%,157,-21,$593,"$73,339,459",12
2017,33,38,34,The House,Warner Bros.,"$88,313",-32.1%,138,-10,$639,"$25,469,904",8
2017,33,39,42,The Only Living Boy in New York,Roadside Attractions,"$86,022",+58%,66,+51,"$1,303","$163,145",2
2017,33,40,56,In This Corner of the World,FUNimation Entertainment,"$73,893",+205.3%,20,+14,"$3,694","$109,752",2
2017,33,41,-,The Adventurers,Well Go USA Entertainment,"$68,614",-,17,-,"$4,036","$68,614",1
2017,33,42,-,Patti Cake$,Fox Searchlight Pictures,"$67,599",-,14,-,"$4,828","$67,599",1
2017,33,43,50,The Trip to Spain,IFC Films,"$64,414",+57.6%,19,+16,"$3,390","$123,008",2
2017,33,44,27,Once Upon A Time,Well Go USA Entertainment,"$57,746",-76.9%,44,-7,"$1,312","$415,648",2
2017,33,45,30,The Battleship Island,CJ Entertainment,"$53,687",-64.2%,22,-16,"$2,440","$1,044,255",4
2017,33,46,35,Landline,Magnolia Pictures,"$46,707",-64.1%,63,-74,$741,"$857,581",5
2017,33,47,46,Columbus,-,"$42,518",-5.2%,12,+5,"$3,543","$150,829",3
2017,33,48,45,A Beautiful Planet,IMAX,"$42,375",-9.4%,16,-,"$2,648","$11,976,334",69
2017,33,49,48,Megan Leavey,Bleecker Street Media,"$40,761",-3.9%,59,-16,$690,"$13,113,857",11
2017,33,50,43,The Midwife,Music Box Films,"$39,540",-24.5%,39,-4,"$1,013","$402,918",5
2017,33,51,38,Lady Macbeth,Roadside Attractions,"$36,183",-56.4%,86,-33,$420,"$1,007,729",6
2017,33,52,53,Rough Night,Sony Pictures Releasing,"$33,379",-1.6%,77,-108,$433,"$22,062,200",10
2017,33,53,41,The Little Hours,Gunpowder & Sky,"$33,290",-,39,-21,-,"$1,509,962",8
2017,33,54,39,Wish Upon,Broad Green Pictures,"$33,106",-59.2%,44,-71,$752,"$14,053,908",6
2017,33,55,-,Crown Heights,IFC Films,"$30,173",-,3,-,"$10,057","$30,173",1
2017,33,56,-,Gook,The Samuel Goldwyn Company,"$27,044",-,2,-,"$13,522","$27,044",1
2017,33,57,47,Whose Streets?,Magnolia Pictures,"$25,331",-42.2%,27,+3,$938,"$91,446",2
2017,33,58,62,Walk with Me,GathrFilms,"$23,096",+132.5%,3,+2,"$7,698","$36,082",2
2017,33,59,49,A Ghost Story,A24,"$23,059",-44.8%,39,-18,$591,"$1,513,209",7
2017,33,60,-,Marjorie Prime,FilmRise,"$20,668",-,6,-,"$3,444","$20,668",1
2017,33,61,54,The Boss Baby,Fox,"$17,569",-32.9%,109,+22,$161,"$174,920,381",21
