year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2019,26,1,1,Toy Story 4,Walt Disney Studios Motion Pictures,"$59,700,331",-50.6%,4575,-,"$13,049","$238,690,140",2
2019,26,2,-,Annabelle Comes Home,Warner Bros.,"$20,269,723",-,3613,-,"$5,610","$31,104,182",1
2019,26,3,-,Yesterday,Universal Pictures,"$17,010,050",-,2603,-,"$6,534","$17,010,050",1
2019,26,4,3,Aladdin,Walt Disney Studios Motion Pictures,"$10,114,122",-23.6%,3235,-200,"$3,126","$306,632,068",6
2019,26,5,5,The Secret Life of Pets 2,Universal Pictures,"$7,320,435",-28.7%,3353,-451,"$2,183","$131,432,435",4
2019,26,6,4,Men in Black: International,Sony Pictures Releasing,"$6,686,491",-37.5%,3663,-561,"$1,825","$65,167,002",3
2019,26,7,13,Avengers: Endgame,Walt Disney Studios Motion Pictures,"$6,108,736",+207.3%,2025,"+1,040","$3,016","$841,889,897",10
2019,26,8,2,Child's Play,United Artists Releasing,"$4,429,543",-68.6%,3007,-,"$1,473","$23,557,942",2
2019,26,9,6,Rocketman,Paramount Pictures,"$3,936,302",-29.8%,2003,-411,"$1,965","$84,240,262",5
2019,26,10,7,John Wick: Chapter 3 - Parabellum,Lionsgate,"$3,249,345",-20.5%,1550,-57,"$2,096","$161,389,433",7
2019,26,11,8,Godzilla: King of the Monsters,Warner Bros.,"$2,135,771",-44.6%,1370,-998,"$1,558","$106,666,722",5
2019,26,12,10,Dark Phoenix,Fox,"$1,824,778",-48.3%,1187,-867,"$1,537","$63,709,656",4
2019,26,13,9,Anna,Lionsgate,"$1,481,114",-58.9%,2114,-,$700,"$6,712,423",2
2019,26,14,11,Shaft,Warner Bros.,"$1,425,597",-59.5%,947,-2005,"$1,505","$18,850,430",3
2019,26,15,12,Late Night,Amazon Studios,"$1,094,088",-57.1%,871,-1301,"$1,256","$13,072,042",4
2019,26,16,15,Ma,Universal Pictures,"$556,445",-51.6%,468,-394,"$1,188","$44,754,145",5
2019,26,17,16,Pavarotti,CBS Films,"$553,067",+28.3%,288,+153,"$1,920","$1,821,700",4
2019,26,18,14,The Dead Don't Die,Focus Features,"$530,145",-54.4%,552,-138,$960,"$5,889,325",3
2019,26,19,-,The Other Side of Heaven 2: Fire of Faith,-,"$454,257",-,205,-,"$2,215","$454,257",1
2019,26,20,18,The Last Black Man in San Francisco,A24,"$446,994",+8.9%,155,+83,"$2,883","$1,997,766",4
2019,26,21,-,Kinky Boots the Musical,Fathom Events,"$386,612",-,455,-,$849,"$900,451",1
2019,26,22,19,Pokémon Detective Pikachu,Warner Bros.,"$351,983",-4.9%,311,-55,"$1,131","$142,628,756",8
2019,26,23,17,Booksmart,United Artists Releasing,"$331,881",-22%,165,-62,"$2,011","$21,307,656",6
2019,26,24,20,Echo in the Canyon,Greenwich Entertainment,"$251,040",+11.4%,141,+60,"$1,780","$1,498,986",6
2019,26,25,21,The Biggest Little Farm,Neon,"$141,354",-14%,122,-12,"$1,158","$3,531,466",8
2019,26,26,25,A Dog's Journey,Universal Pictures,"$99,020",-9.3%,151,-20,$655,"$22,272,570",7
2019,26,27,27,The Hustle,United Artists Releasing,"$89,988",-7%,116,+1,$775,"$35,254,410",8
2019,26,28,22,Dumbo,Walt Disney Studios Motion Pictures,"$80,281",-32.6%,120,-20,$669,"$114,424,350",14
2019,26,29,23,Shazam!,Warner Bros.,"$72,652",-38.1%,128,-17,$567,"$140,094,424",13
2019,26,30,30,Wild Rose,Neon,"$59,593",+12.6%,16,+12,"$3,724","$127,147",2
2019,26,31,33,Toni Morrison: The Pieces I Am,Magnolia Pictures,"$54,951",+14.4%,28,+24,"$1,962","$117,012",2
2019,26,32,-,Maiden,Sony Pictures Classics,"$46,931",-,6,-,"$7,821","$46,931",1
2019,26,33,-,The Spy Behind Home Plate,Ciesla Foundation,"$43,420",-,24,-7,-,"$253,051",6
