year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2010,20,1,1,Iron Man 2,Paramount Pictures,"$52,041,005",-59.4%,4390,+10,"$11,854","$211,200,876",2
2010,20,2,-,Robin Hood,Universal Pictures,"$36,063,385",-,3503,-,"$10,295","$36,063,385",1
2010,20,3,-,Letters to Juliet,Summit Entertainment,"$13,540,486",-,2968,-,"$4,562","$13,540,486",1
2010,20,4,-,Just Wright,Fox Searchlight Pictures,"$8,284,989",-,1831,-,"$4,524","$8,284,989",1
2010,20,5,3,How to Train Your Dragon,DreamWorks,"$5,003,536",-25.1%,2620,-383,"$1,909","$207,647,696",8
2010,20,6,2,A Nightmare on Elm Street,Warner Bros.,"$4,657,190",-48.9%,3075,-257,"$1,514","$56,066,595",3
2010,20,7,4,Date Night,Fox,"$3,823,515",-29.8%,2481,-253,"$1,541","$86,522,622",6
2010,20,8,5,The Back-up Plan,CBS Films,"$2,387,480",-52.6%,2497,-506,$956,"$34,124,782",4
2010,20,9,6,Furry Vengeance,Summit Entertainment,"$2,242,106",-49.9%,2695,-307,$831,"$15,089,070",3
2010,20,10,7,Clash of the Titans,Warner Bros.,"$1,231,396",-50.8%,1300,-857,$947,"$160,127,747",7
2010,20,11,8,Death at a Funeral,Screen Gems,"$1,138,148",-50.7%,1062,-644,"$1,071","$40,495,964",5
2010,20,12,9,Babies,Focus Features,"$995,660",-53.9%,543,+9,"$1,833","$3,881,216",2
2010,20,13,11,Oceans2010 Re-release,Walt Disney Studios Motion Pictures,"$752,018",-53.2%,973,-259,$772,"$17,669,450",4
2010,20,14,13,The Last Song,Walt Disney Studios Motion Pictures,"$544,414",-53.6%,802,-501,$678,"$61,240,388",7
2010,20,15,12,Kick-Ass,Lionsgate,"$539,997",-64.1%,609,-1150,$886,"$46,616,232",5
2010,20,16,10,The Losers,Warner Bros.,"$458,406",-75.2%,701,-1749,$653,"$22,760,516",4
2010,20,17,15,City Island,Anchor Bay Films,"$440,786",-28.1%,253,+6,"$1,742","$3,607,188",9
2010,20,18,14,Alice in Wonderland,Walt Disney Studios Motion Pictures,"$440,202",-38.2%,403,-179,"$1,092","$331,533,915",11
2010,20,19,17,Diary of a Wimpy Kid,Fox,"$386,876",-14%,468,-157,$826,"$61,978,694",9
2010,20,20,22,The Secret in Their Eyes,Sony Pictures Classics,"$368,338",-4.1%,103,+22,"$3,576","$2,092,199",5
2010,20,21,19,Avatar,Fox,"$335,174",-21.2%,279,-49,"$1,201","$748,468,373",22
2010,20,22,20,The Girl with the Dragon Tattoo,Music Box Films,"$327,304",-20.4%,178,-9,"$1,838","$5,764,331",9
