year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2013,18,1,-,Iron Man 3,Walt Disney Studios Motion Pictures,"$174,144,585",-,4253,-,"$40,946","$174,144,585",1
2013,18,2,1,Pain & Gain,Paramount Pictures,"$7,511,315",-62.9%,3287,+10,"$2,285","$33,830,390",2
2013,18,3,3,42,Warner Bros.,"$6,055,327",-43.2%,3345,-60,"$1,810","$78,181,097",4
2013,18,4,2,Oblivion,Universal Pictures,"$5,642,335",-68.3%,3430,-362,"$1,644","$75,814,250",3
2013,18,5,5,The Croods,Fox,"$4,202,639",-37.5%,2915,-368,"$1,441","$168,720,798",7
2013,18,6,4,The Big Wedding,Lionsgate,"$3,881,857",-48.9%,2633,-,"$1,474","$14,216,422",2
2013,18,7,11,Mud,Roadside Attractions,"$2,161,801",-2.4%,576,+213,"$3,753","$5,169,699",2
2013,18,8,13,Oz the Great and Powerful,Walt Disney Studios Motion Pictures,"$2,113,009",+16.7%,1160,-450,"$1,821","$228,858,941",9
2013,18,9,7,Scary Movie 5,-,"$1,441,360",-58%,1857,-876,$776,"$29,609,668",4
2013,18,10,9,The Place Beyond the Pines,Focus Features,"$1,280,152",-53.1%,1162,-422,"$1,101","$18,676,792",6
2013,18,11,6,G.I. Joe: Retaliation,Paramount Pictures,"$1,270,094",-65.7%,1804,-903,$704,"$118,752,410",6
2013,18,12,8,Olympus Has Fallen,FilmDistrict,"$1,194,650",-58.3%,1632,-702,$732,"$95,374,529",7
2013,18,13,10,Jurassic Park2013 Re-release,Universal Pictures,"$896,750",-62.2%,980,-868,$915,"$43,756,735",5
2013,18,14,14,The Company You Keep,Sony Pictures Classics,"$703,465",-39%,541,-266,"$1,300","$3,433,182",5
2013,18,15,12,Evil Dead,Concorde Film,"$614,524",-69.1%,959,-1227,$640,"$53,200,013",5
2013,18,16,15,Temptation: Confessions of a Marriage Counselor,Lionsgate,"$411,592",-62.5%,504,-438,$816,"$51,365,503",6
2013,18,17,18,Jack the Giant Slayer,Warner Bros.,"$295,425",-29.8%,335,-30,$881,"$64,151,565",10
2013,18,18,-,Shootout at Wadala,Eros International,"$212,346",-,89,-,"$2,385","$212,346",1
2013,18,19,22,Disconnect,LD Entertainment,"$211,000",-19.5%,161,+50,"$1,310","$1,055,000",4
2013,18,20,20,Identity Thief,Universal Pictures,"$204,010",-41.8%,300,-125,$680,"$133,454,405",13
2013,18,21,23,Silver Linings Playbook,The Weinstein Company,"$198,548",+0.5%,468,+107,$424,"$131,703,512",25
2013,18,22,16,Filly Brown,Lionsgate,"$170,666",-69.4%,204,-55,$836,"$2,605,090",3
2013,18,23,19,The Host,Open Road Films (II),"$151,722",-60.1%,290,-321,$523,"$26,143,819",6
2013,18,24,26,The Sapphires,The Weinstein Company,"$146,610",-18.3%,123,-3,"$1,191","$1,636,092",7
2013,18,25,29,Renoir,The Samuel Goldwyn Company,"$146,025",+18.7%,74,+11,"$1,973","$1,073,010",6
2013,18,26,24,Snitch,Lionsgate,"$136,017",-27.3%,215,-37,$632,"$42,524,313",11
2013,18,27,17,Home Run,The Samuel Goldwyn Company,"$128,217",-72.2%,160,-211,$801,"$2,549,056",3
2013,18,28,27,Escape from Planet Earth,The Weinstein Company,"$123,640",-23.6%,257,-26,$481,"$55,210,402",12
2013,18,29,21,The Call,Concorde Film,"$92,740",-71.4%,200,-313,$463,"$50,934,437",8
2013,18,30,-,The Iceman,Millennium Entertainment,"$87,946",-,4,-,"$21,986","$87,946",1
2013,18,31,52,The Reluctant Fundamentalist,IFC Films,"$86,225",+178.9%,35,+32,"$2,463","$129,979",2
2013,18,32,-,"Cinco de Mayo, La Batalla",Lionsgate,"$83,586",-,20,-,"$4,179","$83,586",1
2013,18,33,28,Safe Haven,Relativity Media,"$75,723",-43.5%,169,-90,$448,"$71,210,289",12
2013,18,34,58,Kon-Tiki,The Weinstein Company,"$74,097",+234.3%,14,+12,"$5,292","$107,273",2
2013,18,35,45,Side Effects,Open Road Films (II),"$66,163",+38%,165,+57,$400,"$32,086,041",13
2013,18,36,33,Warm Bodies,Lionsgate,"$60,294",-40.4%,140,-50,$430,"$66,359,959",14
2013,18,37,35,Life of Pi,Fox,"$58,448",-27.2%,99,-32,$590,"$124,757,309",24
2013,18,38,42,Hubble 3D,Warner Bros.,"$58,001",+12%,18,+3,"$3,222","$37,628,448",164
2013,18,39,53,In the House,Cohen Media Group,"$47,026",+62%,22,+18,"$2,137","$137,804",3
2013,18,40,31,Trance,Fox Searchlight Pictures,"$44,099",-61%,86,-71,$512,"$2,219,636",5
2013,18,41,34,Quartet,The Weinstein Company,"$43,499",-47.1%,86,-44,$505,"$18,096,077",17
2013,18,42,47,A Good Day to Die Hard,Fox,"$41,742",-11.9%,72,-50,$579,"$67,294,338",12
2013,18,43,40,To the Arctic 3D,Warner Bros.,"$40,465",-29.2%,52,-,$778,"$12,368,208",55
2013,18,44,-,Scatter My Ashes at Bergdorf's,Entertainment One,"$39,630",-,4,-,"$9,907","$39,630",1
2013,18,45,50,The Angels' Share,IFC Films,"$39,038",+12.3%,33,+7,"$1,182","$163,798",4
2013,18,46,30,Admission,Focus Features,"$38,966",-66%,113,-166,$344,"$17,783,199",7
2013,18,47,-,Love Is All You Need,Sony Pictures Classics,"$36,746",-,4,-,"$9,186","$36,746",1
2013,18,48,36,To the Wonder,Magnolia Pictures,"$36,444",-49%,38,-22,$959,"$463,297",4
2013,18,49,37,No,Sony Pictures Classics,"$33,452",-51.4%,45,-29,$743,"$2,196,831",12
2013,18,50,41,From Up on Poppy Hill,GKIDS,"$33,278",-39.3%,39,-4,$853,"$854,020",8
2013,18,51,38,The Incredible Burt Wonderstone,Warner Bros.,"$32,544",-51.6%,82,-103,$396,"$22,525,921",8
2013,18,52,44,Upstream Color,-,"$32,200",-33.6%,32,-11,"$1,006","$352,400",5
2013,18,53,66,At Any Price,Sony Pictures Classics,"$31,675",+96.8%,18,+14,"$1,759","$60,861",2
2013,18,54,43,Spring Breakers,A24,"$26,483",-48.6%,43,-29,$615,"$14,000,811",8
2013,18,55,39,21 & Over,Relativity Media,"$25,054",-62.7%,82,-54,$305,"$25,650,586",10
2013,18,56,25,The Lords of Salem,Anchor Bay Films,"$24,212",-86.8%,50,-230,$484,"$1,143,541",3
2013,18,57,74,Midnight's Children,-,"$22,272",+82.6%,10,+8,"$2,227","$36,538",2
2013,18,58,-,What Maisie Knew,Millennium Entertainment,"$21,480",-,1,-,"$21,480","$21,480",1
2013,18,59,62,Starbuck,-,"$20,266",+5.6%,28,+1,$723,"$302,067",7
2013,18,60,70,Space Station 3D,IMAX,"$19,355",+46.3%,5,+2,"$3,871","$87,746,698",577
2013,18,61,56,Born to Be Wild,Warner Bros.,"$19,202",-21.7%,30,-,$640,"$22,570,466",109
2013,18,62,64,Under the Sea 3D,Warner Bros.,"$17,958",+1.9%,18,-1,$997,"$31,488,375",221
2013,18,63,59,Blancanieves,Cohen Media Group,"$17,319",-16.2%,15,+3,"$1,154","$219,102",6
2013,18,64,65,No Place on Earth,Magnolia Pictures,"$16,296",-1%,19,-8,$857,"$125,400",5
2013,18,65,81,Hava Nagila: The Movie,International Film Circuit,"$15,720",+106.3%,11,+4,"$1,429","$287,041",10
2013,18,66,48,The Lost Medallion: The Adventures of Billy Stone,-,"$15,089",-66.2%,10,-15,"$1,508","$538,632",10
2013,18,67,54,Dark Skies,-,"$14,279",-48.5%,29,-34,$492,"$17,367,457",11
2013,18,68,60,Room 237,IFC Films,"$13,739",-31.4%,28,+7,$490,"$247,170",6
2013,18,69,57,Parental Guidance,Fox,"$13,294",-45%,42,-19,$316,"$77,240,666",19
2013,18,70,-,Something in the Air,IFC Films,"$13,288",-,3,-,"$4,429","$13,288",1
2013,18,71,75,Ginger & Rosa,A24,"$13,065",+8.5%,24,+4,$544,"$814,040",8
2013,18,72,32,Arthur Newman,Cinedigm Entertainment Group,"$13,030",-88.4%,35,-213,$372,"$190,255",2
2013,18,73,-,Free the Mind,International Film Circuit,"$12,215",-,1,-,"$12,215","$12,215",1
2013,18,74,73,The Gatekeepers,Sony Pictures Classics,"$10,902",-11.2%,18,-4,$605,"$2,347,544",14
2013,18,75,55,King's Faith,-,"$10,381",-62.5%,7,+1,"$1,483","$42,369",2
2013,18,76,82,Emperor,Roadside Attractions,"$8,350",+9.9%,20,-6,$417,"$3,309,305",9
2013,18,77,79,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Kino Lorber,"$8,104",-14.9%,4,+3,"$2,026","$47,865",3
2013,18,78,84,Paradise: Love,Strand Releasing,"$8,017",+33.3%,4,+2,"$2,004","$17,356",2
2013,18,79,63,Lore,Music Box Films,"$7,833",-56.4%,8,-9,$979,"$874,416",13
2013,18,80,-,Dead Man's Burden,Cinedigm Entertainment Group,"$7,620",-,1,-,"$7,620","$7,620",1
2013,18,81,46,Camp,Freestyle Releasing,"$6,686",-86%,12,-16,$557,"$310,846",11
2013,18,82,109,Bert Stern: Original Madman,First Run,"$5,845",+495.2%,5,+3,"$1,169","$26,774",5
2013,18,83,72,Tai Chi 2: The Hero Rises,Well Go USA Entertainment,"$4,986",-60.5%,5,-2,$997,"$24,460",2
2013,18,84,-,Post Tenebras Lux,Strand Releasing,"$4,674",-,1,-,"$4,674","$7,096",1
2013,18,85,78,An Oversimplification of Her Beauty,Variance Films,"$4,480",-55.4%,2,-,"$2,240","$17,676",2
2013,18,86,67,Django Unchained,The Weinstein Company,"$4,433",-69.8%,12,-26,$369,"$162,800,480",19
2013,18,87,68,Girl Rising,GathrFilms,"$3,870",-72.8%,39,-33,$99,"$1,097,658",9
2013,18,88,94,Not Today,Freestyle Releasing,"$3,844",+36.7%,3,-,"$1,281","$152,835",4
2013,18,89,90,Deep Sea,Warner Bros.,"$3,573",-23.9%,2,-2,"$1,786","$45,552,337",375
2013,18,90,87,Barbara,Adopt Films,"$3,568",-32.5%,7,+1,$509,"$997,115",20
2013,18,91,86,Searching for Sugar Man,Sony Pictures Classics,"$3,105",-41.3%,9,+1,$345,"$3,653,307",41
2013,18,92,83,Storm Surfers 3D,XLrator Media,"$3,076",-57.9%,2,-,"$1,538","$13,935",2
2013,18,93,93,Amour,Sony Pictures Classics,"$3,004",+0.2%,11,+1,$273,"$6,735,665",20
2013,18,94,-,Violeta Went to Heaven,Kino Lorber,"$2,844",-,2,-,"$1,422","$21,289",6
2013,18,95,-,Kiss of the Damned,Magnolia Pictures,"$2,723",-,2,-,"$1,361","$2,723",1
2013,18,96,99,Leonie2013 Re-release,Monterey Media,"$2,584",+23.9%,4,+1,$646,"$48,826",8
