year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2009,19,1,-,Star Trek,Paramount Pictures,"$75,204,289",-,3849,-,"$19,538","$79,204,289",1
2009,19,2,1,X-Men Origins: Wolverine,Fox,"$26,408,288",-69%,4102,+3,"$6,437","$129,032,435",2
2009,19,3,2,Ghosts of Girlfriends Past,Warner Bros.,"$10,258,141",-33.4%,3175,-,"$3,230","$30,054,386",2
2009,19,4,3,Obsessed,Screen Gems,"$6,560,266",-45.6%,2602,+88,"$2,521","$56,207,576",3
2009,19,5,4,17 Again,Warner Bros.,"$4,232,422",-33.5%,2903,-352,"$1,457","$53,994,515",4
2009,19,6,-,Next Day Air,Summit Entertainment,"$4,111,043",-,1138,-,"$3,612","$4,111,043",1
2009,19,7,6,The Soloist,DreamWorks,"$3,949,430",-30.2%,2090,+57,"$1,889","$23,845,177",3
2009,19,8,5,Monsters vs. Aliens,DreamWorks,"$3,260,440",-43.8%,2185,-441,"$1,492","$186,774,092",7
2009,19,9,7,Earth,Walt Disney Studios Motion Pictures,"$2,666,219",-38.6%,1794,-10,"$1,486","$26,264,242",3
2009,19,10,8,Hannah Montana: The Movie,Walt Disney Studios Motion Pictures,"$2,193,043",-47.3%,2301,-518,$953,"$73,861,795",5
2009,19,11,9,Fighting,Universal Pictures,"$2,010,075",-49.9%,1933,-379,"$1,039","$20,453,095",3
2009,19,12,10,State of Play,Universal Pictures,"$1,918,295",-48.4%,1541,-904,"$1,244","$33,986,760",4
2009,19,13,11,Fast & Furious,Universal Pictures,"$1,254,010",-54.6%,1409,-1138,$890,"$151,798,755",6
2009,19,14,14,"I Love You, Man",DreamWorks,"$507,667",-31.2%,407,-278,"$1,247","$70,095,671",8
2009,19,15,13,Taken,Fox,"$448,375",-50%,385,-109,"$1,164","$144,197,013",15
2009,19,16,15,Knowing2009 Re-release,Summit Entertainment,"$303,297",-46.6%,373,-449,$813,"$78,401,631",8
2009,19,17,17,Sunshine Cleaning,Overture Films,"$290,093",-31.6%,328,-143,$884,"$10,897,713",9
2009,19,18,21,Is Anybody There?,-,"$283,909",-2.6%,157,+35,"$1,808","$907,404",4
2009,19,19,22,Paul Blart: Mall Cop,Sony Pictures Releasing,"$226,886",-17%,267,-30,$849,"$145,790,203",17
2009,19,20,23,Under the Sea 3D,Warner Bros.,"$218,122",-12.1%,40,-5,"$5,453","$7,242,383",13
2009,19,21,-,Rudo y Cursi,Sony Pictures Classics,"$211,460",-,70,-,"$3,020","$211,460",1
2009,19,22,18,The Haunting in Connecticut2009 Re-release,Lionsgate,"$188,101",-54.8%,303,-300,$620,"$55,325,526",7
2009,19,23,12,Battle for Terra,Lionsgate,"$174,014",-83.9%,413,-746,$421,"$1,518,011",2
2009,19,24,20,12 Rounds,Fox,"$151,317",-49.1%,121,-38,"$1,250","$12,003,369",7
2009,19,25,24,Adventureland,Miramax,"$131,028",-35%,216,+14,$606,"$15,768,226",6
2009,19,26,25,Gran Torino,Warner Bros.,"$127,780",-32%,228,-47,$560,"$147,601,540",22
2009,19,27,29,Race to Witch Mountain,Walt Disney Studios Motion Pictures,"$126,637",-15.5%,192,-58,$659,"$64,794,337",9
2009,19,28,26,Sin Nombre,Focus Features,"$126,528",-32.2%,81,-6,"$1,562","$1,966,171",8
2009,19,29,40,Watchmen,Warner Bros.,"$112,482",+80.9%,263,+173,$427,"$107,322,168",10
2009,19,30,16,Crank: High Voltage,Lionsgate,"$110,462",-77.4%,217,-507,$509,"$13,630,226",4
2009,19,31,28,Duplicity,Universal Pictures,"$106,005",-37.7%,202,-77,$524,"$40,360,265",8
2009,19,32,35,Tyson,Sony Pictures Classics,"$92,804",+24%,35,+22,"$2,651","$333,334",3
2009,19,33,33,Valentino: The Last Emperor,Truly Indie,"$91,650",+19.7%,38,+11,"$2,411","$828,691",8
2009,19,34,30,Hotel for Dogs,DreamWorks,"$84,579",-30.7%,174,-26,$486,"$72,869,036",17
2009,19,35,42,Every Little Step,Sony Pictures Classics,"$81,383",+46.4%,24,+12,"$3,390","$336,881",4
2009,19,36,27,Dragonball Evolution,Fox,"$78,368",-54.3%,106,-47,$739,"$9,089,788",5
2009,19,37,31,The Last House on the Left,Universal Pictures,"$74,320",-25.3%,139,-24,$534,"$32,721,635",9
2009,19,38,32,Sugar,Sony Pictures Classics,"$73,490",-12.1%,50,+5,"$1,469","$674,508",6
2009,19,39,-,Little Ashes,Regent Releasing,"$73,394",-,12,-,"$6,116","$73,394",1
2009,19,40,34,The Merry Gentleman,The Samuel Goldwyn Company,"$66,223",-11.7%,33,+9,"$2,006","$165,316",2
2009,19,41,19,Observe and Report,Warner Bros.,"$61,040",-79.8%,132,-369,$462,"$23,372,005",5
2009,19,42,36,He's Just Not That Into You,Warner Bros.,"$51,934",-29.7%,103,-49,$504,"$93,836,028",14
2009,19,43,37,Confessions of a Shopaholic,Walt Disney Studios Motion Pictures,"$50,445",-30.7%,105,-49,$480,"$44,189,027",13
2009,19,44,46,Lemon Tree,IFC Films,"$46,054",+18.2%,18,+7,"$2,558","$137,647",4
2009,19,45,41,The Limits of Control,Focus Features,"$45,687",-18.2%,11,+8,"$4,153","$125,463",2
2009,19,46,43,Lymelife,Screen Media Films,"$45,588",-17%,29,-6,"$1,572","$281,455",5
2009,19,47,38,Paris 36,Sony Pictures Classics,"$45,179",-31.2%,47,-5,$961,"$696,384",6
2009,19,48,57,Goodbye Solo,Roadside Attractions,"$40,813",+48.4%,17,+4,"$2,400","$359,175",7
2009,19,49,-,Adoration,Sony Pictures Classics,"$39,358",-,10,-,"$3,935","$39,358",1
