year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2015,15,1,1,Furious 7,Universal Pictures,"$59,585,930",-59.5%,4022,+18,"$14,815","$251,516,400",2
2015,15,2,2,Home,Fox,"$18,532,280",-31.4%,3703,-98,"$5,004","$129,085,777",3
2015,15,3,-,The Longest Ride,Fox,"$13,019,686",-,3366,-,"$3,867","$13,019,686",1
2015,15,4,3,Get Hard,Warner Bros.,"$8,218,246",-37.4%,3132,-80,"$2,623","$70,783,826",3
2015,15,5,4,Cinderella,Walt Disney Studios Motion Pictures,"$7,137,814",-29.9%,3025,-379,"$2,359","$180,686,540",5
2015,15,6,5,Insurgent,Lionsgate,"$6,710,498",-33.7%,3111,-331,"$2,157","$114,708,645",4
2015,15,7,7,Woman in Gold,The Weinstein Company,"$5,483,125",+162.2%,1504,"+1,246","$3,645","$8,934,023",2
2015,15,8,6,It Follows,RADiUS-TWC,"$1,943,868",-22.7%,1633,-22,"$1,190","$11,717,669",5
2015,15,9,17,Danny Collins,Bleecker Street Media,"$1,479,158",+325.3%,739,+656,"$2,001","$2,375,703",4
2015,15,10,14,While We're Young,A24,"$1,377,000",-,246,+212,-,"$2,355,000",3
2015,15,11,8,Kingsman: The Secret Service,Fox,"$1,308,312",-27.7%,1013,-314,"$1,291","$124,521,609",9
2015,15,12,9,Do You Believe?,Pure Flix Entertainment,"$931,305",-39.7%,1042,-176,$893,"$11,511,905",4
2015,15,13,10,The Second Best Exotic Marigold Hotel,Fox Searchlight Pictures,"$636,318",-41.1%,741,-319,$858,"$31,459,822",6
2015,15,14,12,American Sniper,Warner Bros.,"$595,041",-5.3%,616,-7,$965,"$347,211,277",16
2015,15,15,13,"McFarland, USA",Walt Disney Studios Motion Pictures,"$421,414",-31.9%,518,-185,$813,"$42,605,917",8
2015,15,16,15,Focus,Warner Bros.,"$300,316",-33%,424,-201,$708,"$53,344,851",7
2015,15,17,11,Run All Night,Warner Bros.,"$300,016",-52.8%,422,-593,$710,"$25,916,827",5
2015,15,18,-,Ex Machina,A24,"$237,264",-,4,-,"$59,316","$237,264",1
2015,15,19,19,The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,"$230,460",-9.1%,308,-174,$748,"$161,305,500",10
2015,15,20,21,Chappie,Sony Pictures Releasing,"$198,202",-15.9%,280,-49,$707,"$31,121,710",6
2015,15,21,20,Fifty Shades of Grey,Universal Pictures,"$178,920",-27.2%,284,-97,$630,"$165,788,595",9
2015,15,22,22,Wild Tales,Sony Pictures Classics,"$174,000",-,113,-9,-,"$2,216,000",8
2015,15,23,18,Detective Byomkesh Bakshy!,-,"$158,227",-53.3%,80,-2,"$1,977","$579,055",2
2015,15,24,23,Paddington,-,"$150,495",-20.3%,241,-99,$624,"$75,348,522",13
2015,15,25,26,What We Do in the Shadows,-,"$138,442",-15.8%,113,-19,"$1,225","$2,948,658",9
2015,15,26,16,The Gunman,Open Road Films (II),"$131,827",-65.8%,312,-715,$422,"$10,450,274",4
2015,15,27,-,Freetown,Purdie Distribution,"$118,553",-,124,-,$956,"$189,343",1
2015,15,28,31,Jupiter Ascending,Warner Bros.,"$114,760",-15.2%,203,-19,$565,"$47,114,764",10
2015,15,29,25,Still Alice,Sony Pictures Classics,"$104,000",-,174,-61,-,"$18,451,000",13
2015,15,30,34,Night at the Museum: Secret of the Tomb,Fox,"$93,583",+4.1%,146,-14,$640,"$113,461,910",17
2015,15,31,29,The Lazarus Effect,Relativity Media,"$89,748",-38%,184,-100,$487,"$25,423,887",7
2015,15,32,24,Let's Get Married,China Lion Film Distribution,"$87,380",-51.7%,37,-2,"$2,361","$350,437",2
2015,15,33,30,The Imitation Game,The Weinstein Company,"$83,225",-40.4%,128,-74,$650,"$90,944,741",20
2015,15,34,39,The Salt of the Earth,Sony Pictures Classics,"$82,000",-,27,+9,-,"$26,000",3
2015,15,35,33,"Kumiko, the Treasure Hunter",Amplify,"$68,062",-33.2%,62,-9,"$1,097","$409,569",4
2015,15,36,38,Seymour: An Introduction,IFC Films,"$66,000",-,61,+13,-,"$396,000",5
2015,15,37,32,The Duff,Lionsgate,"$64,140",-39.6%,145,-101,$442,"$33,633,557",8
2015,15,38,28,David and Goliath,-,"$63,750",-58.8%,34,+3,"$1,875","$278,021",2
2015,15,39,-,Clouds of Sils Maria,IFC Films,"$61,810",-,3,-,"$20,603","$61,810",1
2015,15,40,36,Big Hero 6,Walt Disney Studios Motion Pictures,"$53,125",-25.9%,108,-43,$491,"$222,366,600",23
2015,15,41,66,Black or White,Relativity Media,"$47,498",+462.3%,85,+64,$558,"$21,474,763",11
2015,15,42,41,Taken 3,Fox,"$45,820",-14.1%,75,-16,$610,"$89,130,089",14
2015,15,43,-,Dior and I,The Orchard,"$45,772",-,2,-,"$22,886","$45,772",1
2015,15,44,37,The Wrecking Crew!,Magnolia Pictures,"$45,540",-36.3%,60,-5,$759,"$535,230",5
2015,15,45,42,White God,Magnolia Pictures,"$45,272",-13.4%,26,+15,"$1,741","$143,696",3
2015,15,46,-,Desert Dancer,Relativity Media,"$40,763",-,23,-,"$1,772","$40,763",1
2015,15,47,27,Effie Gray,Adopt Films,"$40,036",-75.2%,95,-106,$421,"$309,469",2
2015,15,48,35,'71,Roadside Attractions,"$39,915",-52.4%,62,-33,$643,"$1,225,217",7
2015,15,49,45,Island of Lemurs: Madagascar,Warner Bros.,"$32,733",+1.3%,35,-,$935,"$9,287,357",54
2015,15,50,54,5 to 7,IFC Films,"$31,000",-,21,+19,-,"$55,000",2
2015,15,51,40,Selma,Paramount Pictures,"$21,271",-66.4%,67,-68,$317,"$52,065,634",16
2015,15,52,-,Lost River,Warner Bros.,"$20,828",-,3,-,"$6,942","$20,828",1
2015,15,53,48,Penguins of Madagascar,Fox,"$19,580",-19%,46,-18,$425,"$83,297,653",20
2015,15,54,-,Beyond the Mask,GathrFilms,"$18,801",-,17,-,"$1,105","$460,556",1
2015,15,55,47,Into the Woods,Walt Disney Studios Motion Pictures,"$18,568",-39.3%,50,-30,$371,"$127,997,349",16
2015,15,56,52,The Hunting Ground,RADiUS-TWC,"$16,549",-14.7%,20,-4,$827,"$194,497",7
2015,15,57,60,Man from Reno,-,"$16,063",+7.5%,4,-3,"$4,015","$58,301",3
2015,15,58,-,Kill Me Three Times,Magnolia Pictures,"$15,477",-,16,-,$967,"$15,477",1
2015,15,59,57,An Honest Liar,Abramorama,"$14,193",-10.4%,12,-3,"$1,182","$146,438",6
2015,15,60,-,About Elly2015 Re-release,The Cinema Guild,"$13,180",-,1,-,"$13,180","$16,938",1
2015,15,61,63,Lambert & Stamp,Sony Pictures Classics,"$13,000",-,7,+4,-,"$33,000",2
2015,15,62,56,Wild,Fox Searchlight Pictures,"$11,476",-32.4%,17,-11,$675,"$37,849,583",19
2015,15,63,50,Birdman or (The Unexpected Virtue of Ignorance),Fox Searchlight Pictures,"$11,473",-46.3%,20,-19,$573,"$42,335,698",26
2015,15,64,53,Timbuktu,Cohen Media Group,"$10,000",-,16,-2,-,"$1,040,000",11
2015,15,65,46,Unfinished Business,Fox,"$9,655",-69.1%,40,-36,$241,"$10,214,013",6
2015,15,66,61,The Theory of Everything,Focus Features,"$8,921",-36.6%,15,-5,$594,"$35,887,263",23
2015,15,67,59,Deli Man,Cohen Media Group,"$8,685",-43.2%,12,-13,$723,"$458,740",7
2015,15,68,64,A Most Violent Year,A24,"$8,533",-20.4%,13,+2,$656,"$5,721,712",15
2015,15,69,65,Song of the Sea,GKIDS,"$8,442",-10.7%,15,-5,$562,"$829,924",17
2015,15,70,58,Strange Magic,Walt Disney Studios Motion Pictures,"$8,209",-48%,23,-23,$356,"$12,427,046",12
2015,15,71,67,Above and Beyond,International Film Circuit,"$6,963",-6.7%,4,-,"$1,740","$269,045",11
2015,15,72,62,3 Hearts,Cohen Media Group,"$6,550",-53.2%,9,-5,$727,"$147,572",5
2015,15,73,-,Salut d'Amour,CJ Entertainment,"$6,514",-,1,-,"$6,514","$6,514",1
2015,15,74,-,Black Souls,Alchemy,"$6,286",-,2,-,"$3,143","$6,286",1
2015,15,75,-,Wa-shoku Dream: Beyond Sushi,Under The Milky Way,"$5,582",-,1,-,"$5,582","$5,582",1
2015,15,76,-,The Sisterhood of Night,Freestyle Releasing,"$5,264",-,10,-,$526,"$5,264",1
2015,15,77,-,The Passionate Thief,Rialto Pictures,"$4,916",-,2,-,"$2,458","$26,557",19
2015,15,78,88,Legends from the Sky,-,"$4,824",+290.3%,6,+4,$804,"$81,142",11
2015,15,79,74,Awake: The Life of Yogananda,-,"$2,847",-28%,5,+1,$569,"$1,438,509",27
2015,15,80,68,The Mafia Kills Only in Summer2015 Re-release,Distrib Films,"$2,818",-57.4%,4,+1,$704,"$18,593",6
2015,15,81,69,Can't Stand Losing You: Surviving the Police,Cinema Libre Studio,"$2,786",-57.5%,4,-,$696,"$18,257",4
2015,15,82,75,Citizenfour,RADiUS-TWC,"$2,735",-9.8%,4,-,$683,"$2,783,296",25
