Name,STARmeter,Known for
Peter Scanavino Jack  Jack  See fewer,Members only,Law & Order: Special Victims Unit (1999)
Jason Robards III Ed  Ed  See fewer,Members only,They Live (1988)
Ana Asensio Lisa  Lisa  See fewer,Members only,Most Beautiful Island (2017)
Didier Flamand Rich Man  Rich Man  See fewer,Members only,The Screw (1993)
Al Nazemian Nimble  Nimble  See fewer,Members only,Blue Bloods (2010)
Zohra Lampert Ms. Minor  Ms. Minor  See fewer,Members only,Let's Scare Jessica to Death (1971)
Moises De Pena Seducer  Seducer  See fewer,Members only,Zenith (2010)
Kenneth Anderson Lanky Man  Lanky Man  See fewer,Members only,The Greatest Movie Ever Made (2001)
Tim Biancalana Hank Mirren  Hank Mirren  See fewer,Members only,Just Add Love (1997)
Vladimir Bibic Man #1  Man #1  See fewer,Members only,The Interpreter (2005)
Michael Cates Vito  Vito  See fewer,Members only,Early Edition (1996)
Ohene Cornelius Ralph  Ralph  See fewer,Members only,Kick-Ass (2010)
Mike Dreyden Male Gigolo  Male Gigolo  See fewer,Members only,Last Call (2016)
Michael A. Figueroa Gigolo  Gigolo  See fewer,Members only,Zenith (2010)
Dan Foley Male Customer  Male Customer  See fewer,Members only,Zenith (2010)
Arthur French Mateo  Mateo  See fewer,Members only,Three Days of the Condor (1975)
Janis Grossman Seedy Urban Creature  Seedy Urban Creature  See fewer,Members only,Peter and Vandy (2009)
Derrick Jones Urban Guy  Urban Guy  See fewer,Members only,Handsome Harry (2009)
Kelly Kirklyn Nurse  Nurse  See fewer,Members only,Listen to Your Heart (2010)
Neal Marshad Parishoner  Parishoner  See fewer,Members only,The Conspiracy of Silence (1995)
Bernie Rachelle Schleimann  Schleimann  See fewer,Members only,Inside Man (2006)
Justin Reinsilber The Inspector  The Inspector  See fewer,Members only,Central Park (2017)
Annamarie Russo Maid  Maid  See fewer,Members only,FAIR MARKET VALUE (2019)
Ginamarie Russo Maid  Maid  See fewer,Members only,FAIR MARKET VALUE (2019)
Joe Salters Bald Man  Bald Man  See fewer,Members only,The Place Beyond the Pines (2012)
Jay O. Sanders Oberts  Oberts  See fewer,Members only,The Day After Tomorrow (2004)
Raynor Scheine Dale  Dale  See fewer,Members only,My Cousin Vinny (1992)
Saskia Seligman Russian Girl  Russian Girl  See fewer,Members only,Los Sánchez (2004)
Doug Shapiro Doctor #1  Doctor #1  See fewer,Members only,In Fear Of (2012)
Marcel Simoneau Clerk  Clerk  See fewer,Members only,Gotham (2014)
Suzana Stankovic Club Dancer  Club Dancer  See fewer,Members only,Reconciliation (I) (2015)
Brad Thomason Man in Business Suit  Man in Business Suit  See fewer,Members only,Which Way (2010)
David Thornton Berger  Berger  See fewer,Members only,Home Alone 3 (1997)
Gordon Joseph Weiss Dr. Burns  Dr. Burns  See fewer,Members only,Private Parts (1997)
Jonathan Pitts Wiley Attendant  Attendant  See fewer,Members only,Zenith (2010)
Sean T. Grant Seedy Gangster / Club Goer (uncredited)  Seedy Gangster / Club Goer (uncredited)  See fewer,Members only,Demons of the Deep Blue
