Name,STARmeter,Episodes,Known for
Frank Welker Megatron / Soundwave / Skywarp / Rumble / Laserbeak / …  See more  Megatron / Soundwave / Skywarp / Rumble / Laserbeak / Ravage / Galvatron / Trailbreaker / Mirage / Mixmaster / Sludge / Wheelie / Sweep / Frenzy / Blades / Buzzsaw / Groove / Sharkticon / Chromedome / Pinpointer / Steeljaw / Additional Voices / Booper / Brutalo / Computer / Cybetronic Narrator / Delta Pavonis IV Cat / Dr. Victor Frankenstein / Groyle / Hector Ramirez / Jeff / Junkion / Niko Don / Nitro / Poplock / Ratbat / Russian Propagandist / Teletraan II / Teletraan-II / Throttlebot / Trans-Organics  See fewer,Top 5000,93.0,Transformers: Dark of the Moon (2011)
Peter Cullen Optimus Prime / Ironhide / Streetwise / Slugslinger / C.B. Radio / …  See more  Optimus Prime / Ironhide / Streetwise / Slugslinger / C.B. Radio / Frankenstein's Monster / Halonix Maximus - Hound's Hologram / It / Joe / Nightstick / Tlaloc / Wingspan  See fewer,Members only,69.0,Transformers: Dark of the Moon (2011)
Corey Burton Spike Witwicky / Brawn / Sunstreaker / Shockwave / Additional Voices / …  See more  Spike Witwicky / Brawn / Sunstreaker / Shockwave / Additional Voices / General / Vector Sigma / Alpha Trion / Announcer / Beorht / Chief Lanarqan / Construction Foreman / Custodiobot / Dion / Dr. Rickel / Guard / Harold Edsel / Hook / Mara-Al-Utha / Motorist / Old Nebulan Man / Rage Quintesson / TV Salesman / Wideload  See fewer,Members only,68.0,Atlantis: The Lost Empire (2001)
Christopher Collins Starscream / Wheeljack / Sparkplug Witwicky / Reflector / Defensor / …  See more  Starscream / Wheeljack / Sparkplug Witwicky / Reflector / Defensor / Sweep / Cobra Commander / Dag / Farmer / Furg / Krunk / Phil Geddis / Skullcruncher / Slammer / Spike Witwicky / Thug #4 / Viewfinder / Yamanote Engineer  See fewer,Members only,68.0,The Transformers: The Movie (1986)
John Stephenson Thundercracker / Huffer / Kup / Windcharger / Alpha Trion / …  See more  Thundercracker / Huffer / Kup / Windcharger / Alpha Trion / Additional Voices / Autobot X / Bosch / Coach / Devcon / Dr. Alcazar / Farmer / General / Larry / Oil Refinery Worker / Outpost Officer / Professor Hayley / Traffic Cop / Winston  See fewer,Members only,67.0,Charlotte's Web (1973)
Jack Angel Ultra Magnus / Ramjet / Astrotrain / Smokescreen / Omega Supreme / …  See more  Ultra Magnus / Ramjet / Astrotrain / Smokescreen / Omega Supreme / Sweep / Cyclonus / Death Quintesson / Arcana / Quintesson #3 / Breakdown / Alien Scientist / Archaeologist / Basso Profundo / Commentator / Judge / Katsu Don / Lanarqan / Presenter / Professor Terranova / Quintesson / Quintesson #2 / Reporter / Sentinel Prime / Sir Wulf / Sweep #6 / Thug #1 / Thug #2  See fewer,Members only,60.0,A.I. Artificial Intelligence (2001)
Dan Gilvezan Bumblebee / Hot Spot / Scamper / Goldbug / Army Guard / …  See more  Bumblebee / Hot Spot / Scamper / Goldbug / Army Guard / Berger's Guard / Car Thief / Doctor / Football Player / Mr. Robbins / Outback / Rollbar / Security Guard / Skids / Snapdragon  See fewer,Members only,54.0,The Transformers: The Movie (1986)
Michael Bell Prowl / Sideswipe / Scrapper / Swoop / Bombshell / …  See more  Prowl / Sideswipe / Scrapper / Swoop / Bombshell / First Aid / Brainstorm / Gort / Construction Worker / Dr. Fujiyama / Igor / Junkion / Possum Brown / Primon / Space-Age Jack  See fewer,Members only,53.0,The Transformers: The Movie (1986)
Casey Kasem Teletraan I / Bluestreak / Cliffjumper / Teletraan 1 / Dr. Arkeville / …  See more  Teletraan I / Bluestreak / Cliffjumper / Teletraan 1 / Dr. Arkeville / Additional Voices / Clothes Horse / Dread Slaves  See fewer,Members only,53.0,Ghostbusters (1984)
Don Messick Ratchet / Gears / Scavenger / Additional Voices / Captain / …  See more  Ratchet / Gears / Scavenger / Additional Voices / Captain / Executive #1 / Indian Maharaja / Kremzeek / Pirate Captain / Professor  See fewer,Members only,49.0,The Last Unicorn (1982)
Neil Ross Springer / Bonecrusher / Hook / Slag / Crosshairs / …  See more  Springer / Bonecrusher / Hook / Slag / Crosshairs / Fracas / Announcer / Dutch / Executive #2 / Monzo / Newscaster / Ozu / Pointblank / Poitblank / Prima / Sixshot / Tornedron  See fewer,Members only,39.0,The Transformers: The Movie (1986)
Gregg Berger Grimlock / Long Haul / Skyfire / Arab / Barbarian / …  See more  Grimlock / Long Haul / Skyfire / Arab / Barbarian / Golden One / Outback / Sentinel / TORQ III / The Oracle  See fewer,Members only,33.0,Transformers: Devastation (2015)
Scatman Crothers Jazz  Jazz  See fewer,Top 5000,33.0,The Shining (1980)
Michael Chain Hoist / Powerglide / Red Alert / Raoul / Sir Wigend du Blackthorne / Skids  Hoist / Powerglide / Red Alert / Raoul / Sir Wigend du Blackthorne / Skids  See fewer,Members only,30.0,Chain Comedy Hour (2015)
Ken Sansom Hound / Dr. Paul Gates  Hound / Dr. Paul Gates  See fewer,Members only,29.0,Nausicaä of the Valley of the Wind (1984)
Paul Eiding Perceptor / Antillan Autobot / Cultist / Deceptitran / Eurythman communicator / …  See more  Perceptor / Antillan Autobot / Cultist / Deceptitran / Eurythman communicator / Golden One's pupil / Indian Reporter / Mok / Monacan Loan Shark / Quintesson Merchant / Scrawney / Torkulon #1 / Zebop Skandana  See fewer,Members only,29.0,Metal Gear Solid 2: Sons of Liberty (2001)
Roger C. Carmel Cyclonus / Motormaster / Bruticus / Quintesson #2 / Smiling Quintesson / …  See more  Cyclonus / Motormaster / Bruticus / Quintesson #2 / Smiling Quintesson / Unicron / Abdul Ben-F'aisal / El Presidente / Laughter Quintesson / Prime Minister of Japan / Quintesson Scientist / Rug Merchant  See fewer,Members only,28.0,The Transformers: The Movie (1986)
Dick Gautier Rodimus Prime / Hot Rod / Sweep / Apeface / Firebolt / …  See more  Rodimus Prime / Hot Rod / Sweep / Apeface / Firebolt / Quintesson Scientist / Xetaxxin  See fewer,Members only,28.0,G.I. Joe (1985)
Bud Davis Dirge / Predaking / Metroplex / Asst. Director / Male Audience Member / Railway Worker  Dirge / Predaking / Metroplex / Asst. Director / Male Audience Member / Railway Worker  See fewer,Members only,27.0,The Transformers: The Movie (1986)
