Name,STARmeter,Known for
Stewart Brand Himself  Himself  See fewer,Members only,Pandora's Promise (2013)
Rachel L. Carson Herself (archive footage)  Herself (archive footage)  See fewer,Members only,The Sea Around Us (1953)
Bill Clinton Himself (archive footage)  Himself (archive footage)  See fewer,Members only,The President Is Missing
Paul Ehrlich Himself  Himself  See fewer,Members only,Population Explosion: The Human Bomb (1968)
Denis Hayes Himself  Himself  See fewer,Members only,I Heart Huckabees (2004)
John F. Kennedy Himself (archive footage)  Himself (archive footage)  See fewer,Members only,Profiles in Courage (1964)
Hunter Lovins Herself  Herself  See fewer,Members only,Green Giants (2015)
Pete McCloskey Himself  Himself  See fewer,Members only,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers (2009)
Dennis Meadows Himself  Himself  See fewer,Members only,Last Call (2014)
Stephanie Mills Herself  Herself  See fewer,Members only,The Boat and the Bomb (2005)
Gaylord Nelson Himself (senator) (archive footage)  Himself (senator) (archive footage)  See fewer,Members only,The Earth Day Special (1990)
Russell Schweickart Himself  Himself  See fewer,Members only,Confessions from Space: Apollo (2019)
Stewart L. Udall Himself  Himself  See fewer,Members only,Robert Frost: A Lover's Quarrel with the World (1963)
