Name,STARmeter,Known for
Amanda Seyfried Sophie  Sophie  See fewer,Top 5000,Les Misérables (2012)
Marcia DeBonis Lorraine  Lorraine  See fewer,Members only,13 Going on 30 (2004)
Gael García Bernal Victor  Victor  See fewer,Top 5000,Mozart in the Jungle (2014)
Giordano Formenti Viticoltore  Viticoltore  See fewer,Members only,Letters to Juliet (2010)
Paolo Arvedi Signor Ricci (Olive Farmer)  Signor Ricci (Olive Farmer)  See fewer,Members only,Letters to Juliet (2010)
Dario Conti Cheese Supplier  Cheese Supplier  See fewer,Members only,Forgive Us Our Debts (2018)
Ivana Lotito Young Girl  Young Girl  See fewer,Members only,Gomorra (2014)
Luisa Ranieri Isabella  Isabella  See fewer,Members only,The Friends at the Margherita Cafe (2009)
Marina Massironi Francesca  Francesca  See fewer,Members only,Bread and Tulips (2000)
Lidia Biondi Donatella (as Lydia Biondi)  Donatella (as Lydia Biondi)  See fewer,Members only,Eat Pray Love (2010)
Milena Vukotic Maria  Maria  See fewer,Members only,The Discreet Charm of the Bourgeoisie (1972)
Luisa De Santis Angelina  Angelina  See fewer,Members only,The Son's Room (2001)
Christopher Egan Charlie  Charlie  See fewer,Members only,Eragon (2006)
Vanessa Redgrave Claire  Claire  See fewer,Top 5000,Atonement (2007)
Remo Remotti Farm House Lorenzo  Farm House Lorenzo  See fewer,Members only,Nine (2009)
Angelo Infanti Chess Playing Lorenzo  Chess Playing Lorenzo  See fewer,Members only,The Godfather (1972)
Giacomo Piperno Lorenzo On Lake  Lorenzo On Lake  See fewer,Members only,Quer pasticciaccio brutto de via Merulana (1983)
Fabio Testi Count Lorenzo  Count Lorenzo  See fewer,Members only,L'important c'est d'aimer (1975)
Sara Armentano Folks Home Nurse  Folks Home Nurse  See fewer,Members only,Butterfly zone - Il senso della farfalla (2009)
Benito Deotto Folks Home Lorenzo  Folks Home Lorenzo  See fewer,Members only,Letters to Juliet (2010)
Marcello Catania Take Him Lorenzo  Take Him Lorenzo  See fewer,Members only,Letters to Juliet (2010)
Silvana Bosi Take Him Lorenzo's Wife  Take Him Lorenzo's Wife  See fewer,Members only,The American (2010)
Elio Veller Grocer Lorenzo  Grocer Lorenzo  See fewer,Members only,Death Walks at Midnight (1972)
Sandro Dori Priest Lorenzo  Priest Lorenzo  See fewer,Members only,Nine (2009)
Adriano Guerri Waiter Lorenzo  Waiter Lorenzo  See fewer,Members only,Letters to Juliet (2010)
Stefano Guerrini Lorenzo - Grandson  Lorenzo - Grandson  See fewer,Members only,Letters to Juliet (2010)
Daniel Emilio Baldock Lorenzo - Father (as Daniel Baldock)  Lorenzo - Father (as Daniel Baldock)  See fewer,Members only,Go Go Tales (2007)
Franco Nero Lorenzo  Lorenzo  See fewer,Top 5000,Django Unchained (2012)
Robbie Neigeborn Sign Maker  Sign Maker  See fewer,Members only,Tower Heist (2011)
Hilary Edson Receptionist  Receptionist  See fewer,Members only,Guiding Light (1952)
Ashley Lilley Patricia  Patricia  See fewer,Members only,Mamma Mia! (2008)
Peter Arpesella American Tourist (voice) (uncredited)  American Tourist (voice) (uncredited)  See fewer,Members only,Live by Night (2016)
Ginevra Iorio Lorenzo - Little Granddaughter (uncredited)  Lorenzo - Little Granddaughter (uncredited)  See fewer,Members only,Come funziona la scuola in America? (2016)
Laura Jane Jones singer - soloist (uncredited)  singer - soloist (uncredited)  See fewer,Members only,Dora and the Lost City of Gold (2019)
Gabriele Manfredi Lorenzo - Grandson (uncredited)  Lorenzo - Grandson (uncredited)  See fewer,Members only,The Turn of the Screw (2009)
Oliver Platt New Yorker Magazine Editor Bobby (uncredited)  New Yorker Magazine Editor Bobby (uncredited)  See fewer,Top 5000,2012 (I) (2009)
Uzimann Hot Dog Vendor (uncredited)  Hot Dog Vendor (uncredited)  See fewer,Members only,Step Up 3D (2010)
