Name,STARmeter,Known for
David Bowie Narrator (voice)  Narrator (voice)  See fewer,Top 5000,Labyrinth (1986)
Mick Ronson Himself (archive footage)  Himself (archive footage)  See fewer,Members only,Bones (2005)
Mary Finnigan Herself  Herself  See fewer,Members only,Bowie: The Man Who Changed the World (2016)
Bob Harris Himself  Himself  See fewer,Members only,Made (1972)
Suzi Ronson Herself  Herself  See fewer,Members only,Ziggy Stardust and the Spiders from Mars (1973)
Jon Brewer Himself  Himself  See fewer,Members only,Bad Company: The Official Authorised 40th Anniversary Documentary (2014)
Dana Gillespie Herself  Herself  See fewer,Members only,Mahler (1974)
Angie Bowie Herself  Herself  See fewer,Members only,Eat the Rich (1987)
Kevin Cann Himself  Himself  See fewer,Members only,David Bowie: Finding Fame (2019)
David Stopps Himself  Himself  See fewer,Members only,Beside Bowie: The Mick Ronson Story (2017)
Maggi Ronson Herself  Herself  See fewer,Members only,Blind As Love (2018)
Tony Visconti Himself  Himself  See fewer,Members only,Hansa Studios: By The Wall 1976-90 (2018)
John Peel Himself (voice) (archive footage)  Himself (voice) (archive footage)  See fewer,Members only,The Goodies (1970)
Laurence Myers Himself  Himself  See fewer,Members only,Side by Side (1975)
Mick Rock Himself  Himself  See fewer,Members only,Bowie: The Video Collection (1993)
Rick Wakeman Himself  Himself  See fewer,Members only,The Ultimate Weapon
Joe Elliott Himself  Himself  See fewer,Members only,Last Action Hero (1993)
Cherry Vanilla Herself  Herself  See fewer,Members only,Broken Noses (1987)
Tony Zanetta Himself  Himself  See fewer,Members only,Ziggy Stardust and the Spiders from Mars (1973)
Andy Warhol Himself (archive footage)  Himself (archive footage)  See fewer,Members only,Blue Movie (1969)
Ian Hunter Himself  Himself  See fewer,Members only,Fright Night (1985)
Lou Reed Himself  Himself  See fewer,Members only,V for Vendetta (2005)
Mike Garson Himself  Himself  See fewer,Members only,Se7en (1995)
Earl Slick Himself  Himself  See fewer,Members only,Let Me Down Hard (2016)
Lulu Herself  Herself  See fewer,Members only,"To Sir, with Love (1967)"
Glen Matlock Himself  Himself  See fewer,Members only,Sid and Nancy (1986)
Mark Nevin Himself  Himself  See fewer,Members only,Beside Bowie: The Mick Ronson Story (2017)
Roger Taylor Himself  Himself  See fewer,Members only,Flash Gordon (1980)
