Name,STARmeter,Known for
Shinobu Terajima Setsuko Kawashima / Lucy  Setsuko Kawashima / Lucy  See fewer,Members only,Vibrator (2003)
Josh Hartnett John  John  See fewer,Top 5000,Lucky Number Slevin (2006)
Kaho Minami Ayako  Ayako  See fewer,Members only,Hotaru (1989)
Kôji Yakusho Takeshi Komori / Tom  Takeshi Komori / Tom  See fewer,Members only,13 Assassins (2010)
Shioli Kutsuna Mika Ogawa  Mika Ogawa  See fewer,Members only,Deadpool 2 (2018)
Megan Mullally Hannah  Hannah  See fewer,Top 5000,Will & Grace (1998)
Reiko Aylesworth Kei  Kei  See fewer,Members only,Aliens vs. Predator: Requiem (2007)
Nick Gracer Henry  Henry  See fewer,Members only,Barry (2018)
Liz Bolton Nancy  Nancy  See fewer,Members only,The Hunger Games: Mockingjay - Part 2 (2015)
Miyoko Yamaguchi Yoshiko  Yoshiko  See fewer,Members only,Shutter (I) (2008)
Hajime Inoue Boss  Boss  See fewer,Members only,13 Assassins (2010)
Hiroaki Miyagawa Yakuza Man  Yakuza Man  See fewer,Members only,Ani to boku no fûfu genka (2009)
Stefanie Arianne Receptionist (as Stephanie A)  Receptionist (as Stephanie A)  See fewer,Members only,Hello Au Revoir (2018)
Leni Ito Mi (Flight Attendant)  Mi (Flight Attendant)  See fewer,Members only,Battleship (2012)
Calvin C. Winbush Cab Driver (as Calvin Winbush)  Cab Driver (as Calvin Winbush)  See fewer,Members only,Whiplash (2014)
Eddie Hassell Waiter  Waiter  See fewer,Members only,The Kids Are All Right (2010)
Todd Giebenhain Joe (Hotel Clerk)  Joe (Hotel Clerk)  See fewer,Members only,Raising Hope (2010)
Tre Hale Tattoo Guy  Tattoo Guy  See fewer,Members only,Lethal Weapon (2016)
Noelani Dacascos Samantha  Samantha  See fewer,Members only,The Driver (2019)
Kimie Tanaka New Young Office Lady  New Young Office Lady  See fewer,Members only,Kotobuki/To Us (2013)
Takaaki Satô Red Leather  Red Leather  See fewer,Members only,Yasashii senritsu (2008)
Soseki Yamatoya Suicide Man  Suicide Man  See fewer,Members only,Black Film (2015)
Miyu Yagyu Young Office Lady 1  Young Office Lady 1  See fewer,Members only,20th Century Boys 1: Beginning of the End (2008)
Kayano Young Office Lady 2  Young Office Lady 2  See fewer,Members only,Five (2017)
Suzuka Ohgo Sakura  Sakura  See fewer,Members only,Memoirs of a Geisha (2005)
Ikumi Yoshimatsu Flight Attendant  Flight Attendant  See fewer,Members only,Westworld (2016)
Casey J. Adler College Stoner (uncredited)  College Stoner (uncredited)  See fewer,Members only,Bunheads (2012)
Emmet Flores Gang Member (uncredited)  Gang Member (uncredited)  See fewer,Members only,Major Crimes (2012)
