Name,STARmeter,Known for
Morgan Freeman Dr. Cameron McCarthy  Dr. Cameron McCarthy  See fewer,Top 5000,Se7en (1995)
Ashley Judd Lorraine Nelson  Lorraine Nelson  See fewer,Top 5000,Double Jeopardy (1999)
Kris Kristofferson Reed Haskett  Reed Haskett  See fewer,Top 5000,Blade (1998)
Juliana Harkavy Rebecca  Rebecca  See fewer,Top 5000,Arrow (2012)
Harry Connick Jr. Dr. Clay Haskett  Dr. Clay Haskett  See fewer,Top 5000,The Iron Giant (1999)
Charles Martin Smith George Hatton  George Hatton  See fewer,Members only,Dolphin Tale (2011)
Tom Nowicki Phillip J Hordern  Phillip J Hordern  See fewer,Members only,The Punisher (2004)
Nathan Gamble Sawyer Nelson  Sawyer Nelson  See fewer,Members only,The Dark Knight (2008)
Austin Stowell Kyle Connellan  Kyle Connellan  See fewer,Members only,Bridge of Spies (2015)
Carlos Gómez Dr. Aslan  Dr. Aslan  See fewer,Members only,Madam Secretary (2014)
Cozi Zuehlsdorff Hazel Haskett  Hazel Haskett  See fewer,Members only,Dolphin Tale (2011)
Austin Highsmith Phoebe  Phoebe  See fewer,Members only,Dolphin Tale (2011)
Taylor Blackwell Susie  Susie  See fewer,Members only,Designated Survivor (2016)
Jim R. Coleman Pat  Pat  See fewer,Members only,American Gangster (2007)
Alana Cavanaugh Toddler  Toddler  See fewer,Members only,Dolly Parton's Christmas of Many Colors: Circle of Love (2016)
Bethany Hamilton Herself  Herself  See fewer,Members only,Soul Surfer (2011)
Aaron Quick Nelson Benjamin  Benjamin  See fewer,Members only,Dynasty (2017)
Denis Arndt Dennis  Dennis  See fewer,Members only,Basic Instinct (1992)
Betsy Landin Kat  Kat  See fewer,Members only,Line of Duty (2019)
Tamara Austin Nurse's Aide  Nurse's Aide  See fewer,Members only,The Walking Dead (2010)
Cayla Brady Clearwater Marine Volunteer  Clearwater Marine Volunteer  See fewer,Members only,The Nice Guys (2016)
Nicholas Ryan Hernandez Tourist  Tourist  See fewer,Members only,Jungle Cruise (2020)
Tom Ohmer Board Member  Board Member  See fewer,Members only,Criminal Minds (2005)
Andrew McKeough Josh  Josh  See fewer,Members only,TURN: Washington's Spies (2014)
Denisea Wilson Julia  Julia  See fewer,Members only,Every Witch Way (2014)
Tom Hillmann Mel Prince  Mel Prince  See fewer,Members only,The Right Stuff
Lauren O'Quinn Tourist Woman  Tourist Woman  See fewer,Members only,The Florida Project (2017)
Raheem Babalola Steve  Steve  See fewer,Members only,David Makes Man (2019)
Amy Fox Print Reporter  Print Reporter  See fewer,Members only,"I, Tonya (2017)"
Kim Ostrenko Alyce Connelan  Alyce Connelan  See fewer,Members only,Dolphin Tale (2011)
Darin Ferraro Dock Walker  Dock Walker  See fewer,Members only,Creed (III) (2015)
Kevin Moody Clearwater Marine Volunteer (as Kevin Tyler Moody)  Clearwater Marine Volunteer (as Kevin Tyler Moody)  See fewer,Members only,Tag (I) (2018)
Gail Soltys Gail  Gail  See fewer,Members only,Dream Killer (2019)
Malcolm Modele Tourist  Tourist  See fewer,Members only,The Call Up (2016)
Winter Winter  Winter  See fewer,Members only,Dolphin Tale (2011)
Julia Jordan Mandy  Mandy  See fewer,Members only,Eleanor (II) (2019)
Hope Hanafin Jeanett  Jeanett  See fewer,Members only,500 Days of Summer (2009)
Autumn Klein Skipping Girl #1  Skipping Girl #1  See fewer,Members only,Ransom (III) (2016)
Annie Jamison Tourist  Tourist  See fewer,Members only,Killerman (2019)
Brian Leone Additional voices (voice)  Additional voices (voice)  See fewer,Members only,It (I) (2017)
Damon Sementilli News Reporter  News Reporter  See fewer,Members only,Let's Be Cops (2014)
Adrianne Walsh Board Member  Board Member  See fewer,Members only,For the Love of Ruth (2015)
Lee Karlinsky Troy  Troy  See fewer,Members only,Undertaking (2015)
Amanda Powell Jennifer Kidd  Jennifer Kidd  See fewer,Members only,Justice League: Alien Invasion (2012)
Amy Jordan Mandy and Troy's Mom  Mandy and Troy's Mom  See fewer,Members only,The Last Song (2010)
Thia Marie Sandefur Aquarium Visitor (as Thia Marie)  Aquarium Visitor (as Thia Marie)  See fewer,Members only,The Substitute Spy (2016)
Kasity Koehn Tourist  Tourist  See fewer,Members only,The Night Shift: Book 1 (2015)
Brittany Linden Aquarium Guest  Aquarium Guest  See fewer,Members only,I Need a Miracle (II)
