Name,STARmeter,Known for
Nicholas Hoult Casey Stein  Casey Stein  See fewer,Top 5000,Mad Max: Fury Road (2015)
Felicity Jones Juliette Marne  Juliette Marne  See fewer,Top 500,Rogue One: A Star Wars Story (2016)
Anthony Hopkins Hagen Kahl  Hagen Kahl  See fewer,Top 5000,The Silence of the Lambs (1991)
Ben Kingsley Geran  Geran  See fewer,Top 5000,Sexy Beast (2000)
Marwan Kenzari Matthias  Matthias  See fewer,Top 5000,Aladdin (I) (2019)
Aleksandar Jovanovic Jonas (as Alexandar Jovanovic)  Jonas (as Alexandar Jovanovic)  See fewer,Members only,You Are Wanted (2017)
Christian Rubeck Kay  Kay  See fewer,Members only,What Happened to Monday (2017)
Erdal Yildiz Rainer  Rainer  See fewer,Members only,Tatort (1970)
Clemens Schick Mirko  Mirko  See fewer,Members only,Casino Royale (2006)
Johnny Palmiero Fitch  Fitch  See fewer,Members only,Green Street Hooligans (2005)
Ben Hecker Filling Station Clerk  Filling Station Clerk  See fewer,Members only,Band of Brothers (2001)
Joachim Król Wolfgang  Wolfgang  See fewer,Members only,Maybe... Maybe Not (1994)
Markus Andreas Klauk Talaz (as Markus Klauk)  Talaz (as Markus Klauk)  See fewer,Members only,The Experiment (2001)
Michael Epp Family Car Owner  Family Car Owner  See fewer,Members only,Beyond Valkyrie: Dawn of the 4th Reich (2016)
Christina Hecke Doctor  Doctor  See fewer,Members only,Barbara (I) (2012)
Lara Melina Siebertz Sick Girl (as Lara Siebertz)  Sick Girl (as Lara Siebertz)  See fewer,Members only,Broken Glass Park (2013)
Nadia Hilker Wrong Juliette  Wrong Juliette  See fewer,Top 5000,Spring (I) (2014)
Thomas Binder Waiter (uncredited)  Waiter (uncredited)  See fewer,Members only,Night City (I) (2015)
Martin Hentschel Special Orderly (uncredited)  Special Orderly (uncredited)  See fewer,Members only,Robin Hood: Ghosts of Sherwood (2012)
Svenja Kleinfeld Stockbroker's Wife (uncredited)  Stockbroker's Wife (uncredited)  See fewer,Members only,Showtime (II) (2011)
Johny Mathew Dancer (uncredited)  Dancer (uncredited)  See fewer,Members only,Out of Control (2017)
Annina Nusko Prostitute (uncredited)  Prostitute (uncredited)  See fewer,Members only,Sense8 (2015)
Joshua Poole-Gotto Truck Driver (uncredited)  Truck Driver (uncredited)  See fewer,Members only,Rise of the Planet of the Apes (2011)
Sandra Steinbach Waitress (uncredited)  Waitress (uncredited)  See fewer,Members only,Tatort (1970)
Nikita Vasilchenko Pedestrian (uncredited)  Pedestrian (uncredited)  See fewer,Members only,The Butcher: Vol. Zero (2015)
Cherin West Prostitute (uncredited)  Prostitute (uncredited)  See fewer,Members only,Unsere Zeit ist jetzt (2016)
Alexander Wolf Stockbroker (uncredited)  Stockbroker (uncredited)  See fewer,Members only,Jerry Cotton (2010)
