Name,STARmeter,Known for
Luke Wilson Henry Poole  Henry Poole  See fewer,Top 5000,Old School (2003)
Radha Mitchell Dawn Stupek  Dawn Stupek  See fewer,Top 5000,Silent Hill (2006)
Adriana Barraza Esperanza Martinez  Esperanza Martinez  See fewer,Members only,Babel (I) (2006)
George Lopez Father Salazar  Father Salazar  See fewer,Members only,George Lopez (2002)
Cheryl Hines Meg Wyatt  Meg Wyatt  See fewer,Top 5000,Curb Your Enthusiasm (2000)
Richard Benjamin Dr. Fancher  Dr. Fancher  See fewer,Members only,Westworld (1973)
Morgan Lily Millie Stupek  Millie Stupek  See fewer,Top 5000,2012 (I) (2009)
Rachel Seiferth Patience  Patience  See fewer,Members only,Big Game (2008)
Beth Grant Josie  Josie  See fewer,Members only,Donnie Darko (2001)
Dan Callahan Hospital Young Doctor  Hospital Young Doctor  See fewer,Members only,College (2008)
Earl Carroll Mr. Lawrence  Mr. Lawrence  See fewer,Members only,Crank (2006)
Noah Dahl Young Henry  Young Henry  See fewer,Members only,Mr. & Mrs. Smith (2005)
Gloria Garayua Female Worshipper  Female Worshipper  See fewer,Members only,Fun with Dick and Jane (2005)
Molly Hagan Pediatrician  Pediatrician  See fewer,Top 5000,Sully (2016)
Michelle Krusiec Young Nurse  Young Nurse  See fewer,Members only,The Invitation (I) (2015)
Stephanie Mace Stripper #1  Stripper #1  See fewer,Members only,Crank (2006)
Kate Mulligan Waitress  Waitress  See fewer,Members only,Walk of Shame (2014)
Andrew Santino Hospital Orderly  Hospital Orderly  See fewer,Members only,The Disaster Artist (2017)
Donnie Smith Supermarket Man Shopper  Supermarket Man Shopper  See fewer,Members only,The Lincoln Lawyer (2011)
Nick Dash Security Guard (uncredited)  Security Guard (uncredited)  See fewer,Members only,Yellow Footprints
Gizza Elizondo Cancer Survivor (uncredited)  Cancer Survivor (uncredited)  See fewer,Members only,We Have Your Husband (2011)
Elaine Anne Furst Supermarket Shopper (uncredited)  Supermarket Shopper (uncredited)  See fewer,Members only,Happy Holidays (2008)
Sam Jaeger Lance (uncredited)  Lance (uncredited)  See fewer,Top 5000,Lucky Number Slevin (2006)
Marcus Maria Jung Mortician (uncredited)  Mortician (uncredited)  See fewer,Members only,U-571 (2000)
