Name,STARmeter,Known for
Cinda Adams Secretary / Waitress (voice)  Secretary / Waitress (voice)  See fewer,Members only,La La Land (I) (2016)
Mari Devon Female Reporter / Mildred (voice) (as Jane Alan)  Female Reporter / Mildred (voice) (as Jane Alan)  See fewer,Members only,Howl's Moving Castle (2004)
Kirk Thornton Japanese Man #1 (AKA Asian Investor #1) (voice) (as Ron Allen)  Japanese Man #1 (AKA Asian Investor #1) (voice) (as Ron Allen)  See fewer,Members only,Ninja Scroll (1993)
John Allsopp Agent 2 (voice)  Agent 2 (voice)  See fewer,Members only,Carnivàle (2003)
George Babbit Truck Driver (voice)  Truck Driver (voice)  See fewer,Members only,The Wild Life (2016)
Laila Berzins 911 Operator / Weecha (voice)  911 Operator / Weecha (voice)  See fewer,Members only,World of Warcraft: Battle for Azeroth (2018)
Tom Blank Mr. Blakestone (voice)  Mr. Blakestone (voice)  See fewer,Members only,Call of Duty: Infinite Warfare (2016)
Barrie D. Buckner Jr. Garcia (voice) (as Barrie D. Buckner)  Garcia (voice) (as Barrie D. Buckner)  See fewer,Members only,Resistance 3 (2011)
Joey Camen Principal Jones (voice)  Principal Jones (voice)  See fewer,Members only,Skylanders: SuperChargers (2015)
Jeff Doucette Fat Dan / Tim / Tech Support Operator (voice)  Fat Dan / Tim / Tech Support Operator (voice)  See fewer,Members only,Doctor Dolittle (1998)
David Epstein Charlie (voice)  Charlie (voice)  See fewer,Members only,The Twilight Zone (2019)
Pappy Faulkner Adam (voice)  Adam (voice)  See fewer,Members only,Deadpool The Musical: Beauty and the Beast Gaston Parody (2017)
Sandy Fox Tina (voice)  Tina (voice)  See fewer,Members only,Wreck-It Ralph (2012)
James Fredrick Gate Guard (voice)  Gate Guard (voice)  See fewer,Members only,The Son of Bigfoot (2017)
Victor Friedland Prison Guard (voice)  Prison Guard (voice)  See fewer,Members only,The Son of Bigfoot (2017)
Grant George Road Block Agent / Forensic Expert (voice)  Road Block Agent / Forensic Expert (voice)  See fewer,Members only,Avengers Assemble (2013)
Kyle Hebert Simpson (voice)  Simpson (voice)  See fewer,Members only,Dragon Ball Z: Battle of Gods (2013)
Brody Hessin Intern (voice)  Intern (voice)  See fewer,Members only,Stan Lee's Cosmic Crusaders (2016)
Steve Kramer President (voice)  President (voice)  See fewer,Members only,Scandal (2012)
Lex Lang Japanese Man #3 (AKA Asian Investor #3) (voice)  Japanese Man #3 (AKA Asian Investor #3) (voice)  See fewer,Members only,Star Wars Resistance (2018)
Joe Ochman Trapper / Tom (voice) (as Joey Lotsko)  Trapper / Tom (voice) (as Joey Lotsko)  See fewer,Members only,CSI: Crime Scene Investigation (2000)
Yuri Lowenthal Tony / Japanese Man #2 (aka Mr. Kobayashi) (voice)  Tony / Japanese Man #2 (aka Mr. Kobayashi) (voice)  See fewer,Members only,Spider-Man (2018)
Nicholas Marj Dale (voice)  Dale (voice)  See fewer,Members only,The Fall of 1980 (2013)
Domonic Paris Guard Commander (voice)  Guard Commander (voice)  See fewer,Members only,Splitz (1982)
Christopher L. Parson Bigfoot / Guard at Desk (voice) (as Chris Parson)  Bigfoot / Guard at Desk (voice) (as Chris Parson)  See fewer,Members only,Rango (2011)
Tara Platt Katrina (voice)  Katrina (voice)  See fewer,Members only,Whatta Lark (2017)
Roger Craig Smith White Rabbit (voice) (as Roger C. Smith)  White Rabbit (voice) (as Roger C. Smith)  See fewer,Top 5000,Assassin's Creed: The Ezio Collection (2016)
Michael Sorich Wilbur (voice)  Wilbur (voice)  See fewer,Members only,Scooby-Doo 2: Monsters Unleashed (2004)
Terrence Stone Wallace Eastman (voice)  Wallace Eastman (voice)  See fewer,Members only,Hearthstone: Heroes of Warcraft (2014)
Shyloh Summer Young Girl (Eva) (voice)  Young Girl (Eva) (voice)  See fewer,Members only,The Son of Bigfoot (2017)
Joe Thomas Steve / PA System (voice) (as Joe J. Thomas)  Steve / PA System (voice) (as Joe J. Thomas)  See fewer,Members only,Diablo III (2012)
Marieve Herington Shelly (voice) (as Lindsay Torrance)  Shelly (voice) (as Lindsay Torrance)  See fewer,Members only,How I Met Your Mother (2005)
Victor Weaver Secret Service Agent / Guard #2 (voice)  Secret Service Agent / Guard #2 (voice)  See fewer,Members only,The Son of Bigfoot (2017)
Johnny Wesley Billingsley (voice)  Billingsley (voice)  See fewer,Members only,A Turtle's Tale 2: Sammy's Escape from Paradise (2012)
Debi Derryberry Additional Voices  Additional Voices  See fewer,Members only,Jimmy Neutron: Boy Genius (2001)
