Name,STARmeter,Known for
Charles S. Dutton John Thomas  John Thomas  See fewer,Members only,Alien³ (1992)
Katt Williams MLK  MLK  See fewer,Members only,Norbit (2007)
Vanessa Bell Calloway Molly Thomas  Molly Thomas  See fewer,Members only,Coming to America (1988)
Toneey Acevedo Older Hispanic Man  Older Hispanic Man  See fewer,Members only,Triple Frontier (2019)
Kristen Ariza Mrs. Kay  Mrs. Kay  See fewer,Members only,The Fosters (2013)
Mark Ashworth Nigel The Butler  Nigel The Butler  See fewer,Members only,The Magnificent Seven (2016)
Giselle Bonilla Maria Santiago  Maria Santiago  See fewer,Members only,Freedom Writers (2007)
Bill Lee Brown Tank  Tank  See fewer,Members only,Baggage Claim (2013)
Reggie Brown Barack Obama  Barack Obama  See fewer,Members only,War Machine (2017)
Yakira Chambers Passerby #3  Passerby #3  See fewer,Members only,Insecure (2016)
Angelina Cortez The Obama Girl  The Obama Girl  See fewer,Members only,Clairvoyance the Ellis Files (2015)
John Diehl Steve Warren  Steve Warren  See fewer,Members only,The Client (1994)
Lauren Evans Passerby  Passerby  See fewer,Members only,The Agency of International Affairs (2019)
Jenny Gago Dede Santiago  Dede Santiago  See fewer,Members only,"Blood In, Blood Out (1993)"
Richie Gibbs Redneck Friend  Redneck Friend  See fewer,Members only,The Rise and Fall of John Tesoro (2010)
Daniel Goldston Mail Express Man  Mail Express Man  See fewer,Members only,Half Kidding
Meagan Good Tamika Jones  Tamika Jones  See fewer,Top 5000,Think Like a Man (2012)
Lonnie Henderson Sebastian Thomas  Sebastian Thomas  See fewer,Members only,Norbit (2007)
Xango Henry Duane The Guard  Duane The Guard  See fewer,Members only,Call Me King (2017)
Vernetta Jenkins Michele Obama  Michele Obama  See fewer,Members only,The Obama Effect (2012)
Wesley Johnathan Kalil Thomas  Kalil Thomas  See fewer,Members only,Almost Home (2013)
Zab Judah Jamel Thomas  Jamel Thomas  See fewer,Members only,The Fearless Two (2019)
Cleo King Rebecca Thomas  Rebecca Thomas  See fewer,Members only,Pineapple Express (2008)
Julie Lancaster Nancy Reilly  Nancy Reilly  See fewer,Members only,Stepmom (1998)
Maynor Lopez Santiago Family Member  Santiago Family Member  See fewer,Members only,Westworld (2016)
CJ Mac Joshua  Joshua  See fewer,Members only,Friday (1995)
William Mitchell Dr. Mosley  Dr. Mosley  See fewer,Members only,The Obama Effect (2012)
Carlos Moreno Jr. Young Latino Man  Young Latino Man  See fewer,Members only,Coco (I) (2017)
Ashley Noel Karen Thomas  Karen Thomas  See fewer,Members only,Chicago P.D. (2014)
Shanga Parker Prison Guard  Prison Guard  See fewer,Members only,Married... with Children (1987)
Emilio Rivera Hector Santiago  Hector Santiago  See fewer,Top 5000,High Crimes (2002)
Shelley Robertson Lola Jackson  Lola Jackson  See fewer,Members only,The Obama Effect (2012)
Bryan Ross Joshua Thomas  Joshua Thomas  See fewer,Members only,Vacancy (2007)
Jamie Tisdale Nicole Reilly  Nicole Reilly  See fewer,Members only,From Dusk Till Dawn: The Series (2014)
Diego J. Torres Luis Santiago (as Diego Torres)  Luis Santiago (as Diego Torres)  See fewer,Members only,The Burning Plain (2008)
Glynn Turman Slim Sugar  Slim Sugar  See fewer,Members only,Super 8 (2011)
Jeremy Ray Valdez Hector Santiago Jr.  Hector Santiago Jr.  See fewer,Members only,La Mission (2009)
Adam Waller Boxing Spectator  Boxing Spectator  See fewer,Members only,Fate (VI) (2016)
Eric Wright Scottie Jackson  Scottie Jackson  See fewer,Members only,The Obama Effect (2012)
Becky Wu Asian Store Owner  Asian Store Owner  See fewer,Members only,Desperate Housewives (2004)
Kevin Lapsley Campaign Staffer (uncredited)  Campaign Staffer (uncredited)  See fewer,Members only,LimoCop (2019)
