Name,STARmeter,Known for
Xun Zhou Angie  Angie  See fewer,Members only,The Equation of Love and Death (2008)
Xiaoming Huang Marco  Marco  See fewer,Members only,The Message (2009)
Yi-Lin Sie May (as Yi Lin Sie)  May (as Yi Lin Sie)  See fewer,Members only,Tiny Times 3.0 (2014)
Sonia Sui Hailey (as Tang Sui)  Hailey (as Tang Sui)  See fewer,Members only,Together (2012)
Quniciren Mimi (as Niciren Qu)  Mimi (as Niciren Qu)  See fewer,Members only,The Climbers (2019)
Mike Kai Sui Mike (Magic) (as Mike Sui)  Mike (Magic) (as Mike Sui)  See fewer,Members only,The Wandering Earth (2019)
Mu-Si Ni Lily (as Musi Ni)  Lily (as Musi Ni)  See fewer,Members only,Ghost of a Model (2013)
Zhang Zhe Adam  Adam  See fewer,Members only,The Sword Identity (2011)
Jarrett Lee Anderson Carter  Carter  See fewer,Members only,Love Off the Cuff (2017)
Shiping Cao Director Qiu  Director Qiu  See fewer,Members only,The Blood Bond (2011)
Amber Chen Hotel customer  Hotel customer  See fewer,Members only,Stand by Me (2016)
Shouqin Xu Pa  Pa  See fewer,Members only,No. 89 Shimen Road (2010)
