Name,STARmeter,Known for
Fabrice Luchini Bertrand Beauvois  Bertrand Beauvois  See fewer,Members only,In the House (2012)
Roschdy Zem Christophe Abadi  Christophe Abadi  See fewer,Members only,The Cold Light of Day (2012)
Stéphane Audran Édith Lassalle  Édith Lassalle  See fewer,Members only,The Discreet Charm of the Bourgeoisie (1972)
Gilles Cohen Louis Lassalle  Louis Lassalle  See fewer,Members only,A Prophet (2009)
Alexandre Steiger Alain  Alain  See fewer,Members only,Empreintes criminelles (2010)
Philippe Duclos Inspecteur Taurand  Inspecteur Taurand  See fewer,Members only,Spiral (2005)
Jeanne Balibar Hélène  Hélène  See fewer,Members only,Barbara (I) (2017)
Hélène de Saint-Père Carolina  Carolina  See fewer,Members only,El invierno en Lisboa (1991)
Louise Bourgoin Audrey Varella  Audrey Varella  See fewer,Members only,I Am a Soldier (2015)
Christophe Vandevelde Tony  Tony  See fewer,Members only,Read My Lips (2001)
Pierre Bourgeon Boulie  Boulie  See fewer,Members only,Rien à perdre (I) (2010)
Claire Joseph La fille du groupe  La fille du groupe  See fewer,Members only,The Girl from Monaco (2008)
Denis Dallan Denis  Denis  See fewer,Members only,Blind Maze (2009)
Marine Renoir Danseuse à la piscine  Danseuse à la piscine  See fewer,Members only,Rain Doll (2016)
Francisca Viudes La cliente de l'hotel  La cliente de l'hotel  See fewer,Members only,Halloween House Horror
Mario Barravecchia Mario  Mario  See fewer,Members only,Sous le soleil (1996)
Antoine Blanquefort Le présentateur JT  Le présentateur JT  See fewer,Members only,The Hundred-Foot Journey (2014)
Patty Demedikle La mère d'Audrey  La mère d'Audrey  See fewer,Members only,The Girl from Monaco (2008)
Antonio Esposito Le père d'Audrey  Le père d'Audrey  See fewer,Members only,The Girl from Monaco (2008)
Jean-François Fagour Le vigile du Carrément  Le vigile du Carrément  See fewer,Members only,Taxi 4 (2007)
André Ferran Le président du tribunal  Le président du tribunal  See fewer,Members only,The Girl from Monaco (2008)
Jack-Alexandre Gouillard Le copain d'Audrey scooter  Le copain d'Audrey scooter  See fewer,Members only,The Girl from Monaco (2008)
Marie Grujicic-Delage Danseuse a la piscine (as Marie Grujicic)  Danseuse a la piscine (as Marie Grujicic)  See fewer,Members only,Hardcover Mysteries (2010)
Eric Haldezos Playboy in nightclub  Playboy in nightclub  See fewer,Members only,"Bleu, set et match (2006)"
Marco Panzani Le patron du restaurant  Le patron du restaurant  See fewer,Members only,9-Month Stretch (2013)
Jo Prestia Aldo le prisonnier  Aldo le prisonnier  See fewer,Members only,Irréversible (2002)
Bernard Rosselli Roberto  Roberto  See fewer,Members only,Mesrine Part 2: Public Enemy #1 (2008)
Marie-Agnès Sibertin-Blanc L'avocate de la partie civile  L'avocate de la partie civile  See fewer,Members only,The Girl from Monaco (2008)
Anton Yakovlev L'homme slave  L'homme slave  See fewer,Members only,The Transporter Refueled (2015)
Nadine François La femme aux paillettes (uncredited)  La femme aux paillettes (uncredited)  See fewer,Members only,Nudité injustifiée (2007)
