Name,STARmeter,Known for
Nandamuri Balakrishna Chandrashekhar Dharma (as Balakrishna)  Chandrashekhar Dharma (as Balakrishna)  See fewer,Members only,Gautamiputra Satakarni (2017)
Anjali Kathyayani  Kathyayani  See fewer,Members only,"Anytime, Anywhere (2011)"
Sonal Chauhan Indu  Indu  See fewer,Members only,3G - A Killer Connection (2013)
Vikramjeet Virk Vicky  Vicky  See fewer,Members only,Shobha Somnath Ki (2011)
Nassar Lakshmi Narayana (as Nasser)  Lakshmi Narayana (as Nasser)  See fewer,Members only,Baahubali 2: The Conclusion (2017)
Rati Agnihotri Mahima Rai  Mahima Rai  See fewer,Members only,Mujhe Insaaf Chahiye (1983)
Nawab Shah Viswambhar  Viswambhar  See fewer,Members only,Dilwale (2015)
Kabir Duhan Singh Panda  Panda  See fewer,Members only,Supreme (2016)
Sayaji Shinde Bokha Sivaram  Bokha Sivaram  See fewer,Members only,1 - Nenokkadine (2014)
Suman Shekar Dharma  Shekar Dharma  See fewer,Members only,Sivaji (2007)
Kalyani N. Mrs. Lakshmi Narayana  Mrs. Lakshmi Narayana  See fewer,Members only,Theri (2016)
Stefan Alamanov Bodyguard #1  Bodyguard #1  See fewer,Members only,The Expendables 2 (2012)
Vennela Kishore  Actor  Actor  See fewer,Members only,Bhale Bhale Magadivoy (2015)
Arjun Kolishetty Arjun  Arjun  See fewer,Members only,Nenorakam (2017)
Gautam Kurup Hit Man  Hit Man  See fewer,Members only,Thuppakki (2012)
Venkat Prasad  Actor  Actor  See fewer,Members only,Baahubali: The Beginning (2015)
