Name,STARmeter,Known for
Patrick Stewart Tobi Powell  Tobi Powell  See fewer,Top 5000,Logan (2017)
Carla Gugino Lisa Davis  Lisa Davis  See fewer,Top 500,Watchmen (2009)
Matthew Lillard Mike Davis  Mike Davis  See fewer,Top 5000,Scooby-Doo (2002)
Jaime Tirelli Raul  Raul  See fewer,Members only,The Brave One (2007)
Maduka Steady Cabbie  Cabbie  See fewer,Members only,Law & Order (1990)
Daphne Fernberger Jenny Q  Jenny Q  See fewer,Members only,Bridges and Powerlines: Bushwick (2013)
Geoffrey Nauffts Daryl  Daryl  See fewer,Members only,Mississippi Burning (1988)
Gregory Korostishevsky Driver  Driver  See fewer,Members only,Extremely Loud & Incredibly Close (2011)
Antonia Rey Mrs. Trujillo  Mrs. Trujillo  See fewer,Members only,Hair (1979)
Rob Yang Jim  Jim  See fewer,Top 5000,Succession (2018)
Marina Verriest Julliard Pianist  Julliard Pianist  See fewer,Members only,Match (2014)
Alexander Anderson Dancer  Dancer  See fewer,Members only,Match (2014)
Corwin Barnette Dancer  Dancer  See fewer,Members only,Match (2014)
Troy Herring Dancer  Dancer  See fewer,Members only,Match (2014)
Kristina Bentz Dancer  Dancer  See fewer,Members only,Match (2014)
Taylor Drury Dancer  Dancer  See fewer,Members only,Match (2014)
Reed Tankersley Dabcer  Dabcer  See fewer,Members only,Match (2014)
Solana Temple Dancer  Dancer  See fewer,Members only,Match (2014)
Ariane Blaise Elodie (uncredited)  Elodie (uncredited)  See fewer,Members only,Je suis désolé de te déranger (2016)
Yanis Macheboeuf Anthony (uncredited)  Anthony (uncredited)  See fewer,Members only,Kick Off (2014)
