Name,STARmeter,Known for
Mena Suvari Brandi Boski  Brandi Boski  See fewer,Top 5000,American Beauty (1999)
Stephen Rea Thomas Bardo  Thomas Bardo  See fewer,Members only,The Crying Game (1992)
Russell Hornsby Rashid  Rashid  See fewer,Members only,Fences (2016)
Rukiya Bernard Tanya  Tanya  See fewer,Members only,Accidental Obsession (2015)
Carolyn Purdy-Gordon Petersen  Petersen  See fewer,Members only,Fortress (1992)
Lionel Mark Smith Sam  Sam  See fewer,Members only,Spartan (2004)
Wayne Robson Mr. Binckley  Mr. Binckley  See fewer,Members only,Cube (1997)
R.D. Reid Manager  Manager  See fewer,Members only,Lars and the Real Girl (2007)
Patrick McKenna Joe Lieber  Joe Lieber  See fewer,Members only,The Red Green Show (1991)
Sharlene Royer Tiffany  Tiffany  See fewer,Members only,X-Men: Days of Future Past (2014)
Bunthivy Nou Gloria  Gloria  See fewer,Members only,A Lion's Tale (2008)
Suzanne Short Receptionist  Receptionist  See fewer,Members only,Margaret and Deirdre (2006)
Wally MacKinnon Beat Cop  Beat Cop  See fewer,Members only,Copperhead (2013)
John Dartt Cop  Cop  See fewer,Members only,Phase IV (2002)
Liam McNamara Thin Young Man  Thin Young Man  See fewer,Members only,Outlander (2008)
Shuko Akune Hospital Voice Menu (voice)  Hospital Voice Menu (voice)  See fewer,Members only,E/R (1984)
John Dunsworth Cabbie  Cabbie  See fewer,Members only,Trailer Park Boys (2001)
Marguerite McNeil Mrs. Pashkewitz  Mrs. Pashkewitz  See fewer,Members only,My Bloody Valentine (1981)
Jeffrey Combs 911 Operator (voice)  911 Operator (voice)  See fewer,Top 5000,The Frighteners (1996)
Martin Moreno Pedro  Pedro  See fewer,Members only,Small Things (II) (2016)
Lorena Rincon Estela  Estela  See fewer,Members only,Paranormal Abduction (2012)
Mauricio Hoyos Luis  Luis  See fewer,Members only,Stuck (I) (2007)
Brian Johnson Bouncer (uncredited)  Bouncer (uncredited)  See fewer,Members only,Stuck (I) (2007)
