Name,STARmeter,Known for
Tom Hanks Hero Boy / Father / Conductor / Hobo / Scrooge / Santa Claus  Hero Boy / Father / Conductor / Hobo / Scrooge / Santa Claus  See fewer,Top 500,Cast Away (2000)
Leslie Zemeckis Sister Sarah / Mother  Sister Sarah / Mother  See fewer,Members only,Beowulf (2007)
Eddie Deezen Know-It-All  Know-It-All  See fewer,Members only,WarGames (1983)
Nona Gaye Hero Girl (voice)  Hero Girl (voice)  See fewer,Members only,Ali (2001)
Peter Scolari Billy - Lonely Boy  Billy - Lonely Boy  See fewer,Members only,Newhart (1982)
Brendan King Pastry Chef  Pastry Chef  See fewer,Members only,Old Dogs (I) (2009)
Andy Pellick Pastry Chef  Pastry Chef  See fewer,Members only,Winter's Tale (2014)
Josh Eli Waiter  Waiter  See fewer,Members only,Brandy & Ray J: A Family Business (2010)
Mark Mendonca Waiter  Waiter  See fewer,Members only,A Woman's a Helluva Thing (2001)
Rolondas Hendricks Waiter (as Rolandas Hendricks)  Waiter (as Rolandas Hendricks)  See fewer,Members only,The Fresh Prince of Bel-Air (1990)
Mark Goodman Waiter  Waiter  See fewer,Members only,Desperate Housewives (2004)
Jon Scott Waiter  Waiter  See fewer,Members only,Dark Fields (2006)
Gregory Gast Waiter  Waiter  See fewer,Members only,Electricity (I) (2018)
Sean Scott Waiter  Waiter  See fewer,Members only,The Polar Express (2004)
Gordon Hart Waiter  Waiter  See fewer,Members only,The Man Who Wasn't There (2001)
Michael Jeter Smokey / Steamer  Smokey / Steamer  See fewer,Members only,Open Range (2003)
Chris Coppola Toothless Boy / Elf  Toothless Boy / Elf  See fewer,Members only,Friday the 13th (2009)
Julene Renee Red Head Girl / Elf  Red Head Girl / Elf  See fewer,Members only,Secretary (2002)
Charles Fleischer Elf General  Elf General  See fewer,Members only,Who Framed Roger Rabbit (1988)
Steven Tyler Elf Lieutenant / Elf Singer  Elf Lieutenant / Elf Singer  See fewer,Members only,Be Cool (2005)
Phil Fondacaro Elf  Elf  See fewer,Members only,Willow (1988)
Debbie Lee Carrington Elf  Elf  See fewer,Members only,Men in Black (1997)
Mark Povinelli Elf  Elf  See fewer,Members only,Water for Elephants (2011)
Ed Gale Elf  Elf  See fewer,Members only,Howard the Duck (1986)
Dante Pastula Little Boy  Little Boy  See fewer,Members only,Friends (1994)
Daryl Sabara Hero Boy (voice)  Hero Boy (voice)  See fewer,Top 5000,Spy Kids 3-D: Game Over (2003)
André Sogliuzzo Smokey / Steamer (voice)  Smokey / Steamer (voice)  See fewer,Members only,You've Got Mail (1998)
Jimmy Bennett Lonely Boy (voice)  Lonely Boy (voice)  See fewer,Top 5000,Orphan (2009)
Isabella Peregrina Sister Sarah (voice)  Sister Sarah (voice)  See fewer,Members only,Journey 2: The Mysterious Island (2012)
Eric Newton Acrobatic Elf  Acrobatic Elf  See fewer,Members only,Guns for Hire (2010)
Aidan O'Shea Acrobatic Elf  Acrobatic Elf  See fewer,Members only,Lucy Knows Love (2013)
Aaron Hendry Acrobatic Elf  Acrobatic Elf  See fewer,Members only,Beerfest (2006)
Kevin C. Carr Acrobatic Elf  Acrobatic Elf  See fewer,Members only,CSI: Crime Scene Investigation (2000)
Bee Jay Joyer Acrobatic Elf  Acrobatic Elf  See fewer,Members only,CSI: NY (2004)
Jena Carpenter Acrobatic Elf  Acrobatic Elf  See fewer,Members only,Midnight by Ships Have Sailed (2014)
Karine Mauffrey Acrobatic Elf  Acrobatic Elf  See fewer,Members only,Push (2009)
Elisabeth P. Carpenter Acrobatic Elf (as Beth Carpenter)  Acrobatic Elf (as Beth Carpenter)  See fewer,Members only,Captain Marvel (2019)
Bill Forchion Acrobatic Elf  Acrobatic Elf  See fewer,Members only,U.S. Marshals (1998)
Devin Henderson Acrobatic Elf  Acrobatic Elf  See fewer,Members only,The Polar Express (2004)
Sagiv Ben-Binyamin Acrobatic Elf  Acrobatic Elf  See fewer,Members only,The Evil Within (2017)
Josh Hutcherson Hero Boy  Hero Boy  See fewer,Top 5000,The Hunger Games (2012)
Ashly Holloway Sister Sarah  Sister Sarah  See fewer,Members only,The Grift (2008)
Jimmy 'Jax' Pinchak Know-It-All  Know-It-All  See fewer,Members only,Hostage (2005)
Chantel Valdivieso Hero Girl  Hero Girl  See fewer,Members only,The Santa Clause 3: The Escape Clause (2006)
Hayden McFarland Lonely Boy  Lonely Boy  See fewer,Members only,Torque (2004)
Connor Matheus Toothless Boy  Toothless Boy  See fewer,Members only,Snow Day (2000)
Evan Sabara Young Boy  Young Boy  See fewer,Members only,Spy Kids 3-D: Game Over (2003)
Dylan Cash Boy (voice) (uncredited)  Boy (voice) (uncredited)  See fewer,Members only,General Hospital (1963)
Cody Klop Additional voices (uncredited)  Additional voices (uncredited)  See fewer,Members only,Star Trek (2009)
Phil Proctor Elves (uncredited)  Elves (uncredited)  See fewer,Members only,"Monsters, Inc. (2001)"
Patrick Stogner  Actor (uncredited)  Actor (uncredited)  See fewer,Members only,One Tree Hill (2003)
