Name,STARmeter,Known for
Ingvar Sigurdsson Kolbeinn (as Ingvar E. Sigurðsson)  Kolbeinn (as Ingvar E. Sigurðsson)  See fewer,Members only,Everest (2015)
Charlotte Bøving Solveig  Solveig  See fewer,Members only,Everest (2015)
Johann Pall Oddson Jon  Jon  See fewer,Members only,Of Horses and Men (2013)
Kristbjörg Kjeld Hildur  Hildur  See fewer,Members only,Mamma Gógó (2010)
Steinn Ármann Magnússon Vernhardur  Vernhardur  See fewer,Members only,Gauragangur (2010)
Halldóra Geirharðsdóttir Ása  Ása  See fewer,Members only,Woman at War (2018)
Helgi Björnsson Egill  Egill  See fewer,Members only,Eleven Men Out (2005)
Vilborg Halldórsdóttir Thorgardur  Thorgardur  See fewer,Members only,Foxtrot (1988)
Kash Erden Baater Gengis  Gengis  See fewer,Members only,Of Horses and Men (2013)
Juris Zablockis Russian #1  Russian #1  See fewer,Members only,Of Horses and Men (2013)
Ikor Lezhenko Russian #2  Russian #2  See fewer,Members only,Of Horses and Men (2013)
Atli Rafn Sigurðsson Óli  Óli  See fewer,Members only,Jar City (2006)
Kjartan Ragnarsson Grimur  Grimur  See fewer,Members only,The Seagull's Laughter (2001)
Sigríður María Egilsdóttir Jóhanna s&ælig;nska  Jóhanna s&ælig;nska  See fewer,Members only,Of Horses and Men (2013)
Juan Camillo Roman Estrada Juan Camillo  Juan Camillo  See fewer,Members only,Woman at War (2018)
Ólafur Flosason Bjossi  Bjossi  See fewer,Members only,Of Horses and Men (2013)
Erlingur Gíslason Prestur  Prestur  See fewer,Members only,Foxtrot (1988)
Hallmar Sigurðsson Leifur á Læk  Leifur á Læk  See fewer,Members only,Mamma Gógó (2010)
Kjartan Bjargmundsson Alli fulli  Alli fulli  See fewer,Members only,Messenger (2010)
Maria Ellingsen Dýralæknir  Dýralæknir  See fewer,Members only,D2: The Mighty Ducks (1994)
Svandis Dora Einarsdottir Signie  Signie  See fewer,Members only,Fyrir framan annað fólk (I) (2016)
Birta Rán Björgvinsdóttir Extra (uncredited)  Extra (uncredited)  See fewer,Members only,The Day the Beans Ran Out (2018)
