Name,STARmeter,Known for
Bradley Cooper Phil  Phil  See fewer,Top 500,A Star Is Born (2018)
Ed Helms Stu  Stu  See fewer,Top 5000,The Hangover (2009)
Zach Galifianakis Alan  Alan  See fewer,Top 5000,The Hangover (2009)
Justin Bartha Doug  Doug  See fewer,Top 5000,The Hangover (2009)
Ken Jeong Mr. Chow  Mr. Chow  See fewer,Top 5000,The Hangover (2009)
John Goodman Marshall  Marshall  See fewer,Top 5000,10 Cloverfield Lane (2016)
Melissa McCarthy Cassie  Cassie  See fewer,Top 500,The Heat (I) (2013)
Jeffrey Tambor Sid  Sid  See fewer,Top 5000,Transparent (2014)
Heather Graham Jade  Jade  See fewer,Top 5000,Austin Powers: The Spy Who Shagged Me (1999)
Mike Epps Black Doug  Black Doug  See fewer,Members only,Resident Evil: Apocalypse (2004)
Sasha Barrese Tracy  Tracy  See fewer,Members only,The Hangover (2009)
Jamie Chung Lauren  Lauren  See fewer,Top 5000,Big Hero 6 (2014)
Sondra Currie Linda  Linda  See fewer,Members only,The Hangover (2009)
Gillian Vigman Stephanie  Stephanie  See fewer,Members only,Step Brothers (2008)
Oliver Cooper Pharmacy Assistant  Pharmacy Assistant  See fewer,Members only,Project X (2012)
Mike Vallely Nico  Nico  See fewer,Members only,xXx (2002)
Grant Holmquist Tyler  Tyler  See fewer,Members only,The Hangover Part III (2013)
Oscar Torre Officer Vasquez  Officer Vasquez  See fewer,Members only,The Haves and the Have Nots (2013)
Jonny Coyne Hector  Hector  See fewer,Members only,Lara Croft Tomb Raider: The Cradle of Life (2003)
Silvia Curiel House Keeper  House Keeper  See fewer,Members only,Paranormal Activity: The Marked Ones (2014)
Betty Murphy Cassie's Mom  Cassie's Mom  See fewer,Members only,You Don't Mess with the Zohan (2008)
Jim Lau Chief Prison Guard  Chief Prison Guard  See fewer,Members only,S.W.A.T. (2017)
Lela Loren Female Officer  Female Officer  See fewer,Top 5000,Power (I) (2014)
Harrison Forsyth Timothy  Timothy  See fewer,Members only,NCIS (2003)
Scott Anthony Leet Henchman #1  Henchman #1  See fewer,Members only,Traffik (2018)
Tim Sitarz Henchman #2  Henchman #2  See fewer,Members only,The Revenant (2015)
Roger Schueller Priest at Funeral  Priest at Funeral  See fewer,Members only,The Purge: Anarchy (2014)
Jenny Ladner Party Girl  Party Girl  See fewer,Members only,Seat of Justice (2015)
Max Aronoff-Sher Freeway Boy  Freeway Boy  See fewer,Members only,The Hangover Part III (2013)
Emma Wetzel Freeway Girl  Freeway Girl  See fewer,Members only,Annie (2014)
Zoe Aggeliki Sandra (uncredited)  Sandra (uncredited)  See fewer,Members only,Human Trafficking (2005)
Joey Aliano Tourist (uncredited)  Tourist (uncredited)  See fewer,Members only,A.K.A. The Surgeon (2015)
Amy Alyssa Laughing Pedestrian (uncredited)  Laughing Pedestrian (uncredited)  See fewer,Members only,The PokerStars.Net Big Game (2010)
Lorenzo Aranda Liquor Store Patron (uncredited)  Liquor Store Patron (uncredited)  See fewer,Members only,The O.C. (2003)
Ariane Bellamar Bride (uncredited)  Bride (uncredited)  See fewer,Members only,Love Hollywood Style (2006)
Candy Binnings Shocked Tourist (uncredited)  Shocked Tourist (uncredited)  See fewer,Members only,Vitamin Z (2013)
Antonio D. Bonilla Tourist (uncredited)  Tourist (uncredited)  See fewer,Members only,The Trap (IV) (2018)
Michael Bower Happy Couple (uncredited)  Happy Couple (uncredited)  See fewer,Members only,Alongside Night (2014)
Charlie Brewer Freeway Dad (uncredited)  Freeway Dad (uncredited)  See fewer,Members only,S.W.A.T. (2017)
Deuandra T. Brown Local Shopper (uncredited)  Local Shopper (uncredited)  See fewer,Members only,Plum (2013)
Paul Brunel Mourner (uncredited)  Mourner (uncredited)  See fewer,Members only,Loud and Deep (2013)
Danielle Burgio Freeway Mom (uncredited)  Freeway Mom (uncredited)  See fewer,Members only,The Matrix Reloaded (2003)
