Name,STARmeter,Known for
You Ge Cheng Ying  Cheng Ying  See fewer,Members only,To Live (1994)
Xueqi Wang Tu Angu  Tu Angu  See fewer,Members only,Iron Man 3 (2013)
Xiaoming Huang Han Jue / Han Xianzi  Han Jue / Han Xianzi  See fewer,Members only,The Message (2009)
Bingbing Fan Princess Zhuang  Princess Zhuang  See fewer,Members only,X-Men: Days of Future Past (2014)
Hai-Qing Cheng Ying's Wife  Cheng Ying's Wife  See fewer,Members only,Operation Red Sea (2018)
Fengyi Zhang Gongsun Chujiu  Gongsun Chujiu  See fewer,Members only,Red Cliff (2008)
Wenzhuo Zhao Zhao Shuo / Zhao Zhuangzi  Zhao Shuo / Zhao Zhuangzi  See fewer,Members only,True Legend (2010)
Guoan Bao Zhao Dun / Zhao Xuanzi  Zhao Dun / Zhao Xuanzi  See fewer,Members only,The Romance of Three Kingdoms (1995)
William Wang Young Zhao Wu (as Han Wang)  Young Zhao Wu (as Han Wang)  See fewer,Members only,Beautiful Accident (2017)
Wenhao Zhao Zhao Wu  Zhao Wu  See fewer,Members only,White Vengeance (2011)
Bo Peng Duke Ling of Jin  Duke Ling of Jin  See fewer,Members only,Chun ai (2007)
Jinsong Wang Councellor  Councellor  See fewer,Members only,Dragon (2011)
Dong-xue Li Ti Miming  Ti Miming  See fewer,Members only,Brotherhood of Blades (2014)
