Name,STARmeter,Known for
Marion Cotillard Avril (voice)  Avril (voice)  See fewer,Top 5000,La Vie en Rose (2007)
Marc-André Grondin Julius (voice)  Julius (voice)  See fewer,Members only,C.R.A.Z.Y. (2005)
Philippe Katerine Darwin (voice)  Darwin (voice)  See fewer,Members only,Sink or Swim (2018)
Jean Rochefort Pops (voice)  Pops (voice)  See fewer,Members only,Man on the Train (2002)
Bouli Lanners Pizoni (voice)  Pizoni (voice)  See fewer,Members only,The Giants (2011)
Olivier Gourmet Paul (voice)  Paul (voice)  See fewer,Members only,The Minister (2011)
Macha Grenon Annette (voice)  Annette (voice)  See fewer,Members only,The Year Dolly Parton Was My Mom (2011)
Benoît Brière Rodrigue (voice) (as Benoit Brière)  Rodrigue (voice) (as Benoit Brière)  See fewer,Members only,Seducing Doctor Lewis (2003)
Anne Coesens Chimène (voice)  Chimène (voice)  See fewer,Members only,Illégal (2010)
Carlos Alazraqui Additional Voices (voice) (version: English)  Additional Voices (voice) (version: English)  See fewer,Members only,The Fairly OddParents (2001)
Victor Brandt Additional Voices (voice) (version: English)  Additional Voices (voice) (version: English)  See fewer,Members only,Neon Maniacs (1986)
Mark Camacho Paul (voice) (version: English)  Paul (voice) (version: English)  See fewer,Members only,X-Men: Days of Future Past (2014)
Tod Fennell Julius (voice) (version: English)  Julius (voice) (version: English)  See fewer,Members only,Brainscan (1994)
Angela Galuppo April (voice) (version: English)  April (voice) (version: English)  See fewer,Members only,X-Men: Days of Future Past (2014)
Paul Giamatti Pizoni (voice) (version: English)  Pizoni (voice) (version: English)  See fewer,Top 5000,Sideways (2004)
Tony Hale Darwin (voice) (version: English)  Darwin (voice) (version: English)  See fewer,Top 5000,Arrested Development (2003)
Tony Robinow Pops (voice) (version: English)  Pops (voice) (version: English)  See fewer,Members only,Arrival (II) (2016)
Susan Sarandon Chimène (voice) (version: English)  Chimène (voice) (version: English)  See fewer,Top 5000,Thelma & Louise (1991)
J.K. Simmons Rodrigue (voice) (version: English)  Rodrigue (voice) (version: English)  See fewer,Top 5000,Whiplash (2014)
Kari Wahlgren Additional Voices (voice) (version: English)  Additional Voices (voice) (version: English)  See fewer,Top 5000,Kung Fu Panda: Legends of Awesomeness (2011)
Jim Ward Additional Voices (voice) (version: English)  Additional Voices (voice) (version: English)  See fewer,Members only,Ratchet & Clank Future: A Crack in Time (2009)
Mick Wingert Additional Voices (voice) (version: English)  Additional Voices (voice) (version: English)  See fewer,Members only,Goosebumps 2: Haunted Halloween (2018)
