Name,STARmeter,Known for
Greg Kinnear Todd Burpo  Todd Burpo  See fewer,Top 5000,As Good as It Gets (1997)
Kelly Reilly Sonja Burpo  Sonja Burpo  See fewer,19,Flight (I) (2012)
Thomas Haden Church Jay Wilkins  Jay Wilkins  See fewer,Top 5000,Sideways (2004)
Connor Corum Colton Burpo  Colton Burpo  See fewer,Members only,The Stray (2017)
Lane Styles Cassie Burpo  Cassie Burpo  See fewer,Members only,Silent Night (I) (2012)
Margo Martindale Nancy Rawling  Nancy Rawling  See fewer,Top 5000,August: Osage County (2013)
Jacob Vargas Michael  Michael  See fewer,Members only,Luke Cage (2016)
Thanya Romero Rosa  Rosa  See fewer,Members only,The Lookout (2007)
Danso Gordon Ray  Ray  See fewer,Members only,American History X (1998)
Rob Moran Dr. O'Holleran  Dr. O'Holleran  See fewer,Members only,You're Next (2011)
Nancy Sorel Dr. Charlotte Slater  Dr. Charlotte Slater  See fewer,Members only,How It Ends (2018)
Darcy Fehr Lee Watson  Lee Watson  See fewer,Members only,My Winnipeg (2007)
Vivian Winther Katherine Watson  Katherine Watson  See fewer,Members only,The Day After Tomorrow (2004)
Pete Hudson Old Man Watson  Old Man Watson  See fewer,Members only,The Magic Snowflake (2013)
Ursula Clark Painting Girl  Painting Girl  See fewer,Members only,Heaven Is for Real (2014)
Mike Mohrhardt Jesus  Jesus  See fewer,Members only,The Empty Seat (2011)
Bryan Terrell Clark Turce (as Bryan Clark)  Turce (as Bryan Clark)  See fewer,Members only,Collateral Beauty (2016)
Randy Apostle Slim Forrest  Slim Forrest  See fewer,Members only,The Wonderful World of Disney (1995)
Julia Arkos Newspaper Reporter  Newspaper Reporter  See fewer,Members only,Saved! (2004)
Candace Smith Pay Clerk  Pay Clerk  See fewer,Members only,Curse of Chucky (2013)
Cruise Brown Playground Boy  Playground Boy  See fewer,Members only,Silent Night (I) (2012)
Keenan Lehmann Playground Boy  Playground Boy  See fewer,Members only,Channel Zero (2016)
Michael Mills Marine C.O.  Marine C.O.  See fewer,Members only,Secretariat (2010)
Kevin Anderson Mr. Baxter  Mr. Baxter  See fewer,Members only,Orphans (1987)
Jon Ted Wynne Mr. Jackson  Mr. Jackson  See fewer,Members only,Capote (2005)
Darren Felbel Mr. Parker  Mr. Parker  See fewer,Members only,Hyena Road (2015)
Lois Brothers Woman from Choir Group  Woman from Choir Group  See fewer,Members only,Faces in the Crowd (2011)
Mike Bell Bubba  Bubba  See fewer,Members only,Goon (2011)
Susan Kelso Neighbor Lady  Neighbor Lady  See fewer,Members only,Population 436 (2006)
Amber Lynn Partridge Zookeeper  Zookeeper  See fewer,Members only,Heaven Is for Real (2014)
John B. Lowe Todd's Doctor  Todd's Doctor  See fewer,Members only,The Butterfly Effect (2004)
Mitch Ainley Heywood  Heywood  See fewer,Members only,Timeless (2016)
Ali Tataryn Angel  Angel  See fewer,Members only,Curse of Chucky (2013)
Mike Palmer Fire Chief  Fire Chief  See fewer,Members only,Heaven Is for Real (2014)
Blake Taylor Loner  Loner  See fewer,Members only,The Haunting in Connecticut (2009)
Ina Barrón Angel (uncredited)  Angel (uncredited)  See fewer,Members only,Grey's Anatomy (2005)
Jim Kirby Church Deacon (uncredited)  Church Deacon (uncredited)  See fewer,Members only,Teen Lust (2014)
Anthony Lambert-Whitford Wrestler (uncredited)  Wrestler (uncredited)  See fewer,Members only,Road of Iniquity (2018)
Callie Lane Sister in Heaven (uncredited)  Sister in Heaven (uncredited)  See fewer,Members only,Heaven Is for Real (2014)
Susan Loewen Townswoman (uncredited)  Townswoman (uncredited)  See fewer,Members only,A Mother's Love (2018)
Michael Mills Marine C.O. (uncredited)  Marine C.O. (uncredited)  See fewer,Members only,Star Trek VI: The Undiscovered Country (1991)
Cindy Myskiw Waitress (uncredited)  Waitress (uncredited)  See fewer,Members only,Love in Design (2018)
Lorrie Papadopoulos Church Parishioner (uncredited)  Church Parishioner (uncredited)  See fewer,Members only,The Parts You Lose (2019)
Karl Thordarson Handel (uncredited)  Handel (uncredited)  See fewer,Members only,Reasonable Doubt (2014)
Cassandra Tusa Butterfly Pavilion Patron (uncredited)  Butterfly Pavilion Patron (uncredited)  See fewer,Members only,Jenny & Jeff (2016)
Karen Tusa Butterfly Pavilion Patron (uncredited)  Butterfly Pavilion Patron (uncredited)  See fewer,Members only,Closing Time: The Vanishing Prairie Beverage Room Documentary (2016)
Lisa Vivian Hospital Patient (uncredited)  Hospital Patient (uncredited)  See fewer,Members only,Preflight Launch (2013)
