Name,STARmeter,Known for
James Ransone Weasel  Weasel  See fewer,Top 5000,Sinister (I) (2012)
Alia Shawkat Seven  Seven  See fewer,32,Arrested Development (2003)
Kelli Garner Brianna  Brianna  See fewer,Top 5000,The Aviator (2004)
Mark Webber Tank  Tank  See fewer,Top 5000,Flesh and Blood (2017)
Jess Weixler Clover  Clover  See fewer,Top 5000,Teeth (I) (2007)
Jane Adams Dr. Bentel  Dr. Bentel  See fewer,Top 5000,Happiness (1998)
Joshua Leonard Lonnie  Lonnie  See fewer,Members only,The Blair Witch Project (1999)
Kirk Baltz Joel  Joel  See fewer,Members only,Natural Born Killers (1994)
Matthew Newton Steve  Steve  See fewer,Members only,From Nowhere (2016)
Gerry Bednob Radko  Radko  See fewer,Members only,The 40-Year-Old Virgin (2005)
Allison Anders Allison  Allison  See fewer,Members only,Gas Food Lodging (1992)
Tipper Newton Jeannie  Jeannie  See fewer,Members only,The Guest Book (2017)
Lola Blanc Green-Eyed Girl (as Kandice Melonakos)  Green-Eyed Girl (as Kandice Melonakos)  See fewer,Members only,American Horror Story (2011)
Mike McColl Ted (as Michael McColl)  Ted (as Michael McColl)  See fewer,Members only,Homeland (2011)
Holly Woodlawn Cherry  Cherry  See fewer,Members only,Scarecrow in a Garden of Cucumbers (1972)
Gwyn Fawcett Mary  Mary  See fewer,Members only,Clown (2005)
Germaine Mozel Sims Diner  Diner  See fewer,Members only,Journeyman (2007)
