Name,STARmeter,Known for
Kevin Spacey Richard Duke of Gloucester  Richard Duke of Gloucester  See fewer,Top 5000,The Usual Suspects (1995)
Maureen Anderman Duchess of York  Duchess of York  See fewer,Members only,Final (2001)
Stephen Lee Anderson Sir Richard Ratcliffe  Sir Richard Ratcliffe  See fewer,Members only,Daredevil (2015)
Jeremy Bobb Sir William Catesby / Second Murder  Sir William Catesby / Second Murder  See fewer,Members only,Russian Doll (2019)
"Nathan Darrow Lord Grey / Henry, Earl of Richmond  Lord Grey / Henry, Earl of Richmond  See fewer",Members only,House of Cards (2013)
Jack Ellis Lord Hastings  Lord Hastings  See fewer,Members only,Bad Girls (1999)
Haydn Gwynne Queen Elizabeth  Queen Elizabeth  See fewer,Members only,Beauty and the Beast (2017)
Chukwudi Iwuji Duke of Buckingham  Duke of Buckingham  See fewer,Members only,Designated Survivor (2016)
Isaiah Johnson Lord Rivers / Scrivener  Lord Rivers / Scrivener  See fewer,Members only,Person of Interest (2011)
Gemma Jones Queen Margaret  Queen Margaret  See fewer,Members only,Sense and Sensibility (1995)
Andrew Long King Edward IV / Bishop of Ely  King Edward IV / Bishop of Ely  See fewer,Members only,Blue Jasmine (2013)
Katherine Manners Young Richard Duke of York  Young Richard Duke of York  See fewer,Members only,Stan Lee's Lucky Man (2016)
Sam Mendes Director of Richard III  Director of Richard III  See fewer,Top 5000,Skyfall (2012)
Howard W. Overshown Brackenbury / Lord Mayor of London  Brackenbury / Lord Mayor of London  See fewer,Members only,Body of Lies (2008)
Simon Lee Phillips Sir James Tyrell / Duke of Norfolk  Sir James Tyrell / Duke of Norfolk  See fewer,Members only,Red Lights (2012)
Gary Powell First Murderer / Sir Frances Lovel  First Murderer / Sir Frances Lovel  See fewer,Members only,NOW: In the Wings on a World Stage (2014)
Michael Rudko Lord Stanley  Lord Stanley  See fewer,Members only,The Equalizer (1985)
Annabel Scholey Lady Anne  Lady Anne  See fewer,Members only,Walking on Sunshine (2014)
Gavin Stenhouse Marquess of Dorset  Marquess of Dorset  See fewer,Members only,Black Mirror (2011)
Hannah Stokely Young Edward Prince of Wales  Young Edward Prince of Wales  See fewer,Members only,Skyfall (2012)
Chandler Williams George - Duke of Clarence  George - Duke of Clarence  See fewer,Members only,Public Enemies (2009)
