Name,STARmeter,Known for
Gael García Bernal Juan Nuñez  Juan Nuñez  See fewer,Top 5000,Mozart in the Jungle (2014)
Simon Russell Beale Frank Graves  Frank Graves  See fewer,Members only,The Death of Stalin (2017)
Lynn Gilmartin Gemma  Gemma  See fewer,Members only,The Very Excellent Mr. Dundee
Bernardo Velasco Bosco  Bosco  See fewer,Members only,The Untamed (2016)
Leonardo Ortizgris Benjamin Wilson  Benjamin Wilson  See fewer,Members only,Güeros (2014)
Ilse Salas Silvia  Silvia  See fewer,Members only,Cantinflas (2014)
Lisa Owen Sra. Nuñez  Sra. Nuñez  See fewer,Members only,Original Sin (2001)
Alfredo Castro Dr. Nuñez  Dr. Nuñez  See fewer,Members only,Tony Manero (2008)
Leticia Brédice Sherezada  Sherezada  See fewer,Members only,Nine Queens (2000)
Pablo Chemor Himself  Himself  See fewer,Members only,Los Minondo (2010)
Maite Suarez Diez Jimena  Jimena  See fewer,Members only,Hada Madrina (2016)
Rodrigo Alcántara Bouncer  Bouncer  See fewer,Members only,Club Internacional Aguerridos (2019)
Camila Robertson Glennie Girl  Girl  See fewer,Members only,The Darkness (2016)
