Name,STARmeter,Known for
Émilie Dequenne Jeanne  Jeanne  See fewer,Members only,Brotherhood of the Wolf (2001)
Michel Blanc Samuel Bleistein  Samuel Bleistein  See fewer,Members only,Dead Tired (1994)
Catherine Deneuve Louise  Louise  See fewer,Top 5000,8 Women (2002)
Mathieu Demy Alex  Alex  See fewer,Members only,Le Bureau des Légendes (2015)
Ronit Elkabetz Judith  Judith  See fewer,Members only,Gett: The Trial of Viviane Amsalem (2014)
Nicolas Duvauchelle Franck  Franck  See fewer,Members only,Polisse (2011)
Jérémie Quaegebeur Nathan (as Jérémy Quaegebeur)  Nathan (as Jérémy Quaegebeur)  See fewer,Members only,Room of Death (2007)
Djibril Pavadé Tom  Tom  See fewer,Members only,Little Wenzhou (2009)
Alain Cauchi Marius  Marius  See fewer,Members only,Fragile (I) (2003)
Amer Alwan Le vendeur de bagages  Le vendeur de bagages  See fewer,Members only,Zaman: The Man from the Reeds (2003)
Mélaine Leconte La serveuse  La serveuse  See fewer,Members only,The Girl on the Train (2009)
Raphaëline Goupilleau L'officier de la brigade des Stups  L'officier de la brigade des Stups  See fewer,Members only,The Vanishing (1988)
Arnaud Valois Gabi  Gabi  See fewer,Members only,BPM (Beats Per Minute) (2017)
Bruno Mary Policier hôpital  Policier hôpital  See fewer,Members only,13 Tzameti (2005)
Jessica Borio Secrétaire  Secrétaire  See fewer,Members only,Candice Renoir (2013)
Benoît Solès Jeune avocat (as Benoît Soles)  Jeune avocat (as Benoît Soles)  See fewer,Members only,L'école des passions (1996)
Shoshana Lok La mère de Judith  La mère de Judith  See fewer,Members only,The Girl on the Train (2009)
Bertrand Soulier La père de la petite fille  La père de la petite fille  See fewer,Members only,The Witnesses (2007)
David Barbas Le policier  Le policier  See fewer,Members only,Crossfire (2008)
Myriam Charleins Infirmière (uncredited)  Infirmière (uncredited)  See fewer,Members only,Beauty and the Beast (2014)
Lahcen Elmazouzi Jeune homme à l'arrêt de bus (uncredited)  Jeune homme à l'arrêt de bus (uncredited)  See fewer,Members only,Man at Bath (2010)
Jenny Rieu Passante (uncredited)  Passante (uncredited)  See fewer,Members only,Linkin: A Lincoln Parody (2013)
Estelle Simon Voix policier (uncredited)  Voix policier (uncredited)  See fewer,Members only,Ratatouille (2007)
Grégoire Taulère Policier brigade des stups (uncredited)  Policier brigade des stups (uncredited)  See fewer,Members only,The Assault (2010)
