Name,STARmeter,Known for
Quvenzhané Wallis Hushpuppy  Hushpuppy  See fewer,Members only,Annie (2014)
Dwight Henry Wink  Wink  See fewer,Members only,12 Years a Slave (2013)
Levy Easterly Jean Battiste  Jean Battiste  See fewer,Members only,American Horror Story (2011)
Lowell Landes Walrus  Walrus  See fewer,Members only,Big Freedia: Y'all Get Back Now (2011)
Pamela Harper Little Jo  Little Jo  See fewer,Members only,Beasts of the Southern Wild (2012)
Gina Montana Miss Bathsheba  Miss Bathsheba  See fewer,Members only,Margaret Bourke-White (1989)
Amber Henry LZA  LZA  See fewer,Members only,Beasts of the Southern Wild (2012)
Jonshel Alexander Joy Strong  Joy Strong  See fewer,Members only,Sundance Directors Lab (2009)
Nicholas Clark Boy with Bell  Boy with Bell  See fewer,Members only,Beasts of the Southern Wild (2012)
Joseph Brown Winston  Winston  See fewer,Members only,Beasts of the Southern Wild (2012)
Henry D. Coleman Peter T  Peter T  See fewer,Members only,Big Freedia: Y'all Get Back Now (2011)
Kaliana Brower T-Lou  T-Lou  See fewer,Members only,Beasts of the Southern Wild (2012)
Philip Lawrence Dr. Maloney  Dr. Maloney  See fewer,Members only,Coldwell Spring
Hannah Holby Open Arms Babysitter  Open Arms Babysitter  See fewer,Members only,Boneshaker (2013)
Jimmy Lee Moore Sgt. Major  Sgt. Major  See fewer,Members only,Glory at Sea (2008)
Jovan Hathaway The Cook  The Cook  See fewer,Members only,Big Freedia: Y'all Get Back Now (2011)
Kendra Harris Baby Hushpuppy  Baby Hushpuppy  See fewer,Members only,Beasts of the Southern Wild (2012)
Windle Bourg Herself  Herself  See fewer,Members only,Beasts of the Southern Wild (2012)
Marilyn Barbarin Cabaret Singer (uncredited)  Cabaret Singer (uncredited)  See fewer,Members only,Beasts of the Southern Wild (2012)
Roxanna Francis Barge Girl (uncredited)  Barge Girl (uncredited)  See fewer,Members only,Beasts of the Southern Wild (2012)
Jay Oliver Hospital Patient (uncredited)  Hospital Patient (uncredited)  See fewer,Members only,The Paperboy (2012)
Paisley Layne Zerangue Rosasharn (uncredited)  Rosasharn (uncredited)  See fewer,Members only,Beasts of the Southern Wild (2012)
