Name,STARmeter,Known for
Christina Hendricks Cindy  Cindy  See fewer,100,Ginger & Rosa (2012)
Martin Henderson Mike  Mike  See fewer,Members only,Smokin' Aces (2006)
Bailee Madison Kinsey  Kinsey  See fewer,Top 500,Brothers (I) (2009)
Lewis Pullman Luke  Luke  See fewer,Members only,Bad Times at the El Royale (2018)
Damian Maffei Man in the Mask  Man in the Mask  See fewer,Members only,Haunt (2019)
Emma Bellomy Dollface  Dollface  See fewer,Members only,Killer Babes and the Frightening Film Fiasco
Lea Enslin Pinup  Pinup  See fewer,Members only,The Twilight Saga: Breaking Dawn - Part 1 (2011)
Mary Louise Casanta Aunt Sheryl  Aunt Sheryl  See fewer,Members only,The Strangers: Prey at Night (2018)
Ken Strunk Uncle Marv  Uncle Marv  See fewer,Members only,Carol (2015)
Rachel Kuhn Waitress  Waitress  See fewer,Members only,Unpaid Debts
Leah Roberts Young Mother  Young Mother  See fewer,Members only,The Old Man & the Gun (2018)
Preston Sadleir State Trooper  State Trooper  See fewer,Members only,Unbreakable Kimmy Schmidt (2015)
Gabriel A. Byrne Young Son  Young Son  See fewer,Members only,Sidney
