Name,STARmeter,Known for
Kais Nashif Salam Abbass  Salam Abbass  See fewer,Members only,Body of Lies (2008)
Lubna Azabal Tala / Manal aka Rachel  Tala / Manal aka Rachel  See fewer,Members only,Incendies (2010)
Yaniv Biton Captain Assi Tzur  Captain Assi Tzur  See fewer,Members only,Nivheret Yisrael (2011)
Maisa Abd Elhadi Mariam  Mariam  See fewer,Members only,The Angel (2018)
Nadim Sawalha Bassam  Bassam  See fewer,Members only,The Spy Who Loved Me (1977)
Salim Dau Atef  Atef  See fewer,Members only,Fauda (2015)
Yousef 'Joe' Sweid General Yehuda Edelman  General Yehuda Edelman  See fewer,Members only,American Assassin (2017)
Amer Hlehel Nabil  Nabil  See fewer,Members only,Paradise Now (2005)
Laëtitia Eïdo Maisa  Maisa  See fewer,Members only,Fauda (2015)
Ashraf Farah Marwan  Marwan  See fewer,Members only,Zaytoun (2012)
Ula Tabari Sarah  Sarah  See fewer,Members only,Munich (2005)
Yazan Doubal Marwan's Friend  Marwan's Friend  See fewer,Members only,Bad Banks (2018)
Shifi Aloni  Actress  Actress  See fewer,Members only,The Unorthodox (2018)
Negweny El Assal Doctor  Doctor  See fewer,Members only,Sawah (2019)
Alma Hemmo Female soldier  Female soldier  See fewer,Members only,Tel Aviv on Fire (2018)
Yaffa Levi Assi's aunt  Assi's aunt  See fewer,Members only,Beauty and the Baker (2013)
Sameh 'Saz' Zakout  Actor  Actor  See fewer,Members only,Junction 48 (2016)
