Name,STARmeter,Episodes,Known for
Volker Bruch Wilhelm Winter  Wilhelm Winter  See fewer,Members only,3,The Baader Meinhof Complex (2008)
Tom Schilling Friedhelm Winter  Friedhelm Winter  See fewer,Members only,3,A Coffee in Berlin (2012)
Katharina Schüttler Greta  Greta  See fewer,Members only,3,Free Fall (2013)
Miriam Stein Charlotte  Charlotte  See fewer,Members only,3,Four Women and a Funeral (2005)
Ludwig Trepte Viktor Goldstein  Viktor Goldstein  See fewer,Members only,3,Deutschland 83 (2015)
Mark Waschke Dorn  Dorn  See fewer,Members only,3,Habermann (2010)
Henriette Richter-Röhl Hildegard  Hildegard  See fewer,Members only,3,Autobahnraser (2004)
Götz Schubert Dr. Jahn  Dr. Jahn  See fewer,Members only,3,The People vs. Fritz Bauer (2015)
Hildegard Schroedter Oberschwester  Oberschwester  See fewer,Members only,3,Babylon Berlin (2017)
Christiane Paul Lilja  Lilja  See fewer,Members only,2,In July (2000)
Sylvester Groth Hiemer  Hiemer  See fewer,Members only,2,Inglourious Basterds (2009)
Alina Levshin Alina  Alina  See fewer,Members only,2,Combat Girls (2011)
Lucas Gregorowicz Jerzy  Jerzy  See fewer,Members only,2,SS-GB (2017)
Maxim Mehmet Hauptmann Feigl  Hauptmann Feigl  See fewer,Members only,2,Tatort (1970)
Adam Markiewicz Stanislawski  Stanislawski  See fewer,Members only,2,Remembrance (2011)
Johanna Gastdorf Friedhelms Mutter  Friedhelms Mutter  See fewer,Members only,2,The Wave (2008)
Peter Kremer Vater Winter  Vater Winter  See fewer,Members only,2,Sansibar oder Der letzte Grund (1987)
Trystan Pütter Bertok  Bertok  See fewer,Members only,2,Anonymous (I) (2011)
David Zimmerschied Schneider  Schneider  See fewer,Members only,2,Die wilden Herzen von St.Tropez (2009)
Joel Basman Bartel  Bartel  See fewer,Members only,2,We Are Young. We Are Strong. (2014)
Anne Diemer Dorns Frau  Dorns Frau  See fewer,Members only,2,Tatort (1970)
Karina Plachetka Erika  Erika  See fewer,Members only,2,Two Mothers (2013)
Judith Engel Frau Schulze  Frau Schulze  See fewer,Members only,2,Casting (V) (2017)
Samuel Finzi Viktors Vater  Viktors Vater  See fewer,Members only,1,Worst Case Scenario (2014)
Janusz Cichocki Polnischer Bauer  Polnischer Bauer  See fewer,Members only,1,Fugitives (2011)
Dorka Gryllus Viktor's Mother  Viktor's Mother  See fewer,Members only,1,Soul Kitchen (2009)
Bernd Michael Lade Feldwebel Krebs  Feldwebel Krebs  See fewer,Members only,1,Das Geständnis (2015)
Inga Jarkova Schwester Sonja  Schwester Sonja  See fewer,Members only,1,Visi vyrai - kiaules (2015)
Marek Harloff Karow  Karow  See fewer,Members only,1,Der Skorpion (1997)
Tino Mewes Zwei  Zwei  See fewer,Members only,1,Nashorn im Galopp (2013)
Antonio Wannek Koch  Koch  See fewer,Members only,1,Never Mind the Wall (2001)
Merle Dissen Dorns Tochter  Dorns Tochter  See fewer,Members only,1,Generation War (2013)
Paul Maaß Dorgerloh  Dorgerloh  See fewer,Members only,1,Look Who's Back (2015)
Benjamin Trinks Eins  Eins  See fewer,Members only,1,The Reader (2008)
Ludwig Blochberger Freitag  Freitag  See fewer,Members only,1,The Old Fox (1977)
Laurens Walter Dorns Adjutant  Dorns Adjutant  See fewer,Members only,1,Stromberg (2004)
Martin Bruchmann Schmidt  Schmidt  See fewer,Members only,1,Never Look Away (2018)
Kai Michael Müller Polnischer Bauersohn  Polnischer Bauersohn  See fewer,Members only,1,Max and Moritz Reloaded (2005)
Lioba Ravén Engel Mädchen  Mädchen  See fewer,Members only,1,Frühlingswind (2012)
Eckehard Hoffmann Dorns Chauffeur Willy  Dorns Chauffeur Willy  See fewer,Members only,1,Speed Racer (2008)
Valentin Novopolskij Commander  Commander  See fewer,Members only,1,Defiance (I) (2008)
Thomas Arnold Wirt  Wirt  See fewer,Members only,1,War Horse (2011)
Franziska Böhm Krystyna (uncredited)  Krystyna (uncredited)  See fewer,Members only,2,Zum letzten Mal (2011)
Michael Ihnow Francizek (uncredited)  Francizek (uncredited)  See fewer,Members only,2,Die Diplomatin (2016)
Jan Niklas Berg Soldat (uncredited)  Soldat (uncredited)  See fewer,Members only,1,Alles Klara (2012)
André Borning Russischer Offizier (uncredited)  Russischer Offizier (uncredited)  See fewer,Members only,1,Nulllinie (2011)
Bernhard Conrad Feldwebel (uncredited)  Feldwebel (uncredited)  See fewer,Members only,1,Kahlschlag (2018)
Kristoffer Fuss Russischer Soldat (uncredited)  Russischer Soldat (uncredited)  See fewer,Members only,1,Pandorum (2009)
Matthias Halbrock Russischer Arzt (uncredited)  Russischer Arzt (uncredited)  See fewer,Members only,1,One Night in Berlin (2011)
Martin Hentschel Leutnant Harmann (uncredited)  Leutnant Harmann (uncredited)  See fewer,Members only,1,Robin Hood: Ghosts of Sherwood (2012)
Bruno Montani Soldat (uncredited)  Soldat (uncredited)  See fewer,Members only,1,Cloud Atlas (2012)
Jean Denis Römer Russe im Lazarett (uncredited)  Russe im Lazarett (uncredited)  See fewer,Members only,1,Up Creek Without a Paddle
Sebastian Urzendowsky Gespensterlegion Soldier (uncredited)  Gespensterlegion Soldier (uncredited)  See fewer,Members only,1,The Way Back (I) (2010)
