Name,STARmeter,Known for
Carlen Altman JR / Sister  JR / Sister  See fewer,Members only,Loners Together
Alex Ross Perry Colin / Brother  Colin / Brother  See fewer,Members only,Her Smell (2018)
Bob Byington Professor Neil Chadwick  Professor Neil Chadwick  See fewer,Members only,Frances Ferguson (2019)
Anna Bak-Kvapil Kim Thompson  Kim Thompson  See fewer,Members only,Tiny Furniture (2010)
Ry Russo-Young Zoe  Zoe  See fewer,Members only,You Wont Miss Me (2009)
Craig Butta Norton the Bully  Norton the Bully  See fewer,Members only,Listen Up Philip (2014)
Kate Lyn Sheil Julia  Julia  See fewer,Members only,You're Next (2011)
Drew Brooke Singing Waiter 1  Singing Waiter 1  See fewer,Members only,The Color Wheel (2011)
Tom Brown Antique Tom  Antique Tom  See fewer,Members only,The Color Wheel (2011)
Alexa Casciari Megan the Mom  Megan the Mom  See fewer,Members only,The Color Wheel (2011)
Sandy Gartner Singing Waitress  Singing Waitress  See fewer,Members only,The Color Wheel (2011)
Kate Hollowell Ellie  Ellie  See fewer,Members only,Jealousy (2019)
Anna Margaret Hollyman Roberta B.  Roberta B.  See fewer,Members only,Maude (2018)
Leigh Poulos Laurie the Nurse Lover  Laurie the Nurse Lover  See fewer,Members only,Dates Like This (2012)
Keith Poulson Norton's Sidekick  Norton's Sidekick  See fewer,Members only,Mercury Plains (2016)
Brandon Prince Erik  Erik  See fewer,Members only,The Color Wheel (2011)
Bonnie Pritchard Parking Lot Blonde  Parking Lot Blonde  See fewer,Members only,The Color Wheel (2011)
Benjamin Moses Smith Kim's Cousin (as Ben Smith)  Kim's Cousin (as Ben Smith)  See fewer,Members only,Stake Land (2010)
Ethan Smith Singing Waiter  Singing Waiter  See fewer,Members only,Dateline NBC (1992)
Jody E. Smith Ms. Wagner (as Jody Smith)  Ms. Wagner (as Jody Smith)  See fewer,Members only,The Sea of Trees (2015)
Roy Thomas Motel Clerk  Motel Clerk  See fewer,Members only,The Color Wheel (2011)
Sarah Virden Preppie No-Pineapple  Preppie No-Pineapple  See fewer,Members only,Etienne! (2009)
C. Mason Wells Chris 'Wheels' Locke  Chris 'Wheels' Locke  See fewer,Members only,Thirst Street (2017)
