Name,STARmeter,Known for
Trevor Wright Zach  Zach  See fewer,Members only,The Social Network (2010)
Brad Rowe Shaun  Shaun  See fewer,Members only,National Treasure: Book of Secrets (2007)
Tina Holmes Jeanne  Jeanne  See fewer,Members only,Half Nelson (2006)
Jackson Wurth Cody  Cody  See fewer,Members only,Heroes (II) (2006)
Katie Walder Tori  Tori  See fewer,Members only,Gilmore Girls (2000)
Matt Bushell Alan  Alan  See fewer,Members only,Twilight (I) (2008)
Ross Thomas Gabe  Gabe  See fewer,Members only,Soul Surfer (2011)
Albert Reed Billy  Billy  See fewer,Members only,Double Fault (2009)
Joy Gohring Ellen  Ellen  See fewer,Members only,18 (2009)
Don Margolin John  John  See fewer,Members only,Touch of the Devil (2013)
Alejandro Patiño Moe (as Alejandro Patino)  Moe (as Alejandro Patino)  See fewer,Members only,The Ballad of Buster Scruggs (2018)
Caitlin Crosby Shari  Shari  See fewer,Members only,A Mann's World (2011)
Alicia Sixtos Amber  Amber  See fewer,Members only,The Avengers (2012)
Tarek Zohdy Gabe's Friend  Gabe's Friend  See fewer,Members only,1st Born (2018)
Robbi Chong Receptionist  Receptionist  See fewer,Members only,Poltergeist: The Legacy (1996)
Charlie Disalvatore Dog on Beach  Dog on Beach  See fewer,Members only,Shelter (II) (2007)
Christina Blevins Partier (uncredited)  Partier (uncredited)  See fewer,Members only,Blind Ambition (2008)
Dominic Figlio Surfer (uncredited)  Surfer (uncredited)  See fewer,Members only,Kelly Clarkson: Never Again (2007)
Tricia Pierce Partier (uncredited)  Partier (uncredited)  See fewer,Members only,Bleach: Burîchi (2004)
