Name,STARmeter,Episodes,Known for
Tatiana Pauhofová Dagmar Buresová  Dagmar Buresová  See fewer,Members only,3.0,Tender Waves (2013)
Jaroslava Pokorná Libuse Palachová  Libuse Palachová  See fewer,Members only,3.0,The Brats (2002)
Petr Stach Jirí Palach  Jirí Palach  See fewer,Members only,3.0,A Walk Worthwhile (2009)
Vojtech Kotek Ondrej Trávnícek  Ondrej Trávnícek  See fewer,Members only,3.0,Chasing Fifty (2015)
Patrik Dergel Pavel Janda  Pavel Janda  See fewer,Members only,3.0,El Klásiko (2015)
Martin Huba Vilém Nový  Vilém Nový  See fewer,Members only,3.0,I Served the King of England (2006)
Igor Bares mjr. Docekal  mjr. Docekal  See fewer,Members only,3.0,Some Secrets (2002)
Adrian Jastraban Vladimír Charouz  Vladimír Charouz  See fewer,Members only,3.0,Ulice (2005)
Jan Budar Radim Bures  Radim Bures  See fewer,Members only,3.0,Boredom in Brno (2003)
Ivan Trojan mjr. Jires  mjr. Jires  See fewer,Members only,3.0,Viditelny svet (2011)
Denny Ratajský por. Bocek  por. Bocek  See fewer,Members only,3.0,Red Tails (2012)
Jenovéfa Boková Vladka Charouzová  Vladka Charouzová  See fewer,Members only,3.0,Moments (2018)
David Novotný JUDr. Sýkora / JUDr. Sykora  JUDr. Sýkora / JUDr. Sykora  See fewer,Members only,3.0,The Karamazov Brothers (2008)
Emma Smetana Hana Cízková  Hana Cízková  See fewer,Members only,3.0,Men in Hope (2011)
Tatjana Medvecká MUDr. Ziková  MUDr. Ziková  See fewer,Members only,3.0,Dom (I) (2011)
Ivana Uhlírová JUDr Reznícková / JUDr. Reznícková  JUDr Reznícková / JUDr. Reznícková  See fewer,Members only,3.0,Tiger Theory (2016)
Stanislav Zindulka JUDr. Sládecek  JUDr. Sládecek  See fewer,Members only,3.0,Autumn Spring (2001)
Michaela Procházková Zuzanka Buresová  Zuzanka Buresová  See fewer,Members only,3.0,Clownwise (2013)
Tereza Korejsová Lucinka Buresová  Lucinka Buresová  See fewer,Members only,3.0,Martin a Venuse (2013)
Alois Svehlík nácelník Horyna  nácelník Horyna  See fewer,Members only,3.0,Cerní baroni (1992)
Miroslav Krobot Pruvodcí Jiricka / pruvodcí Jiricka  Pruvodcí Jiricka / pruvodcí Jiricka  See fewer,Members only,3.0,Nowhere in Moravia (2014)
Ondrej Malý JUDr. Knapp  JUDr. Knapp  See fewer,Members only,3.0,Anthropoid (2016)
Tomás Dianiska  Actor  Actor  See fewer,Members only,3.0,Snowpiercer (2013)
Jirí Bábek  Actor  Actor  See fewer,Members only,3.0,Bullet for Heydrich (The Czech Century) (2013)
Hana Marie Marousková  Actress  Actress  See fewer,Members only,3.0,Blue Code (2017)
Lukás Cernoch  Actor  Actor  See fewer,Members only,3.0,The Lens (2014)
Pavel Cisovský  Actor  Actor  See fewer,Members only,3.0,Guardian of Souls (2005)
Sebastian Jacques  Actor  Actor  See fewer,Members only,3.0,Head Over Heels (2014)
Zuzana Truplová Studentka FFUK  Studentka FFUK  See fewer,Members only,3.0,Isabel (2013)
Marian Roden  Actor  Actor  See fewer,Members only,3.0,Ceské století (2013)
Jana Pidrmanová  Actress  Actress  See fewer,Members only,3.0,At Your Own Risk (2008)
Lukás Príkazský  Actor  Actor  See fewer,Members only,3.0,The Red Baron (2008)
Filip Capka  Actor  Actor  See fewer,Members only,3.0,Dokonalý svet (2010)
Martin Sitta  Actor  Actor  See fewer,Members only,3.0,Circus Bukowsky (2013)
Lenka Loubalová  Actress  Actress  See fewer,Members only,3.0,Amadeus (1984)
Václav Marhold  Actor  Actor  See fewer,Members only,3.0,10 Rules (2014)
Ivan Rezác  Actor  Actor  See fewer,Members only,3.0,Tvuj svet (1995)
Ivan G'Vera  Actor  Actor  See fewer,Members only,3.0,Terminator Salvation (2009)
Borík Procházka  Actor  Actor  See fewer,Members only,3.0,Darkness (2009)
Ivo Kubecka  Actor  Actor  See fewer,Members only,3.0,Pavlínka (1974)
Jaroslav Pulda  Actor  Actor  See fewer,Members only,3.0,4Some (2012)
Josef Hervert  Actor  Actor  See fewer,Members only,3.0,Lost Gate (2012)
Claudia Vaseková  Actress  Actress  See fewer,Members only,3.0,Mission: Impossible - Ghost Protocol (2011)
Anne-Francoise Josephová  Actress  Actress  See fewer,Members only,3.0,Burning Bush (2013)
Alena Dlouhá  Actress  Actress  See fewer,Members only,3.0,Serena (I) (2014)
Lambert Slezák  Actor  Actor  See fewer,Members only,3.0,Signál (2012)
Jirí Kohout  Actor  Actor  See fewer,Members only,3.0,Red Tails (2012)
Hynek Chmelar  Actor  Actor  See fewer,Members only,3.0,The Inheritance or Fuckoffguysgoodday (1992)
Lubos Veselý  Actor  Actor  See fewer,Members only,3.0,At Your Own Risk (2008)
Slávek Bilský  Actor  Actor  See fewer,Members only,3.0,Fair Play (2014)
Roman Slovák  Actor  Actor  See fewer,Members only,3.0,Walking Too Fast (2009)
Karel Gult  Actor  Actor  See fewer,Members only,3.0,Amadeus (1984)
Ctirad Götz  Actor  Actor  See fewer,Members only,3.0,Cerní baroni (2004)
Miroslav Sabadin  Actor  Actor  See fewer,Members only,3.0,Family Film (2015)
Nadezda Husáková  Actress  Actress  See fewer,Members only,3.0,The Butcher of Prague (2011)
Ludek Nesleha  Actor  Actor  See fewer,Members only,3.0,The Young Indiana Jones Chronicles (1992)
Marta Vítu  Actress  Actress  See fewer,Members only,3.0,Protektor (2009)
Pavla Gajdosíková  Actress  Actress  See fewer,Members only,3.0,Chyby (2020)
Petr Franek  Actor  Actor  See fewer,Members only,3.0,The Adventurers (2017)
Lukás Kristán  Actor  Actor  See fewer,Members only,3.0,12 Monkeys (2015)
Karel Wiencek  Actor  Actor  See fewer,Members only,3.0,Príbeh kmotra (2013)
Milan Encev  Actor  Actor  See fewer,Members only,3.0,Kajinek (2010)
Rostislav Novák Jr.  Actor  Actor  See fewer,Members only,3.0,The Red Baron (2008)
Vladimír Kulhavý  Actor  Actor  See fewer,Members only,3.0,Casino Royale (2006)
Milena Sajdkova  Actress  Actress  See fewer,Members only,3.0,Plunkett & Macleane (1999)
Milan Senki  Actor  Actor  See fewer,Members only,3.0,Roming (2007)
Veronika Janku  Actress  Actress  See fewer,Members only,3.0,Teambuilding (2018)
Jirí Vobecký  Actor  Actor  See fewer,Members only,3.0,The Butcher of Prague (2011)
Klára Hanusová  Actress  Actress  See fewer,Members only,3.0,Head Over Heels (2014)
David Noll  Actor  Actor  See fewer,Members only,3.0,Burning Bush (2013)
Filip Benesovský  Actor  Actor  See fewer,Members only,3.0,Burning Bush (2013)
Petr Krejcí  Actor  Actor  See fewer,Members only,3.0,Vsechnopárty (2005)
Ivan Nemec  Actor  Actor  See fewer,Members only,3.0,Burning Bush (2013)
Jakub Zindulka  Actor  Actor  See fewer,Members only,3.0,The Brothers Grimm (2005)
Diana Soltýsová  Actress  Actress  See fewer,Members only,3.0,Dokonalý svet (2010)
Pavlína Skruzná  Actress  Actress  See fewer,Members only,3.0,Quickload (2013)
