Name,STARmeter,Known for
Rob Schneider Norm (voice)  Norm (voice)  See fewer,Top 5000,The Hot Chick (2002)
Heather Graham Vera (voice)  Vera (voice)  See fewer,Top 5000,Austin Powers: The Spy Who Shagged Me (1999)
Ken Jeong Mr. Greene (voice)  Mr. Greene (voice)  See fewer,Top 5000,The Hangover (2009)
Bill Nighy Socrates (voice)  Socrates (voice)  See fewer,Top 5000,Love Actually (2003)
Colm Meaney Grandfather (voice)  Grandfather (voice)  See fewer,Members only,Con Air (1997)
Loretta Devine Tamecia (voice)  Tamecia (voice)  See fewer,Members only,Crash (I) (2004)
"Michael McElhatton Laurence, the Actor (voice)  Laurence, the Actor (voice)  See fewer",Members only,Game of Thrones (2011)
Maya Kay Olympia (voice)  Olympia (voice)  See fewer,Members only,Alpha and Omega (2010)
Gabriel Iglesias Stan / Pablo (voice)  Stan / Pablo (voice)  See fewer,Members only,Magic Mike XXL (2015)
Salome Jens Councilwoman Klubeck (voice)  Councilwoman Klubeck (voice)  See fewer,Members only,Green Lantern (2011)
Charlie Adler Forebear (voice)  Forebear (voice)  See fewer,Members only,Transformers: Dark of the Moon (2011)
G.K. Bowes Female Tourist (voice)  Female Tourist (voice)  See fewer,Members only,Street Fighter V (2016)
Debi Derryberry Daughter (voice)  Daughter (voice)  See fewer,Members only,Jimmy Neutron: Boy Genius (2001)
Ben Diskin Chef Kozawa (voice)  Chef Kozawa (voice)  See fewer,Members only,Kindergarten Cop (1990)
Keith Ferguson Human Tourist (voice)  Human Tourist (voice)  See fewer,Members only,Overwatch (2016)
Dan Gordon Nigel / Henchman 1 / PA (voice)  Nigel / Henchman 1 / PA (voice)  See fewer,Members only,Kinect Disneyland Adventures (2011)
Jess Harnell Male Tourist (voice)  Male Tourist (voice)  See fewer,Members only,Transformers: Dark of the Moon (2011)
Kate Higgins Elizabeth (voice)  Elizabeth (voice)  See fewer,Members only,Ralph Breaks the Internet (2018)
Mikey Kelley Henchman 2 (voice)  Henchman 2 (voice)  See fewer,Members only,TMNT (2007)
Rove McManus Junior Investor (voice)  Junior Investor (voice)  See fewer,Members only,Rove Live (2000)
Emily Polydoros Bratty Girl (voice)  Bratty Girl (voice)  See fewer,Members only,Norm of the North (2016)
Eric Price Caribou 1 / Caribou 2 (voice)  Caribou 1 / Caribou 2 (voice)  See fewer,Members only,Alpha and Omega (2010)
Nick Shakoour Costumed Bear (voice)  Costumed Bear (voice)  See fewer,Members only,Care Bears: Unlock the Magic (2019)
Max Spitz Teen Bear 1 (voice)  Teen Bear 1 (voice)  See fewer,Members only,Breaking Wind (2012)
Janet Varney Janet (voice)  Janet (voice)  See fewer,Members only,The Legend of Korra (2012)
Rick D. Wasserman Henchman 3 (voice) (as Rick Wasserman)  Henchman 3 (voice) (as Rick Wasserman)  See fewer,Members only,Batman: Arkham Asylum (2009)
Mary Ryan Connell Additional Voices (voice)  Additional Voices (voice)  See fewer,Members only,Norm of the North (2016)
Mary Louise Gemmill Additional Voices (voice)  Additional Voices (voice)  See fewer,Members only,Bluff City Law (2019)
Shaun Gerardo Additional Voices (voice)  Additional Voices (voice)  See fewer,Members only,The Immortal Wars: Resurgence (2019)
Asher Glaser Additional Voices (voice)  Additional Voices (voice)  See fewer,Members only,Mechanic (2009)
Mela Lee Additional Voices (voice)  Additional Voices (voice)  See fewer,Members only,Mortal Kombat 11 (2019)
Aketza Lopez Additional Voices (voice)  Additional Voices (voice)  See fewer,Members only,El Dandy (2015)
Piotr Michael Additional Voices (voice)  Additional Voices (voice)  See fewer,Members only,Family Guy (1999)
Maire Ni Chonghaile Additional Voices (voice) (as Máire Ní Chonghaile)  Additional Voices (voice) (as Máire Ní Chonghaile)  See fewer,Members only,Drop Dead Weird (2017)
Bridin Ni Mhaoldomhnaigh Additional Voices (voice) (as Brídí Ní Mhaoldomhnaigh)  Additional Voices (voice) (as Brídí Ní Mhaoldomhnaigh)  See fewer,Members only,Ros na Rún (1996)
Cindy Robinson Additional Voices (voice)  Additional Voices (voice)  See fewer,Members only,Paprika (2006)
Nic Robuck Additional Voices (voice)  Additional Voices (voice)  See fewer,Members only,One Life to Live (1968)
Bernie Van De Yacht Additional Voices (voice)  Additional Voices (voice)  See fewer,Members only,Salvation (I) (2016)
Cathy Cavadini Old Woman (voice) (uncredited)  Old Woman (voice) (uncredited)  See fewer,Members only,The Powerpuff Girls (1998)
Zachary Gordon Norm Cub (voice) (uncredited)  Norm Cub (voice) (uncredited)  See fewer,Members only,Diary of a Wimpy Kid (2010)
Rachel Grate Speed Boat Woman (voice) (uncredited)  Speed Boat Woman (voice) (uncredited)  See fewer,Members only,Crazy Ex-Girlfriend (2015)
Jamie Lissow Male Tourist (voice) (uncredited)  Male Tourist (voice) (uncredited)  See fewer,Members only,Real Rob (2015)
Julia Max Female Tourist (voice) (uncredited)  Female Tourist (voice) (uncredited)  See fewer,Members only,Distortion (II) (2016)
Candi Milo Teen Bear 2 (voice) (uncredited)  Teen Bear 2 (voice) (uncredited)  See fewer,Members only,My Life as a Teenage Robot (2003)
