Name,STARmeter,Episodes,Known for
Tatsuomi Hamada Shigeo Kageyama  Shigeo Kageyama  See fewer,Members only,5.0,Ultraman Geed (2017)
Atsushi Arai Teruki Hanazawa  Teruki Hanazawa  See fewer,Members only,1.0,Kamen Rider Movie War Mega Max: Kamen Rider vs. Kamen Rider Fourze & OOO (2011)
Masayuki Deai Sakurai  Sakurai  See fewer,Members only,1.0,47 Ronin (2013)
Kôhei Fukuyama Kaito Shiratori  Kaito Shiratori  See fewer,Members only,1.0,Girl's Play (2017)
Hiroaki Iwanaga Koyama  Koyama  See fewer,Members only,1.0,Kamen Rider Movie War Mega Max: Kamen Rider vs. Kamen Rider Fourze & OOO (2011)
Yûki Kubota Kenji Mitsura  Kenji Mitsura  See fewer,Members only,1.0,Kamen Rider Gaim (2013)
Naoki Kunishima Shinji Kamuro  Shinji Kamuro  See fewer,Members only,1.0,Doubutsu Sentai Zyuohger (2016)
Takahiro Kuroishi Hideki Yamamura  Hideki Yamamura  See fewer,Members only,1.0,Terra Formars (2016)
Yuki Mamiya Tsuchiya  Tsuchiya  See fewer,Members only,1.0,The Torture Club (2014)
Moro Morooka Takoyaki restaurant owner  Takoyaki restaurant owner  See fewer,Members only,1.0,Ichi the Killer (2001)
Shin Nagahama Musashi Goda  Musashi Goda  See fewer,Members only,1.0,Ressha Sentai ToQger (2014)
Takuya Negishi Tsuyoshi Edano  Tsuyoshi Edano  See fewer,Members only,1.0,Ultraman Ginga S the Movie: Showdown! Ultra 10 Warriors!! (2015)
Akane Sakanoue Rei Kurosaki  Rei Kurosaki  See fewer,Members only,1.0,Ultraman X (2015)
Akihisa Shiono Daichi Shiratori  Daichi Shiratori  See fewer,Members only,1.0,"Zyuden Sentai Kyoryuger vs. Go-Busters: Dinosaur Great Battle! Farewell, Eternal Friends (2014)"
Tatsuya Shirato Tengagi Onina  Tengagi Onina  See fewer,Members only,1.0,Midway (2019)
Takayuki Suzuki Ryohei Shimura  Ryohei Shimura  See fewer,Members only,1.0,The Taping (2019)
Suzunosuke Muto  Muto  See fewer,Members only,1.0,Kamen Rider Heisei Generations: Dr. Pac-Man vs. Ex-Aid & Ghost with Legend Rider (2016)
Kasumi Yamaya Tome Kurata  Tome Kurata  See fewer,Members only,1.0,Confessions (2010)
Akio Ôtsuka Dimple  Dimple  See fewer,Members only,1.0,Ghost in the Shell (1995)
Kazuki Namioka  Actor  Actor  See fewer,Members only,,13 Assassins (2010)
Yûki Yoda  Actress  Actress  See fewer,Members only,,Zambi (2019)
