Name,STARmeter,Known for
Katy Perry Herself - Kathy Beth Terry  Herself - Kathy Beth Terry  See fewer,91,The Smurfs (2011)
Adam Marcello Himself - Band Leader / Drums  Himself - Band Leader / Drums  See fewer,Members only,Looks Twice (2005)
Casey Hooper Himself - Guitars  Himself - Guitars  See fewer,Members only,The Job (I) (2006)
Patrick Matera Himself - Guitars  Himself - Guitars  See fewer,Members only,Mother India: Life Through the Eyes of the Orphan (2012)
Max Hart Himself - Keys  Himself - Keys  See fewer,Members only,Katy Perry: The Prismatic World Tour (2015)
Joshua Moreau Himself - Bass  Himself - Bass  See fewer,Members only,Katy Perry: The Prismatic World Tour (2015)
Lauren Allison Ball Herself - Background Vocals  Herself - Background Vocals  See fewer,Members only,Katy Perry: The Prismatic World Tour (2015)
Tasha Layton Herself - Background Vocals  Herself - Background Vocals  See fewer,Members only,The Mindy Project (2012)
Leah Adler Herself - Dancer  Herself - Dancer  See fewer,Members only,La La Land (I) (2016)
Lockhart Brownlie Himself - Dancer  Himself - Dancer  See fewer,Members only,True Blood (2008)
Anthony Burrell Himself - Dancer  Himself - Dancer  See fewer,Members only,Bad Grandpa (2013)
Lexie Contursi Herself - Dancer  Herself - Dancer  See fewer,Members only,La La Land (I) (2016)
Ashley Ashida Dixon Herself - Dancer  Herself - Dancer  See fewer,Members only,Burlesque (I) (2010)
Brandee Evans Herself - Dancer  Herself - Dancer  See fewer,Members only,P-Valley (2019)
Bryan Gaw Himself - Dancer  Himself - Dancer  See fewer,Members only,Alvin and the Chipmunks (2007)
Malik Le Nost Himself - Dancer (as Malik LeNost)  Himself - Dancer (as Malik LeNost)  See fewer,Members only,Machine & Magic (2013)
Rachael Markarian Herself - Dancer  Herself - Dancer  See fewer,Members only,Top Gun: Maverick (2020)
Scott Myrick Himself - Dancer  Himself - Dancer  See fewer,Members only,La La Land (I) (2016)
Cassidy Noblett Himself - Dancer  Himself - Dancer  See fewer,Members only,La La Land (I) (2016)
Bradford Cobb Himself - Manager  Himself - Manager  See fewer,Members only,Katy Perry: The Prismatic World Tour (2015)
Johnny Wujek Himself - Stylist  Himself - Stylist  See fewer,Members only,Dirty (2005)
Steven Jensen Himself - Manager (as Steve Jensen)  Himself - Manager (as Steve Jensen)  See fewer,Members only,Hannibal: Pride of Carthage
Todd Delano Himself - Makeup Artist  Himself - Makeup Artist  See fewer,Members only,Kill of the Night (I) (2013)
Tamra Natisin Herself - Assistant  Herself - Assistant  See fewer,Members only,Live Free or Die Hard (2007)
Angela Hudson Herself - Katy's Sister / Kathy Beth Terry  Herself - Katy's Sister / Kathy Beth Terry  See fewer,Members only,E! Special: Katy Perry (2010)
David Daniel Hudson Himself - Katy's Brother (as David Hudson)  Himself - Katy's Brother (as David Hudson)  See fewer,Members only,Summer Campbell (2013)
Keith Hudson Himself - Katy's Parent  Himself - Katy's Parent  See fewer,Members only,Katy Perry: Hot N Cold (2008)
Mary Hudson Herself - Katy's Parent  Herself - Katy's Parent  See fewer,Members only,Katy Perry: Hot N Cold (2008)
Mark 'The Cobra Snake' Hunter Himself - Photographer (as Mark Hunter aka 'The Cobra Snake')  Himself - Photographer (as Mark Hunter aka 'The Cobra Snake')  See fewer,Members only,90210 (2008)
