Name,STARmeter,Episodes,Known for
Edgar Ramírez Ilich Ramírez Sánchez 'Carlos'  Ilich Ramírez Sánchez 'Carlos'  See fewer,Top 5000,3.0,Gold (I) (2016)
Alexander Scheer Johannes Weinrich  Johannes Weinrich  See fewer,Members only,3.0,Gundermann (2018)
Fadi Abi Samra Michel Moukharbel  Michel Moukharbel  See fewer,Members only,3.0,Very Big Shot (2015)
Lamia Ahmed Épouse religieux syrien  Épouse religieux syrien  See fewer,Members only,3.0,Carlos (2010)
Karam Ghossein Feday chez Wadie Haddad  Feday chez Wadie Haddad  See fewer,Members only,3.0,Street of Death (2017)
Liane Sellerer Épouse Steff  Épouse Steff  See fewer,Members only,3.0,Tödliche Verbindungen (2007)
Philippe Tran Feday Orly  Feday Orly  See fewer,Members only,3.0,Look at Me (2004)
Ahmad Kaabour Wadie Haddad  Wadie Haddad  See fewer,Members only,2.0,Carlos (2010)
Talal Jurdi Kamal al-Issawi 'Ali'  Kamal al-Issawi 'Ali'  See fewer,Members only,2.0,When Maryam Spoke Out (2001)
Juana Acosta Amie de Carlos  Amie de Carlos  See fewer,Members only,2.0,Anna (I) (2015)
Nora von Waldstätten Magdalena Kopp  Magdalena Kopp  See fewer,Members only,2.0,Personal Shopper (2016)
Christoph Bach Hans-Joachim Klein 'Angie'  Hans-Joachim Klein 'Angie'  See fewer,Members only,2.0,Polder (2015)
Rodney El Haddad Anis Naccache 'Khalid'  Anis Naccache 'Khalid'  See fewer,Members only,2.0,Where Do We Go Now? (2011)
Julia Hummer Gabriele Kröcher-Tiedemann 'Nada'  Gabriele Kröcher-Tiedemann 'Nada'  See fewer,Members only,2.0,The State I Am In (2000)
Antoine Balabane Général al-Khouly  Général al-Khouly  See fewer,Members only,2.0,Cash Flow (2012)
Rami Farah 'Joseph'  'Joseph'  See fewer,Members only,2.0,Escape from Raqqa (2019)
Aljoscha Stadelmann Wilfred Böse 'Boni' / Wilfried Böse 'Boni'  Wilfred Böse 'Boni' / Wilfried Böse 'Boni'  See fewer,Members only,2.0,Die Wölfe (2009)
Zeid Hamdan 'Youssef'  'Youssef'  See fewer,Members only,2.0,Capernaum (2018)
Fadi Yanni Turk Colonel Haïtham Saïd  Colonel Haïtham Saïd  See fewer,Members only,2.0,Carlos (2010)
Katharina Schüttler Brigitte Kuhlmann  Brigitte Kuhlmann  See fewer,Members only,2.0,Free Fall (2013)
