Name,STARmeter,Known for
Robert Frank Himself  Himself  See fewer,Members only,Me and My Brother (1969)
"Sid Kaplan Himself, darkroom printer  Himself, darkroom printer  See fewer",Members only,Sid Kaplan (2015)
June Leaf Herself  Herself  See fewer,Members only,Keep Busy (1975)
William S. Burroughs Himself (archive footage)  Himself (archive footage)  See fewer,Members only,Drugstore Cowboy (1989)
Robert Downey Sr. Himself (archive footage) (as Robert Downey)  Himself (archive footage) (as Robert Downey)  See fewer,Members only,To Live and Die in L.A. (1985)
Pablo Frank Himself (archive footage)  Himself (archive footage)  See fewer,Members only,Pull My Daisy (1959)
Allen Ginsberg Himself (archive footage)  Himself (archive footage)  See fewer,Members only,Howl (2010)
Robert Golka Himself (archive footage)  Himself (archive footage)  See fewer,Members only,Phenomenon: The Lost Archives (1998)
Yûichi Hibi Himself  Himself  See fewer,Members only,Ken San (2016)
Edward Lachman Himself (as Ed Lachman)  Himself (as Ed Lachman)  See fewer,Members only,Carol (2015)
"Bobby MacMillan Himself, paperboy  Himself, paperboy  See fewer",Members only,Don't Blink - Robert Frank (2015)
"John Marshall Himself, antique dealer, Marshall's Antiques  Himself, antique dealer, Marshall's Antiques  See fewer",Members only,Don't Blink - Robert Frank (2015)
Jack Micheline Himself (archive footage)  Himself (archive footage)  See fewer,Members only,Bukowski: Born into This (2003)
Julius Orlovsky Himself (archive footage)  Himself (archive footage)  See fewer,Members only,Me and My Brother (1969)
The Rolling Stones Themselves (archive footage)  Themselves (archive footage)  See fewer,Members only,Pirate Radio (2009)
Harry Everett Smith Himself (archive footage) (as Harry Smith)  Himself (archive footage) (as Harry Smith)  See fewer,Members only,
"Gerhard Steidl Himself, international publisher of photobooks, Steidl Verlag  Himself, international publisher of photobooks, Steidl Verlag  See fewer",Members only,Der Unbequeme - Der Dichter Günter Grass (2007)
"Ayumi Yamazaki Herself, photographer (as A-Chan)  Herself, photographer (as A-Chan)  See fewer",Members only,Don't Blink - Robert Frank (2015)
