Name,STARmeter,Episodes,Known for
Alane Delhaye P'tit Quinquin  P'tit Quinquin  See fewer,Members only,4,Coincoin and the Extra-Humans (2018)
Lucy Caron Eve Terrier  Eve Terrier  See fewer,Members only,4,Coincoin and the Extra-Humans (2018)
Bernard Pruvost Commandant Van der Weyden  Commandant Van der Weyden  See fewer,Members only,4,Coincoin and the Extra-Humans (2018)
Philippe Jore Lieutenant Carpentier  Lieutenant Carpentier  See fewer,Members only,4,Coincoin and the Extra-Humans (2018)
Philippe Peuvion Père Quinquin  Père Quinquin  See fewer,Members only,4,Coincoin and the Extra-Humans (2018)
Lisa Hartmann Aurélie Terrier  Aurélie Terrier  See fewer,Members only,4,Rembrandt en ik (2011)
Julien Bodard Kevin  Kevin  See fewer,Members only,4,Coincoin and the Extra-Humans (2018)
Corentin Carpentier Jordan  Jordan  See fewer,Members only,4,Li'l Quinquin (2014)
Pascal Fresch Mr. Campin / Mr. Campin (flashback sequences)  Mr. Campin / Mr. Campin (flashback sequences)  See fewer,Members only,4,Li'l Quinquin (2014)
Jason Cirot Dany Lebleu  Dany Lebleu  See fewer,Members only,3,Coincoin and the Extra-Humans (2018)
Baptiste Anquez Mohamed Bhiri  Mohamed Bhiri  See fewer,Members only,3,Li'l Quinquin (2014)
Stéphane Boutillier Mr. Lebleu  Mr. Lebleu  See fewer,Members only,3,Li'l Quinquin (2014)
Frédéric Castagno Vétérinaire  Vétérinaire  See fewer,Members only,3,Coincoin and the Extra-Humans (2018)
Andrée Peuvion Grand-Mère Lebleu  Grand-Mère Lebleu  See fewer,Members only,3,Li'l Quinquin (2014)
Lucien Chaussoy Grand-Père Lebleu  Grand-Père Lebleu  See fewer,Members only,3,Li'l Quinquin (2014)
Cindy Louguet Mme Campin / Mme Campin (flashback sequences)  Mme Campin / Mme Campin (flashback sequences)  See fewer,Members only,3,Li'l Quinquin (2014)
Céline Sauvage Mère Quinquin  Mère Quinquin  See fewer,Members only,2,Premiers baisers (1991)
Bruno Darras Le Bedeau  Le Bedeau  See fewer,Members only,2,Li'l Quinquin (2014)
Sébastien Liss Le Vacher / Le vacher  Le Vacher / Le vacher  See fewer,Members only,2,Li'l Quinquin (2014)
Yacine Kellal Copain de Mohamed / Copain de Mohamed (flashback sequences)  Copain de Mohamed / Copain de Mohamed (flashback sequences)  See fewer,Members only,2,Li'l Quinquin (2014)
Didier Hennuyer L'organiste  L'organiste  See fewer,Members only,2,Li'l Quinquin (2014)
Myriam Habibe-Zahmani La Journaliste  La Journaliste  See fewer,Members only,1,Li'l Quinquin (2014)
Catherine Juritt Mme Bhiri  Mme Bhiri  See fewer,Members only,1,Li'l Quinquin (2014)
Raphaël Leroy Le Caméraman  Le Caméraman  See fewer,Members only,1,Li'l Quinquin (2014)
Eric Legagneur Officier de Gendarmerie  Officier de Gendarmerie  See fewer,Members only,1,Li'l Quinquin (2014)
Cédric Lemaire Prêtre  Prêtre  See fewer,Members only,1,"Nouvelle Star, ça continue (2004)"
Raphaël Mourgues Le Procureur  Le Procureur  See fewer,Members only,1,Coincoin and the Extra-Humans (2018)
Stéphane Gallais Prêtre  Prêtre  See fewer,Members only,1,Coincoin and the Extra-Humans (2018)
Nathan Labit Ch'tiderman  Ch'tiderman  See fewer,Members only,1,Li'l Quinquin (2014)
Benoit Géneau de Lamarlière Mr. Terrier  Mr. Terrier  See fewer,Members only,1,Li'l Quinquin (2014)
Coralie Renzi La Copine d'Aurélie  La Copine d'Aurélie  See fewer,Members only,1,Li'l Quinquin (2014)
Camille Cazier Elodie  Elodie  See fewer,Members only,1,Li'l Quinquin (2014)
Didier Després René  René  See fewer,Members only,1,Slack Bay (2016)
Céline Cazier Patricia  Patricia  See fewer,Members only,1,Li'l Quinquin (2014)
Eghosa Jonathan Orumwense Contremaître Chantier  Contremaître Chantier  See fewer,Members only,1,Li'l Quinquin (2014)
Salfouta Safay Travailleur Chantier  Travailleur Chantier  See fewer,Members only,1,Li'l Quinquin (2014)
Dita Dituasilua-Matuasilua Travailleur Chantier  Travailleur Chantier  See fewer,Members only,1,Li'l Quinquin (2014)
Hamid Chtioui Le Sacrificateur  Le Sacrificateur  See fewer,Members only,1,Li'l Quinquin (2014)
Kenjy Poure Le présentateur  Le présentateur  See fewer,Members only,1,Li'l Quinquin (2014)
