Name,STARmeter,Known for
Vincent Cassel Jacques Mesrine  Jacques Mesrine  See fewer,Top 5000,Black Swan (2010)
Ludivine Sagnier Sylvia Jeanjacquot  Sylvia Jeanjacquot  See fewer,Members only,8 Women (2002)
Mathieu Amalric François Besse  François Besse  See fewer,Members only,The Diving Bell and the Butterfly (2007)
Samuel Le Bihan Michel Ardouin  Michel Ardouin  See fewer,Members only,Brotherhood of the Wolf (2001)
Gérard Lanvin Charlie Bauer  Charlie Bauer  See fewer,Members only,Le fils préféré (1994)
Olivier Gourmet Le commissaire Broussard  Le commissaire Broussard  See fewer,Members only,The Minister (2011)
Georges Wilson Henri Lelièvre  Henri Lelièvre  See fewer,Members only,The Three Musketeers (1973)
Michel Duchaussoy Le père de Jacques Mesrine  Le père de Jacques Mesrine  See fewer,Members only,Mesrine Part 1: Killer Instinct (2008)
Anne Consigny L'avocate de Jacques Mesrine  L'avocate de Jacques Mesrine  See fewer,Members only,Elle (I) (2016)
Laure Marsac La journaliste interview  La journaliste interview  See fewer,Members only,Interview with the Vampire: The Vampire Chronicles (1994)
Alain Fromager Jacques Dallier - journaliste pour Minute  Jacques Dallier - journaliste pour Minute  See fewer,Members only,Au petit Marguery (1995)
Alain Doutey Le président du tribunal à Compiègne  Le président du tribunal à Compiègne  See fewer,Members only,Frantic (1988)
Arsène Mosca Jojo - un policier  Jojo - un policier  See fewer,Members only,Micmacs (2009)
Christophe Vandevelde Inspecteur Gégé  Inspecteur Gégé  See fewer,Members only,Read My Lips (2001)
Luc Thuillier Le commissaire OCRB / Lucien Aimé-Blanc  Le commissaire OCRB / Lucien Aimé-Blanc  See fewer,Members only,Dolmen (2005)
Serge Biavan L'inspecteur SRPJ  L'inspecteur SRPJ  See fewer,Members only,"Ensemble, nous allons vivre une très, très grande histoire d'amour... (2010)"
Pascal Elso Le commissaire SRPJ  Le commissaire SRPJ  See fewer,Members only,"Les Steenfort, maîtres de l'orge (1996)"
Isabelle Vitari La caissière  La caissière  See fewer,Members only,Foon (2005)
Michaël Vander-Meiren Le gendarme à Compiègne #1  Le gendarme à Compiègne #1  See fewer,Members only,From Paris with Love (2010)
David Seigneur Le gendarme à Compiègne #2  Le gendarme à Compiègne #2  See fewer,Members only,The Very Very Big Company (2008)
Nicolas Abraham Grangier  Grangier  See fewer,Members only,Mea culpa (2014)
Joseph Malerba Robert  Robert  See fewer,Members only,Léon: The Professional (1994)
Pascal Doucet-Bon Journaliste Compiègne  Journaliste Compiègne  See fewer,Members only,Mesrine Part 2: Public Enemy #1 (2008)
Emmanuel Vieilly L'inspecteur au cimetière  L'inspecteur au cimetière  See fewer,Members only,Des gens bien (2017)
Myriam Boyer La mère de Jacques Mesrine  La mère de Jacques Mesrine  See fewer,Members only,Mesrine Part 1: Killer Instinct (2008)
Pascal Liger Le boxeur  Le boxeur  See fewer,Members only,Now You See Me (I) (2013)
Gérard Jarrier Gardien de la paix  Gardien de la paix  See fewer,Members only,Jour De Chance (2016)
David Bursztein Le tireur d'élite gradé  Le tireur d'élite gradé  See fewer,Members only,La Belle Noiseuse (1991)
Héléna Soubeyrand La copine arrestation  La copine arrestation  See fewer,Members only,Taken (I) (2008)
Fabrice de la Villehervé Le gardien-chef  Le gardien-chef  See fewer,Members only,L'Élu (2011)
Jean-Luc Muscat Gardien prison de la Santé  Gardien prison de la Santé  See fewer,Members only,Mesrine Part 2: Public Enemy #1 (2008)
Vincent Jouan Gardien prison de la Santé  Gardien prison de la Santé  See fewer,Members only,Le pacte du silence (2003)
Eric Boucher Gardien prison de la Santé  Gardien prison de la Santé  See fewer,Members only,Le cousin (1997)
Bernard Rosselli Gardien prison de la Santé  Gardien prison de la Santé  See fewer,Members only,Les jeux sont faits! (1998)
Philippe Le Dem Gardien prison de la Santé  Gardien prison de la Santé  See fewer,Members only,Paroles d'hommes (1997)
Erik Forcinal Le gardien avocat  Le gardien avocat  See fewer,Members only,Sauveur Giordano (2001)
Fanny Sidney Sabrina 16 ans  Sabrina 16 ans  See fewer,Members only,Madame petite (2015)
Alain Rimoux L'avocat général  L'avocat général  See fewer,Members only,District B13 (2004)
Olivier Pajot Le président Assises Paris  Le président Assises Paris  See fewer,Members only,Les prédateurs (2007)
Olivier Barthélémy Le codétenu évasion  Le codétenu évasion  See fewer,Members only,The Burma Conspiracy (2011)
Rachel Suissa Princesse Annie  Princesse Annie  See fewer,Members only,Destiny (2008)
Clémence Thioly Princesse Christiane  Princesse Christiane  See fewer,Members only,"Me, Myself and Mum (2013)"
Xavier Letourneur Le brigadier-chef Deauville (as Xavier Le Tourneur)  Le brigadier-chef Deauville (as Xavier Le Tourneur)  See fewer,Members only,Braquo (2009)
Yan Brian Directeur casino Deauville  Directeur casino Deauville  See fewer,Members only,22 Bullets (2010)
Hervé Laudière Le fermier  Le fermier  See fewer,Members only,Revenge (2016)
Françoise Le Plénier La fermière  La fermière  See fewer,Members only,Stalingrad Lovers (2012)
Antoine Le enfant  Le enfant  See fewer,Members only,Mesrine Part 2: Public Enemy #1 (2008)
Floriane Le enfant  Le enfant  See fewer,Members only,Mesrine Part 2: Public Enemy #1 (2008)
Jérôme Boyer Gendarme barrage police  Gendarme barrage police  See fewer,Members only,Le Havre (2011)
Jean-Pierre Dantan Gendarme barrage police  Gendarme barrage police  See fewer,Members only,Mesrine Part 2: Public Enemy #1 (2008)
Clément Sasseville Vendeur journaux Londres  Vendeur journaux Londres  See fewer,Members only,Bolt (1995)
Martial Courcier Complice enlèvement  Complice enlèvement  See fewer,Members only,Asterix and Obelix vs. Caesar (1999)
Frédéric Constant Le fils du milliardaire  Le fils du milliardaire  See fewer,Members only,French Spies (2004)
Nicolas Woirion Le policier BMW rançon  Le policier BMW rançon  See fewer,Members only,District B13 (2004)
Bernard Constant Le vendeur BMW  Le vendeur BMW  See fewer,Members only,Pur week-end (2007)
Erica Rivolier La femme de Charlie  La femme de Charlie  See fewer,Members only,The Adulteen (2013)
Benoît Marchand Inspecteur Farrugia  Inspecteur Farrugia  See fewer,Members only,The Days That Made History (2009)
Albert Goldberg Chauffeur SAVIEM  Chauffeur SAVIEM  See fewer,Members only,Kiss of the Dragon (2001)
Elena Anaya Sofia  Sofia  See fewer,Top 5000,The Skin I Live In (2011)
Cécile de France Jeanne Schneider (as Cécile De France)  Jeanne Schneider (as Cécile De France)  See fewer,Top 5000,L'auberge espagnole (2002)
Gérard Depardieu Guido  Guido  See fewer,Top 5000,Cyrano de Bergerac (1990)
Roy Dupuis Jean-Paul Mercier  Jean-Paul Mercier  See fewer,Members only,La Femme Nikita (1997)
Caroline Mathieu Vendeuse de chaussures (uncredited)  Vendeuse de chaussures (uncredited)  See fewer,Members only,The Page Turner (2006)
Alexandre Picot Garde du corps (uncredited)  Garde du corps (uncredited)  See fewer,Members only,Arrêtez-moi (2013)
Olivier Schneider Inspecteur (uncredited)  Inspecteur (uncredited)  See fewer,Members only,A Prophet (2009)
Rupert Wynne-James Client dans boite de nuit (uncredited)  Client dans boite de nuit (uncredited)  See fewer,Members only,3 Days to Kill (2014)
