Name,STARmeter,Known for
Kåre Hedebrant Oskar  Oskar  See fewer,Members only,Cupid's Balls (2011)
Lina Leandersson Eli  Eli  See fewer,Members only,Broken Hill Blues (2013)
Per Ragnar Håkan  Håkan  See fewer,Members only,The Best of Intentions (2014)
Henrik Dahl Erik  Erik  See fewer,Members only,Aspiranterna (1998)
Karin Bergquist Yvonne  Yvonne  See fewer,Members only,"Crimes of Passion: Roses, Kisses and Death (2013)"
Peter Carlberg Lacke  Lacke  See fewer,Members only,The Girl with the Dragon Tattoo (2011)
Ika Nord Virginia  Virginia  See fewer,Members only,Ika i rutan (1988)
Mikael Rahm Jocke  Jocke  See fewer,Members only,The Girl with the Dragon Tattoo (2009)
Karl-Robert Lindgren Gösta  Gösta  See fewer,Members only,Sammansvärjningen (1986)
Anders T. Peedu Morgan  Morgan  See fewer,Members only,I lagens namn (1986)
Pale Olofsson Larry  Larry  See fewer,Members only,The Girl with the Dragon Tattoo (2009)
Cayetano Ruiz Magister Avila  Magister Avila  See fewer,Members only,Let the Right One In (2008)
Patrik Rydmark Conny  Conny  See fewer,Members only,"Patrik, Age 1.5 (2008)"
Johan Sömnes Andreas  Andreas  See fewer,Members only,Para knas (2017)
Mikael Erhardsson Martin  Martin  See fewer,Members only,Let the Right One In (2008)
Rasmus Luthander Jimmy  Jimmy  See fewer,Members only,Jag har kommit för att hämta dig
Sören Källstigen Janne - Eriks kompis  Janne - Eriks kompis  See fewer,Members only,Stockholm to Båstad (2011)
Malin Cederblad Sjukhusreceptionist (as Malin Cederbladh)  Sjukhusreceptionist (as Malin Cederbladh)  See fewer,Members only,Möbelhandlarens dotter (2006)
Berndt Östman Virginias sjuksköterska (as Bernt Östman)  Virginias sjuksköterska (as Bernt Östman)  See fewer,Members only,Beck (1997)
Kajsa Linderholm Lärarinnan  Lärarinnan  See fewer,Members only,Maria Wern (2008)
Adam Stone Polis i klassen  Polis i klassen  See fewer,Members only,Rederiet (1992)
Ingemar Raukola Vaktmästaren  Vaktmästaren  See fewer,Members only,Höök (2007)
Kent Rishaug Kioskägaren  Kioskägaren  See fewer,Members only,Jenny ger igen (2009)
Linus Hanner Pojke som dödas  Pojke som dödas  See fewer,Members only,Let the Right One In (2008)
Tom Ljungman Ung man 1  Ung man 1  See fewer,Members only,"Patrik, Age 1.5 (2008)"
Fredrik Ramel Ung man 2  Ung man 2  See fewer,Members only,Let the Right One In (2008)
Christoffer Bohlin Matte - upphängd pojke  Matte - upphängd pojke  See fewer,Members only,Let the Right One In (2008)
Julia Nilsson Tonårstjej 1  Tonårstjej 1  See fewer,Members only,Let the Right One In (2008)
Elin Almén Tonårstjej 2  Tonårstjej 2  See fewer,Members only,Ambassadören (2020)
Bengt Bylund Nyhetsuppläsare radio (voice)  Nyhetsuppläsare radio (voice)  See fewer,Members only,Venus 90 (1988)
Bengt Lindström Väderleksrapport radio (voice)  Väderleksrapport radio (voice)  See fewer,Members only,Let the Right One In (2008)
Susanne Ruben Eli åldrad  Eli åldrad  See fewer,Members only,Gorky Park (1983)
Elif Ceylan Elis röst (voice)  Elis röst (voice)  See fewer,Members only,Let the Right One In (2008)
Libby Brien Virginia / Teacher (voice) (version: English)  Virginia / Teacher (voice) (version: English)  See fewer,Members only,Don't Close Your Blinds! (2009)
Robin De Lano Eli (uncredited)  Eli (uncredited)  See fewer,Members only,The Host (2006)
Philip Hersh Additional Voices (uncredited)  Additional Voices (uncredited)  See fewer,Members only,Red Cliff (2008)
Jonas Kruse Polis på sjukhus (uncredited)  Polis på sjukhus (uncredited)  See fewer,Members only,The Laser Man (2005)
Lena Nilsson Håkans sjuksköterska (uncredited)  Håkans sjuksköterska (uncredited)  See fewer,Members only,Videoman (2018)
