Name,STARmeter,Known for
Jake Johnson Tim  Tim  See fewer,Top 5000,New Girl (2011)
Rosemarie DeWitt Lee  Lee  See fewer,Top 5000,Rachel Getting Married (2008)
Jude Swanberg Jude  Jude  See fewer,Members only,Pete's Dragon (2016)
Alicia Van Couvering Cashier  Cashier  See fewer,Members only,Cop Car (2015)
Timothy Simons Yoga Couple  Yoga Couple  See fewer,Top 5000,Veep (2012)
Jenny Slate Yoga Couple  Yoga Couple  See fewer,73,Zootopia (2016)
Jeff Baena BB Gun Friend  BB Gun Friend  See fewer,Members only,The Little Hours (2017)
Mike Birbiglia Phil  Phil  See fewer,Members only,Don't Think Twice (2016)
Steve Berg Paul  Paul  See fewer,Members only,Skinwalker Ranch (2013)
Kent Osborne Adam  Adam  See fewer,Members only,Adventure Time (2010)
Sam Rockwell Ray  Ray  See fewer,Top 5000,Moon (2009)
Chris Messina Tango  Tango  See fewer,Top 5000,Away We Go (2009)
Anna Kendrick Alicia  Alicia  See fewer,Top 500,Up in the Air (I) (2009)
Brie Larson Max  Max  See fewer,Top 500,Room (I) (2015)
Judith Light Grandma  Grandma  See fewer,Top 5000,Who's the Boss? (1984)
Sam Elliott Pop Pop  Pop Pop  See fewer,Top 5000,A Star Is Born (2018)
Tom Bower Tom the Neighbor  Tom the Neighbor  See fewer,Members only,El Camino: A Breaking Bad Movie (2019)
Megan Mercier Uber Driver #1  Uber Driver #1  See fewer,Members only,Autoerotic (2011)
Melanie Lynskey Squiggy  Squiggy  See fewer,Top 5000,Togetherness (2015)
Ron Livingston Bob  Bob  See fewer,Top 5000,The Conjuring (2013)
Aislinn Brooke Plair Squiggy and Bob's Daughter (as Aislinn Plair)  Squiggy and Bob's Daughter (as Aislinn Plair)  See fewer,Members only,American Crime (2015)
Noah Nelson Squiggy and Bob's Son  Squiggy and Bob's Son  See fewer,Members only,Pure Genius (2016)
Lindsay Burdge Lucy  Lucy  See fewer,Members only,Easy (2016)
David Siskind Uber Driver #2  Uber Driver #2  See fewer,Members only,All the Light in the Sky (2012)
David Bly Waiter  Waiter  See fewer,Members only,Sweet Parents (2017)
Noelia Estrada Hostess  Hostess  See fewer,Members only,Her (2013)
Miguel Arteta Bartender  Bartender  See fewer,Members only,"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)"
Padraic Cassidy Brian  Brian  See fewer,Members only,20th Century Women (2016)
Orlando Bloom Ben  Ben  See fewer,Top 5000,The Lord of the Rings: The Fellowship of the Ring (2001)
Jane Adams Woman on Beach  Woman on Beach  See fewer,Top 5000,Happiness (1998)
