Name,STARmeter,Known for
Daniel Wu Zong Tianbao  Zong Tianbao  See fewer,Members only,Warcraft: The Beginning (2016)
Ruoyun Zhang Pan Ziwen  Pan Ziwen  See fewer,Members only,Qin ai de ta men (2017)
Jingchu Zhang Gao Yu  Gao Yu  See fewer,Members only,Mission: Impossible - Rogue Nation (2015)
Hsiao-chuan Chang  Actor  Actor  See fewer,Members only,Girlfriend Boyfriend (2012)
Tu Ba  Actor  Actor  See fewer,Members only,Lotus Code (2015)
Isabelle Hoi-Ning Chan  Actress  Actress  See fewer,Members only,"She Remembers, He Forgets (2015)"
Siu-Fai Cheung  Actor  Actor  See fewer,Members only,Blackhat (2015)
Andrew Dasz The Assassin  The Assassin  See fewer,Members only,Stunt Games (2014)
Philip Keung  Actor  Actor  See fewer,Members only,Shock Wave (2017)
Amber Kuo Xiaozhen  Xiaozhen  See fewer,Members only,Love (2012)
Yiu-Cheung Lai  Actor  Actor  See fewer,Members only,Sai yau gei (1996)
Belinda Yan  Actress  Actress  See fewer,Members only,Lady Bloodfight (2016)
