Name,STARmeter,Known for
Will Ferrell Sherlock Holmes  Sherlock Holmes  See fewer,Top 5000,Talladega Nights: The Ballad of Ricky Bobby (2006)
John C. Reilly Dr. Watson  Dr. Watson  See fewer,Top 5000,Chicago (2002)
Rebecca Hall Grace Hart  Grace Hart  See fewer,Top 5000,Vicky Cristina Barcelona (2008)
Rob Brydon Inspector Lestrade  Inspector Lestrade  See fewer,Members only,Marion & Geoff (2000)
Kelly Macdonald Mrs. Martha Hudson  Mrs. Martha Hudson  See fewer,Top 500,No Country for Old Men (2007)
Lauren Lapkus Millicent  Millicent  See fewer,Top 500,Jurassic World (2015)
Pam Ferris Queen Victoria  Queen Victoria  See fewer,Top 5000,Matilda (1996)
Ralph Fiennes Professor James Moriarty  Professor James Moriarty  See fewer,Top 5000,The Grand Budapest Hotel (2014)
Hector Bateman-Harden Young Holmes  Young Holmes  See fewer,Members only,Four Weddings and a Funeral (2019)
Codie-Lei Eastick Young Watson  Young Watson  See fewer,Members only,The Witches (2020)
Laura Stevely Sherlock's Mom  Sherlock's Mom  See fewer,Members only,The Duchess (2008)
Layla Rose Boyce Nicotine Stains / Nancy  Nicotine Stains / Nancy  See fewer,Members only,Pandemonium (III) (2015)
Sadie Newman Jane  Jane  See fewer,Members only,Law & Order: Special Victims Unit (1999)
Harry Baxendale Seamus  Seamus  See fewer,Members only,We Happy Few (2018)
Ella Bright Bridgette  Bridgette  See fewer,Members only,Legends (2014)
Kenneth Hadley Headmaster  Headmaster  See fewer,Members only,High-Rise (2015)
Paul Bigley Teacher #1  Teacher #1  See fewer,Members only,The Danish Girl (2015)
Sue Maund Teacher #2  Teacher #2  See fewer,Members only,Sweeney Todd: The Demon Barber of Fleet Street (2007)
Tommy Surridge Inky Hands  Inky Hands  See fewer,Members only,The Nest (II)
Paddy Holland Tough Kid  Tough Kid  See fewer,Members only,Tweet (2015)
Adam Scherr Brawn (as Braun Strowman)  Brawn (as Braun Strowman)  See fewer,Members only,WWE SmackDown Live (1999)
Kieran O'Brien Lestrade's P.C. Smalls  Lestrade's P.C. Smalls  See fewer,Members only,9 Songs (2004)
Noah Jupe Doxy  Doxy  See fewer,Top 5000,A Quiet Place (2018)
Bella Ramsey Flotsam  Flotsam  See fewer,Members only,Game of Thrones (2011)
Colby Mulgrew Hay Bag  Hay Bag  See fewer,Members only,Jake and the Never Land Pirates (2011)
Scarlet Grace Pickle  Pickle  See fewer,Members only,Paddington 2 (2017)
Billy Jenkins Mud Fog  Mud Fog  See fewer,Members only,The Crown (2016)
Michael Culkin The Judge  The Judge  See fewer,Members only,Candyman (1992)
Wolf Roth Sigmund Freud  Sigmund Freud  See fewer,Members only,Fantastic Beasts: The Crimes of Grindelwald (2018)
Jana Pérez Lestrade's Wife (as Jana Perez)  Lestrade's Wife (as Jana Perez)  See fewer,Members only,Cinderella (I) (2015)
Nathan Osgood Mark Twain  Mark Twain  See fewer,Members only,Mission: Impossible (1996)
David Shackleton Albert Einstein  Albert Einstein  See fewer,Members only,The 100 Year-Old Man Who Climbed Out the Window and Disappeared (2013)
Paul Cassidy Charlie Chaplin  Charlie Chaplin  See fewer,Members only,Hope Springs (2009)
Bronson Webb Jonathan Nightingale  Jonathan Nightingale  See fewer,Members only,RocknRolla (2008)
Jamie-Rose Monk Mrs. Nightingale  Mrs. Nightingale  See fewer,Members only,Class Dismissed (2016)
Jason Thorpe Butler  Butler  See fewer,Members only,The Witcher (2019)
Robert Cawsey Waiter  Waiter  See fewer,Members only,Starter for 10 (2006)
Stanley Eldridge Waiter  Waiter  See fewer,Members only,William & Catherine: A Royal Romance (2011)
Oliver Maltman Telegraph Operator  Telegraph Operator  See fewer,Members only,Another Year (2010)
David Stoller Hudson's Guard  Hudson's Guard  See fewer,Members only,Papillon (I) (2017)
Jack Riley Newschild  Newschild  See fewer,Members only,Tolkien (2019)
Lilly Aspell Newschild  Newschild  See fewer,Members only,Wonder Woman (2017)
Ethan Rouse Newschild  Newschild  See fewer,Members only,Where Hands Touch (2018)
Ellie-Rose Eames Newschild  Newschild  See fewer,Members only,Holmes & Watson (2018)
Jamie Baughan Titanic Ship Officer Liaison  Titanic Ship Officer Liaison  See fewer,Members only,Alice Through the Looking Glass (2016)
Helen Duff Titanic Guest  Titanic Guest  See fewer,Members only,Earth to Sky (2013)
Jess Liaudin Hangman  Hangman  See fewer,Members only,Night Fare (2015)
Wesley Kent-Hargreaves Weird Child Companion  Weird Child Companion  See fewer,Members only,The Architect (2017)
Daniel Fearn Drooling Man Companion  Drooling Man Companion  See fewer,Members only,Peaky Blinders (2013)
Darren Lake Disoriented Man Companion  Disoriented Man Companion  See fewer,Members only,Hawk(e): The Movie (2012)
Martin Bishop Priest  Priest  See fewer,Members only,Wonder Woman (2017)
Gerard Monaco Titanic Ship Officer  Titanic Ship Officer  See fewer,Members only,Pirates of the Caribbean: On Stranger Tides (2011)
Ben Lee Houdini  Houdini  See fewer,Members only,The Unfamiliar
Michael Buffer Fight Fan #1  Fight Fan #1  See fewer,Members only,Creed (II) (2015)
Bruce Buffer Fight Fan #2  Fight Fan #2  See fewer,Members only,Here Comes the Boom (2012)
Russell Wilcox Announcer  Announcer  See fewer,Members only,6 Underground (2019)
Billy Zane Billy Zane  Billy Zane  See fewer,Top 5000,Titanic (1997)
Henrihs Ahmadejevs Drunk (uncredited)  Drunk (uncredited)  See fewer,Members only,Dolittle (2020)
Deepak Anand Nobleman (uncredited)  Nobleman (uncredited)  See fewer,Members only,Paddington 2 (2017)
Lindy Barrett School Girl (uncredited)  School Girl (uncredited)  See fewer,Members only,The Good Liar (2019)
Martin Bassindale One Man Band (uncredited)  One Man Band (uncredited)  See fewer,Members only,Endeavour (2012)
Sara Beasley Mrs. Frobisher (uncredited)  Mrs. Frobisher (uncredited)  See fewer,Members only,Wrecking Ball (I)
Mark Behan Ringside Bookie (uncredited)  Ringside Bookie (uncredited)  See fewer,Members only,A Street Cat Named Bob (2016)
David Bromley Phone Guy (uncredited)  Phone Guy (uncredited)  See fewer,Members only,Tolkien (2019)
Rebecca Calder Ma'am (uncredited)  Ma'am (uncredited)  See fewer,Members only,Love Me Do (2015)
Steve Coogan Gustav Klinger (uncredited)  Gustav Klinger (uncredited)  See fewer,Top 5000,Philomena (2013)
Angus Cook Policeman (uncredited)  Policeman (uncredited)  See fewer,Members only,Bad Snappers (2017)
Willem Dalby Newsie Man (uncredited)  Newsie Man (uncredited)  See fewer,Members only,The Favourite (2018)
Nick Davison Upper Class Gentleman (uncredited)  Upper Class Gentleman (uncredited)  See fewer,Members only,Fantastic Beasts: The Crimes of Grindelwald (2018)
Mark Anthony Dawson Beefeater #1 (uncredited)  Beefeater #1 (uncredited)  See fewer,Members only,Snatch (2017)
Matthew Di Liello Telly-Phone Assistant (uncredited)  Telly-Phone Assistant (uncredited)  See fewer,Members only,Pan (2015)
