Name,STARmeter,Episodes,Known for
Toshiyuki Toyonaga Yuri Katsuki / Yuuri Katsuki  Yuri Katsuki / Yuuri Katsuki  See fewer,Members only,12,A Silent Voice (2016)
Jun'ichi Suwabe Viktor Nikiforov / Victor Nikiforov  Viktor Nikiforov / Victor Nikiforov  See fewer,Members only,12,Final Fantasy VII: Advent Children (2005)
Josh Grelle Yuri Katsuki  Yuri Katsuki  See fewer,Members only,12,Attack on Titan (2013)
Jerry Jewell Victor Nikiforov  Victor Nikiforov  See fewer,Members only,12,Fullmetal Alchemist (2003)
Kristen McGuire Loop Nishigori / Nishigori Loop  Loop Nishigori / Nishigori Loop  See fewer,Members only,12,The Helpful Fox Senko-san (2019)
Micah Solusod Yuri Plisetsky  Yuri Plisetsky  See fewer,Members only,12,Wolf Children (2012)
Koki Uchiyama Yuri Plisetsky  Yuri Plisetsky  See fewer,Members only,11,Soul Eater (2008)
Colleen Clinkenbeard Minako  Minako  See fewer,Members only,11,Wolf Children (2012)
Sonny Strait Hisashi Mooroka / Additional Voices  Hisashi Mooroka / Additional Voices  See fewer,Members only,11,Dragon Ball Z: Battle of Gods (2013)
Leah Clark Mari Katsuki  Mari Katsuki  See fewer,Members only,10,Fullmetal Alchemist the Movie: Conqueror of Shamballa (2005)
Daman Mills Yakov Feltsman  Yakov Feltsman  See fewer,Members only,10,Seinto Seiya: The Lost Canvas - Meio Shinwa (2009)
Alexis Tipton Yuko Nishigori  Yuko Nishigori  See fewer,Members only,10,Fullmetal Alchemist: The Sacred Star of Milos (2011)
Lara Woodhull Nishigori Axel / Additional Voices  Nishigori Axel / Additional Voices  See fewer,Members only,10,Wolf Children (2012)
Cris George Takeshi Nishigori  Takeshi Nishigori  See fewer,Members only,9,Shin Godzilla (2016)
Kristi Rothrock Nishigori Lutz  Nishigori Lutz  See fewer,Members only,9,Black Clover (2017)
Hideaki Tezuka Yakov Feltsman  Yakov Feltsman  See fewer,Members only,8,Choujin Sentai Jetman (1991)
Yuka Komatsu Minako Okukawa  Minako Okukawa  See fewer,Members only,8,Appleseed Alpha (2014)
Joel McDonald Phichit Chulanont  Phichit Chulanont  See fewer,Members only,8,Escaflowne (1996)
Ian Sinclair Celestino Chaldini  Celestino Chaldini  See fewer,Members only,8,Dragon Ball Z: Resurrection 'F' (2015)
Mariya Ise Yuuko Nishigori  Yuuko Nishigori  See fewer,Members only,7,Hunter x Hunter (2011)
Akiko Yajima Axel Nishigori / Loop Nishigori / Lutz Nishigori  Axel Nishigori / Loop Nishigori / Lutz Nishigori  See fewer,Members only,7,Resident Evil: Degeneration (2008)
Clifford Chapin Additional Voices / Honda  Additional Voices / Honda  See fewer,Members only,7,Attack on Titan (2013)
Monica Rial Mila Babicheva  Mila Babicheva  See fewer,Members only,7,Dragon Ball Super (2015)
Kenshô Ono Phichit Chulanont  Phichit Chulanont  See fewer,Members only,6,A Silent Voice (2016)
Jun Fukuyama Takeshi Nishigori  Takeshi Nishigori  See fewer,Members only,6,Code Geass: Lelouch of the Rebellion (2006)
Caitlin Glass Lilia Baranovskaya  Lilia Baranovskaya  See fewer,Members only,6,Fullmetal Alchemist: Brotherhood (2009)
Rachel Robinson Hiroko  Hiroko  See fewer,Members only,6,Final Fantasy XIII (2009)
Kyoko Sakai Mari Katsuki  Mari Katsuki  See fewer,Members only,5,Final Fantasy XV (2016)
Tia Lynn Ballard Sara Crispino  Sara Crispino  See fewer,Members only,5,Guilty Crown (2011)
Justin Briner Emil Nekola  Emil Nekola  See fewer,Members only,5,My Hero Academia (2016)
Jeremy Inman Jean-Jacques Leroy  Jean-Jacques Leroy  See fewer,Members only,5,Dragon Ball Z (1989)
Christopher Sabat Christophe Giacometti  Christophe Giacometti  See fewer,Members only,5,Dragon Ball Z: Resurrection 'F' (2015)
J. Michael Tatum Michele Crispino  Michele Crispino  See fewer,Members only,5,Black Butler (2008)
Mamoru Miyano Jean-Jacques Leroy  Jean-Jacques Leroy  See fewer,Members only,4,Death Note (2006)
Hiroki Yasumoto Christophe Giacometti  Christophe Giacometti  See fewer,Members only,4,"Zyuden Sentai Kyoryuger vs. Go-Busters: Dinosaur Great Battle! Farewell, Eternal Friends (2014)"
Tomoaki Maeno Michele Crispino  Michele Crispino  See fewer,Members only,4,Starmyu (2015)
Koji Ochiai Celestino Cialdini  Celestino Cialdini  See fewer,Members only,4,Seijû sentai Gingaman (1998)
Seiko Tamura Lilia Baranovskaya  Lilia Baranovskaya  See fewer,Members only,4,Brynhildr in the Darkness (2014)
Christopher Bevins Naohiko  Naohiko  See fewer,Members only,4,Jyu oh sei (2006)
Charles C. Campbell Toshiya Katsuki  Toshiya Katsuki  See fewer,Members only,4,Fullmetal Alchemist: Brotherhood (2009)
Ricco Fajardo Leo De La Iglesia  Leo De La Iglesia  See fewer,Members only,4,My Hero Academia (2016)
Sally Haden Additional Voices  Additional Voices  See fewer,Members only,4,Attack on Titan: Part 1 (2015)
Clarine Harp Additional Voices  Additional Voices  See fewer,Members only,4,Kiddy Grade (2002)
Trina Nishimura Kenjiro Minami  Kenjiro Minami  See fewer,Members only,4,Attack on Titan (2013)
Oscar Seung Lee Sung-Il  Lee Sung-Il  See fewer,Members only,4,American Dynasty
Howard Wang Guang-Hong Ji  Guang-Hong Ji  See fewer,Members only,4,RWBY (2012)
Kent Williams Kolya Plisetsky  Kolya Plisetsky  See fewer,Members only,4,Dragon Ball Z: Battle of Gods (2013)
Satoshi Hino Emil Nekola  Emil Nekola  See fewer,Members only,3,Overlord (2015)
Wataru Hatano Georgi Popovich  Georgi Popovich  See fewer,Members only,3,JoJo's Bizarre Adventure: All-Star Battle (2013)
Kenji Nojima Seung-gil Lee  Seung-gil Lee  See fewer,Members only,3,Mobile Suit Gundam Seed Destiny (2004)
Yûtarô Honjô Guang-Hong Ji  Guang-Hong Ji  See fewer,Members only,3,Metal Gear Solid V: The Phantom Pain (2015)
Shunichi Toki Leo de la Iglesia  Leo de la Iglesia  See fewer,Members only,3,Demon Slayer: Kimetsu No Yaiba (2019)
Dawn Michelle Bennett Isabella Yang  Isabella Yang  See fewer,Members only,3,Freedom Planet (2014)
Kei Hayami Hiroko Katsuki  Hiroko Katsuki  See fewer,Members only,3,Violent Cop (1989)
Mike McFarland Otabek Altin  Otabek Altin  See fewer,Members only,3,Dragon Ball Z: Resurrection 'F' (2015)
Vic Mignogna Nobunari Oda / Additional Voices  Nobunari Oda / Additional Voices  See fewer,Members only,3,Star Trek Continues (2013)
Brandon Potter Josef  Josef  See fewer,Members only,3,Dragon Ball Z (1989)
Dave Trosko Georgi Popovich  Georgi Popovich  See fewer,Members only,3,Orange (2016)
Misao Kobayashi Nikolai Plisetsky  Nikolai Plisetsky  See fewer,Members only,2,Blame! (2017)
Yoshimasa Hosoya Otabek Altin  Otabek Altin  See fewer,Members only,2,Danganronpa 2: Goodbye Despair (2012)
Ayumu Murase Kenjirou Minami  Kenjirou Minami  See fewer,Members only,2,Haikyuu!! (2014)
Mari Doi Mila Babicheva  Mila Babicheva  See fewer,Members only,2,Final Fantasy XV (2016)
Marika Minase Sara Crispino  Sara Crispino  See fewer,Members only,2,Lupin the Third: The Gravestone of Daisuke Jigen (2014)
Taihei Kato Hisashi Morooka  Hisashi Morooka  See fewer,Members only,2,Kamen Rider Drive: Surprise Future (2015)
Sôryû Konno Toshiya Katsuki  Toshiya Katsuki  See fewer,Members only,2,Scrap Heaven (2005)
Ami Naitô Takeshi Nishigori (7-years-old) / Yuri Angels Member  Takeshi Nishigori (7-years-old) / Yuri Angels Member  See fewer,Members only,2,The Movie Drive Head Tomica Hyper Rescue (2018)
Alejandro Saab Additional Voices / Hikaru  Additional Voices / Hikaru  See fewer,Members only,2,Dragonball Legends (2018)
Bryn Apprill Kanako  Kanako  See fewer,Members only,1,Attack on Titan (2013)
Chris Cason Additional Voices  Additional Voices  See fewer,Members only,1,Escaflowne: The Movie (2000)
Yuki Kazu Isabella Yang  Isabella Yang  See fewer,Members only,1,Devil May Cry 5 (2019)
Stephane Lambiel Himself  Himself  See fewer,Members only,1,Pop Star on Ice (2009)
Brian Olvera Yuto  Yuto  See fewer,Members only,1,Borderlands 3 (2019)
Orion Pitts Additional Voices  Additional Voices  See fewer,Members only,1,Yona of the Dawn (2014)
Apphia Yu Additional Voices  Additional Voices  See fewer,Members only,1,RWBY (2012)
